Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,3,58,52,9.0,15,4,0,4,0,0,6,9,1.5,0.289,0.362,0.596,0.958,31.0,2.0,0.0,0,0,0,1,0.282,100,164,7
Season Totals,Last 14 days,1,22,19,3.0,5,2,0,2,0,0,3,2,0.67,0.263,0.364,0.684,1.048,13.0,2.0,0.0,0,0,0,0,0.2,115,184,1
Season Totals,Last 28 days,3,58,52,9.0,15,4,0,4,0,0,6,9,1.5,0.289,0.362,0.596,0.958,31.0,2.0,0.0,0,0,0,1,0.282,100,158,7
Season Totals,Last 365 days,3,58,52,9.0,15,4,0,4,0,0,6,9,1.5,0.289,0.362,0.596,0.958,31.0,2.0,0.0,0,0,0,1,0.282,100,,7
Platoon Splits,vs RHB,3,42,38,4.0,8,3,0,2,0,0,4,7,1.75,0.211,0.286,0.447,0.733,17.0,2.0,0.0,0,0,0,1,0.207,54,105,3
Platoon Splits,vs LHB,3,16,14,4.0,7,1,0,2,0,0,2,2,1.0,0.5,0.563,1.0,1.563,14.0,0.0,0.0,0,0,0,0,0.5,223,323,4
Platoon Splits,vs RHB as LHP,3,42,38,4.0,8,3,0,2,0,0,4,7,1.75,0.211,0.286,0.447,0.733,17.0,2.0,0.0,0,0,0,1,0.207,54,97,3
Platoon Splits,vs LHB as LHP,3,16,14,4.0,7,1,0,2,0,0,2,2,1.0,0.5,0.563,1.0,1.563,14.0,0.0,0.0,0,0,0,0,0.5,223,357,4
Home or Away,Home,1,18,18,3.0,6,2,0,0,0,0,0,4,,0.333,0.333,0.444,0.778,8.0,0.0,0.0,0,0,0,0,0.429,67,121,4
Home or Away,Away,2,40,34,6.0,9,2,0,4,0,0,6,5,0.83,0.265,0.375,0.677,1.052,23.0,2.0,0.0,0,0,0,1,0.2,117,185,3
First or Second Half,2nd Half,3,58,52,9.0,15,4,0,4,0,0,6,9,1.5,0.289,0.362,0.596,0.958,31.0,2.0,0.0,0,0,0,1,0.282,100,160,7
Months,July,1,18,15,3.0,4,0,0,2,0,0,3,3,1.0,0.267,0.389,0.667,1.056,10.0,0.0,0.0,0,0,0,1,0.2,119,183,2
Months,August,2,40,37,6.0,11,4,0,2,0,0,3,6,2.0,0.297,0.35,0.568,0.918,21.0,2.0,0.0,0,0,0,0,0.31,92,150,5
Game Outcome for Pitcher,in Losses,2,40,37,6.0,11,4,0,2,0,0,3,6,2.0,0.297,0.35,0.568,0.918,21.0,2.0,0.0,0,0,0,0,0.31,92,87,5
Game Outcome for Pitcher,in No Dec.,1,18,15,3.0,4,0,0,2,0,0,3,3,1.0,0.267,0.389,0.667,1.056,10.0,0.0,0.0,0,0,0,1,0.2,119,197,2
Pitching Role,as Starter,3,58,52,9.0,15,4,0,4,0,0,6,9,1.5,0.289,0.362,0.596,0.958,31.0,2.0,0.0,0,0,0,1,0.282,100,161,7
Run Support,0-2 Runs Scored,1,22,19,3.0,5,2,0,2,0,0,3,2,0.67,0.263,0.364,0.684,1.048,13.0,2.0,0.0,0,0,0,0,0.2,115,174,1
Run Support,3-5 Runs Scored,2,36,33,6.0,10,2,0,2,0,0,3,7,2.33,0.303,0.361,0.546,0.907,18.0,0.0,0.0,0,0,0,1,0.333,91,152,6
Batting Order Positions,Batting 1st,3,7,6,3.0,4,2,0,2,0,0,1,1,1.0,0.667,0.714,2.0,2.714,12.0,1.0,0.0,0,0,0,0,0.667,433,609,0
Batting Order Positions,Batting 2nd,3,7,6,0.0,1,1,0,0,0,0,1,1,1.0,0.167,0.286,0.333,0.619,2.0,0.0,0.0,0,0,0,1,0.2,35,64,0
Batting Order Positions,Batting 3rd,3,7,6,1.0,1,0,0,0,0,0,1,1,1.0,0.167,0.286,0.167,0.452,1.0,1.0,0.0,0,0,0,0,0.2,7,23,1
Batting Order Positions,Batting 4th,3,7,6,0.0,2,0,0,0,0,0,1,1,1.0,0.333,0.429,0.333,0.762,2.0,0.0,0.0,0,0,0,0,0.4,74,115,2
Batting Order Positions,Batting 5th,3,6,6,2.0,2,0,0,1,0,0,0,1,,0.333,0.333,0.833,1.167,5.0,0.0,0.0,0,0,0,0,0.25,132,210,1
Batting Order Positions,Batting 6th,3,6,6,1.0,1,0,0,1,0,0,0,1,,0.167,0.167,0.667,0.833,4.0,0.0,0.0,0,0,0,0,0.0,58,130,0
