Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,48,42,170,144,17,24,8,0,5,12,1,1,22,72,0.167,0.288,0.326,0.615,47,0,3,0,1,0,1,0.279,100,73,11
Season Totals,Last 7 days,2,1,5,4,0,1,1,0,0,1,0,0,1,1,0.25,0.4,0.5,0.9,2,0,0,0,0,0,0,0.333,192,159,0
Season Totals,Last 14 days,2,1,5,4,0,1,1,0,0,1,0,0,1,1,0.25,0.4,0.5,0.9,2,0,0,0,0,0,0,0.333,192,151,0
Season Totals,Last 28 days,2,1,5,4,0,1,1,0,0,1,0,0,1,1,0.25,0.4,0.5,0.9,2,0,0,0,0,0,0,0.333,192,147,0
Season Totals,Last 365 days,60,48,189,160,20,26,8,0,6,14,2,2,25,80,0.163,0.286,0.325,0.611,52,0,3,0,1,0,1,0.267,99,,12
Platoon Splits,vs RHP,43,,121,98,14,19,7,0,4,9,1,1,20,49,0.194,0.339,0.388,0.727,38,0,2,0,1,0,1,0.326,137,106,8
Platoon Splits,vs LHP,27,,49,46,3,5,1,0,1,3,0,0,2,23,0.109,0.163,0.196,0.359,9,0,1,0,0,0,0,0.182,17,1,3
Platoon Splits,vs RHP as LHB,43,,121,98,,19,7,0,4,9,0,0,20,49,0.194,0.339,0.388,0.727,38,0,2,0,1,0,1,0.326,137,99,8
Platoon Splits,vs LHP as LHB,27,,49,46,,5,1,0,1,3,0,0,2,23,0.109,0.163,0.196,0.359,9,0,1,0,0,0,0,0.182,17,7,3
Platoon Splits,vs RH Starter,36,34,134,115,13,20,6,0,4,9,0,1,17,59,0.174,0.284,0.33,0.614,38,0,1,0,1,0,1,0.302,100,73,10
Platoon Splits,vs LH Starter,12,8,36,29,4,4,2,0,1,3,1,0,5,13,0.138,0.306,0.31,0.616,9,0,2,0,0,0,0,0.2,101,75,1
