Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,108,96,389,333,45,83,18,4,9,45,7,5,47,75,0.249,0.345,0.408,0.754,136,4,4,1,4,0,1,0.293,100,112,52
Season Totals,Last 7 days,6,6,23,20,2,5,1,0,1,5,1,1,2,5,0.25,0.304,0.45,0.754,9,1,0,0,1,0,0,0.267,98,118,3
Season Totals,Last 14 days,13,13,44,38,5,8,1,1,2,8,1,1,4,10,0.211,0.296,0.447,0.743,17,1,1,0,1,0,0,0.222,95,108,4
Season Totals,Last 28 days,25,25,94,83,9,21,4,2,2,15,1,1,8,25,0.253,0.33,0.422,0.752,35,1,2,0,1,0,0,0.333,99,107,13
Season Totals,Last 365 days,108,96,389,333,45,83,18,4,9,45,7,5,47,75,0.249,0.345,0.408,0.754,136,4,4,1,4,0,1,0.293,100,,52
Platoon Splits,vs RHP,96,,273,238,29,63,13,3,4,33,5,4,28,45,0.265,0.344,0.395,0.739,94,4,3,0,4,0,1,0.306,97,109,43
Platoon Splits,vs LHP,61,,116,95,16,20,5,1,5,12,2,1,19,30,0.211,0.348,0.442,0.79,42,0,1,1,0,0,0,0.25,109,120,9
Platoon Splits,vs RHP as RHB,96,,273,238,,63,13,3,4,33,0,0,28,45,0.265,0.344,0.395,0.739,94,4,3,0,4,0,1,0.306,97,115,43
Platoon Splits,vs LHP as RHB,61,,116,95,,20,5,1,5,12,0,0,19,30,0.211,0.348,0.442,0.79,42,0,1,1,0,0,0,0.25,109,115,9
Platoon Splits,vs RH Starter,78,67,268,229,30,64,12,4,4,33,5,5,33,44,0.28,0.369,0.419,0.789,96,4,2,0,4,0,0,0.324,110,123,44
Platoon Splits,vs LH Starter,30,29,121,104,15,19,6,0,5,12,2,0,14,31,0.183,0.292,0.385,0.676,40,0,2,1,0,0,1,0.206,79,89,8
Home or Away,Home,53,47,177,148,25,39,12,2,6,24,4,2,26,33,0.264,0.379,0.493,0.872,73,1,2,0,1,0,1,0.3,131,141,19
Home or Away,Away,55,49,212,185,20,44,6,2,3,21,3,3,21,42,0.238,0.318,0.341,0.658,63,3,2,1,3,0,0,0.287,76,90,33
First or Second Half,1st Half,77,65,269,227,33,60,13,2,7,29,5,4,37,46,0.264,0.369,0.432,0.801,98,3,2,1,2,0,0,0.301,113,127,38
First or Second Half,2nd Half,31,31,120,106,12,23,5,2,2,16,2,1,10,29,0.217,0.292,0.359,0.65,38,1,2,0,2,0,1,0.273,72,80,14
Months,April/March,27,19,78,64,7,17,4,1,1,8,1,1,13,14,0.266,0.385,0.406,0.791,26,0,0,0,1,0,0,0.32,111,128,11
Months,May,23,21,88,75,16,23,7,1,4,12,1,1,9,11,0.307,0.391,0.587,0.978,44,0,2,1,1,0,0,0.312,157,179,11
Months,June,23,21,85,72,9,18,2,0,2,8,3,1,13,16,0.25,0.365,0.361,0.726,26,3,0,0,0,0,0,0.296,94,105,14
Months,July,15,15,63,57,4,9,1,1,0,4,1,1,5,16,0.158,0.222,0.211,0.433,12,0,0,0,1,0,1,0.214,16,21,7
Months,August,20,20,75,65,9,16,4,1,2,13,1,1,7,18,0.246,0.333,0.431,0.764,28,1,2,0,1,0,0,0.304,102,112,9
Game Outcome for Team,in Wins,64,54,230,200,34,56,11,4,7,33,6,3,24,40,0.28,0.361,0.48,0.841,96,2,3,0,3,0,0,0.314,122,102,34
Game Outcome for Team,in Losses,44,42,159,133,11,27,7,0,2,12,1,2,23,35,0.203,0.323,0.301,0.624,40,2,1,1,1,0,1,0.258,67,114,18
Starter or Substitute,as Starter,96,96,376,323,43,81,18,3,9,45,7,5,44,75,0.251,0.344,0.409,0.753,132,4,4,1,4,0,1,0.296,100,112,51
Starter or Substitute,as Sub,12,0,13,10,2,2,0,1,0,0,0,0,3,0,0.2,0.385,0.4,0.785,4,0,0,0,0,0,0,0.2,110,139,1
Defensive Positions,as 2B,6,,15,10,3,4,1,0,1,1,0,0,4,3,0.4,0.6,0.8,1.4,8,0,1,0,0,0,0,0.5,270,310,2
