Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,92,82,296,276,36,67,6,1,3,28,21,3,12,56,0.243,0.282,0.304,0.586,84,5,3,5,0,0,1,0.295,100,66,57
Season Totals,Last 7 days,5,5,18,17,3,5,0,0,0,4,3,0,1,5,0.294,0.333,0.294,0.627,5,1,0,0,0,0,0,0.417,115,85,5
Season Totals,Last 14 days,10,9,35,32,6,9,2,0,0,5,4,0,3,7,0.281,0.343,0.344,0.687,11,1,0,0,0,0,0,0.36,135,94,7
Season Totals,Last 28 days,16,13,49,44,7,13,2,0,0,5,4,0,4,9,0.296,0.354,0.341,0.695,15,1,0,1,0,0,0,0.371,138,94,11
Season Totals,Last 365 days,124,101,374,348,49,90,10,3,4,37,29,3,13,75,0.259,0.295,0.339,0.634,118,6,5,8,0,0,1,0.32,116,,73
Platoon Splits,vs RHP,81,,216,201,29,52,4,1,3,22,15,3,10,37,0.259,0.301,0.333,0.634,67,3,2,3,0,0,0,0.304,116,80,44
Platoon Splits,vs LHP,44,,80,75,7,15,2,0,0,6,6,0,2,19,0.2,0.231,0.227,0.458,17,2,1,2,0,0,1,0.268,57,30,13
Platoon Splits,vs RHP as RHB,81,,216,201,,52,4,1,3,22,0,0,10,37,0.259,0.301,0.333,0.634,67,3,2,3,0,0,0,0.304,116,85,44
Platoon Splits,vs LHP as RHB,44,,80,75,,15,2,0,0,6,0,0,2,19,0.2,0.231,0.227,0.458,17,2,1,2,0,0,1,0.268,57,27,13
Platoon Splits,vs RH Starter,60,55,192,181,25,43,6,1,1,11,11,1,7,37,0.238,0.274,0.298,0.572,54,5,2,2,0,0,0,0.294,95,62,35
Platoon Splits,vs LH Starter,32,27,104,95,11,24,0,0,2,17,10,2,5,19,0.253,0.297,0.316,0.613,30,0,1,3,0,0,1,0.297,109,73,22
Home or Away,Home,48,42,146,136,24,34,3,0,1,14,13,1,6,29,0.25,0.292,0.294,0.586,40,2,2,2,0,0,0,0.311,100,65,30
Home or Away,Away,44,40,150,140,12,33,3,1,2,14,8,2,6,27,0.236,0.272,0.314,0.586,44,3,1,3,0,0,1,0.279,100,68,27
