Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,37,32,135,114,12,31,5,0,5,21,0,1,16,29,0.272,0.37,0.447,0.818,51,2,3,0,2,1,0,0.317,100,130,21
Season Totals,Last 7 days,6,6,26,23,1,6,2,0,0,1,0,0,3,4,0.261,0.346,0.348,0.694,8,0,0,0,0,0,0,0.316,71,105,4
Season Totals,Last 14 days,11,11,49,40,4,11,3,0,1,7,0,0,7,8,0.275,0.388,0.425,0.813,17,0,1,0,1,0,0,0.313,100,132,7
Season Totals,Last 28 days,24,24,104,86,10,24,4,0,5,16,0,0,14,22,0.279,0.394,0.5,0.894,43,1,3,0,1,1,0,0.317,118,146,15
Season Totals,Last 365 days,44,37,154,130,15,34,6,0,5,23,0,2,19,34,0.262,0.364,0.423,0.787,55,2,3,0,2,1,0,0.312,93,,23
Platoon Splits,vs RHP,29,,84,73,9,21,3,0,4,17,0,0,7,15,0.288,0.357,0.493,0.85,36,2,2,0,2,1,0,0.304,107,138,14
Platoon Splits,vs LHP,24,,51,41,3,10,2,0,1,4,0,1,9,14,0.244,0.392,0.366,0.758,15,0,1,0,0,0,0,0.346,88,115,7
Platoon Splits,vs RHP as RHB,29,,84,73,,21,3,0,4,17,0,0,7,15,0.288,0.357,0.493,0.85,36,2,2,0,2,1,0,0.304,107,145,14
Platoon Splits,vs LHP as RHB,24,,51,41,,10,2,0,1,4,0,0,9,14,0.244,0.392,0.366,0.758,15,0,1,0,0,0,0,0.346,88,110,7
Platoon Splits,vs RH Starter,21,18,83,71,7,19,3,0,3,15,0,0,9,17,0.268,0.349,0.437,0.786,31,2,1,0,2,1,0,0.302,92,121,13
Platoon Splits,vs LH Starter,16,14,52,43,5,12,2,0,2,6,0,1,7,12,0.279,0.404,0.465,0.869,20,0,2,0,0,0,0,0.345,113,145,8
