Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,117,490,414,63,104,24,1,11,46,10,1,62,101,0.251,0.356,0.394,0.75,163,11,8,1,5,0,3,0.303,100,112,68
Season Totals,Last 7 days,6,6,26,22,3,8,1,0,2,5,0,0,4,2,0.364,0.462,0.682,1.143,15,1,0,0,0,0,0,0.333,203,226,5
Season Totals,Last 14 days,12,12,53,47,5,9,2,0,2,5,0,0,6,11,0.192,0.283,0.362,0.645,17,1,0,0,0,0,0,0.206,71,79,5
Season Totals,Last 28 days,24,24,105,90,13,15,3,0,3,6,1,0,13,25,0.167,0.279,0.3,0.579,27,4,1,1,0,0,0,0.194,55,60,9
Season Totals,Last 365 days,133,133,566,474,73,116,27,1,14,55,12,1,75,119,0.245,0.356,0.395,0.75,187,12,10,1,6,0,5,0.294,100,,74
Platoon Splits,vs RHP,111,,341,294,41,69,16,0,8,34,8,0,38,69,0.235,0.331,0.371,0.702,109,9,6,0,3,0,3,0.277,87,99,45
Platoon Splits,vs LHP,66,,149,120,22,35,8,1,3,12,2,1,24,32,0.292,0.412,0.45,0.862,54,2,2,1,2,0,0,0.368,130,142,23
Platoon Splits,vs RHP as RHB,111,,341,294,,69,16,0,8,34,0,0,38,69,0.235,0.331,0.371,0.702,109,9,6,0,3,0,3,0.277,87,105,45
Platoon Splits,vs LHP as RHB,66,,149,120,,35,8,1,3,12,0,0,24,32,0.292,0.412,0.45,0.862,54,2,2,1,2,0,0,0.368,130,137,23
Platoon Splits,vs RH Starter,83,83,344,291,41,63,14,0,8,36,7,0,43,72,0.217,0.326,0.347,0.673,101,8,6,0,4,0,2,0.256,80,91,41
Platoon Splits,vs LH Starter,34,34,146,123,22,41,10,1,3,10,3,1,19,29,0.333,0.428,0.504,0.932,62,3,2,1,1,0,1,0.413,148,162,27
Home or Away,Home,58,58,232,196,32,55,15,0,8,26,6,0,32,42,0.281,0.385,0.48,0.865,94,4,2,1,1,0,2,0.32,130,140,32
Home or Away,Away,59,59,258,218,31,49,9,1,3,20,4,1,30,59,0.225,0.33,0.317,0.646,69,7,6,0,4,0,1,0.288,73,87,36
First or Second Half,1st Half,89,89,366,309,48,85,21,1,8,38,8,1,46,72,0.275,0.377,0.427,0.804,132,7,7,0,4,0,3,0.331,114,128,55
First or Second Half,2nd Half,28,28,124,105,15,19,3,0,3,8,2,0,16,29,0.181,0.293,0.295,0.588,31,4,1,1,1,0,0,0.216,57,65,13
Months,April/March,25,25,110,92,11,21,2,1,1,10,3,0,15,21,0.228,0.346,0.304,0.65,28,0,2,0,1,0,2,0.282,74,89,17
Months,May,25,25,97,82,8,18,3,0,2,8,2,1,15,20,0.22,0.34,0.329,0.67,27,5,0,0,0,0,0,0.267,79,96,13
Months,June,27,27,108,92,19,35,13,0,2,16,3,0,10,22,0.38,0.454,0.587,1.041,54,2,4,0,2,0,0,0.471,177,189,20
Months,July,23,23,99,82,16,17,4,0,3,6,2,0,13,18,0.207,0.316,0.366,0.682,30,2,1,1,2,0,1,0.222,82,88,10
Months,August,17,17,76,66,9,13,2,0,3,6,0,0,9,20,0.197,0.303,0.364,0.666,24,2,1,0,0,0,0,0.233,78,85,8
Game Outcome for Team,in Wins,54,54,233,185,48,51,11,1,9,35,3,0,38,43,0.276,0.405,0.492,0.897,91,6,5,1,4,0,1,0.307,139,117,30
Game Outcome for Team,in Losses,63,63,257,229,15,53,13,0,2,11,7,1,24,58,0.231,0.311,0.314,0.626,72,5,3,0,1,0,2,0.3,67,114,38
Starter or Substitute,as Starter,117,117,490,414,63,104,24,1,11,46,10,1,62,101,0.251,0.356,0.394,0.75,163,11,8,1,5,0,3,0.303,100,112,68
Defensive Positions,as 2B,103,,432,361,58,94,23,0,10,43,9,1,59,86,0.26,0.371,0.407,0.778,147,11,7,1,4,0,3,0.312,108,129,61
Defensive Positions,as DH,14,,58,53,5,10,1,1,1,3,1,0,3,15,0.189,0.241,0.302,0.543,16,0,1,0,1,0,0,0.237,44,45,7
Leading Off Inning,1st Batter G,72,,72,63,,14,1,1,1,1,,,9,15,0.222,0.319,0.318,0.637,20,0,0,0,0,0,0,0.277,70,82,11
Leading Off Inning,Leadoff Inn.,103,,172,147,,32,5,1,2,2,,,24,38,0.218,0.331,0.306,0.638,45,0,1,0,0,0,1,0.28,71,86,24
Batting Order Positions,Batting 1st,72,72,318,267,44,63,19,1,6,21,6,1,42,60,0.236,0.347,0.382,0.729,102,5,5,1,3,0,3,0.279,94,100,37
Batting Order Positions,Batting 4th,3,3,13,12,0,4,0,0,0,2,2,0,1,3,0.333,0.385,0.333,0.718,4,0,0,0,0,0,0,0.444,93,101,4
Batting Order Positions,Batting 5th,5,5,20,19,1,4,0,0,0,2,1,0,1,5,0.211,0.25,0.211,0.461,4,0,0,0,0,0,0,0.286,24,31,4
Batting Order Positions,Batting 6th,11,11,44,39,5,12,3,0,1,1,0,0,4,9,0.308,0.386,0.462,0.848,18,1,1,0,0,0,0,0.379,126,148,8
Batting Order Positions,Batting 7th,8,8,29,23,3,6,0,0,2,6,0,0,5,8,0.261,0.414,0.522,0.936,12,0,1,0,0,0,0,0.308,149,172,4
Batting Order Positions,Batting 8th,16,16,58,47,10,14,2,0,2,14,1,0,8,15,0.298,0.397,0.468,0.865,22,3,1,0,2,0,0,0.375,130,163,10
Batting Order Positions,Batting 9th,2,2,8,7,0,1,0,0,0,0,0,0,1,1,0.143,0.25,0.143,0.393,1,2,0,0,0,0,0,0.167,7,31,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,72,,97,90,,16,4,0,2,10,,,2,20,0.178,0.198,0.289,0.487,26,3,1,1,3,0,1,0.197,29,38,10
Swung or Took First Pitch of PA,Took 1st Pitch,117,,393,324,,88,20,1,9,36,,,60,81,0.272,0.394,0.423,0.817,137,8,7,0,2,0,2,0.335,118,129,58
Count/Balls-Strikes,First Pitch,37,,40,35,15,9,2,0,1,4,0,0,0,0,0.257,0.282,0.4,0.682,14,2,2,1,2,0,1,0.222,81,54,6
Count/Balls-Strikes,1-0 Count,26,,26,25,4,11,2,0,1,5,2,0,0,0,0.44,0.423,0.64,1.063,16,2,0,0,1,0,0,0.4,181,136,8
Count/Balls-Strikes,2-0 Count,11,,11,10,5,5,0,0,1,4,1,0,0,0,0.5,0.546,0.8,1.346,8,0,1,0,0,0,0,0.444,256,187,4
Count/Balls-Strikes,3-0 Count,11,,12,0,0,0,0,0,0,0,1,1,12,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,35,,40,39,4,12,3,0,2,9,2,0,0,0,0.308,0.3,0.539,0.839,21,2,0,0,1,0,1,0.263,121,96,7
Count/Balls-Strikes,1-1 Count,34,,36,35,8,10,2,1,0,1,1,0,0,0,0.286,0.306,0.4,0.706,14,1,1,0,0,0,0,0.286,88,70,7
Count/Balls-Strikes,2-1 Count,25,,27,26,5,12,3,0,2,5,0,0,0,0,0.462,0.482,0.808,1.289,21,1,1,0,0,0,0,0.417,240,178,7
Count/Balls-Strikes,3-1 Count,28,,31,13,1,1,1,0,0,3,0,0,17,0,0.077,0.581,0.154,0.734,2,1,0,0,1,0,0,0.071,102,8,0
Count/Balls-Strikes,0-2 Count,33,,40,39,3,7,2,0,0,0,0,0,0,18,0.18,0.2,0.231,0.431,9,0,1,0,0,0,0,0.333,15,129,5
Count/Balls-Strikes,1-2 Count,49,,58,58,5,12,4,0,0,1,1,0,0,32,0.207,0.207,0.276,0.483,16,0,0,0,0,0,0,0.462,28,134,8
Count/Balls-Strikes,2-2 Count,56,,79,78,3,12,0,0,2,5,1,0,0,36,0.154,0.165,0.231,0.395,18,1,1,0,0,0,0,0.25,5,78,10
Count/Balls-Strikes,Full Count,56,,90,56,10,13,5,0,2,9,1,0,33,15,0.232,0.522,0.429,0.951,24,1,1,0,0,0,1,0.282,156,144,6
Count/Balls-Strikes,After 1-0,103,,204,156,,48,13,0,6,25,,,44,33,0.308,0.466,0.506,0.972,79,6,3,0,1,0,0,0.356,159,143,29
Count/Balls-Strikes,After 2-0,63,,92,54,,14,4,0,3,12,,,35,13,0.259,0.565,0.5,1.065,27,2,3,0,0,0,0,0.29,186,122,7
Count/Balls-Strikes,After 3-0,32,,38,12,,2,1,0,1,5,,,25,1,0.167,0.737,0.5,1.237,6,2,1,0,0,0,0,0.1,234,98,0
Count/Balls-Strikes,After 0-1,109,,246,223,,47,9,1,4,17,,,18,68,0.211,0.276,0.314,0.59,70,3,3,0,2,0,2,0.281,57,97,33
Count/Balls-Strikes,After 1-1,108,,208,182,,43,8,1,4,15,,,23,53,0.236,0.327,0.357,0.684,65,2,2,0,1,0,0,0.31,83,107,30
Count/Balls-Strikes,After 2-1,82,,124,93,,26,6,0,4,14,,,28,24,0.28,0.452,0.473,0.925,44,1,2,0,1,0,0,0.333,147,135,16
Count/Balls-Strikes,After 3-1,49,,64,32,,6,2,0,1,8,,,30,7,0.188,0.578,0.344,0.922,11,2,1,0,1,0,0,0.2,150,77,3
Count/Balls-Strikes,After 0-2,63,,84,79,,15,5,0,0,1,,,4,35,0.19,0.238,0.253,0.491,20,1,1,0,0,0,1,0.341,31,120,10
Count/Balls-Strikes,After 1-2,82,,135,126,,22,6,0,1,4,,,9,58,0.175,0.23,0.246,0.476,31,1,0,0,0,0,1,0.313,27,92,15
Count/Balls-Strikes,After 2-2,80,,136,115,,20,4,0,3,9,,,20,44,0.174,0.302,0.287,0.589,33,1,1,0,0,0,1,0.25,57,102,13
Count/Balls-Strikes,Zero Balls,84,,120,113,22,28,7,0,3,13,2,0,0,18,0.248,0.261,0.389,0.65,44,4,3,1,3,0,2,0.263,72,82,18
Count/Balls-Strikes,Zero Strikes,71,,89,70,24,25,4,0,3,13,4,1,12,0,0.357,0.455,0.543,0.997,38,4,3,1,3,0,1,0.314,166,112,18
Count/Balls-Strikes,Three Balls,75,,133,69,11,14,6,0,2,12,2,1,62,15,0.203,0.579,0.377,0.956,26,2,1,0,1,0,1,0.226,158,103,6
Count/Balls-Strikes,Two Strikes,107,,267,231,21,44,11,0,4,15,3,0,33,101,0.191,0.3,0.29,0.59,67,2,3,0,0,0,1,0.318,58,132,29
Count/Balls-Strikes,Batter Ahead,97,,197,130,25,42,11,0,6,26,5,1,62,15,0.323,0.543,0.546,1.089,71,5,3,0,2,0,1,0.324,191,128,25
Count/Balls-Strikes,Even Count,96,,155,148,26,31,4,1,3,10,2,0,0,36,0.21,0.227,0.311,0.538,46,4,4,1,2,0,1,0.252,43,57,23
Count/Balls-Strikes,Pitcher Ahead,91,,138,136,12,31,9,0,2,10,3,0,0,50,0.228,0.232,0.338,0.57,46,2,1,0,1,0,1,0.341,51,120,20
Number of Outs in Inning,0 outs,107,,210,171,16,40,7,1,3,8,2,0,32,41,0.234,0.364,0.339,0.703,58,5,4,1,2,0,2,0.287,88,99,29
Number of Outs in Inning,1 out,93,,149,125,23,35,8,0,4,17,3,1,17,31,0.28,0.376,0.44,0.816,55,6,4,0,3,0,1,0.333,117,129,23
Number of Outs in Inning,2 outs,85,,131,118,24,29,9,0,4,21,5,0,13,29,0.246,0.321,0.424,0.744,50,0,0,0,0,0,0,0.294,98,112,16
Bases Occupied,RISP,66,,94,70,46,20,5,0,3,37,3,0,16,14,0.286,0.409,0.486,0.894,34,2,2,1,5,0,1,0.293,138,140,12
Bases Occupied,---,115,,320,281,7,71,18,1,7,7,0,0,36,73,0.253,0.344,0.399,0.742,112,0,3,0,0,0,1,0.318,98,117,45
Bases Occupied,Men On,95,,170,133,56,33,6,0,4,39,10,1,26,28,0.248,0.379,0.384,0.762,51,11,5,1,5,0,2,0.274,104,107,23
Bases Occupied,1--,68,,76,63,10,13,1,0,1,2,7,1,10,14,0.206,0.342,0.27,0.612,17,9,3,0,0,0,1,0.25,65,71,11
Bases Occupied,-2-,37,,47,39,9,12,5,0,0,10,0,0,6,7,0.308,0.413,0.436,0.849,17,0,1,1,0,0,1,0.375,127,133,7
Bases Occupied,--3,6,,6,2,3,0,0,0,0,2,0,0,2,1,0.0,0.333,0.0,0.333,0,0,0,0,2,0,0,0.0,-7,-3,0
Bases Occupied,12-,13,,13,11,10,2,0,0,1,4,2,0,1,2,0.182,0.308,0.455,0.762,5,2,1,0,0,0,0,0.125,102,111,1
Bases Occupied,1-3,9,,3,1,2,0,0,0,0,1,1,0,1,0,0.0,0.333,0.0,0.333,0,0,0,0,1,0,0,0.0,-7,-1,0
Bases Occupied,-23,13,,14,10,9,2,0,0,0,5,0,0,3,2,0.2,0.357,0.2,0.557,2,0,0,0,1,0,0,0.222,51,44,2
Bases Occupied,123,11,,11,7,13,4,0,0,2,15,0,0,3,2,0.571,0.636,1.429,2.065,10,0,0,0,1,0,0,0.5,441,443,2
Bases Occupied,"on 1st,",51,,63,47,18,9,0,0,2,9,5,1,10,13,0.192,0.365,0.319,0.684,15,11,4,0,2,0,1,0.206,84,87,7
Bases Occupied,"on 3rd,",13,,14,6,15,3,0,0,0,11,0,0,3,1,0.5,0.429,0.5,0.929,3,0,0,0,5,0,0,0.3,147,123,3
Bases Occupied,"on 3rd, 2 out",19,,20,14,12,3,0,0,2,12,1,0,6,4,0.214,0.45,0.643,1.093,9,0,0,0,0,0,0,0.125,190,203,1
Bases Occupied,"0 out, ---",103,,174,149,2,33,6,1,2,2,0,0,23,39,0.222,0.333,0.315,0.649,47,0,2,0,0,0,1,0.287,74,89,24
Bases Occupied,"0 out, 1--",21,,19,15,5,4,0,0,1,2,2,0,4,1,0.267,0.421,0.467,0.888,7,5,0,0,0,0,0,0.231,137,134,3
Bases Occupied,"0 out, -2-",9,,10,5,2,2,1,0,0,1,0,0,3,1,0.4,0.667,0.6,1.267,3,0,1,1,0,0,1,0.5,240,248,1
Bases Occupied,"0 out, 12-",3,,3,1,2,0,0,0,0,0,0,0,1,0,0.0,0.667,0.0,0.667,0,0,1,0,0,0,0,0.0,87,102,0
