Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,77,60,256,232,15,41,10,3,3,22,11,3,19,61,0.177,0.248,0.285,0.533,66,1,3,2,0,0,2,0.226,100,50,25
Season Totals,Last 7 days,5,4,19,16,2,1,1,0,0,0,2,0,2,2,0.063,0.167,0.125,0.292,2,0,0,1,0,0,0,0.071,11,-13,0
Season Totals,Last 14 days,12,10,42,39,2,5,2,0,0,1,3,0,2,7,0.128,0.171,0.18,0.35,7,1,0,1,0,0,0,0.156,32,-2,3
Season Totals,Last 28 days,21,18,78,71,5,14,4,2,0,3,4,0,5,15,0.197,0.26,0.31,0.57,22,1,1,1,0,0,0,0.25,114,57,8
Season Totals,Last 365 days,77,60,256,232,15,41,10,3,3,22,11,3,19,61,0.177,0.248,0.285,0.533,66,1,3,2,0,0,2,0.226,100,,25
Platoon Splits,vs RHP,60,,178,163,7,30,8,2,2,14,9,2,10,41,0.184,0.244,0.295,0.539,48,1,3,2,0,0,2,0.233,102,52,18
Platoon Splits,vs LHP,43,,78,69,8,11,2,1,1,8,2,1,9,20,0.159,0.256,0.261,0.517,18,0,0,0,0,0,0,0.208,95,46,7
Platoon Splits,vs RHP as RHB,60,,178,163,,30,8,2,2,14,0,0,10,41,0.184,0.244,0.295,0.539,48,1,3,2,0,0,2,0.233,102,56,18
Platoon Splits,vs LHP as RHB,43,,78,69,,11,2,1,1,8,0,0,9,20,0.159,0.256,0.261,0.517,18,0,0,0,0,0,0,0.208,95,43,7
Platoon Splits,vs RH Starter,57,40,179,159,11,31,7,3,3,17,8,2,15,41,0.195,0.277,0.333,0.61,53,1,3,2,0,0,2,0.244,129,72,18
Platoon Splits,vs LH Starter,20,20,77,73,4,10,3,0,0,5,3,1,4,20,0.137,0.182,0.178,0.36,13,0,0,0,0,0,0,0.189,36,2,7
Home or Away,Home,43,37,150,135,9,25,8,3,1,15,8,0,11,31,0.185,0.257,0.311,0.568,42,0,2,2,0,0,1,0.233,113,58,13
Home or Away,Away,34,23,106,97,6,16,2,0,2,7,3,3,8,30,0.165,0.236,0.247,0.483,24,1,1,0,0,0,1,0.215,82,39,12
First or Second Half,1st Half,52,40,168,152,10,27,6,1,3,18,7,2,13,43,0.178,0.252,0.29,0.541,44,0,2,1,0,0,2,0.226,103,53,17
First or Second Half,2nd Half,25,20,88,80,5,14,4,2,0,4,4,1,6,18,0.175,0.241,0.275,0.516,22,1,1,1,0,0,0,0.226,94,44,8
Months,May,25,20,84,72,6,14,3,1,2,14,4,1,10,16,0.194,0.31,0.347,0.657,25,0,2,0,0,0,0,0.222,147,90,8
Months,June,18,14,58,55,2,7,1,0,0,1,2,1,2,17,0.127,0.158,0.146,0.303,8,0,0,1,0,0,1,0.184,15,-14,6
Months,July,18,13,58,53,4,12,3,2,1,5,2,1,4,17,0.226,0.293,0.415,0.708,22,0,1,0,0,0,1,0.314,164,92,6
Months,August,16,13,56,52,3,8,3,0,0,2,3,0,3,11,0.154,0.2,0.212,0.412,11,1,0,1,0,0,0,0.195,55,16,5
Game Outcome for Team,in Wins,42,33,144,129,12,26,4,1,3,17,8,2,12,34,0.202,0.275,0.318,0.592,41,1,1,2,0,0,1,0.25,123,44,18
Game Outcome for Team,in Losses,35,27,112,103,3,15,6,2,0,5,3,1,7,27,0.146,0.214,0.243,0.457,25,0,2,0,0,0,1,0.197,72,56,7
Starter or Substitute,as Starter,60,60,240,221,13,40,10,3,3,21,10,2,14,59,0.181,0.24,0.294,0.534,65,1,3,2,0,0,2,0.233,100,50,24
Starter or Substitute,as Sub,17,0,16,11,2,1,0,0,0,1,1,1,5,2,0.091,0.375,0.091,0.466,1,0,0,0,0,0,0,0.111,83,50,1
Defensive Positions,as LF,10,,35,30,3,7,3,0,0,2,0,0,4,5,0.233,0.324,0.333,0.657,10,0,0,1,0,0,0,0.28,148,88,4
Defensive Positions,as CF,25,,88,81,6,19,3,3,2,14,5,1,5,25,0.235,0.296,0.42,0.715,34,1,2,0,0,0,1,0.315,167,105,11
Defensive Positions,as RF,36,,123,114,5,15,4,0,1,6,5,2,7,29,0.132,0.189,0.193,0.382,22,0,1,1,0,0,1,0.167,44,6,10
Defensive Positions,as DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,10,,10,7,,0,0,0,0,0,0,0,3,2,0.0,0.3,0.0,0.3,0,0,0,0,0,0,0,0.0,21,2,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,1,,,,,,1,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,2,,2,2,,0,0,0,0,0,,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,38,,51,45,,5,0,0,1,1,,,5,11,0.111,0.2,0.178,0.378,8,0,0,1,0,0,0,0.121,43,11,4
Batting Order Positions,Batting 1st,2,2,8,8,0,2,1,0,0,1,1,0,0,3,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.4,133,69,1
Batting Order Positions,Batting 2nd,3,1,9,9,0,1,0,0,0,1,0,0,0,4,0.111,0.111,0.111,0.222,1,0,0,0,0,0,0,0.2,-16,-41,1
Batting Order Positions,Batting 3rd,1,1,4,2,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0.0,102,49,0
Batting Order Positions,Batting 4th,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
