Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,32,31,114,107,6,23,4,0,2,10,3,0,6,40,0.215,0.254,0.308,0.563,33,0,0,0,1,1,1,0.318,100,58,17
Season Totals,Last 7 days,6,6,21,17,1,3,0,0,0,0,1,0,4,6,0.177,0.333,0.177,0.51,3,0,0,0,0,0,1,0.273,88,56,3
Season Totals,Last 14 days,9,9,33,28,2,8,0,0,0,2,1,0,5,10,0.286,0.394,0.286,0.68,8,0,0,0,0,0,1,0.444,148,99,8
Season Totals,Last 28 days,9,9,33,28,2,8,0,0,0,2,1,0,5,10,0.286,0.394,0.286,0.68,8,0,0,0,0,0,1,0.444,148,94,8
Season Totals,Last 365 days,32,31,114,107,6,23,4,0,2,10,3,0,6,40,0.215,0.254,0.308,0.563,33,0,0,0,1,1,1,0.318,100,,17
Platoon Splits,vs RHP,28,,77,73,6,17,3,0,2,9,2,0,3,30,0.233,0.26,0.356,0.616,26,0,0,0,1,0,1,0.357,118,73,12
Platoon Splits,vs LHP,16,,37,34,0,6,1,0,0,1,1,0,3,10,0.177,0.243,0.206,0.449,7,0,0,0,0,1,0,0.25,63,28,5
Platoon Splits,vs RHP as RHB,28,,77,73,,17,3,0,2,9,0,0,3,30,0.233,0.26,0.356,0.616,26,0,0,0,1,0,1,0.357,118,78,12
Platoon Splits,vs LHP as RHB,16,,37,34,,6,1,0,0,1,0,0,3,10,0.177,0.243,0.206,0.449,7,0,0,0,0,1,0,0.25,63,25,5
Platoon Splits,vs RH Starter,20,19,69,66,5,17,3,0,2,9,2,0,2,25,0.258,0.275,0.394,0.669,26,0,0,0,1,0,0,0.375,136,86,12
Platoon Splits,vs LH Starter,12,12,45,41,1,6,1,0,0,1,1,0,4,15,0.146,0.222,0.171,0.393,7,0,0,0,0,1,1,0.231,43,13,5
Home or Away,Home,11,10,34,31,4,9,2,0,0,1,1,0,3,10,0.29,0.353,0.355,0.708,11,0,0,0,0,1,0,0.429,154,99,7
Home or Away,Away,21,21,80,76,2,14,2,0,2,9,2,0,3,30,0.184,0.213,0.29,0.502,22,0,0,0,1,0,1,0.267,78,42,10
First or Second Half,1st Half,23,22,81,79,4,15,4,0,2,8,2,0,1,30,0.19,0.198,0.317,0.514,25,0,0,0,1,1,0,0.271,81,43,9
First or Second Half,2nd Half,9,9,33,28,2,8,0,0,0,2,1,0,5,10,0.286,0.394,0.286,0.68,8,0,0,0,0,0,1,0.444,148,95,8
Months,April/March,1,1,4,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,2,0,0,0,0,0,0,0.667,259,189,2
Months,May,22,21,77,75,4,13,4,0,2,8,2,0,1,29,0.173,0.182,0.307,0.489,23,0,0,0,1,1,0,0.244,71,38,7
Months,August,9,9,33,28,2,8,0,0,0,2,1,0,5,10,0.286,0.394,0.286,0.68,8,0,0,0,0,0,1,0.444,148,96,8
Game Outcome for Team,in Wins,13,12,48,45,4,12,2,0,1,7,1,0,3,14,0.267,0.313,0.378,0.69,17,0,0,0,0,1,1,0.367,146,67,9
Game Outcome for Team,in Losses,19,19,66,62,2,11,2,0,1,3,2,0,3,26,0.177,0.212,0.258,0.47,16,0,0,0,1,0,0,0.278,67,60,8
Starter or Substitute,as Starter,31,31,114,107,6,23,4,0,2,10,3,0,6,40,0.215,0.254,0.308,0.563,33,0,0,0,1,1,1,0.318,100,58,17
Starter or Substitute,as Sub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Defensive Positions,as LF,25,,97,92,6,20,3,0,2,10,2,0,4,36,0.217,0.247,0.315,0.563,29,0,0,0,1,1,0,0.327,100,58,15
Defensive Positions,as CF,2,,7,7,0,2,1,0,0,0,1,0,0,3,0.286,0.286,0.429,0.714,3,0,0,0,0,0,0,0.5,152,104,1
Defensive Positions,as RF,3,,10,8,,1,0,0,0,0,0,0,2,1,0.125,0.3,0.125,0.425,1,0,0,0,0,0,1,0.143,59,25,1
