Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,18,404.0,365,64.0,113,31,2,10,9,4,35,63,1.8,0.31,0.37,0.488,0.857,178.0,8.0,1.0,0,2,1,0,0.35,100,140,70
Season Totals,Last 7 days,1,26.0,23,3.0,5,2,0,0,0,0,3,8,2.67,0.217,0.308,0.304,0.612,7.0,0.0,0.0,0,0,0,0,0.333,46,79,3
Season Totals,Last 14 days,2,54.0,47,7.0,13,5,0,0,0,1,6,12,2.0,0.277,0.37,0.383,0.753,18.0,0.0,1.0,0,0,1,0,0.371,79,112,8
Season Totals,Last 28 days,4,88.0,76,14.0,23,7,0,2,1,2,11,16,1.45,0.303,0.398,0.474,0.871,36.0,1.0,1.0,0,0,1,0,0.362,105,140,14
Season Totals,Last 365 days,26,598.0,548,80.0,155,39,2,14,11,4,46,101,2.2,0.283,0.338,0.438,0.776,240.0,14.0,1.0,0,2,1,0,0.324,81,,100
Platoon Splits,vs RHB,18,338.0,305,56.0,98,26,2,10,9,3,29,46,1.59,0.321,0.38,0.518,0.898,158.0,7.0,1.0,0,2,1,0,0.351,109,154,60
Platoon Splits,vs LHB,16,66.0,60,4.0,15,5,0,0,0,1,6,17,2.83,0.25,0.318,0.333,0.652,20.0,1.0,0.0,0,0,0,0,0.349,54,82,10
Platoon Splits,vs RHB as LHP,18,338.0,305,56.0,98,26,2,10,9,3,29,46,1.59,0.321,0.38,0.518,0.898,158.0,7.0,1.0,0,2,1,0,0.351,109,143,60
Platoon Splits,vs LHB as LHP,16,66.0,60,4.0,15,5,0,0,0,1,6,17,2.83,0.25,0.318,0.333,0.652,20.0,1.0,0.0,0,0,0,0,0.349,54,95,10
Home or Away,Home,11,247.0,218,46.0,76,18,1,7,4,3,25,40,1.6,0.349,0.415,0.537,0.951,117.0,6.0,1.0,0,2,1,0,0.399,122,171,50
Home or Away,Away,7,157.0,147,18.0,37,13,1,3,5,1,10,23,2.3,0.252,0.299,0.415,0.714,61.0,2.0,0.0,0,0,0,0,0.281,66,97,20
