Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,89,86,355,315,35,70,9,0,12,36,3,2,36,112,0.222,0.307,0.365,0.672,115,10,3,0,1,1,1,0.302,100,89,49
Season Totals,Last 7 days,6,6,24,22,1,7,2,0,0,4,0,0,2,11,0.318,0.375,0.409,0.784,9,1,0,0,0,0,0,0.636,134,131,5
Season Totals,Last 14 days,11,11,46,40,6,12,3,0,2,7,0,0,6,16,0.3,0.391,0.525,0.916,21,1,0,0,0,0,0,0.455,171,158,7
Season Totals,Last 28 days,21,21,87,76,13,22,4,0,5,15,1,0,10,29,0.29,0.368,0.54,0.907,41,2,0,0,1,0,0,0.395,168,147,13
Season Totals,Last 365 days,116,113,476,419,53,99,15,0,18,55,4,2,52,143,0.236,0.324,0.401,0.725,168,11,3,0,2,1,1,0.312,115,,66
Platoon Splits,vs RHP,85,,266,230,28,49,7,0,10,27,2,1,32,91,0.213,0.316,0.374,0.69,86,7,3,0,1,1,1,0.3,105,95,32
Platoon Splits,vs LHP,39,,89,85,7,21,2,0,2,9,1,1,4,21,0.247,0.281,0.341,0.622,29,3,0,0,0,0,0,0.307,85,74,17
Platoon Splits,vs RHP as LHB,85,,266,230,,49,7,0,10,27,0,0,32,91,0.213,0.316,0.374,0.69,86,7,3,0,1,1,1,0.3,105,89,32
Platoon Splits,vs LHP as RHB,39,,89,85,,21,2,0,2,9,0,0,4,21,0.247,0.281,0.341,0.622,29,3,0,0,0,0,0,0.307,85,70,17
Platoon Splits,vs RH Starter,67,64,266,231,27,53,6,0,10,28,2,1,31,89,0.229,0.327,0.385,0.712,89,7,3,0,1,1,1,0.323,112,101,37
Platoon Splits,vs LH Starter,22,22,89,84,8,17,3,0,2,8,1,1,5,23,0.202,0.247,0.31,0.557,26,3,0,0,0,0,0,0.254,65,56,12
Home or Away,Home,43,42,170,150,14,33,5,0,5,14,1,1,17,59,0.22,0.312,0.353,0.665,53,2,3,0,0,0,0,0.326,98,86,23
Home or Away,Away,46,44,185,165,21,37,4,0,7,22,2,1,19,53,0.224,0.303,0.376,0.679,62,8,0,0,1,1,1,0.283,102,94,26
First or Second Half,1st Half,61,58,239,213,18,42,3,0,5,18,2,2,23,78,0.197,0.285,0.282,0.566,60,8,3,0,0,1,1,0.285,70,62,34
First or Second Half,2nd Half,28,28,116,102,17,28,6,0,7,18,1,0,13,34,0.275,0.353,0.539,0.893,55,2,0,0,1,0,0,0.339,163,144,15
Months,April/March,30,29,121,100,11,17,0,0,4,10,1,2,20,37,0.17,0.314,0.29,0.604,29,1,1,0,0,1,0,0.22,82,75,13
Months,May,16,15,60,59,4,14,2,0,1,4,0,0,1,19,0.237,0.25,0.322,0.572,19,3,0,0,0,0,0,0.333,70,64,11
Months,June,5,5,19,19,1,4,1,0,0,1,1,0,0,8,0.211,0.211,0.263,0.474,5,0,0,0,0,0,0,0.364,41,32,3
Months,July,22,21,89,79,12,19,3,0,5,12,1,0,7,25,0.241,0.315,0.468,0.783,37,4,2,0,1,0,1,0.28,131,112,11
