Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,123,554,512,73,153,22,0,17,55,18,6,37,98,0.299,0.352,0.441,0.793,226,11,5,0,0,2,3,0.343,100,123,114
Season Totals,Last 7 days,6,6,28,24,6,8,0,0,2,5,3,1,3,3,0.333,0.429,0.583,1.012,14,2,1,0,0,1,0,0.316,154,195,6
Season Totals,Last 14 days,12,12,56,52,9,14,1,0,2,5,3,1,3,8,0.269,0.321,0.404,0.725,21,3,1,0,0,1,0,0.286,83,105,11
Season Totals,Last 28 days,24,24,111,98,14,26,3,0,3,9,3,2,12,14,0.265,0.351,0.388,0.739,38,4,1,0,0,1,0,0.284,88,105,20
Season Totals,Last 365 days,157,156,706,651,102,195,29,1,25,77,19,6,47,125,0.3,0.354,0.462,0.817,301,15,8,0,0,2,3,0.339,105,,140
Platoon Splits,vs RHP,120,,414,384,50,108,14,0,13,43,13,3,28,73,0.281,0.333,0.419,0.753,161,8,2,0,0,1,1,0.319,90,112,81
Platoon Splits,vs LHP,58,,140,128,23,45,8,0,4,12,5,3,9,25,0.352,0.407,0.508,0.915,65,3,3,0,0,1,2,0.414,131,156,33
Platoon Splits,vs RHP as RHB,120,,414,384,,108,14,0,13,43,0,0,28,73,0.281,0.333,0.419,0.753,161,8,2,0,0,1,1,0.319,90,118,81
Platoon Splits,vs LHP as RHB,58,,140,128,,45,8,0,4,12,0,0,9,25,0.352,0.407,0.508,0.915,65,3,3,0,0,1,2,0.414,131,149,33
Platoon Splits,vs RH Starter,87,86,382,351,46,97,12,0,10,33,11,4,29,66,0.276,0.335,0.396,0.731,139,7,2,0,0,2,1,0.316,85,106,75
Platoon Splits,vs LH Starter,37,37,172,161,27,56,10,0,7,22,7,2,8,32,0.348,0.39,0.54,0.93,87,4,3,0,0,0,2,0.402,133,159,39
Home or Away,Home,63,62,276,255,41,77,16,0,11,31,14,4,19,47,0.302,0.355,0.494,0.849,126,6,2,0,0,2,1,0.335,113,134,50
Home or Away,Away,61,61,278,257,32,76,6,0,6,24,4,2,18,51,0.296,0.349,0.389,0.738,100,5,3,0,0,0,2,0.35,87,112,64
First or Second Half,1st Half,93,92,415,386,56,118,18,0,14,44,15,3,25,80,0.306,0.354,0.461,0.815,178,6,4,0,0,1,2,0.356,105,130,86
First or Second Half,2nd Half,31,31,139,126,17,35,4,0,3,11,3,3,12,18,0.278,0.345,0.381,0.726,48,5,1,0,0,1,1,0.305,84,103,28
Months,April/March,29,29,133,119,22,41,9,0,7,9,4,1,13,18,0.345,0.414,0.597,1.01,71,3,1,0,0,0,0,0.362,153,187,25
Months,May,28,28,123,118,12,28,2,0,2,11,4,1,3,28,0.237,0.268,0.305,0.573,36,3,2,0,0,1,0,0.296,45,66,24
Months,June,25,24,109,102,16,34,6,0,4,17,5,1,7,23,0.333,0.376,0.51,0.886,52,0,0,0,0,0,1,0.4,123,145,24
Months,July,23,23,101,95,10,30,4,0,1,10,2,2,5,18,0.316,0.356,0.39,0.746,37,2,1,0,0,0,2,0.382,89,106,25
Months,August,19,19,88,78,13,20,1,0,3,8,3,1,9,11,0.256,0.341,0.385,0.726,30,3,1,0,0,1,0,0.266,84,103,16
Game Outcome for Team,in Wins,67,67,310,284,52,86,11,0,10,38,14,5,23,56,0.303,0.361,0.447,0.809,127,7,3,0,0,1,1,0.349,104,95,65
Game Outcome for Team,in Losses,57,56,244,228,21,67,11,0,7,17,4,1,14,42,0.294,0.34,0.434,0.774,99,4,2,0,0,1,2,0.335,95,162,49
Starter or Substitute,as Starter,123,123,553,511,73,153,22,0,17,55,18,6,37,97,0.299,0.353,0.442,0.795,226,11,5,0,0,2,3,0.343,101,123,114
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as 2B,120,,540,500,70,148,22,0,16,54,18,5,35,95,0.296,0.348,0.436,0.784,218,11,5,0,0,2,3,0.339,98,130,110
Defensive Positions,as DH,3,,13,11,3,5,0,0,1,1,0,1,2,2,0.455,0.539,0.727,1.266,8,0,0,0,0,0,0,0.5,218,237,4
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
