Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,53,40,166,152,22,51,11,1,3,20,2,1,10,21,0.336,0.386,0.48,0.866,73,2,3,0,1,1,1,0.372,100,143,36
Season Totals,Last 7 days,3,3,12,9,0,4,0,0,0,0,0,0,3,2,0.444,0.583,0.444,1.028,4,0,0,0,0,0,0,0.571,144,205,4
Season Totals,Last 14 days,7,7,29,24,2,8,1,0,0,3,0,0,4,3,0.333,0.414,0.375,0.789,9,0,0,0,1,0,0,0.364,85,124,7
Season Totals,Last 28 days,18,16,66,59,6,15,3,0,0,3,0,0,5,12,0.254,0.318,0.305,0.623,18,1,1,0,1,0,1,0.313,46,74,12
Season Totals,Last 365 days,53,40,166,152,22,51,11,1,3,20,2,1,10,21,0.336,0.386,0.48,0.866,73,2,3,0,1,1,1,0.372,100,,36
Platoon Splits,vs RHP,38,,105,96,10,29,4,1,3,15,0,1,7,13,0.302,0.352,0.458,0.811,44,2,1,0,1,0,0,0.321,87,128,21
Platoon Splits,vs LHP,32,,61,56,12,22,7,0,0,5,2,0,3,8,0.393,0.443,0.518,0.961,29,0,2,0,0,1,1,0.458,123,169,15
Platoon Splits,vs RHP as RHB,38,,105,96,,29,4,1,3,15,0,0,7,13,0.302,0.352,0.458,0.811,44,2,1,0,1,0,0,0.321,87,134,21
Platoon Splits,vs LHP as RHB,32,,61,56,,22,7,0,0,5,0,0,3,8,0.393,0.443,0.518,0.961,29,0,2,0,0,1,1,0.458,123,163,15
Platoon Splits,vs RH Starter,33,20,87,77,10,24,2,1,2,6,1,1,8,9,0.312,0.391,0.442,0.832,34,2,2,0,0,1,0,0.333,93,136,19
Platoon Splits,vs LH Starter,20,20,79,75,12,27,9,0,1,14,1,0,2,12,0.36,0.38,0.52,0.9,39,0,1,0,1,0,1,0.413,107,151,17
Home or Away,Home,23,16,65,59,9,24,5,0,2,7,0,0,4,10,0.407,0.462,0.593,1.055,35,1,2,0,0,0,0,0.468,143,192,17
Home or Away,Away,30,24,101,93,13,27,6,1,1,13,2,1,6,11,0.29,0.337,0.409,0.745,38,1,1,0,1,1,1,0.317,73,113,19
