Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,96,84,346,322,40,98,26,3,9,46,2,2,16,48,0.304,0.344,0.488,0.832,157,9,5,0,3,1,3,0.332,100,132,60
Season Totals,Last 7 days,7,5,23,22,1,4,1,1,0,0,0,1,1,3,0.182,0.217,0.318,0.536,7,0,0,0,0,0,0,0.211,28,53,2
Season Totals,Last 14 days,13,10,44,43,3,9,3,2,0,2,0,1,1,6,0.209,0.227,0.372,0.599,16,0,0,0,0,0,1,0.243,42,64,4
Season Totals,Last 28 days,20,17,70,67,5,15,5,2,0,3,0,1,2,11,0.224,0.257,0.358,0.615,24,1,1,0,0,0,1,0.268,48,67,8
Season Totals,Last 365 days,96,84,346,322,40,98,26,3,9,46,2,2,16,48,0.304,0.344,0.488,0.832,157,9,5,0,3,1,3,0.332,100,,60
Platoon Splits,vs RHP,84,,233,215,31,73,20,3,7,32,2,2,12,27,0.34,0.382,0.558,0.94,120,6,4,0,2,1,3,0.361,125,162,43
Platoon Splits,vs LHP,56,,113,107,9,25,6,0,2,14,0,0,4,21,0.234,0.266,0.346,0.611,37,3,1,0,1,0,0,0.271,48,70,17
Platoon Splits,vs RHP as RHB,84,,233,215,,73,20,3,7,32,0,0,12,27,0.34,0.382,0.558,0.94,120,6,4,0,2,1,3,0.361,125,170,43
Platoon Splits,vs LHP as RHB,56,,113,107,,25,6,0,2,14,0,0,4,21,0.234,0.266,0.346,0.611,37,3,1,0,1,0,0,0.271,48,66,17
Platoon Splits,vs RH Starter,64,52,223,207,31,66,18,2,7,29,2,1,11,27,0.319,0.363,0.527,0.89,109,5,4,0,1,1,3,0.339,114,148,39
Platoon Splits,vs LH Starter,32,32,123,115,9,32,8,1,2,17,0,1,5,21,0.278,0.309,0.417,0.726,48,4,1,0,2,0,0,0.319,75,102,21
Home or Away,Home,46,39,163,154,25,49,13,1,5,21,0,1,6,22,0.318,0.35,0.513,0.863,79,5,2,0,1,0,3,0.344,107,137,30
Home or Away,Away,50,45,183,168,15,49,13,2,4,25,2,1,10,26,0.292,0.339,0.464,0.803,78,4,3,0,2,1,0,0.321,94,128,30
First or Second Half,1st Half,76,67,276,255,35,83,21,1,9,43,2,1,14,37,0.326,0.366,0.522,0.888,133,8,4,0,3,1,2,0.349,113,149,52
First or Second Half,2nd Half,20,17,70,67,5,15,5,2,0,3,0,1,2,11,0.224,0.257,0.358,0.615,24,1,1,0,0,0,1,0.268,48,69,8
Months,April/March,17,14,52,50,3,14,4,0,2,6,1,0,1,9,0.28,0.308,0.48,0.788,24,2,1,0,0,0,0,0.308,88,123,8
Months,May,25,24,91,85,15,23,4,0,3,11,0,0,4,13,0.271,0.308,0.424,0.731,36,2,1,0,1,0,2,0.286,76,110,16
Months,June,25,21,98,87,10,29,8,1,3,20,1,0,8,12,0.333,0.388,0.552,0.94,48,3,1,0,2,1,0,0.351,126,160,17
Months,July,12,11,44,41,7,18,5,0,1,6,0,1,1,7,0.439,0.477,0.634,1.111,26,1,2,0,0,0,0,0.515,169,203,12
Months,August,17,14,61,59,5,14,5,2,0,3,0,1,2,7,0.237,0.262,0.39,0.652,23,1,0,0,0,0,1,0.269,56,79,7
Game Outcome for Team,in Wins,53,46,193,174,29,64,21,1,5,35,1,1,13,24,0.368,0.42,0.586,1.006,102,6,4,0,2,1,2,0.401,142,141,37
Game Outcome for Team,in Losses,43,38,153,148,11,34,5,2,4,11,1,1,3,24,0.23,0.248,0.372,0.62,55,3,1,0,1,0,1,0.248,48,109,23
Starter or Substitute,as Starter,84,84,327,304,38,93,25,3,8,43,2,1,15,47,0.306,0.346,0.487,0.832,148,9,5,0,3,1,3,0.337,100,132,57
Starter or Substitute,as Sub,12,0,19,18,2,5,1,0,1,3,0,1,1,1,0.278,0.316,0.5,0.816,9,0,0,0,0,0,0,0.25,94,147,3
Defensive Positions,as 1B,8,,35,35,6,12,6,0,0,4,0,0,0,6,0.343,0.343,0.514,0.857,18,2,0,0,0,0,0,0.414,105,132,6
Defensive Positions,as 3B,64,,246,230,27,70,19,2,7,36,2,1,10,35,0.304,0.346,0.496,0.841,114,6,5,0,1,1,3,0.333,102,137,42
Defensive Positions,as DH,20,,61,53,7,15,1,1,2,6,0,0,6,7,0.283,0.344,0.453,0.797,24,1,0,0,2,0,0,0.283,93,113,11
Defensive Positions,as PH,11,,11,10,0,1,0,0,0,0,0,1,1,0,0.1,0.182,0.1,0.282,1,0,0,0,0,0,0,0.1,-27,-9,1
Defensive Positions,as PH for DH,7,,7,6,,0,0,0,0,0,0,0,1,0,0.0,0.143,0.0,0.143,0,0,0,0,0,0,0,0.0,-58,-60,0
Leading Off Inning,Leadoff Inn.,52,,66,62,,12,4,0,1,1,,,4,13,0.194,0.242,0.307,0.549,19,0,0,0,0,0,0,0.229,33,57,7
