Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,105,95,370,328,41,64,14,0,15,39,12,7,28,136,0.195,0.268,0.375,0.643,123,5,6,2,4,0,1,0.271,100,79,35
Season Totals,Last 7 days,4,3,12,11,1,1,0,0,1,1,0,0,1,5,0.091,0.167,0.364,0.53,4,0,0,0,0,0,0,0.0,59,48,0
Season Totals,Last 14 days,10,7,28,25,1,2,0,0,1,2,0,0,3,15,0.08,0.179,0.2,0.379,5,0,0,0,0,0,0,0.111,20,6,1
Season Totals,Last 28 days,19,15,60,54,1,8,1,0,1,4,3,1,4,27,0.148,0.22,0.222,0.443,12,1,1,0,0,0,0,0.269,41,23,6
Season Totals,Last 365 days,121,109,430,383,52,77,17,1,16,44,16,7,31,154,0.201,0.272,0.376,0.648,144,7,8,2,4,0,1,0.281,102,,43
Platoon Splits,vs RHP,95,,268,239,26,45,9,0,10,23,10,6,19,103,0.188,0.264,0.352,0.616,84,5,6,2,1,0,0,0.276,92,73,26
Platoon Splits,vs LHP,52,,102,89,15,19,5,0,5,16,2,1,9,33,0.214,0.277,0.438,0.715,39,0,0,0,3,0,1,0.259,120,97,9
Platoon Splits,vs RHP as RHB,95,,268,239,,45,9,0,10,23,0,0,19,103,0.188,0.264,0.352,0.616,84,5,6,2,1,0,0,0.276,92,78,26
Platoon Splits,vs LHP as RHB,52,,102,89,,19,5,0,5,16,0,0,9,33,0.214,0.277,0.438,0.715,39,0,0,0,3,0,1,0.259,120,92,9
Platoon Splits,vs RH Starter,76,67,257,228,24,44,8,0,9,24,9,5,18,100,0.193,0.269,0.347,0.615,79,4,6,2,1,0,0,0.292,93,73,27
Platoon Splits,vs LH Starter,29,28,113,100,17,20,6,0,6,15,3,2,10,36,0.2,0.266,0.44,0.706,44,1,0,0,3,0,1,0.23,116,94,8
Home or Away,Home,55,50,190,168,22,29,4,0,9,22,6,4,12,73,0.173,0.241,0.357,0.598,60,2,4,1,3,0,0,0.225,85,64,16
Home or Away,Away,50,45,180,160,19,35,10,0,6,17,6,3,16,63,0.219,0.296,0.394,0.69,63,3,2,1,1,0,1,0.315,116,96,19
First or Second Half,1st Half,81,75,291,256,38,52,13,0,12,32,9,6,23,102,0.203,0.278,0.395,0.672,101,3,5,2,4,0,1,0.274,109,89,27
First or Second Half,2nd Half,24,20,79,72,3,12,1,0,3,7,3,1,5,34,0.167,0.231,0.306,0.536,22,2,1,0,0,0,0,0.257,68,48,8
Months,April/March,29,27,99,86,11,16,4,0,2,7,6,3,8,41,0.186,0.276,0.302,0.578,26,1,3,0,1,0,1,0.318,84,66,10
Months,May,17,16,59,49,7,9,1,0,3,10,1,2,5,16,0.184,0.281,0.388,0.669,19,0,2,2,1,0,0,0.194,108,92,5
Months,June,25,23,95,86,18,22,6,0,6,13,0,1,8,33,0.256,0.316,0.535,0.851,46,0,0,0,1,0,0,0.333,161,132,10
Months,July,20,18,73,67,4,10,2,0,3,7,3,1,3,25,0.149,0.194,0.313,0.508,21,3,1,0,1,0,0,0.175,56,36,5
Months,August,14,11,44,40,1,7,1,0,1,2,2,0,4,21,0.175,0.25,0.275,0.525,11,1,0,0,0,0,0,0.333,67,47,5
Game Outcome for Team,in Wins,55,49,200,175,26,36,10,0,9,24,7,4,17,61,0.206,0.279,0.417,0.696,73,4,2,1,3,0,0,0.25,115,66,17
Game Outcome for Team,in Losses,50,46,170,153,15,28,4,0,6,15,5,3,11,75,0.183,0.254,0.327,0.581,50,1,4,1,1,0,1,0.301,82,97,18
Starter or Substitute,as Starter,95,95,359,319,41,64,14,0,15,38,12,7,26,132,0.201,0.27,0.386,0.656,123,5,6,2,4,0,1,0.278,104,82,35
Starter or Substitute,as Sub,10,0,11,9,0,0,0,0,0,1,0,0,2,4,0.0,0.182,0.0,0.182,0,0,0,0,0,0,0,0.0,-32,-40,0
Defensive Positions,as 1B,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as CF,100,,364,324,41,64,14,0,15,38,12,7,26,136,0.198,0.267,0.38,0.646,123,5,6,2,4,0,1,0.277,101,85,35
Defensive Positions,as PH,5,,5,3,,0,0,0,0,1,0,0,2,0,0.0,0.4,0.0,0.4,0,0,0,0,0,0,0,0.0,49,36,0
Leading Off Inning,Leadoff Inn.,63,,94,84,,20,5,0,6,6,,,8,34,0.238,0.312,0.512,0.824,43,0,1,0,0,0,0,0.318,153,132,9
Batting Order Positions,Batting 1st,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 3rd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 4th,4,0,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,11,9,39,35,8,12,4,0,4,5,2,0,3,12,0.343,0.385,0.8,1.185,28,1,0,0,1,0,0,0.4,257,219,4
Batting Order Positions,Batting 6th,19,18,72,64,6,10,2,0,3,9,2,1,7,30,0.156,0.236,0.328,0.564,21,2,0,0,1,0,0,0.219,76,64,5
Batting Order Positions,Batting 7th,30,29,116,103,13,21,5,0,4,10,4,2,7,45,0.204,0.272,0.369,0.641,38,2,3,1,1,0,0,0.309,100,86,12
Batting Order Positions,Batting 8th,17,17,63,57,6,9,2,0,1,5,1,2,5,25,0.158,0.226,0.246,0.471,14,0,0,0,0,0,1,0.258,50,44,6
Batting Order Positions,Batting 9th,22,22,74,63,8,12,1,0,3,10,3,2,6,22,0.191,0.288,0.349,0.637,22,0,3,1,1,0,0,0.231,101,105,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,83,,151,143,,25,4,0,6,11,,,1,60,0.175,0.189,0.329,0.518,47,1,2,2,2,0,0,0.241,58,45,15
Swung or Took First Pitch of PA,Took 1st Pitch,99,,219,185,,39,10,0,9,28,,,27,76,0.211,0.321,0.411,0.732,76,4,4,0,2,0,1,0.294,129,104,20
Count/Balls-Strikes,First Pitch,27,,30,29,10,9,1,0,2,5,2,3,0,0,0.31,0.31,0.552,0.862,16,0,0,1,0,0,0,0.259,163,89,6
Count/Balls-Strikes,1-0 Count,14,,14,14,4,5,0,0,2,3,2,0,0,0,0.357,0.357,0.786,1.143,11,0,0,0,0,0,0,0.25,243,142,3
Count/Balls-Strikes,2-0 Count,4,,4,4,2,2,0,0,1,3,1,0,0,0,0.5,0.5,1.25,1.75,5,0,0,0,0,0,0,0.333,420,247,1
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,1,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,37,,41,38,4,12,4,0,3,5,1,3,0,0,0.316,0.308,0.658,0.966,25,3,0,1,1,0,0,0.25,190,122,5
Count/Balls-Strikes,1-1 Count,19,,21,21,4,8,2,0,1,2,2,0,0,0,0.381,0.381,0.619,1.0,13,0,0,0,0,0,0,0.35,207,135,5
Count/Balls-Strikes,2-1 Count,6,,7,6,4,2,0,0,2,3,1,0,0,0,0.333,0.286,1.333,1.619,8,1,0,0,1,0,0,0.0,362,211,0
Count/Balls-Strikes,3-1 Count,5,,5,2,1,2,2,0,0,3,0,1,2,0,1.0,0.8,2.0,2.8,4,0,0,0,1,0,0,0.667,732,328,0
Count/Balls-Strikes,0-2 Count,39,,45,44,5,6,1,0,0,2,1,0,0,26,0.136,0.133,0.159,0.292,7,0,0,0,1,0,0,0.316,-8,55,5
Count/Balls-Strikes,1-2 Count,62,,83,79,3,10,2,0,3,7,0,0,0,47,0.127,0.159,0.266,0.424,21,1,3,0,0,0,0,0.241,30,102,5
Count/Balls-Strikes,2-2 Count,48,,52,51,3,5,0,0,1,2,1,0,0,39,0.098,0.115,0.157,0.272,8,0,1,0,0,0,1,0.364,-15,22,4
Count/Balls-Strikes,Full Count,45,,64,40,1,3,2,0,0,4,1,0,23,24,0.075,0.422,0.125,0.547,5,0,1,0,0,0,0,0.188,91,30,1
Count/Balls-Strikes,After 1-0,73,,114,88,,21,5,0,7,17,,,21,31,0.239,0.398,0.534,0.932,47,1,3,0,1,0,1,0.275,191,131,9
Count/Balls-Strikes,After 2-0,30,,40,23,,7,3,0,3,9,,,15,8,0.304,0.6,0.826,1.426,19,0,2,0,0,0,1,0.333,344,199,1
Count/Balls-Strikes,After 3-0,12,,13,4,,0,0,0,0,0,,,8,3,0.0,0.692,0.0,0.692,0,0,1,0,0,0,0,0.0,158,-6,0
Count/Balls-Strikes,After 0-1,98,,225,210,,34,8,0,6,17,,,7,104,0.162,0.197,0.286,0.483,60,4,3,1,3,0,0,0.272,50,59,20
Count/Balls-Strikes,After 1-1,82,,132,120,,19,5,0,4,14,,,8,61,0.158,0.214,0.3,0.514,36,2,1,0,2,0,0,0.263,60,54,10
Count/Balls-Strikes,After 2-1,42,,56,43,,8,3,0,3,11,,,10,19,0.186,0.339,0.465,0.804,20,1,1,0,2,0,1,0.217,151,104,2
Count/Balls-Strikes,After 3-1,20,,24,13,,2,2,0,0,3,,,10,6,0.154,0.5,0.308,0.808,4,0,0,0,1,0,0,0.25,169,55,0
Count/Balls-Strikes,After 0-2,72,,112,103,,12,1,0,1,3,,,5,66,0.117,0.179,0.155,0.334,16,0,3,0,1,0,0,0.297,8,51,10
Count/Balls-Strikes,After 1-2,80,,145,130,,14,3,0,3,8,,,10,87,0.108,0.194,0.2,0.394,26,1,4,0,0,0,0,0.275,26,59,8
Count/Balls-Strikes,After 2-2,72,,96,79,,8,2,0,1,6,,,15,56,0.101,0.26,0.165,0.425,13,0,2,0,0,0,1,0.318,41,46,5
Count/Balls-Strikes,Zero Balls,81,,116,111,19,27,6,0,5,12,4,6,0,26,0.243,0.239,0.432,0.671,48,3,0,2,2,0,0,0.268,104,84,16
Count/Balls-Strikes,Zero Strikes,48,,52,47,16,16,1,0,5,11,5,3,3,0,0.34,0.392,0.681,1.073,32,0,1,1,0,0,0,0.262,228,120,10
Count/Balls-Strikes,Three Balls,51,,73,42,2,5,4,0,0,7,1,1,28,24,0.119,0.48,0.214,0.694,9,0,2,0,1,0,0,0.263,136,43,1
Count/Balls-Strikes,Two Strikes,99,,244,214,12,24,5,0,4,15,3,0,23,136,0.112,0.214,0.192,0.406,41,1,5,0,1,0,1,0.267,31,60,15
Count/Balls-Strikes,Batter Ahead,64,,98,66,12,14,4,0,5,16,5,1,28,24,0.212,0.449,0.5,0.949,33,1,2,0,2,0,0,0.231,201,98,5
Count/Balls-Strikes,Even Count,73,,103,101,17,22,3,0,4,9,5,3,0,39,0.218,0.226,0.366,0.592,37,0,1,1,0,0,1,0.31,82,69,15
Count/Balls-Strikes,Pitcher Ahead,85,,169,161,12,28,7,0,6,14,2,3,0,73,0.174,0.187,0.329,0.516,53,4,3,1,2,0,0,0.262,58,96,15
Number of Outs in Inning,0 outs,81,,141,126,11,28,7,0,6,12,4,3,10,56,0.222,0.283,0.421,0.703,53,2,1,2,1,0,0,0.339,118,94,15
Number of Outs in Inning,1 out,80,,124,109,17,17,4,0,6,18,2,3,7,47,0.156,0.234,0.358,0.592,39,3,5,0,3,0,0,0.186,83,63,7
Number of Outs in Inning,2 outs,76,,105,93,13,19,3,0,3,9,6,1,11,33,0.204,0.289,0.333,0.622,31,0,0,0,0,0,1,0.281,96,78,13
Bases Occupied,RISP,66,,99,80,26,11,2,0,1,21,5,2,11,36,0.138,0.247,0.2,0.447,16,1,2,2,4,0,1,0.213,46,23,8
Bases Occupied,---,95,,207,185,11,38,9,0,11,11,0,0,16,73,0.205,0.283,0.432,0.715,80,0,4,0,0,0,0,0.267,121,105,18
Bases Occupied,Men On,87,,163,143,30,26,5,0,4,28,12,7,12,63,0.182,0.248,0.301,0.549,43,5,2,2,4,0,1,0.275,73,48,17
