Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,63,52,198,176,23,42,5,0,8,27,1,0,17,33,0.239,0.31,0.403,0.713,71,11,2,1,2,0,1,0.248,100,100,29
Season Totals,Last 7 days,3,3,8,5,1,0,0,0,0,0,0,0,3,1,0.0,0.375,0.0,0.375,0,0,0,0,0,0,0,0.0,21,23,0
Season Totals,Last 14 days,4,4,12,8,1,1,1,0,0,0,1,0,4,1,0.125,0.417,0.25,0.667,2,0,0,0,0,0,0,0.143,97,97,0
Season Totals,Last 28 days,4,4,12,8,1,1,1,0,0,0,1,0,4,1,0.125,0.417,0.25,0.667,2,0,0,0,0,0,0,0.143,97,93,0
Season Totals,Last 365 days,63,52,198,176,23,42,5,0,8,27,1,0,17,33,0.239,0.31,0.403,0.713,71,11,2,1,2,0,1,0.248,100,,29
Platoon Splits,vs RHP,46,,110,101,10,27,3,0,4,16,1,0,7,19,0.267,0.318,0.416,0.734,42,6,1,0,1,0,1,0.291,106,106,20
Platoon Splits,vs LHP,44,,88,75,13,15,2,0,4,11,0,0,10,14,0.2,0.299,0.387,0.686,29,5,1,1,1,0,0,0.19,93,91,9
Platoon Splits,vs RHP as RHB,46,,110,101,,27,3,0,4,16,0,0,7,19,0.267,0.318,0.416,0.734,42,6,1,0,1,0,1,0.291,106,112,20
Platoon Splits,vs LHP as RHB,44,,88,75,,15,2,0,4,11,0,0,10,14,0.2,0.299,0.387,0.686,29,5,1,1,1,0,0,0.19,93,86,9
Platoon Splits,vs RH Starter,37,26,106,99,9,28,2,0,4,16,1,0,4,17,0.283,0.314,0.424,0.739,42,3,1,1,1,0,0,0.304,107,106,22
Platoon Splits,vs LH Starter,26,26,92,77,14,14,3,0,4,11,0,0,13,16,0.182,0.304,0.377,0.681,29,8,1,0,1,0,1,0.172,92,91,7
Home or Away,Home,30,26,94,82,7,15,1,0,2,5,0,0,11,15,0.183,0.287,0.268,0.556,22,7,1,0,0,0,0,0.2,59,57,12
Home or Away,Away,33,26,104,94,16,27,4,0,6,22,1,0,6,18,0.287,0.33,0.521,0.851,49,4,1,1,2,0,1,0.292,136,139,17
First or Second Half,1st Half,59,48,186,168,22,41,4,0,8,27,0,0,13,32,0.244,0.303,0.411,0.713,69,11,2,1,2,0,1,0.254,100,101,29
First or Second Half,2nd Half,4,4,12,8,1,1,1,0,0,0,1,0,4,1,0.125,0.417,0.25,0.667,2,0,0,0,0,0,0,0.143,97,94,0
