Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,25,102,98,9,25,4,1,4,9,1,0,3,31,0.255,0.275,0.439,0.713,43,0,0,0,1,0,0,0.328,100,98,16
Season Totals,Last 7 days,6,6,23,23,2,5,1,0,1,1,0,0,0,6,0.217,0.217,0.391,0.609,9,0,0,0,0,0,0,0.25,68,74,3
Season Totals,Last 14 days,13,13,53,52,2,12,1,0,1,2,0,0,0,17,0.231,0.226,0.308,0.534,16,0,0,0,1,0,0,0.314,52,50,10
Season Totals,Last 28 days,21,21,83,81,4,18,3,0,2,3,0,0,1,27,0.222,0.229,0.333,0.562,27,0,0,0,1,0,0,0.302,59,53,13
Season Totals,Last 365 days,38,38,156,149,14,35,5,1,5,12,1,0,5,47,0.235,0.263,0.383,0.645,57,1,1,0,1,0,0,0.306,83,,24
Platoon Splits,vs RHP,24,,84,82,7,22,3,1,4,9,1,0,1,24,0.268,0.274,0.476,0.749,39,0,0,0,1,0,0,0.327,108,107,14
Platoon Splits,vs LHP,6,,18,16,2,3,1,0,0,0,0,0,2,7,0.188,0.278,0.25,0.528,4,0,0,0,0,0,0,0.333,58,50,2
Platoon Splits,vs RHP as RHB,24,,84,82,,22,3,1,4,9,0,0,1,24,0.268,0.274,0.476,0.749,39,0,0,0,1,0,0,0.327,108,113,14
Platoon Splits,vs LHP as RHB,6,,18,16,,3,1,0,0,0,0,0,2,7,0.188,0.278,0.25,0.528,4,0,0,0,0,0,0,0.333,58,47,2
Platoon Splits,vs RH Starter,20,20,79,77,7,20,3,0,4,9,1,0,1,23,0.26,0.266,0.455,0.72,35,0,0,0,1,0,0,0.314,100,99,13
Platoon Splits,vs LH Starter,5,5,23,21,2,5,1,1,0,0,0,0,2,8,0.238,0.304,0.381,0.685,8,0,0,0,0,0,0,0.385,97,92,3
Home or Away,Home,16,16,66,62,6,15,3,1,3,5,0,0,3,22,0.242,0.273,0.468,0.74,29,0,0,0,1,0,0,0.316,106,101,8
Home or Away,Away,9,9,36,36,3,10,1,0,1,4,1,0,0,9,0.278,0.278,0.389,0.667,14,0,0,0,0,0,0,0.346,90,89,8
First or Second Half,1st Half,4,4,19,17,5,7,1,1,2,6,1,0,2,4,0.412,0.474,0.941,1.415,16,0,0,0,0,0,0,0.455,287,289,3
First or Second Half,2nd Half,21,21,83,81,4,18,3,0,2,3,0,0,1,27,0.222,0.229,0.333,0.562,27,0,0,0,1,0,0,0.302,59,54,13
Months,April/March,4,4,19,17,5,7,1,1,2,6,1,0,2,4,0.412,0.474,0.941,1.415,16,0,0,0,0,0,0,0.455,287,295,3
Months,July,2,2,6,6,0,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.167,-1,-7,1
Months,August,19,19,77,75,4,17,3,0,2,3,0,0,1,27,0.227,0.234,0.347,0.581,26,0,0,0,1,0,0,0.319,64,60,12
Game Outcome for Team,in Wins,10,10,43,40,8,12,3,0,3,7,1,0,3,11,0.3,0.349,0.6,0.949,24,0,0,0,0,0,0,0.346,164,124,6
Game Outcome for Team,in Losses,15,15,59,58,1,13,1,1,1,2,0,0,0,20,0.224,0.22,0.328,0.548,19,0,0,0,1,0,0,0.316,55,85,10
Starter or Substitute,as Starter,25,25,102,98,9,25,4,1,4,9,1,0,3,31,0.255,0.275,0.439,0.713,43,0,0,0,1,0,0,0.328,100,97,16
Defensive Positions,as 3B,21,,85,81,7,19,3,1,2,7,1,0,3,24,0.235,0.259,0.37,0.629,30,0,0,0,1,0,0,0.304,79,77,13
Defensive Positions,as DH,4,,17,17,2,6,1,0,2,2,0,0,0,7,0.353,0.353,0.765,1.118,13,0,0,0,0,0,0,0.5,203,189,3
Leading Off Inning,Leadoff Inn.,17,,22,22,,2,0,0,0,0,,,0,8,0.091,0.091,0.091,0.182,2,0,0,0,0,0,0,0.143,-46,-47,2
Batting Order Positions,Batting 3rd,2,2,10,8,2,2,1,1,0,0,0,0,2,2,0.25,0.4,0.625,1.025,5,0,0,0,0,0,0,0.333,188,159,0
Batting Order Positions,Batting 4th,6,6,27,26,0,6,1,0,0,0,0,0,1,11,0.231,0.259,0.269,0.529,7,0,0,0,0,0,0,0.4,56,46,5
Batting Order Positions,Batting 5th,2,2,9,9,3,5,0,0,2,6,1,0,0,2,0.556,0.556,1.222,1.778,11,0,0,0,0,0,0,0.6,381,377,3
Batting Order Positions,Batting 6th,13,13,50,49,4,11,2,0,2,3,0,0,0,16,0.225,0.22,0.388,0.608,19,0,0,0,1,0,0,0.281,68,74,7
Batting Order Positions,Batting 7th,2,2,6,6,0,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.167,-1,-2,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,21,,45,44,,11,4,0,2,4,,,0,12,0.25,0.244,0.477,0.722,21,0,0,0,1,0,0,0.29,97,99,5
Swung or Took First Pitch of PA,Took 1st Pitch,23,,57,54,,14,0,1,2,5,,,3,19,0.259,0.298,0.407,0.706,22,0,0,0,0,0,0,0.364,101,96,11
Count/Balls-Strikes,First Pitch,11,,14,14,1,3,0,0,0,0,0,0,0,0,0.214,0.214,0.214,0.429,3,0,0,0,0,0,0,0.214,27,1,3
Count/Balls-Strikes,1-0 Count,4,,6,6,1,2,0,0,1,3,0,0,0,0,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.2,211,143,1
Count/Balls-Strikes,2-0 Count,2,,2,2,,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,196,126,1
Count/Balls-Strikes,0-1 Count,9,,9,8,1,3,0,0,0,1,0,0,0,0,0.375,0.333,0.375,0.708,3,0,0,0,1,0,0,0.333,107,74,3
Count/Balls-Strikes,1-1 Count,6,,7,7,2,3,0,0,1,1,0,0,0,0,0.429,0.429,0.857,1.286,6,0,0,0,0,0,0,0.333,251,195,2
Count/Balls-Strikes,2-1 Count,6,,6,6,,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.167,-1,-23,1
Count/Balls-Strikes,3-1 Count,3,,3,2,,1,0,1,0,0,0,0,1,0,0.5,0.667,1.5,2.167,3,0,0,0,0,0,0,0.5,484,231,0
Count/Balls-Strikes,0-2 Count,12,,13,13,1,3,1,0,1,2,0,0,0,8,0.231,0.231,0.539,0.769,7,0,0,0,0,0,0,0.5,107,286,1
Count/Balls-Strikes,1-2 Count,12,,20,20,1,3,1,0,1,1,1,0,0,12,0.15,0.15,0.35,0.5,7,0,0,0,0,0,0,0.286,34,131,1
Count/Balls-Strikes,2-2 Count,10,,13,13,1,2,1,0,0,0,0,0,0,8,0.154,0.154,0.231,0.385,3,0,0,0,0,0,0,0.4,9,72,1
Count/Balls-Strikes,Full Count,8,,9,7,1,3,1,0,0,1,0,0,2,3,0.429,0.556,0.571,1.127,4,0,0,0,0,0,0,0.75,232,195,2
Count/Balls-Strikes,After 1-0,18,,30,28,,9,0,1,2,5,,,2,5,0.321,0.367,0.607,0.974,17,0,0,0,0,0,0,0.333,172,140,6
Count/Balls-Strikes,After 2-0,6,,8,8,,2,0,1,0,0,,,0,1,0.25,0.25,0.5,0.75,4,0,0,0,0,0,0,0.286,105,58,1
Count/Balls-Strikes,After 3-0,1,,1,1,,1,0,1,0,0,,,0,0,1.0,1.0,3.0,4.0,3,0,0,0,0,0,0,1.0,947,624,0
Count/Balls-Strikes,After 0-1,24,,58,56,,13,4,0,2,4,,,1,26,0.232,0.241,0.411,0.652,23,0,0,0,1,0,0,0.379,81,112,7
Count/Balls-Strikes,After 1-1,21,,38,35,,8,1,0,1,2,,,3,15,0.229,0.29,0.343,0.632,12,0,0,0,0,0,0,0.368,83,91,6
Count/Balls-Strikes,After 2-1,12,,18,16,,2,0,0,0,0,,,2,6,0.125,0.222,0.125,0.347,2,0,0,0,0,0,0,0.2,9,-11,2
Count/Balls-Strikes,After 3-1,5,,5,4,,1,0,1,0,0,,,1,1,0.25,0.4,0.75,1.15,3,0,0,0,0,0,0,0.333,216,138,0
Count/Balls-Strikes,After 0-2,20,,27,27,,7,3,0,2,3,,,0,15,0.259,0.259,0.593,0.852,16,0,0,0,0,0,0,0.5,129,264,2
Count/Balls-Strikes,After 1-2,17,,32,31,,7,3,0,1,2,,,1,17,0.226,0.25,0.419,0.669,13,0,0,0,0,0,0,0.462,86,166,3
Count/Balls-Strikes,After 2-2,14,,20,18,,5,2,0,0,1,,,2,10,0.278,0.35,0.389,0.739,7,0,0,0,0,0,0,0.625,116,154,3
Count/Balls-Strikes,Zero Balls,19,,36,35,3,9,1,0,1,3,0,0,0,8,0.257,0.25,0.371,0.621,13,0,0,0,1,0,0,0.296,75,74,7
Count/Balls-Strikes,Zero Strikes,15,,22,22,2,6,0,0,1,3,0,0,0,0,0.273,0.273,0.409,0.682,9,0,0,0,0,0,0,0.238,92,42,5
Count/Balls-Strikes,Three Balls,11,,12,9,1,4,1,1,0,1,0,0,3,3,0.444,0.583,0.778,1.361,7,0,0,0,0,0,0,0.667,289,207,2
Count/Balls-Strikes,Two Strikes,24,,55,53,4,11,4,0,2,4,1,0,2,31,0.208,0.236,0.396,0.633,21,0,0,0,0,0,0,0.45,76,145,5
Count/Balls-Strikes,Batter Ahead,17,,26,23,2,8,1,1,1,4,0,0,3,3,0.348,0.423,0.609,1.032,14,0,0,0,0,0,0,0.368,193,115,5
Count/Balls-Strikes,Even Count,20,,34,34,4,8,1,0,1,1,0,0,0,8,0.235,0.235,0.353,0.588,12,0,0,0,0,0,0,0.28,66,70,6
Count/Balls-Strikes,Pitcher Ahead,22,,42,41,3,9,2,0,2,4,1,0,0,20,0.22,0.214,0.415,0.629,17,0,0,0,1,0,0,0.35,72,136,5
Number of Outs in Inning,0 outs,19,,31,31,,5,1,0,0,0,0,0,0,9,0.161,0.161,0.194,0.355,6,0,0,0,0,0,0,0.227,3,-1,4
Number of Outs in Inning,1 out,22,,36,34,2,10,2,0,1,3,0,0,1,12,0.294,0.306,0.441,0.747,15,0,0,0,1,0,0,0.409,112,107,7
Number of Outs in Inning,2 outs,22,,35,33,7,10,1,1,3,6,1,0,2,10,0.303,0.343,0.667,1.01,22,0,0,0,0,0,0,0.35,177,182,5
Bases Occupied,RISP,12,,18,16,7,6,0,0,2,7,1,0,1,5,0.375,0.389,0.75,1.139,12,0,0,0,1,0,0,0.4,212,198,4
Bases Occupied,---,24,,61,59,2,14,3,1,2,2,0,0,2,22,0.237,0.262,0.424,0.686,25,0,0,0,0,0,0,0.343,92,96,8
Bases Occupied,Men On,22,,41,39,7,11,1,0,2,7,1,0,1,9,0.282,0.293,0.462,0.754,18,0,0,0,1,0,0,0.31,112,100,8
Bases Occupied,1--,18,,23,23,,5,1,0,0,0,0,0,0,4,0.217,0.217,0.261,0.478,6,0,0,0,0,0,0,0.263,38,30,4
Bases Occupied,-2-,4,,5,5,1,4,0,0,1,2,0,0,0,1,0.8,0.8,1.4,2.2,7,0,0,0,0,0,0,1.0,510,491,3
Bases Occupied,--3,2,,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,82,45,0
Bases Occupied,12-,3,,3,3,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,1-3,3,,2,2,2,1,0,0,0,1,1,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,196,153,1
Bases Occupied,-23,3,,3,3,2,1,0,0,1,3,0,0,0,2,0.333,0.333,1.333,1.667,4,0,0,0,0,0,0,,325,298,0
Bases Occupied,123,3,,3,2,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"on 1st,",14,,17,16,1,3,1,0,0,2,0,0,0,2,0.188,0.177,0.25,0.427,4,0,0,0,1,0,0,0.2,21,12,2
Bases Occupied,"on 3rd,",6,,6,4,1,1,0,0,0,2,0,0,1,2,0.25,0.333,0.25,0.583,1,0,0,0,1,0,0,0.333,78,46,1
