Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,70,62,252,231,25,54,15,1,7,26,17,1,20,75,0.234,0.294,0.398,0.692,92,1,0,0,1,2,1,0.313,100,93,31
Season Totals,Last 7 days,6,6,23,22,2,5,1,1,0,3,3,0,1,6,0.227,0.261,0.364,0.625,8,0,0,0,0,0,0,0.313,80,79,3
Season Totals,Last 14 days,12,11,40,37,3,8,2,1,0,4,7,0,3,10,0.216,0.275,0.324,0.599,12,0,0,0,0,1,0,0.296,75,68,5
Season Totals,Last 28 days,22,19,78,72,9,19,6,1,2,10,8,0,6,21,0.264,0.321,0.458,0.779,33,0,0,0,0,1,0,0.347,124,112,10
Season Totals,Last 365 days,103,90,376,346,44,92,25,1,11,43,25,2,28,102,0.266,0.319,0.439,0.758,152,4,0,0,2,3,1,0.345,119,,55
Platoon Splits,vs RHP,68,,224,204,23,49,13,1,7,24,15,1,19,64,0.24,0.304,0.417,0.72,85,1,0,0,1,2,1,0.313,108,102,28
Platoon Splits,vs LHP,19,,28,27,2,5,2,0,0,2,2,0,1,11,0.185,0.214,0.259,0.474,7,0,0,0,0,0,0,0.313,38,32,3
Platoon Splits,vs RHP as LHB,68,,224,204,,49,13,1,7,24,0,0,19,64,0.24,0.304,0.417,0.72,85,1,0,0,1,2,1,0.313,108,95,28
Platoon Splits,vs LHP as LHB,19,,28,27,,5,2,0,0,2,0,0,1,11,0.185,0.214,0.259,0.474,7,0,0,0,0,0,0,0.313,38,41,3
Platoon Splits,vs RH Starter,62,60,237,217,24,51,14,1,7,23,15,1,19,70,0.235,0.295,0.406,0.701,88,1,0,0,1,2,1,0.312,102,96,29
Platoon Splits,vs LH Starter,8,2,15,14,1,3,1,0,0,3,2,0,1,5,0.214,0.267,0.286,0.552,4,0,0,0,0,0,0,0.333,63,56,2
Home or Away,Home,35,29,121,111,9,24,7,1,0,6,11,0,10,37,0.216,0.281,0.297,0.578,33,0,0,0,0,1,0,0.324,70,62,16
Home or Away,Away,35,33,131,120,16,30,8,0,7,20,6,1,10,38,0.25,0.305,0.492,0.797,59,1,0,0,1,1,1,0.303,127,124,15
First or Second Half,1st Half,44,39,162,147,15,31,9,0,5,14,8,0,14,52,0.211,0.278,0.374,0.652,55,1,0,0,1,1,0,0.286,89,83,17
First or Second Half,2nd Half,26,23,90,84,10,23,6,1,2,12,9,1,6,23,0.274,0.322,0.441,0.763,37,0,0,0,0,1,1,0.356,120,109,14
Months,May,14,13,54,50,5,12,4,0,2,3,0,0,4,15,0.24,0.296,0.44,0.736,22,0,0,0,0,1,0,0.303,111,110,6
Months,June,19,17,69,61,8,13,3,0,3,10,4,0,7,21,0.213,0.29,0.41,0.7,25,1,0,0,1,0,0,0.263,102,93,7
Months,July,20,17,71,67,5,15,4,0,0,6,6,1,4,23,0.224,0.268,0.284,0.551,19,0,0,0,0,0,1,0.341,63,53,11
Months,August,17,15,58,53,7,14,4,1,2,7,7,0,5,16,0.264,0.328,0.491,0.818,26,0,0,0,0,1,0,0.343,135,124,7
Game Outcome for Team,in Wins,35,33,136,129,17,35,11,1,5,19,9,1,7,39,0.271,0.309,0.488,0.797,63,1,0,0,0,1,1,0.353,128,89,18
Game Outcome for Team,in Losses,35,29,116,102,8,19,4,0,2,7,8,0,13,36,0.186,0.276,0.284,0.56,29,0,0,0,1,1,0,0.262,65,92,13
Starter or Substitute,as Starter,62,62,243,223,24,53,15,1,7,25,16,1,19,71,0.238,0.296,0.408,0.704,91,1,0,0,1,2,1,0.315,103,96,30
Starter or Substitute,as Sub,8,0,9,8,1,1,0,0,0,1,1,0,1,4,0.125,0.222,0.125,0.347,1,0,0,0,0,0,0,0.25,7,9,1
Defensive Positions,as LF,6,,19,16,1,2,1,0,0,0,3,0,3,7,0.125,0.263,0.188,0.451,3,0,0,0,0,1,0,0.222,37,31,1
Defensive Positions,as CF,2,,4,4,,1,1,0,0,1,0,0,0,2,0.25,0.25,0.5,0.75,2,0,0,0,0,0,0,0.5,111,110,0
Defensive Positions,as RF,49,,188,174,19,41,12,1,6,22,9,1,13,53,0.236,0.287,0.42,0.707,73,1,0,0,1,1,1,0.302,103,92,22
Defensive Positions,as DH,8,,34,31,4,9,1,0,1,2,4,0,3,11,0.29,0.353,0.419,0.772,13,0,0,0,0,0,0,0.421,125,108,7
Defensive Positions,as PH,7,,7,6,1,1,0,0,0,1,1,0,1,2,0.167,0.286,0.167,0.452,1,0,0,0,0,0,0,0.25,39,45,1
Leading Off Inning,1st Batter G,1,,1,1,,1,0,0,0,0,,,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,491,469,1
Leading Off Inning,Leadoff Inn.,43,,60,55,,11,6,0,0,0,,,5,15,0.2,0.267,0.309,0.576,17,0,0,0,0,0,0,0.275,69,66,5
Batting Order Positions,Batting 1st,1,1,4,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,48,38,1
Batting Order Positions,Batting 2nd,13,12,50,46,4,10,2,0,1,2,3,0,4,17,0.217,0.28,0.326,0.606,15,0,0,0,0,0,0,0.321,77,60,7
Batting Order Positions,Batting 3rd,4,4,18,16,3,6,3,0,1,1,0,0,2,2,0.375,0.444,0.75,1.194,12,0,0,0,0,1,0,0.385,240,200,2
Batting Order Positions,Batting 4th,29,29,114,104,13,24,6,1,5,15,7,0,9,33,0.231,0.29,0.452,0.741,47,1,0,0,1,0,0,0.284,112,99,12
Batting Order Positions,Batting 5th,14,12,46,42,2,9,3,0,0,5,3,1,4,17,0.214,0.283,0.286,0.568,12,0,0,0,0,1,1,0.36,68,60,6
Batting Order Positions,Batting 6th,5,3,13,12,1,2,1,0,0,1,2,0,1,3,0.167,0.231,0.25,0.481,3,0,0,0,0,0,0,0.222,41,41,1
Batting Order Positions,Batting 7th,2,1,5,5,0,1,0,0,0,1,1,0,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,18,17,1
Batting Order Positions,Batting 8th,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,491,515,1
Batting Order Positions,Batting 9th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,42,,73,71,,19,3,0,3,8,,,1,19,0.268,0.274,0.437,0.711,31,0,0,0,1,0,1,0.32,103,100,13
Swung or Took First Pitch of PA,Took 1st Pitch,66,,179,160,,35,12,1,4,18,,,19,56,0.219,0.302,0.381,0.683,61,1,0,0,0,2,0,0.31,98,90,18
Count/Balls-Strikes,First Pitch,15,,17,17,3,7,1,0,1,4,9,0,0,0,0.412,0.412,0.647,1.059,11,0,0,0,0,0,0,0.375,203,136,5
Count/Balls-Strikes,1-0 Count,9,,9,9,4,2,1,0,0,0,1,0,0,0,0.222,0.222,0.333,0.556,3,0,0,0,0,0,0,0.222,59,23,1
Count/Balls-Strikes,2-0 Count,2,,2,2,2,1,0,0,1,1,0,0,0,0,0.5,0.5,2.0,2.5,4,0,0,0,0,0,0,0.0,573,369,0
Count/Balls-Strikes,3-0 Count,6,,6,2,,0,0,0,0,0,0,0,4,0,0.0,0.667,0.0,0.667,0,0,0,0,0,2,0,0.0,127,-29,0
Count/Balls-Strikes,0-1 Count,9,,10,10,1,4,2,0,0,1,1,0,0,0,0.4,0.4,0.6,1.0,6,0,0,0,0,0,0,0.4,187,138,2
Count/Balls-Strikes,1-1 Count,14,,15,15,4,6,2,0,1,3,1,0,0,0,0.4,0.4,0.733,1.133,11,0,0,0,0,0,0,0.357,220,162,3
Count/Balls-Strikes,2-1 Count,8,,8,7,1,3,2,0,0,2,0,0,0,0,0.429,0.375,0.714,1.089,5,1,0,0,1,0,0,0.375,207,131,1
Count/Balls-Strikes,3-1 Count,15,,15,8,,4,0,0,0,0,0,0,7,0,0.5,0.733,0.5,1.233,4,0,0,0,0,0,0,0.5,275,84,4
Count/Balls-Strikes,0-2 Count,20,,25,25,4,5,1,1,3,7,2,0,0,12,0.2,0.2,0.68,0.88,17,0,0,0,0,0,0,0.2,139,329,0
Count/Balls-Strikes,1-2 Count,40,,57,57,3,11,2,0,1,3,2,0,0,25,0.193,0.193,0.281,0.474,16,0,0,0,0,0,1,0.323,36,128,8
Count/Balls-Strikes,2-2 Count,43,,54,54,2,9,3,0,0,5,1,0,0,25,0.167,0.167,0.222,0.389,12,0,0,0,0,0,0,0.31,13,76,6
Count/Balls-Strikes,Full Count,27,,34,25,1,2,1,0,0,0,0,1,9,13,0.08,0.324,0.12,0.444,3,0,0,0,0,0,0,0.167,40,7,1
Count/Balls-Strikes,After 1-0,56,,106,90,,16,4,0,2,7,,,16,28,0.178,0.302,0.289,0.591,26,1,0,0,0,2,0,0.233,75,48,10
Count/Balls-Strikes,After 2-0,28,,33,23,,8,1,0,1,1,,,10,6,0.348,0.546,0.522,1.067,12,0,0,0,0,2,0,0.438,217,122,6
Count/Balls-Strikes,After 3-0,19,,21,12,,2,0,0,0,0,,,9,3,0.167,0.524,0.167,0.691,2,0,0,0,0,2,0,0.222,120,4,2
Count/Balls-Strikes,After 0-1,58,,128,123,,30,9,1,4,15,,,4,47,0.244,0.266,0.431,0.697,53,0,0,0,1,0,1,0.356,99,127,16
Count/Balls-Strikes,After 1-1,59,,124,115,,21,8,0,1,10,,,8,48,0.183,0.234,0.278,0.512,32,1,0,0,1,0,0,0.299,49,54,12
Count/Balls-Strikes,After 2-1,42,,55,48,,11,4,0,0,4,,,6,21,0.229,0.309,0.313,0.622,15,1,0,0,1,0,0,0.393,84,58,7
Count/Balls-Strikes,After 3-1,25,,30,19,,6,1,0,0,0,,,11,5,0.316,0.567,0.368,0.935,7,0,0,0,0,0,0,0.429,185,81,5
Count/Balls-Strikes,After 0-2,44,,58,56,,11,1,1,4,10,,,2,21,0.196,0.224,0.464,0.688,26,0,0,0,0,0,1,0.226,93,195,5
Count/Balls-Strikes,After 1-2,57,,97,92,,15,3,0,1,6,,,5,39,0.163,0.206,0.228,0.435,21,0,0,0,0,0,1,0.269,27,75,11
Count/Balls-Strikes,After 2-2,52,,72,67,,8,2,0,0,5,,,5,33,0.119,0.181,0.149,0.33,10,0,0,0,0,0,0,0.235,-1,13,6
Count/Balls-Strikes,Zero Balls,37,,52,52,8,16,4,1,4,12,12,0,0,12,0.308,0.308,0.654,0.962,34,0,0,0,0,0,0,0.333,169,159,7
Count/Balls-Strikes,Zero Strikes,30,,34,30,9,10,2,0,2,5,10,0,4,0,0.333,0.412,0.6,1.012,18,0,0,0,0,2,0,0.286,191,111,6
Count/Balls-Strikes,Three Balls,41,,55,35,1,6,1,0,0,0,0,1,20,13,0.171,0.473,0.2,0.673,7,0,0,0,0,2,0,0.273,111,38,5
Count/Balls-Strikes,Two Strikes,68,,170,161,10,27,7,1,4,15,5,1,9,75,0.168,0.212,0.298,0.51,48,0,0,0,0,0,1,0.281,47,99,15
Count/Balls-Strikes,Batter Ahead,48,,74,53,8,12,4,0,1,3,1,1,20,13,0.226,0.432,0.359,0.791,19,1,0,0,1,2,0,0.275,137,65,7
Count/Balls-Strikes,Even Count,55,,86,86,9,22,6,0,2,12,11,0,0,25,0.256,0.256,0.395,0.651,34,0,0,0,0,0,0,0.339,86,88,14
Count/Balls-Strikes,Pitcher Ahead,53,,92,92,8,20,5,1,4,11,5,0,0,37,0.217,0.217,0.424,0.641,39,0,0,0,0,0,1,0.314,80,141,10
Number of Outs in Inning,0 outs,52,,83,76,4,16,8,0,0,3,2,1,7,23,0.211,0.277,0.316,0.593,24,0,0,0,0,0,0,0.302,74,66,8
Number of Outs in Inning,1 out,54,,81,75,6,14,1,0,2,8,6,0,5,29,0.187,0.235,0.28,0.515,21,1,0,0,1,1,0,0.267,50,44,11
Number of Outs in Inning,2 outs,51,,88,80,15,24,6,1,5,15,9,0,8,23,0.3,0.364,0.588,0.951,47,0,0,0,0,1,1,0.365,172,169,12
Bases Occupied,RISP,44,,68,59,18,12,3,0,2,19,7,0,8,26,0.203,0.294,0.356,0.65,21,0,0,0,1,2,0,0.313,89,74,7
Bases Occupied,---,60,,136,127,4,29,10,0,4,4,0,0,9,34,0.228,0.279,0.402,0.681,51,0,0,0,0,0,1,0.281,96,96,15
Bases Occupied,Men On,61,,116,104,21,25,5,1,3,22,17,1,11,41,0.24,0.31,0.394,0.705,41,1,0,0,1,2,0,0.361,104,89,16
Bases Occupied,1--,37,,48,45,3,13,2,1,1,3,10,1,3,15,0.289,0.333,0.444,0.778,20,1,0,0,0,0,0,0.414,125,109,9
