Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,113,95,395,353,41,80,16,2,7,25,6,4,38,86,0.227,0.305,0.343,0.648,121,5,2,0,0,1,1,0.281,100,83,55
Season Totals,Last 7 days,5,5,19,18,3,3,0,0,1,2,0,0,1,4,0.167,0.211,0.333,0.544,6,1,0,0,0,0,0,0.154,66,57,2
Season Totals,Last 14 days,10,10,37,34,5,4,0,0,1,2,0,0,2,10,0.118,0.189,0.206,0.395,7,1,1,0,0,0,0,0.13,22,13,3
Season Totals,Last 28 days,21,18,71,63,7,12,1,0,2,5,0,0,7,17,0.191,0.282,0.302,0.583,19,1,1,0,0,0,0,0.227,81,63,9
Season Totals,Last 365 days,144,119,475,427,52,99,18,2,9,31,9,4,44,104,0.232,0.307,0.347,0.653,148,5,2,0,0,1,1,0.287,102,,70
Platoon Splits,vs RHP,110,,339,303,41,74,16,2,7,24,6,4,33,66,0.244,0.321,0.38,0.7,115,3,1,0,0,1,1,0.291,116,98,49
Platoon Splits,vs LHP,38,,56,50,,6,0,0,0,1,0,0,5,20,0.12,0.214,0.12,0.334,6,2,1,0,0,0,0,0.2,5,-2,6
Platoon Splits,vs RHP as LHB,110,,339,303,,74,16,2,7,24,0,0,33,66,0.244,0.321,0.38,0.7,115,3,1,0,0,1,1,0.291,116,92,49
Platoon Splits,vs LHP as LHB,38,,56,50,,6,0,0,0,1,0,0,5,20,0.12,0.214,0.12,0.334,6,2,1,0,0,0,0,0.2,5,3,6
Platoon Splits,vs RH Starter,93,92,361,321,37,76,15,2,6,23,6,3,37,77,0.237,0.318,0.352,0.67,113,5,1,0,0,1,1,0.294,107,90,53
Platoon Splits,vs LH Starter,20,3,34,32,4,4,1,0,1,2,0,1,1,9,0.125,0.177,0.25,0.427,8,0,1,0,0,0,0,0.136,31,19,2
Home or Away,Home,55,47,186,161,22,39,8,0,4,14,4,1,23,39,0.242,0.341,0.367,0.707,59,2,1,0,0,1,1,0.297,119,98,27
Home or Away,Away,58,48,209,192,19,41,8,2,3,11,2,3,15,47,0.214,0.274,0.323,0.597,62,3,1,0,0,0,0,0.268,84,71,28
First or Second Half,1st Half,85,71,299,266,32,65,14,2,4,17,6,4,30,63,0.244,0.323,0.357,0.68,95,3,1,0,0,1,1,0.307,110,94,45
First or Second Half,2nd Half,28,24,96,87,9,15,2,0,3,8,0,0,8,23,0.172,0.25,0.299,0.549,26,2,1,0,0,0,0,0.197,69,52,10
Months,April/March,22,19,77,66,11,21,3,1,3,6,2,1,10,12,0.318,0.408,0.53,0.938,35,1,0,0,0,0,0,0.353,188,168,14
Months,May,25,22,93,86,6,21,4,1,0,4,4,1,5,19,0.244,0.294,0.314,0.608,27,1,1,0,0,0,0,0.313,88,76,16
Months,June,26,19,88,81,14,17,6,0,1,6,0,1,7,19,0.21,0.273,0.321,0.594,26,1,0,0,0,0,1,0.262,83,66,10
Months,July,24,20,83,70,5,14,3,0,2,5,0,1,13,21,0.2,0.325,0.329,0.654,23,1,0,0,0,1,0,0.255,103,82,9
Months,August,16,15,54,50,5,7,0,0,1,4,0,0,3,15,0.14,0.204,0.2,0.404,10,1,1,0,0,0,0,0.177,25,14,6
Game Outcome for Team,in Wins,54,44,205,182,35,52,14,1,5,20,5,3,22,39,0.286,0.366,0.456,0.822,83,1,1,0,0,0,1,0.341,153,99,32
Game Outcome for Team,in Losses,59,51,190,171,6,28,2,1,2,5,1,1,16,47,0.164,0.239,0.222,0.462,38,4,1,0,0,1,0,0.213,43,58,23
Starter or Substitute,as Starter,95,95,368,327,37,76,15,2,6,23,6,3,37,78,0.232,0.314,0.346,0.66,113,5,2,0,0,1,1,0.288,104,86,53
Starter or Substitute,as Sub,18,0,27,26,4,4,1,0,1,2,0,1,1,8,0.154,0.185,0.308,0.493,8,0,0,0,0,0,0,0.177,51,48,2
Defensive Positions,as 2B,9,,30,27,1,4,0,0,0,1,1,1,3,8,0.148,0.233,0.148,0.381,4,1,0,0,0,0,0,0.211,20,15,4
Defensive Positions,as 3B,97,,334,298,37,67,15,1,6,20,4,2,33,71,0.225,0.306,0.342,0.649,102,4,2,0,0,1,1,0.276,100,85,45
Defensive Positions,as LF,4,,16,14,1,6,1,1,0,2,1,0,1,4,0.429,0.467,0.643,1.11,9,0,0,0,0,0,0,0.6,241,212,4
Defensive Positions,as P,1,,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Defensive Positions,as PH,14,,14,14,1,3,0,0,1,2,0,1,0,3,0.214,0.214,0.429,0.643,6,0,0,0,0,0,0,0.2,95,96,2
Leading Off Inning,1st Batter G,22,,22,22,,7,1,1,2,2,,,0,5,0.318,0.318,0.727,1.046,16,0,0,0,0,0,0,0.333,216,180,3
Leading Off Inning,Leadoff Inn.,70,,101,98,,24,6,1,5,5,,,3,25,0.245,0.267,0.48,0.747,47,0,0,0,0,0,0,0.279,128,109,12
Batting Order Positions,Batting 1st,22,22,95,84,7,23,1,2,3,6,3,1,9,21,0.274,0.344,0.441,0.785,37,1,0,0,0,0,0,0.333,141,113,17
