Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,107,96,379,342,49,80,20,1,8,34,35,13,23,105,0.234,0.295,0.368,0.664,126,6,8,3,3,1,6,0.31,100,86,51
Season Totals,Last 7 days,5,4,18,14,3,2,2,0,0,2,3,0,3,5,0.143,0.333,0.286,0.619,4,0,1,0,0,1,0,0.222,91,82,0
Season Totals,Last 14 days,12,8,35,30,7,8,5,0,1,5,5,1,3,6,0.267,0.343,0.533,0.876,16,0,1,0,1,1,0,0.292,161,141,2
Season Totals,Last 28 days,22,16,70,61,9,14,8,0,1,8,10,2,4,20,0.23,0.29,0.41,0.7,25,1,2,1,2,1,0,0.31,110,91,5
Season Totals,Last 365 days,127,105,412,373,54,83,20,1,9,36,38,14,24,117,0.223,0.284,0.354,0.638,132,6,9,3,3,1,6,0.296,93,,53
Platoon Splits,vs RHP,95,,281,258,33,60,11,1,6,24,29,9,16,69,0.233,0.288,0.353,0.641,91,5,5,0,2,0,6,0.292,94,81,42
Platoon Splits,vs LHP,50,,98,84,16,20,9,0,2,10,6,4,7,36,0.238,0.316,0.417,0.733,35,1,3,3,1,1,0,0.383,120,104,9
Platoon Splits,vs RHP as RHB,95,,281,258,,60,11,1,6,24,0,0,16,69,0.233,0.288,0.353,0.641,91,5,5,0,2,0,6,0.292,94,86,42
Platoon Splits,vs LHP as RHB,50,,98,84,,20,9,0,2,10,0,0,7,36,0.238,0.316,0.417,0.733,35,1,3,3,1,1,0,0.383,120,99,9
Platoon Splits,vs RH Starter,78,67,270,248,35,59,13,1,5,23,28,8,17,68,0.238,0.296,0.359,0.655,89,3,4,0,1,1,6,0.307,98,84,40
Platoon Splits,vs LH Starter,29,29,109,94,14,21,7,0,3,11,7,5,6,37,0.223,0.293,0.394,0.686,37,3,4,3,2,0,0,0.321,106,91,11
Home or Away,Home,59,53,208,185,27,42,13,1,4,20,22,8,15,57,0.227,0.3,0.373,0.673,69,2,5,1,2,1,3,0.302,103,86,24
Home or Away,Away,48,43,171,157,22,38,7,0,4,14,13,5,8,48,0.242,0.29,0.363,0.653,57,4,3,2,1,0,3,0.321,97,86,27
First or Second Half,1st Half,79,74,286,259,38,62,12,1,6,24,24,11,18,78,0.239,0.303,0.363,0.666,94,5,6,2,1,0,6,0.318,101,89,43
First or Second Half,2nd Half,28,22,93,83,11,18,8,0,2,10,11,2,5,27,0.217,0.272,0.386,0.657,32,1,2,1,2,1,0,0.286,97,80,8
Months,April/March,27,27,105,98,12,25,5,1,2,12,9,4,1,26,0.255,0.282,0.388,0.669,38,3,3,2,1,0,2,0.324,101,91,17
Months,May,24,23,87,77,12,19,4,0,0,4,11,4,9,32,0.247,0.333,0.299,0.632,23,1,1,0,0,0,1,0.422,94,86,15
Months,June,20,17,69,61,12,14,3,0,3,6,4,1,6,14,0.23,0.319,0.426,0.745,26,1,2,0,0,0,2,0.25,124,107,8
Months,July,19,17,65,60,6,12,3,0,2,6,4,2,4,21,0.2,0.25,0.35,0.6,21,0,0,1,0,0,1,0.27,80,63,7
Months,August,17,12,53,46,7,10,5,0,1,6,7,2,3,12,0.217,0.283,0.391,0.674,18,1,2,0,2,1,0,0.257,102,86,4
Game Outcome for Team,in Wins,54,44,187,162,36,39,14,1,4,22,23,5,16,56,0.241,0.33,0.414,0.743,67,4,6,2,1,1,2,0.34,124,80,20
Game Outcome for Team,in Losses,53,52,192,180,13,41,6,0,4,12,12,8,7,49,0.228,0.262,0.328,0.59,59,2,2,1,2,0,4,0.287,78,100,31
