Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,125,540,490,93,133,27,1,32,101,30,3,45,69,0.271,0.332,0.527,0.858,258,6,1,0,4,10,2,0.257,100,138,73
Season Totals,Last 7 days,6,6,26,20,1,1,0,0,0,1,3,0,6,5,0.05,0.269,0.05,0.319,1,0,0,0,0,1,0,0.067,-9,2,1
Season Totals,Last 14 days,12,12,51,42,8,7,2,0,2,5,5,0,9,8,0.167,0.314,0.357,0.671,15,0,0,0,0,1,1,0.156,63,91,3
Season Totals,Last 28 days,25,25,105,90,21,25,5,0,8,19,12,0,13,11,0.278,0.362,0.6,0.962,54,0,0,0,2,2,1,0.233,123,160,12
Season Totals,Last 365 days,160,160,698,630,108,173,33,2,37,113,38,5,63,88,0.275,0.34,0.51,0.849,321,6,1,0,4,17,5,0.267,100,,101
Platoon Splits,vs RHP,120,,386,347,57,83,14,1,20,69,20,0,36,52,0.239,0.311,0.458,0.769,159,3,1,0,2,7,1,0.227,81,115,48
Platoon Splits,vs LHP,75,,154,143,36,50,13,0,12,32,10,3,9,17,0.35,0.383,0.692,1.075,99,3,0,0,2,3,1,0.328,147,194,25
Platoon Splits,vs RHP as RHB,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Platoon Splits,vs RHP as LHB,120,,385,347,,83,14,1,20,69,0,0,35,52,0.239,0.309,0.458,0.767,159,3,1,0,2,7,1,0.227,80,107,48
Platoon Splits,vs LHP as RHB,75,,154,143,,50,13,0,12,32,0,0,9,17,0.35,0.383,0.692,1.075,99,3,0,0,2,3,1,0.328,147,186,25
Platoon Splits,vs RH Starter,89,89,380,341,59,89,17,0,20,67,22,2,35,50,0.261,0.329,0.487,0.816,166,2,1,0,3,8,1,0.252,92,127,52
Platoon Splits,vs LH Starter,36,36,160,149,34,44,10,1,12,34,8,1,10,19,0.295,0.338,0.617,0.955,92,4,0,0,1,2,1,0.269,119,162,21
Home or Away,Home,58,58,245,227,48,65,13,0,15,49,15,0,16,29,0.286,0.331,0.542,0.873,123,1,0,0,2,3,1,0.27,103,138,37
Home or Away,Away,67,67,295,263,45,68,14,1,17,52,15,3,29,40,0.259,0.332,0.513,0.846,135,5,1,0,2,7,1,0.245,98,138,36
First or Second Half,1st Half,92,92,401,369,70,100,20,1,23,77,18,2,29,52,0.271,0.324,0.518,0.842,191,5,1,0,2,7,1,0.26,96,134,56
First or Second Half,2nd Half,33,33,139,121,23,33,7,0,9,24,12,1,16,17,0.273,0.353,0.554,0.906,67,1,0,0,2,3,1,0.247,112,147,17
Months,April/March,28,28,126,119,19,30,5,1,5,24,4,1,5,15,0.252,0.286,0.437,0.723,52,2,1,0,1,2,1,0.25,69,105,19
Months,May,28,28,120,105,23,31,8,0,11,33,4,1,14,12,0.295,0.375,0.686,1.061,72,0,0,0,1,1,0,0.241,144,199,12
Months,June,23,23,100,94,23,28,4,0,7,19,7,0,6,17,0.298,0.34,0.564,0.904,53,3,0,0,0,1,0,0.3,110,147,17
Months,July,25,25,104,96,12,25,6,0,4,11,5,1,8,14,0.26,0.317,0.448,0.765,43,1,0,0,0,4,0,0.269,81,108,15
Months,August,21,21,90,76,16,19,4,0,5,14,10,0,12,11,0.25,0.344,0.5,0.844,38,0,0,0,2,2,1,0.226,99,132,10
Game Outcome for Team,in Wins,72,72,324,291,74,86,18,1,25,79,19,2,30,40,0.296,0.358,0.622,0.98,181,5,0,0,3,9,1,0.266,126,131,42
Game Outcome for Team,in Losses,53,53,216,199,19,47,9,0,7,22,11,1,15,29,0.236,0.292,0.387,0.679,77,1,1,0,1,1,1,0.244,62,130,31
Starter or Substitute,as Starter,125,125,540,490,93,133,27,1,32,101,30,3,45,69,0.271,0.332,0.527,0.858,258,6,1,0,4,10,2,0.257,100,137,73
Defensive Positions,as 3B,97,,423,381,77,115,20,1,30,86,25,3,37,48,0.302,0.362,0.596,0.958,227,6,1,0,4,10,2,0.277,123,167,64
Defensive Positions,as DH,28,,117,109,16,18,7,0,2,15,5,0,8,21,0.165,0.222,0.284,0.507,31,0,0,0,0,0,0,0.186,21,35,9
Leading Off Inning,Leadoff Inn.,67,,88,80,,24,5,0,7,7,,,8,8,0.3,0.364,0.625,0.989,50,0,0,0,0,0,0,0.262,129,178,12
Batting Order Positions,Batting 2nd,6,6,30,28,6,7,0,1,1,5,1,0,2,5,0.25,0.3,0.429,0.729,12,2,0,0,0,1,0,0.273,72,91,5
Batting Order Positions,Batting 3rd,119,119,510,462,87,126,27,0,31,96,29,3,43,64,0.273,0.333,0.533,0.866,246,4,1,0,4,9,2,0.256,102,118,68
Swung or Took First Pitch of PA,Swung at 1st Pitch,69,,86,82,,20,3,0,3,10,,,3,11,0.244,0.279,0.39,0.669,32,2,1,0,0,0,0,0.25,58,91,14
Swung or Took First Pitch of PA,Took 1st Pitch,125,,454,408,,113,24,1,29,91,,,42,58,0.277,0.341,0.554,0.895,226,4,0,0,4,10,2,0.259,108,147,59
Count/Balls-Strikes,First Pitch,26,,29,29,10,5,0,0,1,3,12,0,0,0,0.172,0.172,0.276,0.448,8,1,0,0,0,0,0,0.143,4,0,4
Count/Balls-Strikes,1-0 Count,39,,43,43,11,13,6,1,4,12,1,1,0,0,0.302,0.302,0.767,1.07,33,0,0,0,0,0,0,0.231,137,122,2
Count/Balls-Strikes,2-0 Count,26,,26,26,5,9,0,0,1,8,1,0,0,0,0.346,0.346,0.462,0.808,12,0,0,0,0,0,0,0.32,92,75,8
Count/Balls-Strikes,3-0 Count,20,,23,2,1,1,0,0,0,1,1,0,21,0,0.5,0.957,0.5,1.457,1,0,0,0,0,10,0,0.5,284,57,1
Count/Balls-Strikes,0-1 Count,41,,43,42,11,10,2,0,2,10,2,1,0,0,0.238,0.233,0.429,0.661,18,2,0,0,1,0,0,0.195,52,54,6
Count/Balls-Strikes,1-1 Count,38,,47,47,7,12,6,0,2,5,5,0,0,0,0.255,0.255,0.511,0.766,24,0,0,0,0,0,1,0.222,74,76,4
Count/Balls-Strikes,2-1 Count,38,,42,42,6,13,2,0,3,10,1,0,0,0,0.31,0.31,0.571,0.881,24,0,0,0,0,0,0,0.256,102,88,8
Count/Balls-Strikes,3-1 Count,14,,17,8,2,1,1,0,0,0,0,0,9,0,0.125,0.588,0.25,0.838,2,0,0,0,0,0,0,0.125,125,24,0
Count/Balls-Strikes,0-2 Count,42,,50,49,8,11,2,0,0,6,2,0,0,13,0.225,0.22,0.265,0.485,13,1,0,0,1,0,1,0.297,17,158,9
Count/Balls-Strikes,1-2 Count,68,,84,83,11,21,5,0,7,16,2,1,0,28,0.253,0.25,0.566,0.816,47,1,0,0,1,0,0,0.286,83,278,9
Count/Balls-Strikes,2-2 Count,53,,70,69,12,17,0,0,6,9,2,0,0,22,0.246,0.257,0.507,0.764,35,0,1,0,0,0,0,0.268,74,232,11
Count/Balls-Strikes,Full Count,53,,66,50,9,20,3,0,6,21,1,0,15,6,0.4,0.53,0.82,1.35,41,1,0,0,1,0,0,0.359,216,264,11
Count/Balls-Strikes,After 1-0,116,,252,215,,65,13,1,19,56,,,35,20,0.302,0.397,0.637,1.034,137,1,0,0,2,10,1,0.258,141,155,32
Count/Balls-Strikes,After 2-0,74,,96,70,,21,1,0,4,21,,,26,4,0.3,0.49,0.486,0.975,34,0,0,0,0,10,0,0.274,140,104,16
Count/Balls-Strikes,After 3-0,29,,32,9,,3,0,0,1,5,,,23,1,0.333,0.813,0.667,1.479,6,0,0,0,0,10,0,0.286,272,141,2
Count/Balls-Strikes,After 0-1,121,,259,246,,63,14,0,12,42,,,10,49,0.256,0.286,0.459,0.745,113,4,1,0,2,0,1,0.273,74,143,37
Count/Balls-Strikes,After 1-1,111,,224,202,,61,14,0,17,41,,,19,39,0.302,0.362,0.624,0.985,126,1,1,0,2,0,1,0.297,128,193,30
Count/Balls-Strikes,After 2-1,86,,125,106,,31,5,0,7,22,,,17,13,0.293,0.392,0.538,0.93,57,1,1,0,1,0,0,0.276,121,136,19
Count/Balls-Strikes,After 3-1,31,,37,25,,6,1,0,1,7,,,11,1,0.24,0.46,0.4,0.86,10,1,0,0,1,0,0,0.208,115,69,4
Count/Balls-Strikes,After 0-2,78,,105,104,,23,4,0,4,14,,,0,26,0.221,0.219,0.375,0.594,39,2,0,0,1,0,1,0.253,37,158,15
Count/Balls-Strikes,After 1-2,94,,145,139,,39,6,0,14,30,,,5,42,0.281,0.303,0.626,0.929,87,1,0,0,1,0,0,0.298,110,266,19
Count/Balls-Strikes,After 2-2,82,,116,102,,32,3,0,11,23,,,13,27,0.314,0.397,0.667,1.063,68,0,1,0,0,0,0,0.328,147,265,18
Count/Balls-Strikes,Zero Balls,86,,122,120,29,26,4,0,3,19,16,1,0,13,0.217,0.213,0.325,0.538,39,4,0,0,2,0,1,0.217,26,50,19
Count/Balls-Strikes,Zero Strikes,90,,121,100,27,28,6,1,6,24,15,1,21,0,0.28,0.405,0.54,0.945,54,1,0,0,0,10,0,0.234,125,98,15
Count/Balls-Strikes,Three Balls,77,,106,60,12,22,4,0,6,22,2,0,45,6,0.367,0.632,0.733,1.365,44,1,0,0,1,10,0,0.327,230,204,12
Count/Balls-Strikes,Two Strikes,121,,270,251,40,69,10,0,19,52,7,1,15,69,0.275,0.315,0.542,0.857,136,3,1,0,3,0,1,0.301,98,232,40
Count/Balls-Strikes,Batter Ahead,112,,217,171,34,57,12,1,14,52,5,1,45,6,0.333,0.47,0.661,1.131,113,1,0,0,1,10,0,0.283,167,136,30
Count/Balls-Strikes,Even Count,90,,146,145,29,34,6,0,9,17,19,0,0,22,0.235,0.24,0.462,0.702,67,1,1,0,0,0,1,0.219,60,97,19
Count/Balls-Strikes,Pitcher Ahead,103,,177,174,30,42,9,0,9,32,6,2,0,41,0.241,0.237,0.448,0.686,78,4,0,0,3,0,1,0.26,57,158,24
Number of Outs in Inning,0 outs,93,,153,140,16,40,8,1,10,24,4,0,12,22,0.286,0.34,0.571,0.911,80,0,0,0,1,0,0,0.275,111,148,21
Number of Outs in Inning,1 out,99,,189,171,32,40,8,0,10,41,7,1,15,24,0.234,0.291,0.456,0.747,78,6,0,0,3,7,1,0.214,74,106,22
Number of Outs in Inning,2 outs,108,,198,179,45,53,11,0,12,36,19,2,18,23,0.296,0.364,0.559,0.922,100,0,1,0,0,3,1,0.285,116,161,30
Bases Occupied,RISP,86,,139,118,63,40,7,0,7,59,11,1,17,15,0.339,0.41,0.576,0.986,68,1,0,0,4,10,1,0.33,133,162,26
