Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,12,10,37,35,3,11,1,0,0,4,1,0,2,9,0.314,0.351,0.343,0.694,12,0,0,0,0,0,0,0.423,100,98,10
Season Totals,Last 7 days,5,5,20,19,3,6,1,0,0,1,1,0,1,4,0.316,0.35,0.368,0.718,7,0,0,0,0,0,0,0.4,107,112,5
Season Totals,Last 14 days,9,9,33,31,3,11,1,0,0,4,1,0,2,7,0.355,0.394,0.387,0.781,12,0,0,0,0,0,0,0.458,125,124,10
Season Totals,Last 28 days,9,9,33,31,3,11,1,0,0,4,1,0,2,7,0.355,0.394,0.387,0.781,12,0,0,0,0,0,0,0.458,125,119,10
Season Totals,Last 365 days,27,16,62,58,3,16,2,0,0,6,1,0,4,19,0.276,0.323,0.31,0.633,18,0,0,0,0,0,0,0.41,82,,14
Platoon Splits,vs RHP,12,,28,26,2,7,0,0,0,3,1,0,2,7,0.269,0.321,0.269,0.591,7,0,0,0,0,0,0,0.368,70,71,7
Platoon Splits,vs LHP,4,,9,9,1,4,1,0,0,1,0,0,0,2,0.444,0.444,0.556,1.0,5,0,0,0,0,0,0,0.571,189,179,3
Platoon Splits,vs RHP as LHB,12,,28,26,,7,0,0,0,3,0,0,2,7,0.269,0.321,0.269,0.591,7,0,0,0,0,0,0,0.368,70,65,7
Platoon Splits,vs LHP as LHB,4,,9,9,,4,1,0,0,1,0,0,0,2,0.444,0.444,0.556,1.0,5,0,0,0,0,0,0,0.571,189,198,3
Platoon Splits,vs RH Starter,10,8,29,27,3,10,1,0,0,4,1,0,2,6,0.37,0.414,0.407,0.821,11,0,0,0,0,0,0,0.476,137,134,9
Platoon Splits,vs LH Starter,2,2,8,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.2,-28,-29,1
Home or Away,Home,6,5,18,17,2,6,0,0,0,3,1,0,1,1,0.353,0.389,0.353,0.742,6,0,0,0,0,0,0,0.375,114,110,6
Home or Away,Away,6,5,19,18,1,5,1,0,0,1,0,0,1,8,0.278,0.316,0.333,0.649,6,0,0,0,0,0,0,0.5,87,87,4
