Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,125,574,461,107,137,25,4,36,93,5,2,107,88,0.297,0.429,0.603,1.032,278,7,2,0,4,1,2,0.296,100,188,72
Season Totals,Last 7 days,6,6,26,22,4,3,1,0,2,6,0,0,4,6,0.136,0.269,0.455,0.724,10,0,0,0,0,0,0,0.071,38,108,0
Season Totals,Last 14 days,13,13,59,45,14,10,1,0,8,14,0,0,14,8,0.222,0.407,0.778,1.185,35,0,0,0,0,1,0,0.069,124,227,1
Season Totals,Last 28 days,24,24,114,90,23,23,5,0,10,21,0,0,24,16,0.256,0.412,0.644,1.057,58,0,0,0,0,1,1,0.203,103,186,8
Season Totals,Last 365 days,159,159,723,581,136,177,31,4,47,126,11,2,133,108,0.305,0.434,0.615,1.048,357,13,3,1,5,4,3,0.302,103,,95
Platoon Splits,vs RHP,119,,393,318,79,95,18,3,24,56,3,1,72,68,0.299,0.428,0.601,1.028,191,7,1,0,2,1,1,0.311,99,188,50
Platoon Splits,vs LHP,83,,181,143,28,42,7,1,12,37,2,1,35,20,0.294,0.431,0.608,1.039,87,0,1,0,2,0,1,0.266,101,188,22
Platoon Splits,vs RHP as LHB,119,,393,318,,95,18,3,24,56,0,0,72,68,0.299,0.428,0.601,1.028,191,7,1,0,2,1,1,0.311,99,178,50
Platoon Splits,vs LHP as LHB,83,,181,143,,42,7,1,12,37,0,0,35,20,0.294,0.431,0.608,1.039,87,0,1,0,2,0,1,0.266,101,208,22
Platoon Splits,vs RH Starter,90,90,415,333,82,102,19,3,25,58,4,1,77,63,0.306,0.436,0.607,1.043,202,7,2,0,3,1,1,0.311,102,191,55
Platoon Splits,vs LH Starter,35,35,159,128,25,35,6,1,11,35,1,1,30,25,0.273,0.409,0.594,1.003,76,0,0,0,1,0,1,0.258,94,179,17
Home or Away,Home,60,60,271,222,50,65,15,1,17,48,1,0,46,42,0.293,0.413,0.599,1.012,133,4,1,0,2,0,1,0.291,96,178,32
Home or Away,Away,65,65,303,239,57,72,10,3,19,45,4,2,61,46,0.301,0.442,0.607,1.049,145,3,1,0,2,1,1,0.301,104,197,40
First or Second Half,1st Half,94,94,427,342,75,101,15,3,23,66,5,2,79,70,0.295,0.426,0.559,0.985,191,6,2,0,4,0,1,0.308,92,177,60
First or Second Half,2nd Half,31,31,147,119,32,36,10,1,13,27,0,0,28,18,0.303,0.435,0.731,1.167,87,1,0,0,0,1,1,0.261,123,216,12
Months,April/March,31,31,144,117,22,38,6,0,8,25,2,1,25,18,0.325,0.438,0.581,1.019,68,3,0,0,2,0,1,0.323,98,190,24
Months,May,28,28,125,108,20,32,5,2,7,24,2,1,15,25,0.296,0.384,0.574,0.958,62,3,1,0,1,0,0,0.325,85,173,18
Months,June,23,23,102,69,27,19,1,1,5,12,0,0,31,17,0.275,0.5,0.536,1.036,37,0,1,0,1,0,0,0.292,105,191,12
Months,July,24,24,115,97,20,32,10,1,7,16,1,0,18,15,0.33,0.435,0.67,1.105,65,1,0,0,0,0,1,0.333,113,198,14
Months,August,19,19,88,70,18,16,3,0,9,16,0,0,18,13,0.229,0.386,0.657,1.044,46,0,0,0,0,1,0,0.146,99,184,4
Game Outcome for Team,in Wins,75,75,352,276,82,94,16,2,27,76,5,1,70,52,0.341,0.472,0.707,1.178,195,5,2,0,4,1,2,0.333,127,181,49
Game Outcome for Team,in Losses,50,50,222,185,25,43,9,2,9,17,0,1,37,36,0.232,0.36,0.449,0.809,83,2,0,0,0,0,0,0.243,58,175,23
Starter or Substitute,as Starter,125,125,574,461,107,137,25,4,36,93,5,2,107,88,0.297,0.429,0.603,1.032,278,7,2,0,4,1,2,0.296,100,187,72
Defensive Positions,as LF,6,,30,22,6,4,1,0,2,3,0,0,8,3,0.182,0.4,0.5,0.9,11,0,0,0,0,0,1,0.118,76,154,1
Defensive Positions,as RF,115,,526,422,97,129,23,3,33,89,5,2,98,83,0.306,0.435,0.609,1.044,257,7,2,0,4,1,1,0.31,102,185,70
Defensive Positions,as DH,4,,18,17,4,4,1,1,1,1,0,0,1,2,0.235,0.278,0.588,0.866,10,0,0,0,0,0,0,0.214,62,124,1
