Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,41,40,171,155,21,44,12,0,4,20,2,1,12,27,0.284,0.333,0.439,0.772,68,6,1,0,3,0,0,0.315,100,116,28
Season Totals,Last 7 days,5,4,15,15,2,3,0,0,1,3,0,0,0,3,0.2,0.2,0.4,0.6,6,0,0,0,0,0,0,0.182,51,71,2
Season Totals,Last 14 days,11,10,41,38,4,6,0,0,1,3,0,1,3,5,0.158,0.22,0.237,0.456,9,1,0,0,0,0,0,0.156,20,31,5
Season Totals,Last 28 days,24,23,100,91,9,20,3,0,2,10,1,1,6,15,0.22,0.27,0.319,0.589,29,2,1,0,2,0,0,0.237,54,63,15
Season Totals,Last 365 days,49,43,190,173,21,46,12,0,4,20,2,1,13,34,0.266,0.316,0.405,0.72,70,6,1,0,3,0,0,0.304,87,,30
Platoon Splits,vs RHP,36,,123,112,12,31,9,0,3,15,1,1,8,19,0.277,0.325,0.438,0.763,49,6,1,0,2,0,0,0.304,97,114,19
Platoon Splits,vs LHP,22,,48,43,9,13,3,0,1,5,1,0,4,8,0.302,0.354,0.442,0.796,19,0,0,0,1,0,0,0.343,107,122,9
Platoon Splits,vs RHP as RHB,36,,123,112,,31,9,0,3,15,0,0,8,19,0.277,0.325,0.438,0.763,49,6,1,0,2,0,0,0.304,97,120,19
Platoon Splits,vs LHP as RHB,22,,48,43,,13,3,0,1,5,0,0,4,8,0.302,0.354,0.442,0.796,19,0,0,0,1,0,0,0.343,107,117,9
Platoon Splits,vs RH Starter,28,27,117,106,13,29,8,0,3,17,0,1,7,17,0.274,0.316,0.434,0.75,46,6,1,0,3,0,0,0.292,94,110,18
Platoon Splits,vs LH Starter,13,13,54,49,8,15,4,0,1,3,2,0,5,10,0.306,0.37,0.449,0.819,22,0,0,0,0,0,0,0.368,113,130,10
Home or Away,Home,22,22,92,85,10,23,5,0,4,12,1,0,6,16,0.271,0.315,0.471,0.786,40,5,0,0,1,0,0,0.288,102,115,14
Home or Away,Away,19,18,79,70,11,21,7,0,0,8,1,1,6,11,0.3,0.354,0.4,0.754,28,1,1,0,2,0,0,0.344,97,116,14
First or Second Half,1st Half,10,10,43,37,6,14,6,0,0,3,1,0,6,7,0.378,0.465,0.541,1.006,20,2,0,0,0,0,0,0.467,163,185,8
First or Second Half,2nd Half,31,30,128,118,15,30,6,0,4,17,1,1,6,20,0.254,0.289,0.407,0.696,48,4,1,0,3,0,0,0.268,80,91,20
Months,July,22,22,95,85,15,29,11,0,2,14,1,0,7,16,0.341,0.39,0.541,0.931,46,5,1,0,2,0,0,0.391,140,153,16
Months,August,19,18,76,70,6,15,1,0,2,6,1,1,5,11,0.214,0.263,0.314,0.578,22,1,0,0,1,0,0,0.224,51,61,12
