Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,7,7,30,25,0,6,0,0,0,1,2,0,5,5,0.24,0.367,0.24,0.607,6,0,0,0,0,1,0,0.3,100,77,6
Season Totals,Last 7 days,6,6,26,21,0,5,0,0,0,1,2,0,5,2,0.238,0.385,0.238,0.623,5,0,0,0,0,1,0,0.263,104,87,5
Season Totals,Last 14 days,7,7,30,25,0,6,0,0,0,1,2,0,5,5,0.24,0.367,0.24,0.607,6,0,0,0,0,1,0,0.3,100,76,6
Season Totals,Last 28 days,7,7,30,25,0,6,0,0,0,1,2,0,5,5,0.24,0.367,0.24,0.607,6,0,0,0,0,1,0,0.3,100,74,6
Season Totals,Last 365 days,14,14,66,59,4,14,1,0,1,8,2,0,7,13,0.237,0.318,0.305,0.623,18,2,0,0,0,1,0,0.289,114,,12
Platoon Splits,vs RHP,7,,24,20,0,4,0,0,0,1,2,0,4,3,0.2,0.333,0.2,0.533,4,0,0,0,0,0,0,0.235,74,57,4
Platoon Splits,vs LHP,4,,6,5,,2,0,0,0,0,0,0,1,2,0.4,0.5,0.4,0.9,2,0,0,0,0,1,0,0.667,203,158,2
Platoon Splits,vs RHP as RHB,7,,24,20,,4,0,0,0,1,0,0,4,3,0.2,0.333,0.2,0.533,4,0,0,0,0,0,0,0.235,74,61,4
Platoon Splits,vs LHP as RHB,4,,6,5,,2,0,0,0,0,0,0,1,2,0.4,0.5,0.4,0.9,2,0,0,0,0,1,0,0.667,203,152,2
Platoon Splits,vs RH Starter,6,6,26,21,0,5,0,0,0,1,2,0,5,2,0.238,0.385,0.238,0.623,5,0,0,0,0,1,0,0.263,104,83,5
Platoon Splits,vs LH Starter,1,1,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,1.0,72,42,1
Home or Away,Home,5,5,22,18,0,6,0,0,0,1,2,0,4,5,0.333,0.455,0.333,0.788,6,0,0,0,0,1,0,0.462,163,126,6
Home or Away,Away,2,2,8,7,0,0,0,0,0,0,0,0,1,0,0.0,0.125,0.0,0.125,0,0,0,0,0,0,0,0.0,-66,-60,0
First or Second Half,2nd Half,7,7,30,25,0,6,0,0,0,1,2,0,5,5,0.24,0.367,0.24,0.607,6,0,0,0,0,1,0,0.3,100,75,6
Months,August,7,7,30,25,0,6,0,0,0,1,2,0,5,5,0.24,0.367,0.24,0.607,6,0,0,0,0,1,0,0.3,100,76,6
Game Outcome for Team,in Wins,4,4,18,15,0,5,0,0,0,1,1,0,3,2,0.333,0.444,0.333,0.778,5,0,0,0,0,1,0,0.385,160,95,5
Game Outcome for Team,in Losses,3,3,12,10,0,1,0,0,0,0,1,0,2,3,0.1,0.25,0.1,0.35,1,0,0,0,0,0,0,0.143,10,24,1
Starter or Substitute,as Starter,7,7,30,25,0,6,0,0,0,1,2,0,5,5,0.24,0.367,0.24,0.607,6,0,0,0,0,1,0,0.3,100,77,6
Defensive Positions,as 1B,1,,5,4,,1,0,0,0,1,0,0,1,1,0.25,0.4,0.25,0.65,1,0,0,0,0,1,0,0.333,113,86,1
Defensive Positions,as 3B,7,,25,21,0,5,0,0,0,0,2,0,4,4,0.238,0.36,0.238,0.598,5,0,0,0,0,0,0,0.294,97,76,5
Leading Off Inning,Leadoff Inn.,7,,8,8,,1,0,0,0,0,,,0,2,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.167,-14,-27,1
Batting Order Positions,Batting 4th,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,6,6,26,21,0,6,0,0,0,1,2,0,5,5,0.286,0.423,0.286,0.709,6,0,0,0,0,1,0,0.375,134,105,6
Swung or Took First Pitch of PA,Swung at 1st Pitch,4,,7,7,,1,0,0,0,0,,,0,1,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,0.167,-2,-16,1
Swung or Took First Pitch of PA,Took 1st Pitch,7,,23,18,,5,0,0,0,1,,,5,4,0.278,0.435,0.278,0.713,5,0,0,0,0,1,0,0.357,134,105,5
Count/Balls-Strikes,First Pitch,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-0 Count,3,,3,3,,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333,2,0,0,0,0,0,0,0.667,360,213,2
Count/Balls-Strikes,2-0 Count,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,2,,2,0,,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,2,,2,2,,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,245,149,1
Count/Balls-Strikes,1-1 Count,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,589,398,1
Count/Balls-Strikes,2-1 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,0-2 Count,5,,7,7,,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-2 Count,2,,2,2,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,2-2 Count,4,,4,4,0,1,0,0,0,0,2,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.333,72,132,1
Count/Balls-Strikes,Full Count,4,,4,1,,1,0,0,0,0,0,0,3,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,589,420,1
Count/Balls-Strikes,After 1-0,6,,13,9,,4,0,0,0,1,,,4,0,0.444,0.615,0.444,1.06,4,0,0,0,0,1,0,0.444,253,168,4
Count/Balls-Strikes,After 2-0,4,,6,3,,0,0,0,0,0,,,3,0,0.0,0.5,0.0,0.5,0,0,0,0,0,1,0,0.0,36,1,0
Count/Balls-Strikes,After 3-0,2,,2,0,,0,0,0,0,0,,,2,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,After 0-1,7,,15,14,,2,0,0,0,0,,,1,5,0.143,0.2,0.143,0.343,2,0,0,0,0,0,0,0.222,14,18,2
Count/Balls-Strikes,After 1-1,5,,6,5,,3,0,0,0,0,,,1,0,0.6,0.667,0.6,1.267,3,0,0,0,0,0,0,0.6,332,287,3
Count/Balls-Strikes,After 2-1,4,,5,3,,0,0,0,0,0,,,2,0,0.0,0.4,0.0,0.4,0,0,0,0,0,0,0,0.0,9,4,0
Count/Balls-Strikes,After 0-2,6,,11,10,,0,0,0,0,0,,,1,5,0.0,0.091,0.0,0.091,0,0,0,0,0,0,0,0.0,-75,-54,0
Count/Balls-Strikes,After 1-2,5,,6,5,,2,0,0,0,0,,,1,2,0.4,0.5,0.4,0.9,2,0,0,0,0,0,0,0.667,203,268,2
Count/Balls-Strikes,After 2-2,4,,8,5,,2,0,0,0,0,,,3,1,0.4,0.625,0.4,1.025,2,0,0,0,0,0,0,0.5,237,252,2
Count/Balls-Strikes,Zero Balls,6,,11,11,,1,0,0,0,0,0,0,0,3,0.091,0.091,0.091,0.182,1,0,0,0,0,0,0,0.125,-37,-47,1
Count/Balls-Strikes,Zero Strikes,6,,9,7,,2,0,0,0,1,0,0,2,0,0.286,0.444,0.286,0.73,2,0,0,0,0,1,0,0.286,140,64,2
Count/Balls-Strikes,Three Balls,6,,6,1,,1,0,0,0,0,0,0,5,0,1.0,1.0,1.0,2.0,1,0,0,0,0,1,0,1.0,589,340,1
Count/Balls-Strikes,Two Strikes,7,,17,14,0,2,0,0,0,0,2,0,3,5,0.143,0.294,0.143,0.437,2,0,0,0,0,0,0,0.222,40,74,2
Count/Balls-Strikes,Batter Ahead,6,,12,7,,3,0,0,0,1,0,0,5,0,0.429,0.667,0.429,1.095,3,0,0,0,0,1,0,0.429,261,130,3
Count/Balls-Strikes,Even Count,7,,7,7,0,2,0,0,0,0,2,0,0,1,0.286,0.286,0.286,0.571,2,0,0,0,0,0,0,0.333,97,73,2
Count/Balls-Strikes,Pitcher Ahead,7,,11,11,,1,0,0,0,0,0,0,0,4,0.091,0.091,0.091,0.182,1,0,0,0,0,0,0,0.143,-37,-27,1
Number of Outs in Inning,0 outs,7,,8,8,,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.167,-14,-29,1
Number of Outs in Inning,1 out,7,,10,8,0,3,0,0,0,0,1,0,2,2,0.375,0.5,0.375,0.875,3,0,0,0,0,0,0,0.5,193,152,3
Number of Outs in Inning,2 outs,7,,12,9,0,2,0,0,0,1,1,0,3,1,0.222,0.417,0.222,0.639,2,0,0,0,0,1,0,0.25,106,91,2
Bases Occupied,RISP,4,,9,6,0,1,0,0,0,1,2,0,3,2,0.167,0.444,0.167,0.611,1,0,0,0,0,1,0,0.25,91,74,1
Bases Occupied,---,7,,19,18,,5,0,0,0,0,0,0,1,3,0.278,0.316,0.278,0.594,5,0,0,0,0,0,0,0.333,102,77,5
