Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,125,521,445,74,129,22,0,20,76,7,2,57,76,0.29,0.387,0.474,0.862,211,12,15,2,2,3,1,0.311,100,142,87
Season Totals,Last 7 days,6,6,27,25,5,5,0,0,1,4,1,0,1,6,0.2,0.259,0.32,0.579,8,1,1,0,0,0,1,0.222,34,67,4
Season Totals,Last 14 days,13,13,58,48,9,9,3,0,1,5,2,0,3,7,0.188,0.328,0.313,0.64,15,1,7,0,0,0,1,0.2,51,81,5
Season Totals,Last 28 days,24,24,109,90,21,23,6,0,5,16,2,0,10,16,0.256,0.385,0.489,0.874,44,1,9,0,0,2,1,0.261,103,139,12
Season Totals,Last 365 days,143,137,580,496,78,143,24,0,21,84,7,2,64,84,0.288,0.384,0.464,0.848,230,14,15,2,3,3,1,0.31,97,,98
Platoon Splits,vs RHP,117,,371,315,53,86,17,0,12,47,6,1,39,62,0.273,0.374,0.441,0.815,139,7,13,2,2,0,1,0.305,90,131,57
Platoon Splits,vs LHP,70,,150,130,21,43,5,0,8,29,1,1,18,14,0.331,0.42,0.554,0.974,72,5,2,0,0,3,0,0.324,125,171,30
Platoon Splits,vs RHP as LHB,117,,371,315,,86,17,0,12,47,0,0,39,62,0.273,0.374,0.441,0.815,139,7,13,2,2,0,1,0.305,90,123,57
Platoon Splits,vs LHP as RHB,70,,150,130,,43,5,0,8,29,0,0,18,14,0.331,0.42,0.554,0.974,72,5,2,0,0,3,0,0.324,125,164,30
Platoon Splits,vs RH Starter,86,86,361,301,55,84,17,0,14,47,6,1,44,58,0.279,0.39,0.475,0.865,143,7,12,2,2,3,1,0.303,101,144,53
Platoon Splits,vs LH Starter,39,39,160,144,19,45,5,0,6,29,1,1,13,18,0.313,0.381,0.472,0.854,68,5,3,0,0,0,0,0.325,98,139,34
Home or Away,Home,62,62,244,210,31,61,13,0,11,39,4,1,29,43,0.291,0.387,0.51,0.896,107,4,4,1,0,1,1,0.321,108,148,37
Home or Away,Away,63,63,277,235,43,68,9,0,9,37,3,1,28,33,0.289,0.388,0.443,0.83,104,8,11,1,2,2,0,0.303,94,138,50
First or Second Half,1st Half,97,97,393,338,52,103,16,0,14,59,5,2,46,59,0.305,0.394,0.476,0.87,161,11,5,2,2,1,0,0.333,102,146,73
First or Second Half,2nd Half,28,28,128,107,22,26,6,0,6,17,2,0,11,17,0.243,0.367,0.467,0.835,50,1,10,0,0,2,1,0.238,93,130,14
Months,April/March,33,33,126,107,16,34,8,0,4,19,1,0,17,20,0.318,0.413,0.505,0.917,54,5,1,0,1,0,0,0.357,113,163,22
Months,May,27,27,112,96,18,33,2,0,4,18,2,2,14,13,0.344,0.438,0.49,0.927,47,1,2,0,0,1,0,0.367,117,169,27
Months,June,26,26,109,93,13,26,5,0,3,18,1,0,12,18,0.28,0.37,0.43,0.801,40,4,2,1,1,0,0,0.315,86,124,18
Months,July,22,22,98,86,13,23,2,0,7,15,1,0,9,13,0.267,0.351,0.535,0.885,46,1,2,1,0,2,0,0.242,104,139,14
Months,August,17,17,76,63,14,13,5,0,2,6,2,0,5,12,0.206,0.342,0.381,0.723,24,1,8,0,0,0,1,0.225,69,102,6
Game Outcome for Team,in Wins,70,70,303,255,59,84,15,0,14,59,5,1,35,44,0.329,0.431,0.553,0.983,141,3,11,1,1,3,1,0.354,128,137,55
Game Outcome for Team,in Losses,55,55,218,190,15,45,7,0,6,17,2,1,22,32,0.237,0.327,0.368,0.696,70,9,4,1,1,0,0,0.255,62,137,32
Starter or Substitute,as Starter,125,125,521,445,74,129,22,0,20,76,7,2,57,76,0.29,0.387,0.474,0.862,211,12,15,2,2,3,1,0.311,100,142,87
Defensive Positions,as 1B,2,,8,7,2,3,0,0,0,0,0,0,1,1,0.429,0.5,0.429,0.929,3,1,0,0,0,0,0,0.5,120,161,3
Defensive Positions,as LF,116,,481,413,64,117,19,0,19,69,7,2,50,71,0.283,0.378,0.467,0.845,193,10,14,2,2,3,1,0.302,96,139,79
Defensive Positions,as DH,7,,32,25,8,9,3,0,1,7,0,0,6,4,0.36,0.5,0.6,1.1,15,1,1,0,0,0,0,0.4,156,195,5
Leading Off Inning,1st Batter G,14,,14,14,,4,0,0,1,1,,,0,2,0.286,0.286,0.5,0.786,7,0,0,0,0,0,0,0.273,79,116,3
Leading Off Inning,Leadoff Inn.,75,,107,93,,27,3,0,2,2,,,13,12,0.29,0.383,0.387,0.77,36,0,1,0,0,0,0,0.317,81,124,22
Batting Order Positions,Batting 1st,14,14,60,55,8,21,5,0,2,7,1,0,4,6,0.382,0.433,0.582,1.015,32,0,1,0,0,0,0,0.404,135,176,14
Batting Order Positions,Batting 2nd,40,40,177,151,29,36,6,0,10,26,3,0,15,25,0.238,0.347,0.477,0.823,72,3,10,1,0,2,1,0.224,90,116,20
Batting Order Positions,Batting 3rd,34,34,144,120,20,38,5,0,3,19,1,1,19,23,0.317,0.42,0.433,0.853,52,6,3,1,1,1,0,0.368,100,122,30
Batting Order Positions,Batting 4th,6,6,26,22,5,6,0,0,1,7,0,0,3,4,0.273,0.346,0.409,0.755,9,0,0,0,1,0,0,0.278,76,107,5
Batting Order Positions,Batting 5th,19,19,71,61,9,18,2,0,3,10,2,1,10,10,0.295,0.394,0.475,0.87,29,1,0,0,0,0,0,0.313,102,142,13
Batting Order Positions,Batting 6th,12,12,43,36,3,10,4,0,1,7,0,0,6,8,0.278,0.395,0.472,0.868,17,2,1,0,0,0,0,0.333,102,154,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,100,,160,152,,48,6,0,9,31,,,5,18,0.316,0.34,0.533,0.873,81,3,1,1,1,0,0,0.31,100,146,33
Swung or Took First Pitch of PA,Took 1st Pitch,123,,361,293,,81,16,0,11,45,,,52,58,0.277,0.408,0.444,0.852,130,9,14,1,1,3,1,0.311,99,139,54
Count/Balls-Strikes,First Pitch,60,,73,68,13,28,4,0,4,17,3,0,0,0,0.412,0.444,0.647,1.092,44,2,4,1,0,0,0,0.375,151,145,20
Count/Balls-Strikes,1-0 Count,22,,23,23,5,9,3,0,1,9,0,0,0,0,0.391,0.391,0.652,1.044,15,0,0,0,0,0,0,0.364,139,129,5
Count/Balls-Strikes,2-0 Count,10,,10,10,4,3,0,0,3,8,0,0,0,0,0.3,0.3,1.2,1.5,12,0,0,0,0,0,0,0.0,231,181,0
Count/Balls-Strikes,3-0 Count,14,,14,0,,0,0,0,0,1,0,0,14,0,,1.0,,,0,0,0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,35,,36,31,11,17,2,0,1,4,1,0,0,0,0.548,0.6,0.71,1.31,22,1,4,1,0,0,0,0.533,205,220,14
Count/Balls-Strikes,1-1 Count,34,,37,35,9,11,3,0,2,7,1,0,0,0,0.314,0.351,0.571,0.923,20,1,2,0,0,0,0,0.273,111,117,6
Count/Balls-Strikes,2-1 Count,22,,23,23,4,9,2,0,0,3,0,0,0,0,0.391,0.391,0.478,0.87,11,2,0,0,0,0,0,0.391,102,96,7
Count/Balls-Strikes,3-1 Count,24,,26,11,3,5,0,0,2,3,0,0,15,0,0.455,0.769,1.0,1.769,11,0,0,0,0,0,0,0.333,310,167,3
Count/Balls-Strikes,0-2 Count,25,,27,26,4,3,0,0,0,1,1,0,0,13,0.115,0.148,0.115,0.264,3,0,1,0,0,0,0,0.231,-38,44,3
Count/Balls-Strikes,1-2 Count,56,,76,75,5,16,3,0,1,4,0,1,0,21,0.213,0.211,0.293,0.504,22,0,0,0,1,0,1,0.278,16,144,12
Count/Balls-Strikes,2-2 Count,56,,74,71,6,14,1,0,2,8,0,0,0,26,0.197,0.23,0.296,0.526,21,4,3,0,0,0,0,0.279,22,138,11
Count/Balls-Strikes,Full Count,75,,102,72,10,14,4,0,4,11,1,1,28,16,0.194,0.422,0.417,0.838,30,2,1,0,1,0,0,0.189,97,118,6
