Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,106,96,408,352,41,87,18,0,7,40,0,2,42,73,0.247,0.343,0.358,0.701,126,16,11,0,3,0,1,0.291,100,99,62
Season Totals,Last 7 days,6,4,18,16,0,2,0,0,0,1,0,0,1,2,0.125,0.222,0.125,0.347,2,0,1,0,0,0,0,0.143,0,5,2
Season Totals,Last 14 days,11,9,38,32,2,5,1,0,0,3,0,0,3,8,0.156,0.29,0.188,0.477,6,0,3,0,0,0,0,0.208,37,38,4
Season Totals,Last 28 days,22,20,82,72,7,21,3,0,1,10,0,0,5,15,0.292,0.378,0.375,0.753,27,1,5,0,0,0,0,0.357,115,110,17
Season Totals,Last 365 days,140,130,551,480,55,117,23,0,10,57,0,3,52,103,0.244,0.334,0.354,0.688,170,16,15,0,4,0,3,0.288,96,,84
Platoon Splits,vs RHP,98,,313,268,33,66,10,0,6,27,0,1,34,55,0.246,0.348,0.351,0.699,94,15,9,0,2,0,1,0.287,100,100,50
Platoon Splits,vs LHP,45,,95,84,8,21,8,0,1,13,0,1,8,18,0.25,0.326,0.381,0.707,32,1,2,0,1,0,0,0.303,102,98,12
Platoon Splits,vs RHP as RHB,98,,313,268,,66,10,0,6,27,0,0,34,55,0.246,0.348,0.351,0.699,94,15,9,0,2,0,1,0.287,100,105,50
Platoon Splits,vs LHP as RHB,45,,95,84,,21,8,0,1,13,0,0,8,18,0.25,0.326,0.381,0.707,32,1,2,0,1,0,0,0.303,102,93,12
Platoon Splits,vs RH Starter,82,72,310,266,34,65,9,0,7,31,0,0,33,56,0.244,0.345,0.357,0.702,95,15,9,0,2,0,1,0.283,100,100,49
Platoon Splits,vs LH Starter,24,24,98,86,7,22,9,0,0,9,0,2,9,17,0.256,0.337,0.361,0.697,31,1,2,0,1,0,0,0.314,99,97,13
Home or Away,Home,52,52,212,183,25,53,12,0,5,19,0,2,22,38,0.29,0.382,0.437,0.819,80,8,6,0,1,0,0,0.34,133,128,36
Home or Away,Away,54,44,196,169,16,34,6,0,2,21,0,0,20,35,0.201,0.301,0.272,0.573,46,8,5,0,2,0,1,0.239,64,66,26
First or Second Half,1st Half,80,72,310,264,32,61,15,0,5,29,0,2,37,55,0.231,0.336,0.345,0.68,91,14,6,0,3,0,1,0.271,94,94,41
First or Second Half,2nd Half,26,24,98,88,9,26,3,0,2,11,0,0,5,18,0.296,0.367,0.398,0.765,35,2,5,0,0,0,0,0.353,118,114,21
Months,April/March,29,27,109,94,15,28,8,0,4,15,0,2,11,20,0.298,0.376,0.511,0.887,48,4,2,0,2,0,1,0.333,152,153,16
Months,May,21,17,81,72,3,8,2,0,0,5,0,0,9,11,0.111,0.21,0.139,0.349,10,4,0,0,0,0,0,0.131,0,4,6
Months,June,22,20,86,69,12,23,5,0,1,6,0,0,15,13,0.333,0.465,0.449,0.914,31,5,2,0,0,0,0,0.4,161,159,17
Months,July,20,20,82,75,7,21,2,0,1,7,0,0,4,18,0.28,0.329,0.347,0.676,26,2,2,0,1,0,0,0.351,93,87,18
Months,August,14,12,50,42,4,7,1,0,1,7,0,0,3,11,0.167,0.3,0.262,0.562,11,1,5,0,0,0,0,0.2,61,60,5
Game Outcome for Team,in Wins,50,47,209,176,28,52,13,0,5,32,0,2,25,29,0.296,0.397,0.455,0.852,80,9,6,0,2,0,1,0.326,143,107,34
Game Outcome for Team,in Losses,56,49,199,176,13,35,5,0,2,8,0,0,17,44,0.199,0.286,0.261,0.548,46,7,5,0,1,0,0,0.252,56,88,28
Starter or Substitute,as Starter,96,96,392,337,41,84,18,0,7,37,0,2,41,71,0.249,0.347,0.365,0.712,123,16,11,0,3,0,1,0.294,103,102,59
Starter or Substitute,as Sub,10,0,16,15,0,3,0,0,0,3,0,0,1,2,0.2,0.25,0.2,0.45,3,0,0,0,0,0,0,0.231,29,40,3
Defensive Positions,as 1B,22,,86,75,7,17,3,0,0,4,0,0,7,14,0.227,0.326,0.267,0.592,20,4,4,0,0,0,0,0.279,70,67,14
Defensive Positions,as 3B,6,,20,17,5,6,1,0,1,6,0,0,2,4,0.353,0.4,0.588,0.988,10,1,0,0,1,0,0,0.385,181,177,4
Defensive Positions,as DH,75,,297,255,29,63,14,0,6,30,0,2,33,54,0.247,0.347,0.373,0.719,95,11,7,0,2,0,1,0.289,105,95,43
Defensive Positions,as PH,10,,10,10,,2,0,0,0,2,0,0,0,1,0.2,0.2,0.2,0.4,2,0,0,0,0,0,0,0.222,14,26,2
Defensive Positions,as PH for DH,5,,5,5,,1,0,0,0,2,0,0,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,14,5,1
Leading Off Inning,Leadoff Inn.,68,,99,86,,24,5,0,2,2,,,12,22,0.279,0.374,0.407,0.781,35,0,1,0,0,0,0,0.355,123,126,17
Batting Order Positions,Batting 2nd,5,5,21,19,1,4,1,0,0,0,0,0,1,5,0.211,0.286,0.263,0.549,5,2,1,0,0,0,0,0.286,57,48,3
