Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,10,239,215,26.0,52,5,1,11,3,3,17,51,3.0,0.242,0.305,0.428,0.733,92.0,2.0,4.0,0,3,0,1,0.263,100,104,35
Season Totals,Last 365 days,18,443,404,43.0,92,13,2,18,6,3,27,101,3.74,0.228,0.287,0.404,0.69,163.0,4.0,8.0,0,4,0,2,0.256,88,,59
Platoon Splits,vs RHB,10,124,114,9.0,31,5,0,4,3,1,6,26,4.33,0.272,0.331,0.421,0.752,48.0,2.0,4.0,0,0,0,0,0.321,107,113,22
Platoon Splits,vs LHB,10,115,101,17.0,21,0,1,7,0,2,11,25,2.27,0.208,0.278,0.436,0.714,44.0,0.0,0.0,0,3,0,1,0.194,93,95,13
Platoon Splits,vs RHB as RHP,10,124,114,9.0,31,5,0,4,3,1,6,26,4.33,0.272,0.331,0.421,0.752,48.0,2.0,4.0,0,0,0,0,0.321,107,118,22
Platoon Splits,vs LHB as RHP,10,115,101,17.0,21,0,1,7,0,2,11,25,2.27,0.208,0.278,0.436,0.714,44.0,0.0,0.0,0,3,0,1,0.194,93,92,13
Home or Away,Home,3,71,63,10.0,17,1,1,5,1,1,7,9,1.29,0.27,0.338,0.556,0.894,35.0,1.0,0.0,0,1,0,0,0.24,141,151,10
Home or Away,Away,7,168,152,16.0,35,4,0,6,2,2,10,42,4.2,0.23,0.292,0.375,0.667,57.0,1.0,4.0,0,2,0,1,0.274,83,85,25
First or Second Half,1st Half,10,239,215,26.0,52,5,1,11,3,3,17,51,3.0,0.242,0.305,0.428,0.733,92.0,2.0,4.0,0,3,0,1,0.263,100,106,35
Months,April/March,2,41,37,2.0,7,2,0,1,0,1,4,11,2.75,0.189,0.268,0.324,0.593,12.0,0.0,0.0,0,0,0,0,0.24,64,70,4
Months,May,6,151,137,16.0,31,1,1,7,0,2,11,33,3.0,0.226,0.291,0.402,0.693,55.0,1.0,2.0,0,1,0,1,0.245,89,98,22
Months,June,2,47,41,8.0,14,2,0,3,3,0,2,7,3.5,0.342,0.383,0.61,0.993,25.0,1.0,2.0,0,2,0,0,0.333,168,172,9
Game Outcome for Pitcher,in Wins,3,74,70,4.0,14,2,0,2,0,2,2,21,10.5,0.2,0.243,0.314,0.558,22.0,0.0,2.0,0,0,0,1,0.255,53,111,10
Game Outcome for Pitcher,in Losses,2,46,40,11.0,12,0,0,4,0,0,5,5,1.0,0.3,0.37,0.6,0.97,24.0,0.0,0.0,0,1,0,0,0.25,162,98,8
Game Outcome for Pitcher,in No Dec.,5,119,105,11.0,26,3,1,5,3,1,10,25,2.5,0.248,0.319,0.438,0.757,46.0,2.0,2.0,0,2,0,0,0.273,107,115,17
Pitching Role,as Starter,10,239,215,26.0,52,5,1,11,3,3,17,51,3.0,0.242,0.305,0.428,0.733,92.0,2.0,4.0,0,3,0,1,0.263,100,102,35
Run Support,0-2 Runs Scored,4,92,81,7.0,16,1,1,3,0,1,10,21,2.1,0.198,0.283,0.346,0.628,28.0,1.0,0.0,0,1,0,0,0.224,74,70,11
Run Support,3-5 Runs Scored,2,47,44,9.0,12,1,0,4,0,1,3,6,2.0,0.273,0.319,0.568,0.887,25.0,0.0,0.0,0,0,0,0,0.235,137,144,7
Run Support,6+ Runs Scored,4,100,90,10.0,24,3,0,4,3,1,4,24,6.0,0.267,0.32,0.433,0.753,39.0,1.0,4.0,0,2,0,1,0.313,106,111,17
Batting Order Positions,Batting 1st,10,31,30,3.0,8,1,1,1,2,0,1,6,6.0,0.267,0.29,0.467,0.757,14.0,0.0,0.0,0,0,0,0,0.304,104,103,5
Batting Order Positions,Batting 2nd,10,30,25,5.0,8,0,0,3,0,2,4,4,1.0,0.32,0.433,0.68,1.113,17.0,0.0,1.0,0,0,0,1,0.278,201,189,5
Batting Order Positions,Batting 3rd,10,28,23,0.0,2,1,0,0,1,0,4,7,1.75,0.087,0.25,0.13,0.38,3.0,0.0,1.0,0,0,0,0,0.125,12,4,1
Batting Order Positions,Batting 4th,10,27,26,8.0,9,0,0,3,0,0,1,4,4.0,0.346,0.37,0.692,1.063,18.0,0.0,0.0,0,0,0,0,0.316,183,181,6
Batting Order Positions,Batting 5th,10,27,26,2.0,7,2,0,1,0,0,0,4,,0.269,0.296,0.462,0.758,12.0,2.0,1.0,0,0,0,0,0.286,105,108,4
Batting Order Positions,Batting 6th,10,26,24,1.0,6,0,0,1,0,0,2,6,3.0,0.25,0.308,0.375,0.683,9.0,0.0,0.0,0,0,0,0,0.294,89,100,5
Batting Order Positions,Batting 7th,10,25,21,3.0,2,0,0,1,0,1,2,8,4.0,0.095,0.16,0.238,0.398,5.0,0.0,0.0,0,2,0,0,0.071,8,15,1
Batting Order Positions,Batting 8th,10,23,21,1.0,7,1,0,1,0,0,1,6,6.0,0.333,0.391,0.524,0.915,11.0,0.0,1.0,0,0,0,0,0.429,151,177,5
Batting Order Positions,Batting 9th,10,22,19,3.0,3,0,0,0,0,0,2,6,3.0,0.158,0.227,0.158,0.385,3.0,0.0,0.0,0,1,0,0,0.214,11,27,3
Batting Order Positions,"Bat1-2,non-P",10,61,55,8.0,16,1,1,4,2,2,5,10,2.0,0.291,0.361,0.564,0.924,31.0,0.0,1.0,0,0,0,1,0.293,150,145,10
Batting Order Positions,"Bat3-6,non-P",10,108,99,11.0,24,3,0,5,1,0,7,21,3.0,0.242,0.306,0.424,0.73,42.0,2.0,2.0,0,0,0,0,0.26,99,99,16
Batting Order Positions,"Bat7-9,non-P",10,70,61,7.0,12,1,0,2,0,1,5,20,4.0,0.197,0.257,0.312,0.569,19.0,0.0,1.0,0,3,0,0,0.238,57,73,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,10,69,66,5.0,14,1,0,5,,,2,14,7.0,0.212,0.246,0.455,0.701,30.0,1.0,1.0,0,0,0,0,0.192,87,95,8
Swung or Took First Pitch of PA,Took 1st Pitch,10,170,149,21.0,38,4,1,6,,,15,37,2.47,0.255,0.329,0.416,0.746,62.0,1.0,3.0,0,3,0,1,0.294,105,108,27
Count/Balls-Strikes,First Pitch,9,30,29,4.0,9,1,0,4,,,0,0,,0.31,0.333,0.759,1.092,22.0,1.0,1.0,0,0,0,0,0.2,187,133,4
Count/Balls-Strikes,1-0 Count,7,11,9,3.0,3,1,0,1,,,0,0,,0.333,0.364,0.778,1.141,7.0,0.0,1.0,0,1,0,0,0.222,201,142,1
Count/Balls-Strikes,2-0 Count,7,11,11,2.0,4,0,0,1,,,0,0,,0.364,0.364,0.636,1.0,7.0,1.0,0.0,0,0,0,0,0.3,168,108,3
Count/Balls-Strikes,3-0 Count,2,2,0,0.0,0,0,0,0,,,2,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,10,18,16,4.0,5,1,1,1,,,0,0,,0.313,0.333,0.688,1.021,11.0,0.0,1.0,0,1,0,0,0.25,170,135,2
Count/Balls-Strikes,1-1 Count,9,18,18,1.0,3,1,0,0,,,0,0,,0.167,0.167,0.222,0.389,4.0,0.0,0.0,0,0,0,0,0.167,7,-6,2
Count/Balls-Strikes,2-1 Count,7,8,8,0.0,2,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,2.0,0.0,0.0,0,0,0,0,0.25,40,16,2
Count/Balls-Strikes,3-1 Count,8,10,5,2.0,3,0,0,1,,,5,0,0.0,0.6,0.8,1.2,2.0,6.0,0.0,0.0,0,0,0,0,0.5,443,203,2
Count/Balls-Strikes,0-2 Count,9,30,30,1.0,4,0,0,1,,,0,13,,0.133,0.133,0.233,0.367,7.0,0.0,0.0,0,0,0,1,0.188,-2,88,3
Count/Balls-Strikes,1-2 Count,10,32,32,0.0,6,1,0,0,,,0,16,,0.188,0.188,0.219,0.406,7.0,0.0,0.0,0,0,0,0,0.375,13,100,5
Count/Balls-Strikes,2-2 Count,10,36,36,1.0,8,0,0,0,,,0,11,,0.222,0.222,0.222,0.444,8.0,0.0,0.0,0,0,0,0,0.32,25,106,8
Count/Balls-Strikes,Full Count,10,33,21,8.0,5,0,0,2,,,10,11,1.1,0.238,0.485,0.524,1.009,11.0,0.0,1.0,0,1,0,0,0.333,181,164,3
Count/Balls-Strikes,After 1-0,10,97,82,9.0,25,3,0,3,,,12,13,1.08,0.305,0.402,0.451,0.853,37.0,1.0,2.0,0,1,0,0,0.328,137,113,19
Count/Balls-Strikes,After 2-0,10,39,32,4.0,9,0,0,1,,,6,6,1.0,0.281,0.41,0.375,0.785,12.0,1.0,1.0,0,0,0,0,0.32,122,64,8
Count/Balls-Strikes,After 3-0,5,7,3,1.0,1,0,0,0,,,3,0,0.0,0.333,0.714,0.333,1.048,1.0,0.0,1.0,0,0,0,0,0.333,212,62,1
Count/Balls-Strikes,After 0-1,10,110,103,13.0,18,1,1,4,,,4,37,9.25,0.175,0.209,0.32,0.53,33.0,0.0,1.0,0,2,0,1,0.219,43,73,12
Count/Balls-Strikes,After 1-1,10,88,78,9.0,20,2,0,3,,,10,19,1.9,0.256,0.341,0.397,0.738,31.0,0.0,0.0,0,0,0,0,0.304,105,123,15
Count/Balls-Strikes,After 2-1,10,48,38,6.0,11,0,0,2,,,10,11,1.1,0.29,0.438,0.447,0.885,17.0,0.0,0.0,0,0,0,0,0.36,148,125,9
Count/Balls-Strikes,After 3-1,10,19,11,3.0,4,0,0,1,,,7,2,0.29,0.364,0.632,0.636,1.268,7.0,0.0,1.0,0,0,0,0,0.375,256,152,3
Count/Balls-Strikes,After 0-2,10,51,50,2.0,6,0,0,1,,,0,25,,0.12,0.118,0.18,0.298,9.0,0.0,0.0,0,1,0,1,0.2,-19,30,5
Count/Balls-Strikes,After 1-2,10,64,60,4.0,12,1,0,1,,,3,26,8.67,0.2,0.234,0.267,0.501,16.0,0.0,0.0,0,1,0,0,0.324,39,102,10
Count/Balls-Strikes,After 2-2,10,59,51,8.0,12,0,0,2,,,7,20,2.86,0.235,0.322,0.353,0.675,18.0,0.0,0.0,0,1,0,0,0.333,88,132,10
