Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,sOPS+,1B
Season Totals,2024 Totals,7,3,11,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Season Totals,Last 7 days,2,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Season Totals,Last 14 days,5,2,8,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Season Totals,Last 28 days,7,3,11,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Season Totals,Last 365 days,7,3,11,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,0
Platoon Splits,vs RHP,6,,10,10,,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Platoon Splits,vs LHP,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Platoon Splits,vs RHP as LHB,6,,10,10,,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Platoon Splits,vs LHP as LHB,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Platoon Splits,vs RH Starter,5,3,9,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Platoon Splits,vs LH Starter,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Home or Away,Home,4,2,6,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Home or Away,Away,3,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
First or Second Half,2nd Half,7,3,11,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Months,August,7,3,11,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Game Outcome for Team,in Wins,4,3,8,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Game Outcome for Team,in Losses,3,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Starter or Substitute,as Starter,3,3,6,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Starter or Substitute,as Sub,4,0,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Defensive Positions,as LF,4,,7,7,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Defensive Positions,as CF,1,,2,2,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Leading Off Inning,Leadoff Inn.,3,,3,3,,0,0,0,0,0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Batting Order Positions,Batting 1st,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Batting Order Positions,Batting 3rd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Batting Order Positions,Batting 4th,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Batting Order Positions,Batting 8th,1,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Batting Order Positions,Batting 9th,2,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,2,,2,2,,0,0,0,0,0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Swung or Took First Pitch of PA,Took 1st Pitch,6,,9,9,,0,0,0,0,0,,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Count/Balls-Strikes,0-1 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Count/Balls-Strikes,1-1 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Count/Balls-Strikes,0-2 Count,2,,2,2,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Count/Balls-Strikes,1-2 Count,4,,4,4,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
Count/Balls-Strikes,2-2 Count,3,,3,3,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,-100,0
Count/Balls-Strikes,After 1-0,4,,5,5,,0,0,0,0,0,,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-100,0
