Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,99,90,372,353,38,81,14,0,12,46,1,1,11,37,0.23,0.261,0.371,0.632,131,9,5,0,3,0,0,0.225,100,76,55
Season Totals,Last 7 days,5,4,18,18,4,5,2,0,1,4,0,0,0,0,0.278,0.278,0.556,0.833,10,1,0,0,0,0,0,0.235,156,138,2
Season Totals,Last 14 days,10,9,39,39,6,10,2,0,3,7,0,0,0,1,0.256,0.256,0.539,0.795,21,3,0,0,0,0,0,0.2,143,118,5
Season Totals,Last 28 days,23,20,86,83,13,22,5,0,5,16,0,0,2,5,0.265,0.291,0.506,0.797,42,4,1,0,0,0,0,0.233,148,115,12
Season Totals,Last 365 days,129,118,495,473,52,113,19,0,15,62,1,1,14,55,0.239,0.267,0.374,0.641,177,10,5,0,3,0,1,0.241,103,,79
Platoon Splits,vs RHP,93,,278,264,28,60,9,0,10,37,1,1,8,30,0.227,0.259,0.375,0.634,99,4,4,0,2,0,0,0.221,100,77,41
Platoon Splits,vs LHP,51,,94,89,10,21,5,0,2,9,0,0,3,7,0.236,0.266,0.36,0.626,32,5,1,0,1,0,0,0.235,99,74,14
Platoon Splits,vs RHP as LHB,93,,278,264,,60,9,0,10,37,0,0,8,30,0.227,0.259,0.375,0.634,99,4,4,0,2,0,0,0.221,100,71,41
Platoon Splits,vs LHP as RHB,51,,94,89,,21,5,0,2,9,0,0,3,7,0.236,0.266,0.36,0.626,32,5,1,0,1,0,0,0.235,99,70,14
Platoon Splits,vs RH Starter,73,69,283,270,34,66,11,0,11,39,1,1,7,26,0.244,0.269,0.407,0.676,110,4,3,0,3,0,0,0.233,113,88,44
Platoon Splits,vs LH Starter,26,21,89,83,4,15,3,0,1,7,0,0,4,11,0.181,0.236,0.253,0.489,21,5,2,0,0,0,0,0.197,59,38,11
Home or Away,Home,51,46,189,182,21,46,8,0,5,21,0,0,3,16,0.253,0.27,0.379,0.649,69,4,2,0,2,0,0,0.252,106,79,33
Home or Away,Away,48,44,183,171,17,35,6,0,7,25,1,1,8,21,0.205,0.251,0.363,0.614,62,5,3,0,1,0,0,0.194,94,73,22
First or Second Half,1st Half,70,65,266,250,23,55,9,0,6,28,1,1,9,30,0.22,0.256,0.328,0.584,82,4,4,0,3,0,0,0.226,87,65,40
First or Second Half,2nd Half,29,25,106,103,15,26,5,0,6,18,0,0,2,7,0.252,0.274,0.476,0.749,49,5,1,0,0,0,0,0.222,133,103,15
Months,April/March,13,13,54,49,3,7,0,0,2,4,0,0,3,8,0.143,0.222,0.265,0.488,13,1,2,0,0,0,0,0.128,57,40,5
