Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,86,58,263,239,34,63,16,1,7,44,10,3,11,51,0.264,0.317,0.427,0.744,102,8,9,1,3,0,1,0.304,100,108,39
Season Totals,Last 7 days,6,3,18,14,4,4,2,0,0,4,1,0,1,5,0.286,0.389,0.429,0.818,6,1,2,0,1,0,0,0.4,123,141,2
Season Totals,Last 14 days,10,6,33,28,4,7,4,0,0,8,1,0,1,9,0.25,0.333,0.393,0.726,11,2,3,0,1,0,0,0.35,97,106,3
Season Totals,Last 28 days,19,14,69,63,9,14,5,0,0,12,1,1,1,16,0.222,0.261,0.302,0.563,19,3,3,0,2,0,1,0.286,53,56,9
Season Totals,Last 365 days,104,69,318,292,43,76,18,1,10,56,11,4,11,63,0.26,0.303,0.432,0.734,126,9,9,1,5,0,1,0.295,97,,47
Platoon Splits,vs RHP,60,,150,134,23,28,5,0,4,20,7,2,7,31,0.209,0.275,0.336,0.611,45,6,6,1,2,0,0,0.238,65,72,19
Platoon Splits,vs LHP,53,,113,105,11,35,11,1,3,24,3,1,4,20,0.333,0.372,0.543,0.915,57,2,3,0,1,0,1,0.386,145,153,20
Platoon Splits,vs RHP as RHB,60,,150,134,,28,5,0,4,20,0,0,7,31,0.209,0.275,0.336,0.611,45,6,6,1,2,0,0,0.238,65,77,19
Platoon Splits,vs LHP as RHB,53,,113,105,,35,11,1,3,24,0,0,4,20,0.333,0.372,0.543,0.915,57,2,3,0,1,0,1,0.386,145,147,20
Platoon Splits,vs RH Starter,59,31,154,138,21,31,7,0,4,18,6,2,8,31,0.225,0.294,0.362,0.656,50,6,6,1,1,0,0,0.26,78,85,20
Platoon Splits,vs LH Starter,27,27,109,101,13,32,9,1,3,26,4,1,3,20,0.317,0.349,0.515,0.864,52,2,3,0,2,0,1,0.363,131,140,19
Home or Away,Home,41,28,120,110,15,34,6,1,3,18,5,0,4,25,0.309,0.358,0.464,0.822,51,6,5,0,1,0,0,0.374,122,127,24
Home or Away,Away,45,30,143,129,19,29,10,0,4,26,5,3,7,26,0.225,0.282,0.395,0.677,51,2,4,1,2,0,1,0.248,82,92,15
First or Second Half,1st Half,62,42,182,164,23,44,9,1,7,30,7,2,10,33,0.268,0.332,0.463,0.795,76,5,6,1,1,0,0,0.296,113,123,27
First or Second Half,2nd Half,24,16,81,75,11,19,7,0,0,14,3,1,1,18,0.253,0.284,0.347,0.631,26,3,3,0,2,0,1,0.322,71,75,12
Months,April/March,17,8,32,25,1,4,2,0,1,4,2,0,4,8,0.16,0.29,0.36,0.65,9,0,1,1,1,0,0,0.177,76,86,1
Months,May,19,15,69,66,14,27,3,1,5,21,4,1,2,11,0.409,0.435,0.712,1.147,47,3,1,0,0,0,0,0.44,204,225,18
Months,June,20,14,61,54,8,11,4,0,1,5,1,1,4,9,0.204,0.295,0.333,0.628,18,1,3,0,0,0,0,0.227,71,76,6
Months,July,14,9,41,40,4,10,3,0,0,2,2,0,0,9,0.25,0.268,0.325,0.593,13,1,1,0,0,0,0,0.323,61,63,7
Months,August,16,12,60,54,7,11,4,0,0,12,1,1,1,14,0.204,0.25,0.278,0.528,15,3,3,0,2,0,1,0.262,44,48,7
Game Outcome for Team,in Wins,34,23,109,100,22,33,10,1,3,29,5,0,3,20,0.33,0.367,0.54,0.907,54,2,4,0,2,0,0,0.38,142,117,19
Game Outcome for Team,in Losses,52,35,154,139,12,30,6,0,4,15,5,3,8,31,0.216,0.281,0.345,0.626,48,6,5,1,1,0,1,0.248,69,113,20
Starter or Substitute,as Starter,58,58,232,211,30,59,15,1,7,39,9,3,9,41,0.28,0.332,0.46,0.792,97,6,9,0,3,0,1,0.313,113,121,36
Starter or Substitute,as Sub,28,0,31,28,4,4,1,0,0,5,1,0,2,10,0.143,0.2,0.179,0.379,5,2,0,1,0,0,0,0.222,5,16,3
Defensive Positions,as LF,14,,56,53,7,10,3,0,2,10,0,1,2,8,0.189,0.232,0.359,0.591,19,2,1,0,0,0,0,0.186,57,65,5
Defensive Positions,as CF,37,,130,120,17,38,10,1,5,27,5,1,4,26,0.317,0.346,0.542,0.888,65,2,3,0,3,0,1,0.359,136,152,22
Defensive Positions,as RF,12,,43,35,6,9,2,0,0,1,4,1,3,9,0.257,0.395,0.314,0.71,11,3,5,0,0,0,0,0.346,98,101,7
Defensive Positions,as DH,9,,20,18,1,5,1,0,0,4,0,0,1,5,0.278,0.316,0.333,0.649,6,0,0,1,0,0,0,0.385,78,76,4
Defensive Positions,as PH,20,,20,18,1,2,0,0,0,2,1,0,2,5,0.111,0.2,0.111,0.311,2,1,0,0,0,0,0,0.154,-11,0,2
Defensive Positions,as PH for DH,6,,6,5,,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,1,0,0,0,0,0,0,0.333,52,41,1
Defensive Positions,as PR,,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,39,,58,52,,9,1,1,3,3,,,2,14,0.173,0.259,0.404,0.662,21,0,4,0,0,0,1,0.171,76,87,4
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 2nd,5,1,10,9,0,1,1,0,0,2,1,0,0,0,0.111,0.2,0.222,0.422,2,1,1,0,0,0,0,0.111,15,13,0
Batting Order Positions,Batting 3rd,7,5,21,20,1,3,2,0,0,4,0,0,0,5,0.15,0.191,0.25,0.441,5,1,1,0,0,0,0,0.2,19,13,1
Batting Order Positions,Batting 4th,41,32,140,127,19,36,8,1,3,22,6,1,7,27,0.284,0.331,0.433,0.764,55,4,3,1,2,0,1,0.333,106,107,24
Batting Order Positions,Batting 5th,16,13,59,54,12,19,4,0,3,10,2,2,2,9,0.352,0.407,0.593,0.999,32,2,3,0,0,0,0,0.381,167,175,12
Batting Order Positions,Batting 6th,4,3,11,9,0,1,0,0,0,0,1,0,1,3,0.111,0.273,0.111,0.384,1,0,1,0,0,0,0,0.167,12,19,1
Batting Order Positions,Batting 7th,8,4,16,15,1,2,1,0,1,4,0,0,0,6,0.133,0.125,0.4,0.525,6,0,0,0,1,0,0,0.111,33,46,0
Batting Order Positions,Batting 8th,3,0,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-21,-15,0
Batting Order Positions,Batting 9th,1,0,1,1,1,1,0,0,0,2,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,450,548,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,54,,79,76,,18,5,1,2,13,,,1,14,0.237,0.256,0.408,0.664,31,6,1,1,0,0,1,0.267,76,87,10
Swung or Took First Pitch of PA,Took 1st Pitch,77,,184,163,,45,11,0,5,31,,,10,37,0.276,0.342,0.436,0.778,71,2,8,0,3,0,0,0.323,110,117,29
Count/Balls-Strikes,First Pitch,24,,27,24,6,9,3,1,1,5,1,0,0,0,0.375,0.423,0.708,1.131,17,3,2,1,0,0,0,0.348,199,150,4
Count/Balls-Strikes,1-0 Count,14,,17,16,4,8,2,0,2,5,3,0,0,0,0.5,0.529,1.0,1.529,16,0,1,0,0,0,0,0.429,301,229,4
Count/Balls-Strikes,2-0 Count,8,,8,7,1,4,0,0,1,4,0,0,0,0,0.571,0.625,1.0,1.625,7,1,1,0,0,0,0,0.5,331,243,3
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,27,,29,28,5,6,1,0,0,4,3,1,0,0,0.214,0.241,0.25,0.491,7,2,1,0,0,0,0,0.214,35,22,5
Count/Balls-Strikes,1-1 Count,21,,25,23,5,7,4,0,1,4,2,0,0,0,0.304,0.32,0.609,0.929,14,0,1,0,1,0,1,0.261,144,114,2
Count/Balls-Strikes,2-1 Count,13,,13,13,2,7,2,0,1,4,0,0,0,0,0.539,0.539,0.923,1.462,12,0,0,0,0,0,0,0.5,286,215,4
Count/Balls-Strikes,3-1 Count,4,,4,2,,0,0,0,0,0,0,0,2,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,58,-28,0
Count/Balls-Strikes,0-2 Count,28,,35,34,2,7,1,0,0,6,0,0,0,14,0.206,0.2,0.235,0.435,8,0,0,0,1,0,0,0.333,18,132,6
Count/Balls-Strikes,1-2 Count,33,,36,35,3,5,1,0,0,4,1,0,0,18,0.143,0.167,0.171,0.338,6,0,1,0,0,0,0,0.294,-7,68,4
Count/Balls-Strikes,2-2 Count,30,,38,36,4,7,2,0,1,5,0,0,0,14,0.194,0.237,0.333,0.57,12,2,2,0,0,0,0,0.286,53,156,4
Count/Balls-Strikes,Full Count,26,,30,21,2,3,0,0,0,3,0,2,8,5,0.143,0.367,0.143,0.51,3,0,0,0,1,0,0,0.177,49,24,3
Count/Balls-Strikes,After 1-0,61,,101,88,,29,10,0,4,21,,,8,18,0.33,0.406,0.58,0.985,51,1,4,0,1,0,0,0.373,164,144,15
Count/Balls-Strikes,After 2-0,26,,28,22,,9,3,0,1,7,,,4,2,0.409,0.536,0.682,1.218,15,1,2,0,0,0,0,0.421,229,155,5
Count/Balls-Strikes,After 3-0,7,,7,5,,0,0,0,0,0,,,2,2,0.0,0.286,0.0,0.286,0,0,0,0,0,0,0,0.0,-10,-61,0
Count/Balls-Strikes,After 0-1,66,,134,126,,25,3,0,2,18,,,3,33,0.198,0.231,0.27,0.501,34,4,3,0,2,0,1,0.247,36,67,20
Count/Balls-Strikes,After 1-1,62,,97,88,,21,6,0,3,14,,,6,26,0.239,0.299,0.409,0.708,36,2,2,0,1,0,1,0.3,90,112,12
Count/Balls-Strikes,After 2-1,42,,48,39,,12,3,0,2,5,,,7,8,0.308,0.438,0.539,0.976,21,2,2,0,0,0,0,0.345,164,148,7
Count/Balls-Strikes,After 3-1,15,,16,12,,1,0,0,0,0,,,4,2,0.083,0.313,0.083,0.396,1,0,0,0,0,0,0,0.1,18,-28,1
Count/Balls-Strikes,After 0-2,45,,64,60,,10,1,0,0,9,,,1,23,0.167,0.188,0.183,0.371,11,0,1,0,2,0,0,0.256,2,67,9
