Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,100,81,315,302,31,65,12,1,10,28,5,3,13,99,0.215,0.248,0.361,0.609,109,7,0,0,0,0,3,0.285,100,69,42
Season Totals,Last 7 days,5,4,17,17,1,3,2,0,0,0,0,0,0,7,0.177,0.177,0.294,0.471,5,1,0,0,0,0,0,0.3,52,33,1
Season Totals,Last 14 days,9,8,34,33,4,9,2,0,1,1,0,1,1,12,0.273,0.294,0.424,0.718,14,1,0,0,0,0,0,0.4,136,98,6
Season Totals,Last 28 days,21,16,63,61,6,13,3,1,1,3,0,1,2,23,0.213,0.238,0.344,0.582,21,2,0,0,0,0,0,0.324,91,58,8
Season Totals,Last 365 days,124,104,385,367,35,70,13,1,11,31,5,3,18,119,0.191,0.229,0.322,0.55,118,7,0,0,0,0,4,0.249,82,,45
Platoon Splits,vs RHP,87,,238,229,23,48,11,1,8,21,2,3,9,76,0.21,0.24,0.371,0.611,85,3,0,0,0,0,2,0.276,99,70,28
Platoon Splits,vs LHP,43,,77,73,8,17,1,0,2,7,3,0,4,23,0.233,0.273,0.329,0.602,24,4,0,0,0,0,1,0.313,101,68,14
Platoon Splits,vs RHP as RHB,87,,238,229,,48,11,1,8,21,0,0,9,76,0.21,0.24,0.371,0.611,85,3,0,0,0,0,2,0.276,99,75,28
Platoon Splits,vs LHP as RHB,43,,77,73,,17,1,0,2,7,0,0,4,23,0.233,0.273,0.329,0.602,24,4,0,0,0,0,1,0.313,101,64,14
Platoon Splits,vs RH Starter,78,62,238,229,23,49,10,1,10,24,3,3,9,72,0.214,0.244,0.397,0.641,91,3,0,0,0,0,2,0.265,108,78,28
Platoon Splits,vs LH Starter,22,19,77,73,8,16,2,0,0,4,2,0,4,27,0.219,0.26,0.247,0.506,18,4,0,0,0,0,1,0.348,73,44,14
Home or Away,Home,48,35,139,134,12,27,1,0,6,10,1,1,5,37,0.202,0.23,0.343,0.574,46,4,0,0,0,0,0,0.231,88,57,20
Home or Away,Away,52,46,176,168,19,38,11,1,4,18,4,2,8,62,0.226,0.261,0.375,0.636,63,3,0,0,0,0,3,0.333,109,80,22
First or Second Half,1st Half,75,61,240,229,23,50,8,0,8,24,5,2,11,73,0.218,0.254,0.358,0.612,82,5,0,0,0,0,3,0.284,102,72,34
First or Second Half,2nd Half,25,20,75,73,8,15,4,1,2,4,0,1,2,26,0.206,0.227,0.37,0.597,27,2,0,0,0,0,0,0.289,94,62,8
