Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,15,346.0,319,55.0,95,14,5,13,6,3,23,62,2.7,0.298,0.345,0.495,0.84,158.0,7.0,1.0,1,2,0,4,0.333,100,134,63
Season Totals,Last 7 days,2,51.0,46,8.0,13,3,0,2,1,1,5,6,1.2,0.283,0.353,0.478,0.831,22.0,1.0,0.0,0,0,0,1,0.29,99,142,8
Season Totals,Last 14 days,3,66.0,60,11.0,17,3,0,4,1,1,6,7,1.17,0.283,0.349,0.533,0.882,32.0,2.0,0.0,0,0,0,1,0.265,109,146,10
Season Totals,Last 28 days,5,111.0,103,15.0,27,4,0,5,1,2,8,20,2.5,0.262,0.315,0.447,0.762,46.0,3.0,0.0,0,0,0,1,0.282,82,108,18
Season Totals,Last 365 days,20,461.0,426,71.0,129,19,6,19,6,3,28,73,2.61,0.303,0.344,0.509,0.854,217.0,10.0,1.0,2,4,0,4,0.325,103,,85
Platoon Splits,vs RHB,15,297.0,276,47.0,84,13,4,13,5,2,17,52,3.06,0.304,0.345,0.522,0.866,144.0,6.0,1.0,1,2,0,4,0.333,106,143,54
Platoon Splits,vs LHB,13,49.0,43,4.0,11,1,1,0,1,1,6,10,1.67,0.256,0.347,0.326,0.673,14.0,1.0,0.0,0,0,0,0,0.333,66,90,9
Platoon Splits,vs RHB as LHP,15,297.0,276,47.0,84,13,4,13,5,2,17,52,3.06,0.304,0.345,0.522,0.866,144.0,6.0,1.0,1,2,0,4,0.333,106,133,54
Platoon Splits,vs LHB as LHP,13,49.0,43,4.0,11,1,1,0,1,1,6,10,1.67,0.256,0.347,0.326,0.673,14.0,1.0,0.0,0,0,0,0,0.333,66,104,9
Home or Away,Home,7,155.0,143,20.0,35,6,2,3,3,1,11,26,2.36,0.245,0.297,0.378,0.674,54.0,2.0,0.0,0,1,0,3,0.278,63,92,24
Home or Away,Away,8,191.0,176,35.0,60,8,3,10,3,2,12,36,3.0,0.341,0.384,0.591,0.975,104.0,5.0,1.0,1,1,0,1,0.382,131,167,39
