Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,23,437.0,401,73.0,117,12,1,19,12,6,29,67,2.31,0.292,0.341,0.469,0.81,188.0,5.0,3.0,0,4,0,0,0.307,100,126,85
Season Totals,Last 7 days,1,22.0,20,3.0,7,2,0,0,1,1,2,0,0.0,0.35,0.409,0.45,0.859,9.0,0.0,0.0,0,0,0,0,0.35,116,153,5
Season Totals,Last 14 days,2,43.0,41,5.0,12,2,0,1,1,1,2,2,1.0,0.293,0.326,0.415,0.74,17.0,0.0,0.0,0,0,0,0,0.29,84,109,9
Season Totals,Last 28 days,4,85.0,79,10.0,21,5,0,3,2,2,5,11,2.2,0.266,0.306,0.443,0.749,35.0,1.0,0.0,0,1,0,0,0.273,84,104,13
Season Totals,Last 365 days,30,607.0,559,92.0,160,23,3,21,17,7,39,96,2.46,0.286,0.334,0.451,0.785,252.0,6.0,4.0,0,5,0,2,0.311,94,,113
Platoon Splits,vs RHB,23,219.0,201,33.0,56,5,1,7,4,4,13,33,2.54,0.279,0.32,0.418,0.738,84.0,5.0,1.0,0,4,0,0,0.297,83,109,43
Platoon Splits,vs LHB,23,218.0,200,38.0,61,7,0,12,8,2,16,34,2.13,0.305,0.362,0.52,0.882,104.0,0.0,2.0,0,0,0,0,0.318,117,142,42
Platoon Splits,vs RHB as RHP,23,219.0,201,33.0,56,5,1,7,4,4,13,33,2.54,0.279,0.32,0.418,0.738,84.0,5.0,1.0,0,4,0,0,0.297,83,113,43
Platoon Splits,vs LHB as RHP,23,218.0,200,38.0,61,7,0,12,8,2,16,34,2.13,0.305,0.362,0.52,0.882,104.0,0.0,2.0,0,0,0,0,0.318,117,138,42
Home or Away,Home,11,201.0,184,29.0,53,7,0,7,4,1,12,36,3.0,0.288,0.333,0.44,0.774,81.0,1.0,2.0,0,3,0,0,0.319,92,119,39
Home or Away,Away,12,236.0,217,44.0,64,5,1,12,8,5,17,31,1.82,0.295,0.348,0.493,0.841,107.0,4.0,1.0,0,1,0,0,0.297,107,131,46
First or Second Half,1st Half,17,307.0,281,54.0,85,7,1,13,9,4,21,50,2.38,0.303,0.352,0.473,0.825,133.0,4.0,2.0,0,3,0,0,0.326,104,132,64
First or Second Half,2nd Half,6,130.0,120,19.0,32,5,0,6,3,2,8,17,2.13,0.267,0.315,0.458,0.774,55.0,1.0,1.0,0,1,0,0,0.265,90,112,21
Months,April/March,5,106.0,98,28.0,37,5,1,8,2,0,7,16,2.29,0.378,0.425,0.694,1.118,68.0,1.0,1.0,0,0,0,0,0.392,173,216,23
Months,May,4,69.0,61,14.0,19,1,0,3,6,1,6,11,1.83,0.312,0.362,0.475,0.838,29.0,1.0,0.0,0,2,0,0,0.327,107,140,15
Months,June,6,97.0,91,10.0,20,1,0,2,1,1,5,19,3.8,0.22,0.258,0.297,0.554,27.0,1.0,0.0,0,1,0,0,0.254,39,55,17
Months,July,5,99.0,89,14.0,24,1,0,4,1,3,8,14,1.75,0.27,0.343,0.416,0.759,37.0,2.0,2.0,0,0,0,0,0.282,89,108,19
Months,August,3,66.0,62,7.0,17,4,0,2,2,1,3,7,2.33,0.274,0.303,0.436,0.739,27.0,0.0,0.0,0,1,0,0,0.278,82,103,11
Game Outcome for Pitcher,in Wins,3,63.0,59,4.0,11,2,0,1,0,2,4,15,3.75,0.186,0.238,0.271,0.509,16.0,2.0,0.0,0,0,0,0,0.233,28,95,8
Game Outcome for Pitcher,in Losses,10,211.0,196,46.0,67,5,1,12,6,2,10,32,3.2,0.342,0.374,0.561,0.936,110.0,1.0,2.0,0,3,0,0,0.355,129,92,49
Game Outcome for Pitcher,in No Dec.,10,163.0,146,23.0,39,5,0,6,6,2,15,20,1.33,0.267,0.337,0.425,0.762,62.0,2.0,1.0,0,1,0,0,0.273,89,118,28
Game Outcome for Pitcher,in non-Sv,5,56.0,51,5.0,12,0,0,1,4,0,4,6,1.5,0.235,0.286,0.294,0.58,15.0,2.0,0.0,0,1,0,0,0.244,47,65,11
Pitching Role,as Starter,18,381.0,350,68.0,105,12,1,18,8,6,25,61,2.44,0.3,0.349,0.494,0.843,173.0,3.0,3.0,0,3,0,0,0.318,108,132,74
Pitching Role,as Reliever,5,56.0,51,5.0,12,0,0,1,4,0,4,6,1.5,0.235,0.286,0.294,0.58,15.0,2.0,0.0,0,1,0,0,0.244,47,67,11
Run Support,0-2 Runs Scored,8,168.0,154,34.0,50,4,1,10,4,2,10,23,2.3,0.325,0.369,0.558,0.927,86.0,1.0,2.0,0,2,0,0,0.325,127,145,35
Run Support,3-5 Runs Scored,4,87.0,81,13.0,24,1,0,3,3,2,5,17,3.4,0.296,0.333,0.42,0.753,34.0,1.0,0.0,0,1,0,0,0.339,87,112,20
Run Support,6+ Runs Scored,6,126.0,115,21.0,31,7,0,5,1,2,10,21,2.1,0.27,0.333,0.461,0.794,53.0,1.0,1.0,0,0,0,0,0.292,96,122,19
Batting Order Positions,Batting 1st,23,59.0,53,8.0,15,0,0,2,2,0,6,9,1.5,0.283,0.356,0.396,0.752,21.0,1.0,0.0,0,0,0,0,0.31,89,106,13
Batting Order Positions,Batting 2nd,23,57.0,54,6.0,18,2,0,1,2,2,3,8,2.67,0.333,0.368,0.426,0.794,23.0,0.0,0.0,0,0,0,0,0.378,99,111,15
Batting Order Positions,Batting 3rd,23,53.0,45,10.0,9,0,0,4,3,1,5,4,0.8,0.2,0.283,0.467,0.75,21.0,0.0,1.0,0,2,0,0,0.128,83,89,5
Batting Order Positions,Batting 4th,22,50.0,47,9.0,16,3,0,3,1,2,3,12,4.0,0.34,0.38,0.596,0.976,28.0,0.0,0.0,0,0,0,0,0.406,139,161,10
Batting Order Positions,Batting 5th,22,46.0,38,8.0,13,3,0,3,0,1,5,7,1.4,0.342,0.435,0.658,1.093,25.0,1.0,2.0,0,1,0,0,0.345,168,200,7
Batting Order Positions,Batting 6th,22,43.0,41,4.0,12,0,1,0,1,0,2,8,4.0,0.293,0.326,0.342,0.667,14.0,3.0,0.0,0,0,0,0,0.364,68,97,11
Batting Order Positions,Batting 7th,22,42.0,42,14.0,17,3,0,2,1,0,0,3,,0.405,0.405,0.619,1.024,26.0,0.0,0.0,0,0,0,0,0.405,151,194,12
Batting Order Positions,Batting 8th,22,44.0,43,5.0,11,1,0,2,1,0,0,7,,0.256,0.25,0.419,0.669,18.0,0.0,0.0,0,1,0,0,0.257,63,100,8
Batting Order Positions,Batting 9th,23,43.0,38,7.0,6,0,0,2,1,0,5,9,1.8,0.158,0.256,0.316,0.572,12.0,0.0,0.0,0,0,0,0,0.148,43,83,4
Batting Order Positions,"Bat1-2,non-P",23,116.0,107,14.0,33,2,0,3,4,2,9,17,1.89,0.308,0.362,0.411,0.773,44.0,1.0,0.0,0,0,0,0,0.345,94,109,28
Batting Order Positions,"Bat3-6,non-P",23,192.0,171,31.0,50,6,1,10,5,4,15,31,2.07,0.292,0.354,0.515,0.869,88.0,4.0,3.0,0,3,0,0,0.301,114,135,33
Batting Order Positions,"Bat7-9,non-P",23,129.0,123,26.0,34,4,0,6,3,0,5,19,3.8,0.276,0.302,0.455,0.758,56.0,0.0,0.0,0,1,0,0,0.283,86,128,24
Swung or Took First Pitch of PA,Swung at 1st Pitch,23,130.0,124,25.0,36,0,1,7,,,4,15,3.75,0.29,0.315,0.476,0.791,59.0,2.0,1.0,0,1,0,0,0.282,94,124,28
Swung or Took First Pitch of PA,Took 1st Pitch,23,307.0,277,46.0,81,12,0,12,,,25,52,2.08,0.292,0.352,0.466,0.818,129.0,3.0,2.0,0,3,0,0,0.319,103,128,57
Count/Balls-Strikes,First Pitch,21,55.0,54,15.0,20,0,0,3,,,0,0,,0.37,0.364,0.537,0.901,29.0,2.0,0.0,0,1,0,0,0.327,121,102,17
Count/Balls-Strikes,1-0 Count,16,32.0,31,8.0,15,2,0,3,,,0,0,,0.484,0.5,0.839,1.339,26.0,2.0,1.0,0,0,0,0,0.429,226,193,10
Count/Balls-Strikes,2-0 Count,5,5.0,4,3.0,1,0,0,1,,,0,0,,0.25,0.4,1.0,1.4,4.0,0.0,1.0,0,0,0,0,0.0,231,178,0
Count/Balls-Strikes,3-0 Count,1,1.0,0,0.0,0,0,0,0,,,1,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,20,56.0,54,6.0,19,2,0,1,,,0,0,,0.352,0.339,0.444,0.784,24.0,0.0,0.0,0,2,0,0,0.327,94,89,16
Count/Balls-Strikes,1-1 Count,19,42.0,42,8.0,9,2,0,2,,,0,0,,0.214,0.214,0.405,0.619,17.0,1.0,0.0,0,0,0,0,0.175,49,43,5
Count/Balls-Strikes,2-1 Count,14,21.0,21,5.0,8,1,0,3,,,0,0,,0.381,0.381,0.857,1.238,18.0,0.0,0.0,0,0,0,0,0.278,195,158,4
Count/Balls-Strikes,3-1 Count,14,18.0,9,2.0,3,0,0,1,,,8,0,0.0,0.333,0.667,0.667,1.333,6.0,0.0,1.0,0,0,0,0,0.25,238,100,2
Count/Balls-Strikes,0-2 Count,16,29.0,28,3.0,6,0,0,1,,,0,11,,0.214,0.207,0.321,0.528,9.0,0.0,0.0,0,1,0,0,0.294,29,174,5
Count/Balls-Strikes,1-2 Count,22,64.0,64,7.0,14,2,1,2,,,0,25,,0.219,0.219,0.375,0.594,24.0,0.0,0.0,0,0,0,0,0.324,44,182,9
Count/Balls-Strikes,2-2 Count,20,62.0,62,8.0,11,1,0,1,,,0,21,,0.177,0.177,0.242,0.419,15.0,0.0,0.0,0,0,0,0,0.25,4,89,9
Count/Balls-Strikes,Full Count,21,52.0,32,6.0,11,2,0,1,,,20,10,0.5,0.344,0.596,0.5,1.096,16.0,0.0,0.0,0,0,0,0,0.476,181,182,8
Count/Balls-Strikes,After 1-0,23,136.0,116,26.0,42,6,0,8,,,18,18,1.0,0.362,0.456,0.621,1.077,72.0,2.0,2.0,0,0,0,0,0.378,166,167,28
