Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,60,57,192,178,22,40,6,1,14,39,1,0,12,58,0.225,0.272,0.506,0.778,90,3,0,1,1,0,2,0.243,100,113,19
Season Totals,Last 7 days,3,3,9,8,0,2,1,0,0,0,0,0,1,4,0.25,0.333,0.375,0.708,3,0,0,0,0,0,0,0.5,97,105,1
Season Totals,Last 14 days,9,8,28,24,2,5,1,0,1,5,1,0,2,9,0.208,0.259,0.375,0.634,9,1,0,1,1,0,0,0.267,69,74,3
Season Totals,Last 28 days,16,14,52,46,6,12,2,0,3,10,1,0,4,15,0.261,0.314,0.5,0.814,23,1,0,1,1,0,1,0.31,114,119,7
Season Totals,Last 365 days,74,69,238,222,27,51,11,1,16,42,1,0,14,73,0.23,0.274,0.505,0.779,112,5,0,1,1,0,3,0.261,101,,23
Platoon Splits,vs RHP,48,,125,115,15,27,4,0,9,24,1,0,8,37,0.235,0.282,0.504,0.787,58,2,0,1,1,0,1,0.257,103,117,14
Platoon Splits,vs LHP,33,,67,63,7,13,2,1,5,15,0,0,4,21,0.206,0.254,0.508,0.762,32,1,0,0,0,0,1,0.216,94,107,5
Platoon Splits,vs RHP as RHB,48,,125,115,,27,4,0,9,24,0,0,8,37,0.235,0.282,0.504,0.787,58,2,0,1,1,0,1,0.257,103,123,14
Platoon Splits,vs LHP as RHB,33,,67,63,,13,2,1,5,15,0,0,4,21,0.206,0.254,0.508,0.762,32,1,0,0,0,0,1,0.216,94,102,5
Platoon Splits,vs RH Starter,37,35,120,108,14,26,4,0,8,20,1,0,10,36,0.241,0.303,0.5,0.803,54,2,0,1,1,0,2,0.277,110,122,14
Platoon Splits,vs LH Starter,23,22,72,70,8,14,2,1,6,19,0,0,2,22,0.2,0.222,0.514,0.737,36,1,0,0,0,0,0,0.191,83,99,5
Home or Away,Home,28,27,91,82,15,19,2,0,10,21,0,0,8,33,0.232,0.297,0.622,0.919,51,1,0,0,1,0,1,0.225,132,147,7
Home or Away,Away,32,30,101,96,7,21,4,1,4,18,1,0,4,25,0.219,0.25,0.406,0.656,39,2,0,1,0,0,1,0.254,72,84,12
First or Second Half,1st Half,41,40,129,122,16,26,3,1,11,27,0,0,7,41,0.213,0.256,0.525,0.78,64,1,0,0,0,0,1,0.214,98,114,11
First or Second Half,2nd Half,19,17,63,56,6,14,3,0,3,12,1,0,5,17,0.25,0.307,0.464,0.771,26,2,0,1,1,0,1,0.297,104,110,8
Months,April/March,9,9,25,25,2,4,1,0,1,1,0,0,0,12,0.16,0.16,0.32,0.48,8,1,0,0,0,0,0,0.25,22,34,2
Months,May,8,8,23,22,0,2,1,0,0,2,0,0,1,9,0.091,0.13,0.136,0.267,3,0,0,0,0,0,0,0.154,-25,-23,1
Months,June,17,16,55,51,12,14,1,1,8,19,0,0,4,12,0.275,0.327,0.804,1.131,41,0,0,0,0,0,1,0.194,179,202,4
Months,July,15,14,54,50,4,14,2,0,3,11,0,0,4,14,0.28,0.333,0.5,0.833,25,1,0,0,0,0,1,0.333,121,125,9
Months,August,11,10,35,30,4,6,1,0,2,6,1,0,3,11,0.2,0.265,0.433,0.698,13,1,0,1,1,0,0,0.222,83,90,3
Game Outcome for Team,in Wins,33,30,114,104,19,31,4,1,12,34,1,0,8,27,0.298,0.345,0.702,1.047,73,2,0,1,1,0,2,0.288,166,144,14
Game Outcome for Team,in Losses,27,27,78,74,3,9,2,0,2,5,0,0,4,31,0.122,0.167,0.23,0.396,17,1,0,0,0,0,0,0.171,7,34,5
Starter or Substitute,as Starter,57,57,191,177,22,40,6,1,14,39,1,0,12,57,0.226,0.274,0.509,0.782,90,3,0,1,1,0,2,0.243,101,114,19
Starter or Substitute,as Sub,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as C,57,,191,177,22,40,6,1,14,39,1,0,12,57,0.226,0.274,0.509,0.782,90,3,0,1,1,0,2,0.243,101,122,19
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,32,,40,38,,9,1,0,4,4,,,2,8,0.237,0.275,0.579,0.854,22,0,0,0,0,0,0,0.192,116,137,4
Batting Order Positions,Batting 7th,1,1,4,4,1,2,0,0,1,3,0,0,0,1,0.5,0.5,1.25,1.75,5,0,0,0,0,0,0,0.5,331,391,1
Batting Order Positions,Batting 8th,12,12,44,43,6,11,3,1,4,16,0,0,1,7,0.256,0.273,0.651,0.924,28,1,0,0,0,0,0,0.219,129,171,3
Batting Order Positions,Batting 9th,47,44,144,131,15,27,3,0,9,20,1,0,11,50,0.206,0.266,0.435,0.701,57,2,0,1,1,0,2,0.247,84,122,15
Swung or Took First Pitch of PA,Swung at 1st Pitch,33,,42,40,,9,2,0,4,11,,,1,12,0.225,0.244,0.575,0.819,23,1,0,1,0,0,0,0.208,103,122,3
Swung or Took First Pitch of PA,Took 1st Pitch,56,,150,138,,31,4,1,10,28,,,11,46,0.225,0.28,0.486,0.766,67,2,0,0,1,0,2,0.253,99,111,16
Count/Balls-Strikes,First Pitch,13,,14,13,2,3,1,0,2,5,0,0,0,0,0.231,0.231,0.769,1.0,10,1,0,1,0,0,0,0.091,137,105,0
Count/Balls-Strikes,1-0 Count,18,,20,20,5,11,2,0,4,9,0,0,0,0,0.55,0.55,1.25,1.8,25,0,0,0,0,0,0,0.438,349,279,5
Count/Balls-Strikes,2-0 Count,1,,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,0-1 Count,13,,14,14,1,4,1,1,0,5,0,0,0,0,0.286,0.286,0.5,0.786,7,0,0,0,0,0,0,0.286,104,84,2
Count/Balls-Strikes,1-1 Count,18,,19,19,4,7,0,0,4,10,1,0,0,0,0.368,0.368,1.0,1.368,19,0,0,0,0,0,1,0.2,233,204,3
Count/Balls-Strikes,2-1 Count,7,,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,1,1,0,0,0,0,0,0.125,-29,-42,1
Count/Balls-Strikes,3-1 Count,6,,7,2,,0,0,0,0,0,0,0,5,0,0.0,0.714,0.0,0.714,0,0,0,0,0,0,0,0.0,163,2,0
Count/Balls-Strikes,0-2 Count,15,,17,17,,2,1,0,0,0,0,0,0,10,0.118,0.118,0.177,0.294,3,0,0,0,0,0,0,0.286,-22,53,1
Count/Balls-Strikes,1-2 Count,27,,33,33,4,4,1,0,1,5,0,0,0,21,0.121,0.121,0.242,0.364,8,1,0,0,0,0,0,0.273,-8,70,2
Count/Balls-Strikes,2-2 Count,29,,34,33,1,6,0,0,1,3,0,0,0,18,0.182,0.177,0.273,0.449,9,0,0,0,1,0,0,0.333,19,99,5
Count/Balls-Strikes,Full Count,19,,25,18,3,2,0,0,2,2,0,0,7,9,0.111,0.36,0.444,0.804,8,0,0,0,0,0,1,0.0,120,113,0
Count/Balls-Strikes,After 1-0,41,,74,65,,18,2,0,7,13,,,9,14,0.277,0.365,0.631,0.996,41,0,0,0,0,0,1,0.25,159,145,9
Count/Balls-Strikes,After 2-0,11,,12,7,,0,0,0,0,0,,,5,2,0.0,0.417,0.0,0.417,0,0,0,0,0,0,0,0.0,53,-15,0
Count/Balls-Strikes,After 3-0,5,,5,2,,0,0,0,0,0,,,3,0,0.0,0.6,0.0,0.6,0,0,0,0,0,0,0,0.0,121,-18,0
Count/Balls-Strikes,After 0-1,50,,104,100,,19,3,1,5,21,,,3,44,0.19,0.212,0.39,0.602,39,2,0,0,1,0,1,0.269,55,95,10
Count/Balls-Strikes,After 1-1,48,,88,82,,17,1,0,7,19,,,5,30,0.207,0.25,0.476,0.726,39,1,0,0,1,0,2,0.217,86,114,9
Count/Balls-Strikes,After 2-1,30,,38,30,,4,0,0,1,3,,,7,13,0.133,0.29,0.233,0.523,7,1,0,0,1,0,1,0.177,52,33,3
Count/Balls-Strikes,After 3-1,10,,13,7,,0,0,0,0,0,,,6,5,0.0,0.462,0.0,0.462,0,0,0,0,0,0,0,0.0,70,-21,0
Count/Balls-Strikes,After 0-2,33,,44,42,,5,1,0,1,1,,,2,26,0.119,0.159,0.214,0.373,9,1,0,0,0,0,0,0.267,1,65,3
Count/Balls-Strikes,After 1-2,41,,64,62,,9,1,0,3,7,,,2,35,0.145,0.172,0.307,0.478,19,1,0,0,0,0,0,0.25,24,89,5
Count/Balls-Strikes,After 2-2,35,,53,46,,8,0,0,3,5,,,6,22,0.174,0.264,0.37,0.634,17,0,0,0,1,0,1,0.227,70,117,5
Count/Balls-Strikes,Zero Balls,36,,45,44,3,9,3,1,2,10,0,0,0,10,0.205,0.205,0.455,0.659,20,1,0,1,0,0,0,0.219,65,77,3
Count/Balls-Strikes,Zero Strikes,25,,35,34,8,14,3,0,6,14,0,0,0,0,0.412,0.412,1.029,1.441,35,1,0,1,0,0,0,0.286,255,186,5
Count/Balls-Strikes,Three Balls,24,,32,20,3,2,0,0,2,2,0,0,12,9,0.1,0.438,0.4,0.838,8,0,0,0,0,0,1,0.0,140,83,0
Count/Balls-Strikes,Two Strikes,54,,109,101,8,14,2,0,4,10,0,0,7,58,0.139,0.193,0.277,0.47,28,1,0,0,1,0,1,0.25,26,83,8
