Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,104,94,331,301,49,70,9,7,7,35,9,2,20,61,0.233,0.286,0.379,0.665,114,4,3,6,1,0,4,0.269,100,86,47
Season Totals,Last 7 days,4,3,12,12,1,3,2,0,0,3,1,0,0,2,0.25,0.25,0.417,0.667,5,0,0,0,0,0,0,0.3,97,92,1
Season Totals,Last 14 days,9,8,31,29,5,10,3,1,0,6,2,0,1,4,0.345,0.367,0.517,0.884,15,0,0,1,0,0,0,0.4,165,148,6
Season Totals,Last 28 days,20,18,64,58,10,13,3,2,0,8,2,0,3,10,0.224,0.286,0.345,0.631,20,1,2,1,0,0,1,0.271,91,74,8
Season Totals,Last 365 days,125,113,398,360,63,84,13,8,8,45,10,2,28,75,0.233,0.293,0.381,0.674,137,5,3,6,1,0,5,0.273,103,,55
Platoon Splits,vs RHP,98,,284,258,43,63,8,6,7,31,8,1,18,47,0.244,0.295,0.403,0.698,104,4,1,6,1,0,4,0.273,110,96,42
Platoon Splits,vs LHP,31,,47,43,6,7,1,1,0,4,1,1,2,14,0.163,0.234,0.233,0.467,10,0,2,0,0,0,0,0.241,43,32,5
Platoon Splits,vs RHP as LHB,98,,284,258,,63,8,6,7,31,0,0,18,47,0.244,0.295,0.403,0.698,104,4,1,6,1,0,4,0.273,110,89,42
Platoon Splits,vs LHP as LHB,31,,47,43,,7,1,1,0,4,0,0,2,14,0.163,0.234,0.233,0.467,10,0,2,0,0,0,0,0.241,43,41,5
Platoon Splits,vs RH Starter,90,87,298,269,42,65,8,6,6,32,7,2,19,55,0.242,0.298,0.383,0.681,103,4,3,6,1,0,2,0.282,105,91,45
Platoon Splits,vs LH Starter,14,7,33,32,7,5,1,1,1,3,2,0,1,6,0.156,0.182,0.344,0.526,11,0,0,0,0,0,2,0.16,54,44,2
Home or Away,Home,60,55,195,175,33,45,5,6,4,21,5,2,13,34,0.257,0.311,0.423,0.733,74,1,1,5,1,0,2,0.297,120,102,30
Home or Away,Away,44,39,136,126,16,25,4,1,3,14,4,0,7,27,0.198,0.252,0.318,0.569,40,3,2,1,0,0,2,0.229,72,62,17
First or Second Half,1st Half,78,70,245,224,35,52,5,4,7,23,6,2,16,46,0.232,0.285,0.384,0.669,86,3,1,3,1,0,3,0.262,101,88,36
