Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,42,33,124,109,12,29,4,0,4,12,0,0,15,44,0.266,0.355,0.413,0.768,45,2,0,0,0,1,0,0.41,100,116,21
Season Totals,Last 7 days,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Season Totals,Last 14 days,3,2,8,7,0,0,0,0,0,0,0,0,1,4,0.0,0.125,0.0,0.125,0,0,0,0,0,0,0,0.0,-65,-60,0
Season Totals,Last 28 days,5,4,16,15,0,1,1,0,0,1,0,0,1,8,0.067,0.125,0.133,0.258,2,0,0,0,0,0,0,0.143,-33,-29,0
Season Totals,Last 365 days,42,33,124,109,12,29,4,0,4,12,0,0,15,44,0.266,0.355,0.413,0.768,45,2,0,0,0,1,0,0.41,100,,21
Platoon Splits,vs RHP,40,,120,105,12,29,4,0,4,12,0,0,15,41,0.276,0.367,0.429,0.795,45,2,0,0,0,1,0,0.417,107,125,21
Platoon Splits,vs LHP,4,,4,4,,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Platoon Splits,vs RHP as LHB,40,,120,105,,29,4,0,4,12,0,0,15,41,0.276,0.367,0.429,0.795,45,2,0,0,0,1,0,0.417,107,118,21
Platoon Splits,vs LHP as LHB,4,,4,4,,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Platoon Splits,vs RH Starter,38,33,121,107,10,27,4,0,3,10,0,0,14,44,0.252,0.339,0.374,0.713,40,2,0,0,0,1,0,0.4,86,102,20
Platoon Splits,vs LH Starter,4,0,3,2,2,2,0,0,1,2,0,0,1,0,1.0,1.0,2.5,3.5,5,0,0,0,0,0,0,1.0,787,843,1
Home or Away,Home,22,17,64,51,9,15,3,0,3,8,0,0,13,18,0.294,0.438,0.529,0.967,27,1,0,0,0,1,0,0.4,152,169,9
Home or Away,Away,20,16,60,58,3,14,1,0,1,4,0,0,2,26,0.241,0.267,0.31,0.577,18,1,0,0,0,0,0,0.419,50,65,12
First or Second Half,1st Half,36,28,106,92,11,27,3,0,4,11,0,0,14,35,0.294,0.387,0.457,0.843,42,2,0,0,0,1,0,0.434,120,139,20
First or Second Half,2nd Half,6,5,18,17,1,2,1,0,0,1,0,0,1,9,0.118,0.167,0.177,0.343,3,0,0,0,0,0,0,0.25,-10,-4,1
Months,April/March,7,6,19,16,3,5,0,0,2,5,0,0,3,6,0.313,0.421,0.688,1.109,11,0,0,0,0,0,0,0.375,185,213,3
Months,May,16,12,49,43,6,14,3,0,1,3,0,0,6,15,0.326,0.408,0.465,0.873,20,0,0,0,0,1,0,0.482,128,153,10
Months,June,8,8,27,24,0,5,0,0,0,1,0,0,3,10,0.208,0.296,0.208,0.505,5,2,0,0,0,0,0,0.357,34,46,5
Months,July,8,5,21,19,3,5,1,0,1,3,0,0,2,9,0.263,0.333,0.474,0.807,9,0,0,0,0,0,0,0.444,109,119,3
Months,August,3,2,8,7,0,0,0,0,0,0,0,0,1,4,0.0,0.125,0.0,0.125,0,0,0,0,0,0,0,0.0,-65,-60,0
Game Outcome for Team,in Wins,13,10,40,34,6,13,2,0,2,5,0,0,6,11,0.382,0.475,0.618,1.093,21,0,0,0,0,1,0,0.524,183,163,9
Game Outcome for Team,in Losses,29,23,84,75,6,16,2,0,2,7,0,0,9,33,0.213,0.298,0.32,0.618,24,2,0,0,0,0,0,0.35,61,111,12
Starter or Substitute,as Starter,33,33,117,103,8,24,4,0,3,10,0,0,14,43,0.233,0.325,0.359,0.684,37,2,0,0,0,1,0,0.368,79,93,17
Starter or Substitute,as Sub,9,0,7,6,4,5,0,0,1,2,0,0,1,1,0.833,0.857,1.333,2.19,8,0,0,0,0,0,0,1.0,464,563,4
Defensive Positions,as C,32,,112,98,9,24,4,0,3,10,0,0,14,39,0.245,0.339,0.378,0.717,37,2,0,0,0,1,0,0.375,87,110,17
Defensive Positions,as DH,5,,9,9,3,4,0,0,1,2,0,0,0,4,0.444,0.444,0.778,1.222,7,0,0,0,0,0,0,0.75,213,220,3
Defensive Positions,as PH,6,,6,5,,4,0,0,1,2,0,0,1,1,0.8,0.833,1.4,2.233,7,0,0,0,0,0,0,1.0,474,592,3
Defensive Positions,as PH for DH,3,,3,3,,3,0,0,1,2,0,0,0,0,1.0,1.0,2.0,3.0,6,0,0,0,0,0,0,1.0,666,673,2
Leading Off Inning,Leadoff Inn.,21,,28,25,,5,2,0,1,1,,,3,10,0.2,0.286,0.4,0.686,10,0,0,0,0,0,0,0.286,77,95,2
Batting Order Positions,Batting 3rd,1,0,1,1,1,1,0,0,1,2,0,0,0,0,1.0,1.0,4.0,5.0,4,0,0,0,0,0,0,,1150,1091,0
Batting Order Positions,Batting 4th,3,0,2,2,2,2,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,2,0,0,0,0,0,0,1.0,424,454,2
Batting Order Positions,Batting 5th,6,5,20,16,1,4,0,0,0,0,0,0,4,7,0.25,0.4,0.25,0.65,4,0,0,0,0,0,0,0.444,73,88,4
Batting Order Positions,Batting 6th,5,5,17,16,3,3,1,0,1,1,0,0,1,7,0.188,0.235,0.438,0.673,7,0,0,0,0,0,0,0.25,72,92,1
