Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,116,543,442,84,108,14,0,28,79,5,3,90,153,0.244,0.372,0.466,0.838,206,4,4,0,7,4,2,0.299,100,135,66
Season Totals,Last 7 days,6,6,25,23,0,3,0,0,0,1,0,0,2,12,0.13,0.2,0.13,0.33,3,1,0,0,0,0,0,0.273,-18,0,3
Season Totals,Last 14 days,12,12,55,47,4,5,0,0,1,6,0,0,7,18,0.106,0.218,0.17,0.388,8,1,0,0,1,1,0,0.138,-5,13,4
Season Totals,Last 28 days,25,25,118,96,18,25,5,0,9,22,1,1,20,36,0.26,0.39,0.594,0.984,57,1,1,0,1,2,0,0.308,132,167,11
Season Totals,Last 365 days,151,150,696,566,113,138,19,0,41,102,5,3,118,203,0.244,0.375,0.495,0.87,280,5,5,0,7,4,2,0.295,107,,78
Platoon Splits,vs RHP,107,,342,274,54,53,10,0,18,48,1,1,58,98,0.193,0.333,0.427,0.76,117,2,3,0,7,4,2,0.212,81,114,25
Platoon Splits,vs LHP,82,,201,168,30,55,4,0,10,31,4,2,32,55,0.327,0.438,0.53,0.968,89,2,1,0,0,0,0,0.437,132,171,41
Platoon Splits,vs RHP as LHB,107,,342,274,,53,10,0,18,48,0,0,58,98,0.193,0.333,0.427,0.76,117,2,3,0,7,4,2,0.212,81,107,25
Platoon Splits,vs LHP as LHB,82,,201,168,,55,4,0,10,31,0,0,32,55,0.327,0.438,0.53,0.968,89,2,1,0,0,0,0,0.437,132,189,41
Platoon Splits,vs RH Starter,71,71,329,265,56,55,10,0,19,49,0,1,55,95,0.208,0.344,0.46,0.804,122,2,3,0,6,1,2,0.229,91,125,26
Platoon Splits,vs LH Starter,46,45,214,177,28,53,4,0,9,30,5,2,35,58,0.299,0.416,0.475,0.891,84,2,1,0,1,3,0,0.396,114,151,40
