Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,39,26,107,99,6,19,4,0,1,11,0,1,4,39,0.192,0.243,0.263,0.506,26,1,3,0,1,0,1,0.3,100,43,14
Season Totals,Last 7 days,6,5,20,17,2,3,0,0,0,2,0,0,2,3,0.177,0.3,0.177,0.477,3,0,1,0,0,0,0,0.214,90,45,3
Season Totals,Last 14 days,11,9,39,35,3,6,0,0,0,2,0,0,3,12,0.171,0.256,0.171,0.428,6,1,1,0,0,0,0,0.261,70,26,6
Season Totals,Last 28 days,20,17,70,63,3,8,0,0,0,2,0,0,4,26,0.127,0.214,0.127,0.341,8,1,3,0,0,0,0,0.216,36,-1,8
Season Totals,Last 365 days,39,26,107,99,6,19,4,0,1,11,0,1,4,39,0.192,0.243,0.263,0.506,26,1,3,0,1,0,1,0.3,100,,14
Platoon Splits,vs RHP,33,,93,86,6,18,4,0,1,11,0,1,4,36,0.209,0.258,0.291,0.549,25,1,2,0,1,0,1,0.34,117,56,13
Platoon Splits,vs LHP,10,,14,13,,1,0,0,0,0,0,0,0,3,0.077,0.143,0.077,0.22,1,0,1,0,0,0,0,0.1,-12,-36,1
Platoon Splits,vs RHP as LHB,33,,93,86,,18,4,0,1,11,0,0,4,36,0.209,0.258,0.291,0.549,25,1,2,0,1,0,1,0.34,117,51,13
Platoon Splits,vs LHP as LHB,10,,14,13,,1,0,0,0,0,0,0,0,3,0.077,0.143,0.077,0.22,1,0,1,0,0,0,0,0.1,-12,-32,1
Platoon Splits,vs RH Starter,29,23,91,83,6,18,4,0,1,11,0,1,4,30,0.217,0.275,0.301,0.576,25,1,3,0,1,0,1,0.321,128,63,13
Platoon Splits,vs LH Starter,10,3,16,16,0,1,0,0,0,0,0,0,0,9,0.063,0.063,0.063,0.125,1,0,0,0,0,0,0,0.143,-50,-64,1
Home or Away,Home,20,14,58,53,5,13,3,0,1,10,0,0,3,20,0.245,0.31,0.359,0.669,19,1,2,0,0,0,0,0.375,164,86,9
Home or Away,Away,19,12,49,46,1,6,1,0,0,1,0,1,1,19,0.13,0.163,0.152,0.316,7,0,1,0,1,0,1,0.214,25,-9,5
First or Second Half,1st Half,18,9,37,36,3,11,4,0,1,9,0,1,0,13,0.306,0.297,0.5,0.797,18,0,0,0,1,0,1,0.435,212,121,6
First or Second Half,2nd Half,21,17,70,63,3,8,0,0,0,2,0,0,4,26,0.127,0.214,0.127,0.341,8,1,3,0,0,0,0,0.216,36,-1,8
Months,May,10,5,19,18,2,7,3,0,0,5,0,0,0,5,0.389,0.368,0.556,0.924,10,0,0,0,1,0,1,0.5,263,163,4
Months,June,7,4,17,17,1,3,1,0,1,4,0,1,0,8,0.177,0.177,0.412,0.588,7,0,0,0,0,0,0,0.25,129,58,1
Months,July,3,1,5,5,0,1,0,0,0,0,0,0,0,4,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,1.0,58,11,1
