Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,89,68,301,242,38,68,13,0,5,22,1,1,51,67,0.281,0.41,0.397,0.807,96,2,4,1,3,4,0,0.364,100,130,50
Season Totals,Last 7 days,5,4,18,13,2,4,1,0,1,2,0,0,5,3,0.308,0.5,0.615,1.115,8,0,0,0,0,1,0,0.333,177,226,2
Season Totals,Last 14 days,9,7,33,23,4,6,2,0,1,2,0,0,8,7,0.261,0.469,0.478,0.947,11,0,1,1,0,1,0,0.333,135,171,3
Season Totals,Last 28 days,19,14,67,54,8,12,3,0,2,3,0,0,10,15,0.222,0.364,0.389,0.753,21,0,2,1,0,1,0,0.27,87,110,7
Season Totals,Last 365 days,114,89,394,320,50,88,13,1,9,32,1,1,61,76,0.275,0.395,0.406,0.802,130,3,6,2,5,5,1,0.329,99,,65
Platoon Splits,vs RHP,86,,267,217,36,59,11,0,5,19,0,1,45,64,0.272,0.401,0.392,0.792,85,2,3,0,2,4,0,0.36,97,127,43
Platoon Splits,vs LHP,22,,34,25,2,9,2,0,0,3,1,0,6,3,0.36,0.485,0.44,0.925,11,0,1,1,1,0,0,0.391,129,163,7
Platoon Splits,vs RHP as LHB,86,,267,217,,59,11,0,5,19,0,0,45,64,0.272,0.401,0.392,0.792,85,2,3,0,2,4,0,0.36,97,120,43
Platoon Splits,vs LHP as LHB,22,,34,25,,9,2,0,0,3,0,0,6,3,0.36,0.485,0.44,0.925,11,0,1,1,1,0,0,0.391,129,180,7
Platoon Splits,vs RH Starter,68,65,268,214,34,60,12,0,5,20,1,1,48,60,0.28,0.412,0.407,0.819,87,2,2,1,3,4,0,0.362,103,134,43
Platoon Splits,vs LH Starter,21,3,33,28,4,8,1,0,0,2,0,0,3,7,0.286,0.394,0.321,0.715,9,0,2,0,0,0,0,0.381,77,106,7
Home or Away,Home,41,33,141,109,17,29,9,0,1,9,0,0,24,30,0.266,0.407,0.376,0.783,41,1,4,1,3,2,0,0.346,94,121,19
Home or Away,Away,48,35,160,133,21,39,4,0,4,13,1,1,27,37,0.293,0.413,0.414,0.826,55,1,0,0,0,2,0,0.38,105,139,31
First or Second Half,1st Half,64,49,210,167,28,52,9,0,3,19,1,1,38,46,0.311,0.438,0.419,0.857,70,2,2,0,3,2,0,0.405,112,146,40
First or Second Half,2nd Half,25,19,91,75,10,16,4,0,2,3,0,0,13,21,0.213,0.344,0.347,0.691,26,0,2,1,0,2,0,0.269,71,94,10
Months,April/March,29,21,80,63,11,21,4,0,1,8,1,1,14,21,0.333,0.45,0.444,0.894,28,1,1,0,2,0,0,0.465,122,159,16
Months,May,23,19,86,66,11,22,2,0,1,9,0,0,19,14,0.333,0.488,0.409,0.898,27,1,1,0,0,1,0,0.412,122,164,19
