Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,97,93,412,363,48,83,19,3,8,42,29,12,38,102,0.229,0.308,0.364,0.672,132,5,6,0,5,0,4,0.291,100,89,53
Season Totals,Last 7 days,6,4,17,15,1,2,1,0,0,2,0,0,1,9,0.133,0.177,0.2,0.377,3,0,0,0,1,0,0,0.286,12,11,1
Season Totals,Last 14 days,10,7,29,25,2,2,1,0,0,2,1,0,2,15,0.08,0.172,0.12,0.292,3,1,1,0,1,0,0,0.182,-11,-14,1
Season Totals,Last 28 days,22,18,81,71,9,10,5,0,0,3,2,0,7,31,0.141,0.235,0.211,0.446,15,1,2,0,1,0,0,0.244,34,26,5
Season Totals,Last 365 days,128,124,552,491,64,108,24,4,16,59,34,14,44,137,0.22,0.294,0.383,0.676,188,6,10,0,7,0,4,0.267,100,,64
Platoon Splits,vs RHP,89,,295,260,35,52,12,2,5,28,18,9,28,81,0.2,0.281,0.319,0.601,83,3,3,0,4,0,3,0.264,79,70,33
Platoon Splits,vs LHP,54,,117,103,13,31,7,1,3,14,11,3,10,21,0.301,0.376,0.476,0.852,49,2,3,0,1,0,1,0.35,153,138,20
Platoon Splits,vs RHP as RHB,89,,295,260,,52,12,2,5,28,0,0,28,81,0.2,0.281,0.319,0.601,83,3,3,0,4,0,3,0.264,79,75,33
Platoon Splits,vs LHP as RHB,54,,117,103,,31,7,1,3,14,0,0,10,21,0.301,0.376,0.476,0.852,49,2,3,0,1,0,1,0.35,153,132,20
Platoon Splits,vs RH Starter,68,64,285,251,33,52,13,2,4,31,16,9,25,72,0.207,0.284,0.323,0.607,81,2,4,0,5,0,3,0.267,81,72,33
Platoon Splits,vs LH Starter,29,29,127,112,15,31,6,1,4,11,13,3,13,30,0.277,0.362,0.455,0.818,51,3,2,0,0,0,1,0.346,143,129,20
Home or Away,Home,47,47,204,180,24,38,7,1,5,13,15,5,21,49,0.211,0.299,0.344,0.643,62,1,2,0,1,0,2,0.26,92,79,25
Home or Away,Away,50,46,208,183,24,45,12,2,3,29,14,7,17,53,0.246,0.317,0.383,0.7,70,4,4,0,4,0,2,0.321,108,100,28
First or Second Half,1st Half,68,68,302,270,37,68,11,3,8,38,23,9,24,66,0.252,0.318,0.404,0.722,109,4,4,0,4,0,4,0.3,114,104,46
First or Second Half,2nd Half,29,25,110,93,11,15,8,0,0,4,6,3,14,36,0.161,0.282,0.247,0.529,23,1,2,0,1,0,0,0.259,59,50,7
Months,April/March,22,22,96,87,6,16,0,0,2,10,11,1,8,20,0.184,0.25,0.253,0.503,22,0,0,0,1,0,1,0.212,51,45,14
Months,May,5,5,23,21,4,6,3,0,1,3,4,0,2,6,0.286,0.348,0.571,0.919,12,2,0,0,0,0,1,0.357,170,161,2
Months,June,27,27,119,105,21,29,5,3,5,21,2,5,9,26,0.276,0.336,0.524,0.86,55,1,2,0,3,0,1,0.312,153,136,16
Months,July,24,24,107,91,12,26,8,0,0,6,11,6,13,22,0.286,0.393,0.374,0.766,34,1,3,0,0,0,1,0.377,130,114,18
Months,August,19,15,67,59,5,6,3,0,0,2,1,0,6,28,0.102,0.194,0.153,0.347,9,1,1,0,1,0,0,0.188,5,-1,3
Game Outcome for Team,in Wins,44,42,192,165,33,43,13,2,5,26,19,6,22,46,0.261,0.349,0.455,0.804,75,3,2,0,3,0,1,0.325,138,94,23
Game Outcome for Team,in Losses,53,51,220,198,15,40,6,1,3,16,10,6,16,56,0.202,0.273,0.288,0.561,57,2,4,0,2,0,3,0.262,68,92,30
Starter or Substitute,as Starter,93,93,408,359,47,82,18,3,8,41,29,12,38,99,0.228,0.309,0.362,0.671,130,5,6,0,5,0,4,0.288,100,89,53
Starter or Substitute,as Sub,4,0,4,4,1,1,1,0,0,1,0,0,0,3,0.25,0.25,0.5,0.75,2,0,0,0,0,0,0,1.0,119,123,0
Defensive Positions,as CF,13,,48,43,3,7,2,0,0,3,1,0,2,18,0.163,0.208,0.209,0.418,9,1,1,0,2,0,0,0.259,25,22,5
Defensive Positions,as RF,81,,356,312,44,75,16,3,8,38,28,12,36,80,0.24,0.326,0.388,0.714,121,4,5,0,3,0,4,0.295,112,97,48
Defensive Positions,as DH,1,,4,4,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,3,,3,3,1,1,1,0,0,1,0,0,0,2,0.333,0.333,0.667,1.0,2,0,0,0,0,0,0,1.0,191,205,0
Defensive Positions,Other,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,1st Batter G,5,,5,5,,1,0,0,0,0,,,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,20,14,1
Leading Off Inning,Leadoff Inn.,54,,73,67,,10,3,1,1,2,,,5,25,0.149,0.219,0.269,0.488,18,0,1,0,0,0,0,0.22,45,40,5
Batting Order Positions,Batting 1st,5,5,21,18,3,6,0,0,1,3,1,0,2,2,0.333,0.381,0.5,0.881,9,0,0,0,1,0,0,0.313,161,140,5
Batting Order Positions,Batting 2nd,70,68,308,271,35,61,18,3,5,30,18,11,30,79,0.225,0.308,0.369,0.677,100,4,4,0,3,0,4,0.295,101,80,35
Batting Order Positions,Batting 3rd,10,10,42,38,6,9,0,0,1,4,7,1,4,6,0.237,0.31,0.316,0.625,12,1,0,0,0,0,0,0.258,88,63,8
Batting Order Positions,Batting 4th,2,1,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,50,38,1
Batting Order Positions,Batting 5th,7,7,27,24,2,4,0,0,1,3,2,0,2,9,0.167,0.259,0.292,0.551,7,0,1,0,0,0,0,0.214,64,54,3
Batting Order Positions,Batting 6th,1,1,4,3,1,1,0,0,0,0,1,0,0,1,0.333,0.5,0.333,0.833,1,0,1,0,0,0,0,0.5,154,152,1
Batting Order Positions,Batting 7th,1,1,4,3,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 8th,1,0,2,2,1,1,1,0,0,1,0,0,0,1,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,1.0,337,344,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,75,,111,102,,27,11,0,1,15,,,6,22,0.265,0.306,0.402,0.708,41,3,1,0,2,0,2,0.321,110,103,15
Swung or Took First Pitch of PA,Took 1st Pitch,96,,301,261,,56,8,3,7,27,,,32,80,0.215,0.309,0.349,0.658,91,2,5,0,3,0,2,0.277,96,84,38
Count/Balls-Strikes,First Pitch,47,,53,49,5,13,4,0,1,8,8,2,0,0,0.265,0.283,0.408,0.691,20,3,2,0,2,0,1,0.24,104,56,8
Count/Balls-Strikes,1-0 Count,24,,27,27,7,10,3,1,2,8,3,0,0,0,0.37,0.37,0.778,1.148,21,0,0,0,0,0,1,0.32,234,144,4
Count/Balls-Strikes,2-0 Count,10,,10,9,5,3,1,1,0,2,1,0,0,0,0.333,0.3,0.667,0.967,6,0,0,0,1,0,0,0.3,181,95,1
Count/Balls-Strikes,3-0 Count,2,,2,0,,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,25,,31,29,5,12,1,0,0,2,4,3,0,0,0.414,0.452,0.448,0.9,13,0,2,0,0,0,1,0.414,170,124,11
Count/Balls-Strikes,1-1 Count,28,,29,28,5,8,3,1,0,1,5,3,0,0,0.286,0.31,0.464,0.775,13,0,1,0,0,0,0,0.286,128,84,4
Count/Balls-Strikes,2-1 Count,16,,19,18,3,6,0,0,2,5,0,0,0,0,0.333,0.316,0.667,0.983,12,1,0,0,1,0,0,0.235,186,107,4
Count/Balls-Strikes,3-1 Count,15,,18,10,2,4,1,0,1,3,0,0,8,0,0.4,0.667,0.8,1.467,8,0,0,0,0,0,0,0.333,336,121,2
Count/Balls-Strikes,0-2 Count,28,,32,32,3,4,1,0,0,0,2,1,0,14,0.125,0.125,0.156,0.281,5,0,0,0,0,0,1,0.222,-17,49,3
Count/Balls-Strikes,1-2 Count,44,,58,57,7,3,0,0,0,0,2,1,0,36,0.053,0.069,0.053,0.122,3,1,1,0,0,0,0,0.143,-63,-38,3
Count/Balls-Strikes,2-2 Count,48,,61,61,3,12,3,0,1,8,3,0,0,35,0.197,0.197,0.295,0.492,18,0,0,0,0,0,0,0.44,45,120,8
Count/Balls-Strikes,Full Count,61,,72,43,3,8,2,0,1,5,1,2,28,17,0.186,0.5,0.302,0.802,13,0,0,0,1,0,0,0.269,145,101,5
Count/Balls-Strikes,After 1-0,83,,160,136,,37,8,2,6,24,,,19,28,0.272,0.363,0.493,0.855,67,1,2,0,3,0,1,0.295,153,112,21
Count/Balls-Strikes,After 2-0,44,,55,36,,11,2,1,2,11,,,17,7,0.306,0.509,0.583,1.092,21,1,0,0,2,0,0,0.31,225,128,6
Count/Balls-Strikes,After 3-0,15,,16,5,,1,0,0,1,1,,,11,0,0.2,0.75,0.8,1.55,4,0,0,0,0,0,0,0.0,363,159,0
Count/Balls-Strikes,After 0-1,88,,197,176,,33,7,1,1,10,,,19,72,0.188,0.274,0.256,0.53,45,1,2,0,0,0,2,0.311,59,79,24
Count/Balls-Strikes,After 1-1,86,,162,142,,29,7,1,3,11,,,17,50,0.204,0.296,0.331,0.627,47,0,2,0,1,0,0,0.289,87,90,18
Count/Balls-Strikes,After 2-1,56,,81,64,,15,1,0,3,15,,,15,17,0.234,0.37,0.391,0.761,25,1,0,0,2,0,0,0.261,128,94,11
Count/Balls-Strikes,After 3-1,27,,34,16,,4,1,0,1,4,,,17,2,0.25,0.618,0.5,1.118,8,0,0,0,1,0,0,0.214,238,119,2
Count/Balls-Strikes,After 0-2,61,,82,78,,8,2,0,0,2,,,4,43,0.103,0.146,0.128,0.275,10,1,0,0,0,0,1,0.229,-17,24,6
Count/Balls-Strikes,After 1-2,77,,131,118,,17,5,0,1,5,,,12,69,0.144,0.229,0.212,0.441,25,1,1,0,0,0,0,0.333,33,80,11
Count/Balls-Strikes,After 2-2,74,,115,96,,20,5,0,2,12,,,19,48,0.208,0.339,0.323,0.662,31,0,0,0,0,0,0,0.391,99,128,13
