Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,76,68,286,248,25,58,11,1,8,26,5,0,36,58,0.234,0.33,0.383,0.713,95,5,0,1,1,2,1,0.273,100,101,38
Season Totals,Last 7 days,6,5,23,18,4,6,1,0,1,3,0,0,5,1,0.333,0.478,0.556,1.034,10,0,0,0,0,1,0,0.313,190,204,4
Season Totals,Last 14 days,10,8,33,27,4,8,1,0,1,3,0,0,6,5,0.296,0.424,0.444,0.869,12,0,0,0,0,1,0,0.333,144,148,6
Season Totals,Last 28 days,23,17,69,57,7,13,2,0,1,5,1,0,11,13,0.228,0.348,0.316,0.664,18,0,0,0,1,1,1,0.273,88,87,10
Season Totals,Last 365 days,103,94,401,345,39,76,16,1,10,33,8,0,54,81,0.22,0.325,0.359,0.684,124,7,0,1,1,2,4,0.259,92,,49
Platoon Splits,vs RHP,68,,203,174,21,41,6,1,8,22,3,0,27,38,0.236,0.337,0.42,0.756,73,4,0,1,1,2,0,0.256,112,113,26
Platoon Splits,vs LHP,46,,83,74,4,17,5,0,0,4,2,0,9,20,0.23,0.313,0.297,0.611,22,1,0,0,0,0,1,0.315,72,73,12
Platoon Splits,vs RHP as LHB,68,,203,174,,41,6,1,8,22,0,0,27,38,0.236,0.337,0.42,0.756,73,4,0,1,1,2,0,0.256,112,106,26
Platoon Splits,vs LHP as LHB,46,,83,74,,17,5,0,0,4,0,0,9,20,0.23,0.313,0.297,0.611,22,1,0,0,0,0,1,0.315,72,84,12
Platoon Splits,vs RH Starter,55,53,223,190,20,46,7,1,7,22,4,0,31,40,0.242,0.347,0.4,0.747,76,4,0,1,1,2,1,0.271,110,111,31
Platoon Splits,vs LH Starter,21,15,63,58,5,12,4,0,1,4,1,0,5,18,0.207,0.27,0.328,0.597,19,1,0,0,0,0,0,0.282,68,68,7
Home or Away,Home,38,34,141,124,16,28,5,1,5,15,1,0,17,23,0.226,0.319,0.403,0.722,50,0,0,0,0,1,0,0.24,102,100,17
Home or Away,Away,38,34,145,124,9,30,6,0,3,11,4,0,19,35,0.242,0.34,0.363,0.703,45,5,0,1,1,1,1,0.31,98,102,21
First or Second Half,1st Half,46,45,193,170,17,39,8,1,6,20,3,0,22,40,0.229,0.318,0.394,0.712,67,3,0,1,0,1,0,0.266,99,101,24
