Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,92,72,308,278,39,66,15,2,13,40,10,0,26,81,0.237,0.299,0.446,0.745,124,7,0,0,4,0,1,0.282,100,107,36
Season Totals,Last 7 days,6,4,20,17,2,2,1,0,0,2,0,0,1,5,0.118,0.15,0.177,0.327,3,1,0,0,2,0,0,0.143,-10,-6,1
Season Totals,Last 14 days,11,9,42,36,4,7,3,0,0,4,1,0,3,8,0.194,0.238,0.278,0.516,10,3,0,0,3,0,0,0.226,42,44,4
Season Totals,Last 28 days,23,20,92,84,13,17,5,0,3,8,4,0,5,22,0.202,0.239,0.369,0.608,31,4,0,0,3,0,0,0.226,63,64,9
Season Totals,Last 365 days,125,98,405,369,47,85,17,2,16,48,10,0,30,108,0.23,0.286,0.417,0.704,154,11,1,0,5,0,2,0.276,89,,50
Platoon Splits,vs RHP,84,,264,236,33,56,13,2,11,37,8,0,24,67,0.237,0.303,0.449,0.752,106,7,0,0,4,0,0,0.278,102,110,30
Platoon Splits,vs LHP,30,,44,42,6,10,2,0,2,3,2,0,2,14,0.238,0.273,0.429,0.701,18,0,0,0,0,0,1,0.308,88,93,6
Platoon Splits,vs RHP as LHB,84,,264,236,,56,13,2,11,37,0,0,24,67,0.237,0.303,0.449,0.752,106,7,0,0,4,0,0,0.278,102,103,30
Platoon Splits,vs LHP as LHB,30,,44,42,,10,2,0,2,3,0,0,2,14,0.238,0.273,0.429,0.701,18,0,0,0,0,0,1,0.308,88,106,6
Platoon Splits,vs RH Starter,70,65,262,236,30,57,14,2,9,32,7,0,23,70,0.242,0.305,0.432,0.738,102,6,0,0,3,0,1,0.3,99,106,32
Platoon Splits,vs LH Starter,22,7,46,42,9,9,1,0,4,8,3,0,3,11,0.214,0.261,0.524,0.785,22,1,0,0,1,0,0,0.179,105,114,4
Home or Away,Home,51,39,162,145,23,34,9,2,5,19,2,0,14,49,0.235,0.296,0.428,0.724,62,4,0,0,3,0,1,0.309,95,99,18
Home or Away,Away,41,33,146,133,16,32,6,0,8,21,8,0,12,32,0.241,0.301,0.466,0.768,62,3,0,0,1,0,0,0.255,105,116,18
First or Second Half,1st Half,64,47,193,175,20,37,7,0,9,25,6,0,17,57,0.211,0.28,0.406,0.686,71,2,0,0,1,0,1,0.255,85,92,21
First or Second Half,2nd Half,28,25,115,103,19,29,8,2,4,15,4,0,9,24,0.282,0.33,0.515,0.845,53,5,0,0,3,0,0,0.321,126,130,15
Months,April/March,29,22,89,77,5,15,4,0,2,5,2,0,12,26,0.195,0.303,0.325,0.628,25,1,0,0,0,0,0,0.265,74,81,9
Months,May,12,7,32,29,3,4,0,0,0,2,1,0,3,10,0.138,0.219,0.138,0.357,4,0,0,0,0,0,0,0.211,4,7,4
Months,June,11,8,29,28,2,5,2,0,0,1,1,0,0,10,0.179,0.172,0.25,0.422,7,1,0,0,1,0,1,0.263,14,16,3
Months,July,24,22,98,91,23,33,6,2,10,27,4,0,7,19,0.363,0.408,0.802,1.21,73,1,0,0,0,0,0,0.371,216,221,15
Months,August,16,13,60,53,6,9,3,0,1,5,2,0,4,16,0.17,0.217,0.283,0.5,15,4,0,0,3,0,0,0.205,36,38,5
Game Outcome for Team,in Wins,46,33,154,134,29,45,10,2,11,33,7,0,17,26,0.336,0.403,0.687,1.089,92,3,0,0,3,0,0,0.34,189,157,22
Game Outcome for Team,in Losses,46,39,154,144,10,21,5,0,2,7,3,0,9,55,0.146,0.195,0.222,0.417,32,4,0,0,1,0,1,0.216,15,42,14
Starter or Substitute,as Starter,72,72,286,260,35,61,14,2,11,35,9,0,23,76,0.235,0.294,0.431,0.725,112,7,0,0,3,0,1,0.284,95,101,34
Starter or Substitute,as Sub,20,0,22,18,4,5,1,0,2,5,1,0,3,5,0.278,0.364,0.667,1.03,12,0,0,0,1,0,0,0.25,171,210,2
Defensive Positions,as CF,2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as RF,80,,295,268,37,64,15,2,11,36,9,0,24,76,0.239,0.298,0.433,0.731,116,7,0,0,3,0,1,0.288,97,99,36
Defensive Positions,as PH,11,,11,8,2,2,0,0,2,4,0,0,2,3,0.25,0.364,1.0,1.364,8,0,0,0,1,0,0,0.0,246,315,0
Defensive Positions,as PR,,,,,0,,,,,,1,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,30,,30,27,,7,3,1,0,0,,,3,7,0.259,0.333,0.444,0.778,12,0,0,0,0,0,0,0.35,111,118,3
Leading Off Inning,Leadoff Inn.,65,,96,89,,20,6,1,2,2,,,7,29,0.225,0.281,0.382,0.663,34,0,0,0,0,0,1,0.31,80,89,11
Batting Order Positions,Batting 1st,33,30,138,125,22,33,8,2,7,21,4,0,10,30,0.264,0.312,0.528,0.84,66,5,0,0,3,0,0,0.286,123,125,16
Batting Order Positions,Batting 2nd,5,0,2,1,0,0,0,0,0,0,1,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,67,52,0
Batting Order Positions,Batting 3rd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,4,1,8,8,0,2,1,0,0,0,0,0,0,3,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.4,68,68,1
Batting Order Positions,Batting 5th,2,1,6,5,1,3,1,0,0,3,1,0,1,0,0.6,0.667,0.8,1.467,4,0,0,0,0,0,0,0.6,302,308,2
Batting Order Positions,Batting 6th,7,6,23,21,5,5,2,0,1,3,0,0,2,4,0.238,0.304,0.476,0.781,10,1,0,0,0,0,1,0.25,108,125,2
Batting Order Positions,Batting 7th,16,15,57,54,7,11,0,0,4,9,2,0,3,23,0.204,0.246,0.426,0.672,23,0,0,0,0,0,0,0.259,78,92,7
Batting Order Positions,Batting 8th,17,15,57,49,4,11,3,0,1,3,2,0,8,15,0.225,0.333,0.347,0.68,17,0,0,0,0,0,0,0.303,89,109,7
Batting Order Positions,Batting 9th,6,4,17,15,0,1,0,0,0,1,0,0,1,6,0.067,0.118,0.067,0.184,1,1,0,0,1,0,0,0.1,-46,-39,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,55,,90,85,,25,5,2,1,8,,,3,18,0.294,0.311,0.435,0.746,37,4,0,0,2,0,1,0.353,102,113,17
Swung or Took First Pitch of PA,Took 1st Pitch,85,,218,193,,41,10,0,12,32,,,23,63,0.212,0.294,0.451,0.744,87,3,0,0,2,0,0,0.242,99,106,19
Count/Balls-Strikes,First Pitch,30,,39,39,5,13,2,1,1,4,1,0,0,0,0.333,0.333,0.513,0.846,20,2,0,0,0,0,1,0.316,126,89,9
Count/Balls-Strikes,1-0 Count,9,,9,9,,1,1,0,0,3,0,0,0,0,0.111,0.111,0.222,0.333,2,0,0,0,0,0,0,0.111,-13,-29,0
Count/Balls-Strikes,2-0 Count,9,,9,8,4,4,1,0,2,5,1,0,0,0,0.5,0.444,1.375,1.819,11,1,0,0,1,0,0,0.286,357,251,1
Count/Balls-Strikes,3-0 Count,5,,5,1,,0,0,0,0,0,0,0,4,0,0.0,0.8,0.0,0.8,0,0,0,0,0,0,0,0.0,168,-15,0
Count/Balls-Strikes,0-1 Count,16,,17,16,7,6,1,0,1,5,3,0,0,0,0.375,0.353,0.625,0.978,10,2,0,0,1,0,0,0.313,158,129,4
Count/Balls-Strikes,1-1 Count,17,,18,18,7,9,2,0,2,6,4,0,0,0,0.5,0.5,0.944,1.444,17,0,0,0,0,0,0,0.438,279,234,5
