Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,68,61,244,231,14,49,9,0,4,18,3,0,9,52,0.212,0.248,0.303,0.551,70,3,2,2,0,1,1,0.257,100,55,36
Season Totals,Last 7 days,4,4,14,14,0,2,1,0,0,1,0,0,0,2,0.143,0.143,0.214,0.357,3,0,0,0,0,0,0,0.167,28,2,1
Season Totals,Last 14 days,9,8,32,30,0,4,1,0,0,1,0,0,1,3,0.133,0.161,0.167,0.328,5,0,0,1,0,0,0,0.148,20,-8,3
Season Totals,Last 28 days,16,14,57,54,1,7,1,0,0,3,0,0,2,9,0.13,0.161,0.148,0.309,8,0,0,1,0,0,0,0.156,14,-14,6
Season Totals,Last 365 days,95,86,338,318,21,70,12,0,8,24,3,1,13,74,0.22,0.255,0.333,0.588,106,6,2,4,1,2,2,0.262,112,,50
Platoon Splits,vs RHP,61,,173,164,11,34,6,0,2,9,3,0,6,40,0.207,0.244,0.281,0.525,46,3,2,1,0,0,1,0.262,91,49,26
Platoon Splits,vs LHP,35,,71,67,3,15,3,0,2,9,0,0,3,12,0.224,0.257,0.358,0.615,24,0,0,1,0,1,0,0.245,122,70,10
Platoon Splits,vs RHP as RHB,61,,173,164,,34,6,0,2,9,0,0,6,40,0.207,0.244,0.281,0.525,46,3,2,1,0,0,1,0.262,91,53,26
Platoon Splits,vs LHP as RHB,35,,71,67,,15,3,0,2,9,0,0,3,12,0.224,0.257,0.358,0.615,24,0,0,1,0,1,0,0.245,122,66,10
Platoon Splits,vs RH Starter,50,43,171,164,11,38,7,0,3,14,3,0,5,35,0.232,0.259,0.329,0.588,54,3,1,1,0,1,1,0.278,113,65,28
Platoon Splits,vs LH Starter,18,18,73,67,3,11,2,0,1,4,0,0,4,17,0.164,0.222,0.239,0.461,16,0,1,1,0,0,0,0.204,68,30,8
Home or Away,Home,31,29,113,105,5,14,1,0,1,2,1,0,6,27,0.133,0.188,0.171,0.359,18,3,1,1,0,1,1,0.169,32,2,12
Home or Away,Away,37,32,131,126,9,35,8,0,3,16,2,0,3,25,0.278,0.3,0.413,0.713,52,0,1,1,0,0,0,0.327,157,102,24
First or Second Half,1st Half,52,47,187,177,13,42,8,0,4,15,3,0,7,43,0.237,0.274,0.35,0.625,62,3,2,1,0,1,1,0.292,126,76,30
First or Second Half,2nd Half,16,14,57,54,1,7,1,0,0,3,0,0,2,9,0.13,0.161,0.148,0.309,8,0,0,1,0,0,0,0.156,14,-13,6
Months,April/March,12,9,40,38,2,5,2,0,0,1,0,0,1,13,0.132,0.154,0.184,0.338,7,1,0,1,0,0,1,0.2,23,-3,3
Months,May,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,633,484,1
Months,June,27,26,97,91,6,23,3,0,3,10,2,0,5,19,0.253,0.299,0.385,0.684,35,2,1,0,0,1,0,0.29,148,90,17
Months,July,14,13,54,52,6,14,3,0,1,4,1,0,1,13,0.269,0.296,0.385,0.681,20,0,1,0,0,0,0,0.342,146,86,10
Months,August,14,13,52,49,0,6,1,0,0,3,0,0,2,7,0.122,0.157,0.143,0.3,7,0,0,1,0,0,0,0.143,11,-15,5
Game Outcome for Team,in Wins,16,15,58,57,5,14,3,0,2,9,0,0,1,10,0.246,0.259,0.404,0.662,23,1,0,0,0,0,0,0.267,138,58,9
Game Outcome for Team,in Losses,52,46,186,174,9,35,6,0,2,9,3,0,8,42,0.201,0.245,0.27,0.515,47,2,2,2,0,1,1,0.254,88,76,27
Starter or Substitute,as Starter,61,61,237,224,14,47,9,0,4,18,3,0,9,49,0.21,0.247,0.304,0.55,68,3,2,2,0,1,1,0.252,100,55,34
Starter or Substitute,as Sub,7,0,7,7,0,2,0,0,0,0,0,0,0,3,0.286,0.286,0.286,0.571,2,0,0,0,0,0,0,0.5,110,76,2
Defensive Positions,as 2B,20,,69,65,4,11,2,0,0,2,1,0,2,18,0.169,0.206,0.2,0.406,13,0,1,1,0,0,0,0.234,49,20,9
Defensive Positions,as 3B,43,,167,158,10,36,7,0,4,15,2,0,7,32,0.228,0.265,0.348,0.613,55,3,1,1,0,1,1,0.262,122,73,25
Defensive Positions,as DH,1,,4,4,,1,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.25,83,36,1
Defensive Positions,as PH,4,,4,4,,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,83,58,1
Leading Off Inning,1st Batter G,5,,5,5,,1,0,0,0,0,,,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,47,15,1
Leading Off Inning,Leadoff Inn.,40,,55,53,,10,0,0,0,0,,,1,14,0.189,0.218,0.189,0.407,10,0,1,0,0,0,0,0.256,50,19,10
Batting Order Positions,Batting 1st,5,5,22,20,0,2,1,0,0,1,0,0,1,3,0.1,0.143,0.15,0.293,3,0,0,1,0,0,0,0.118,7,-19,1
Batting Order Positions,Batting 2nd,5,5,22,21,1,1,1,0,0,0,0,0,0,5,0.048,0.048,0.095,0.143,2,0,0,1,0,0,0,0.063,-49,-64,0
Batting Order Positions,Batting 3rd,1,1,5,5,1,1,1,0,0,1,0,0,0,2,0.2,0.2,0.4,0.6,2,0,0,0,0,0,0,0.333,113,49,0
Batting Order Positions,Batting 5th,9,8,31,29,2,3,0,0,0,1,0,0,2,7,0.103,0.161,0.103,0.265,3,0,0,0,0,0,0,0.136,-1,-24,3
Batting Order Positions,Batting 6th,11,10,41,38,1,7,1,0,0,2,0,0,1,10,0.184,0.244,0.211,0.454,8,2,2,0,0,0,0,0.25,68,36,6
Batting Order Positions,Batting 7th,18,16,65,65,3,19,1,0,1,4,2,0,0,15,0.292,0.292,0.354,0.646,23,0,0,0,0,0,1,0.367,135,88,17
Batting Order Positions,Batting 8th,8,7,27,24,4,8,3,0,2,5,1,0,3,6,0.333,0.407,0.708,1.116,17,0,0,0,0,1,0,0.375,298,232,3
Batting Order Positions,Batting 9th,11,9,31,29,2,8,1,0,1,4,0,0,2,4,0.276,0.323,0.414,0.736,12,1,0,0,0,0,0,0.292,167,136,6
Swung or Took First Pitch of PA,Swung at 1st Pitch,44,,68,63,,8,2,0,0,0,,,1,12,0.127,0.167,0.159,0.325,10,1,2,2,0,0,0,0.157,20,-3,6
Swung or Took First Pitch of PA,Took 1st Pitch,66,,176,168,,41,7,0,4,18,,,8,40,0.244,0.278,0.357,0.636,60,2,0,0,0,1,1,0.298,130,77,30
Count/Balls-Strikes,First Pitch,21,,23,21,1,3,1,0,0,0,0,0,0,0,0.143,0.143,0.191,0.333,4,1,0,2,0,0,0,0.143,20,-24,2
Count/Balls-Strikes,1-0 Count,21,,22,22,3,3,0,0,1,3,0,0,0,0,0.136,0.136,0.273,0.409,6,2,0,0,0,0,0,0.095,45,-13,2
Count/Balls-Strikes,2-0 Count,7,,7,7,,3,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.857,3,0,0,0,0,0,0,0.429,215,93,3
Count/Balls-Strikes,3-0 Count,2,,2,0,,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,18,,19,18,3,6,0,0,0,1,0,0,0,0,0.333,0.368,0.333,0.702,6,0,1,0,0,0,0,0.333,158,76,6
Count/Balls-Strikes,1-1 Count,26,,30,30,1,11,7,0,0,3,0,0,0,0,0.367,0.367,0.6,0.967,18,0,0,0,0,0,1,0.367,246,127,4
Count/Balls-Strikes,2-1 Count,10,,11,11,2,6,0,0,2,4,0,0,0,0,0.546,0.546,1.091,1.636,12,0,0,0,0,0,0,0.444,480,245,4
