Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,35,31,113,99,12,23,8,0,3,9,0,0,6,36,0.232,0.31,0.404,0.714,40,4,6,0,2,0,0,0.323,100,100,12
Season Totals,Last 7 days,4,4,12,10,3,3,0,0,2,4,0,0,1,5,0.3,0.333,0.9,1.233,9,0,0,0,1,0,0,0.25,230,240,1
Season Totals,Last 14 days,11,11,37,32,7,9,5,0,3,6,0,0,2,13,0.281,0.351,0.719,1.07,23,0,2,0,1,0,0,0.353,191,188,1
Season Totals,Last 28 days,23,21,75,66,8,14,6,0,3,8,0,0,3,28,0.212,0.28,0.439,0.719,29,2,4,0,2,0,0,0.297,99,94,5
Season Totals,Last 365 days,35,31,113,99,12,23,8,0,3,9,0,0,6,36,0.232,0.31,0.404,0.714,40,4,6,0,2,0,0,0.323,100,,12
Platoon Splits,vs RHP,30,,81,71,8,15,4,0,3,7,0,0,3,24,0.211,0.296,0.394,0.691,28,4,6,0,1,0,0,0.267,93,94,8
Platoon Splits,vs LHP,16,,32,28,4,8,4,0,0,2,0,0,3,12,0.286,0.344,0.429,0.772,12,0,0,0,1,0,0,0.471,117,116,4
Platoon Splits,vs RHP as RHB,30,,81,71,,15,4,0,3,7,0,0,3,24,0.211,0.296,0.394,0.691,28,4,6,0,1,0,0,0.267,93,99,8
Platoon Splits,vs LHP as RHB,16,,32,28,,8,4,0,0,2,0,0,3,12,0.286,0.344,0.429,0.772,12,0,0,0,1,0,0,0.471,117,111,4
Platoon Splits,vs RH Starter,26,22,84,75,9,15,4,0,3,7,0,0,3,24,0.2,0.274,0.373,0.647,28,4,5,0,1,0,0,0.245,81,81,8
Platoon Splits,vs LH Starter,9,9,29,24,3,8,4,0,0,2,0,0,3,12,0.333,0.414,0.5,0.914,12,0,1,0,1,0,0,0.615,157,156,4
Home or Away,Home,17,15,50,44,3,9,5,0,1,4,0,0,2,16,0.205,0.28,0.386,0.666,17,0,3,0,1,0,0,0.286,86,83,3
Home or Away,Away,18,16,63,55,9,14,3,0,2,5,0,0,4,20,0.255,0.333,0.418,0.752,23,4,3,0,1,0,0,0.353,111,114,9
First or Second Half,1st Half,8,7,27,22,4,8,2,0,0,1,0,0,3,6,0.364,0.482,0.455,0.936,10,2,2,0,0,0,0,0.5,168,169,6
First or Second Half,2nd Half,27,24,86,77,8,15,6,0,3,8,0,0,3,30,0.195,0.256,0.39,0.645,30,2,4,0,2,0,0,0.261,79,76,6
Months,July,21,17,65,58,5,13,3,0,0,3,0,0,3,18,0.224,0.292,0.276,0.568,16,4,3,0,1,0,0,0.317,63,58,10
Months,August,14,14,48,41,7,10,5,0,3,6,0,0,3,18,0.244,0.333,0.585,0.919,24,0,3,0,1,0,0,0.333,152,149,2
Game Outcome for Team,in Wins,18,16,65,55,9,15,5,0,2,8,0,0,4,15,0.273,0.354,0.473,0.827,26,2,4,0,2,0,0,0.325,131,99,8
