Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,16,59,52,8,15,1,1,0,7,2,0,5,15,0.289,0.362,0.346,0.708,18,1,1,1,0,0,0,0.405,100,102,13
Season Totals,Last 7 days,6,5,22,19,2,9,1,0,0,3,0,0,2,4,0.474,0.546,0.526,1.072,10,0,1,0,0,0,0,0.6,203,218,8
Season Totals,Last 14 days,10,9,36,29,3,10,1,0,0,4,0,0,5,8,0.345,0.457,0.379,0.836,11,1,1,1,0,0,0,0.476,136,143,9
Season Totals,Last 28 days,19,14,53,46,6,13,1,0,0,7,2,0,5,12,0.283,0.365,0.304,0.67,14,1,1,1,0,0,0,0.382,89,89,12
Season Totals,Last 365 days,26,16,59,52,8,15,1,1,0,7,2,0,5,15,0.289,0.362,0.346,0.708,18,1,1,1,0,0,0,0.405,100,,13
Platoon Splits,vs RHP,14,,36,31,8,10,1,1,0,3,2,0,3,8,0.323,0.4,0.419,0.819,13,0,1,1,0,0,0,0.435,132,133,8
Platoon Splits,vs LHP,13,,23,21,,5,0,0,0,4,0,0,2,7,0.238,0.304,0.238,0.542,5,1,0,0,0,0,0,0.357,53,56,5
Platoon Splits,vs RHP as LHB,14,,36,31,,10,1,1,0,3,0,0,3,8,0.323,0.4,0.419,0.819,13,0,1,1,0,0,0,0.435,132,126,8
Platoon Splits,vs LHP as RHB,13,,23,21,,5,0,0,0,4,0,0,2,7,0.238,0.304,0.238,0.542,5,1,0,0,0,0,0,0.357,53,52,5
Platoon Splits,vs RH Starter,17,9,37,32,6,12,1,1,0,4,0,0,4,8,0.375,0.444,0.469,0.913,15,0,0,1,0,0,0,0.5,158,159,10
Platoon Splits,vs LH Starter,9,7,22,20,2,3,0,0,0,3,2,0,1,7,0.15,0.227,0.15,0.377,3,1,1,0,0,0,0,0.231,6,10,3
Home or Away,Home,12,7,24,20,4,5,0,1,0,5,2,0,3,7,0.25,0.348,0.35,0.698,7,0,0,1,0,0,0,0.385,97,96,4
Home or Away,Away,14,9,35,32,4,10,1,0,0,2,0,0,2,8,0.313,0.371,0.344,0.715,11,1,1,0,0,0,0,0.417,102,107,9
First or Second Half,1st Half,6,2,6,6,2,2,0,1,0,0,0,0,0,3,0.333,0.333,0.667,1.0,4,0,0,0,0,0,0,0.667,185,175,1
First or Second Half,2nd Half,20,14,53,46,6,13,1,0,0,7,2,0,5,12,0.283,0.365,0.304,0.67,14,1,1,1,0,0,0,0.382,89,90,12
Months,April/March,2,1,2,2,1,1,0,1,0,0,0,0,0,1,0.5,0.5,1.5,2.0,3,0,0,0,0,0,0,1.0,472,449,0
Months,May,3,1,4,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,41,46,1
Months,June,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Months,July,5,2,8,8,2,2,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,2,0,0,0,0,0,0,0.333,41,39,2
Months,August,15,12,45,38,4,11,1,0,0,6,2,0,5,10,0.29,0.386,0.316,0.702,12,1,1,1,0,0,0,0.393,98,101,10
Game Outcome for Team,in Wins,14,8,31,26,6,7,0,0,0,7,2,0,4,7,0.269,0.367,0.269,0.636,7,0,0,1,0,0,0,0.368,79,60,7
Game Outcome for Team,in Losses,12,8,28,26,2,8,1,1,0,0,0,0,1,8,0.308,0.357,0.423,0.78,11,1,1,0,0,0,0,0.444,121,165,6
Starter or Substitute,as Starter,16,16,57,50,6,14,1,1,0,7,2,0,5,15,0.28,0.357,0.34,0.697,17,1,1,1,0,0,0,0.4,97,99,12
Starter or Substitute,as Sub,10,0,2,2,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,183,206,1
