Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,615.0,579,59.0,113,29,1,18,9,4,29,155,5.34,0.195,0.236,0.342,0.578,198.0,15.0,3.0,1,3,1,6,0.232,100,61,65
Season Totals,Last 7 days,1,27.0,24,4.0,5,1,0,1,1,0,2,6,3.0,0.208,0.259,0.375,0.634,9.0,0.0,0.0,0,1,0,1,0.222,119,81,3
Season Totals,Last 14 days,2,51.0,47,4.0,8,1,0,1,1,0,3,12,4.0,0.17,0.216,0.255,0.471,12.0,1.0,0.0,0,1,0,1,0.2,66,31,6
Season Totals,Last 28 days,4,88.0,84,12.0,19,5,0,3,2,1,3,23,7.67,0.226,0.25,0.393,0.643,33.0,1.0,0.0,0,1,0,2,0.271,121,73,11
Season Totals,Last 365 days,32,789.0,743,76.0,150,36,3,26,13,4,38,198,5.21,0.202,0.242,0.363,0.606,270.0,16.0,3.0,1,4,2,7,0.237,109,,85
Platoon Splits,vs RHB,25,336.0,316,32.0,58,14,1,10,6,2,15,81,5.4,0.184,0.224,0.329,0.553,104.0,11.0,2.0,1,2,1,4,0.212,91,55,33
Platoon Splits,vs LHB,25,279.0,263,25.0,55,15,0,8,3,2,14,74,5.29,0.209,0.251,0.357,0.608,94.0,4.0,1.0,0,1,0,2,0.258,111,67,32
Platoon Splits,vs RHB as RHP,25,336.0,316,32.0,58,14,1,10,6,2,15,81,5.4,0.184,0.224,0.329,0.553,104.0,11.0,2.0,1,2,1,4,0.212,91,59,33
Platoon Splits,vs LHB as RHP,25,279.0,263,25.0,55,15,0,8,3,2,14,74,5.29,0.209,0.251,0.357,0.608,94.0,4.0,1.0,0,1,0,2,0.258,111,64,32
Home or Away,Home,12,296.0,281,26.0,52,13,1,8,3,4,12,82,6.83,0.185,0.224,0.324,0.548,91.0,3.0,2.0,1,0,1,2,0.23,90,55,30
Home or Away,Away,13,319.0,298,33.0,61,16,0,10,6,0,17,73,4.29,0.205,0.248,0.359,0.607,107.0,12.0,1.0,0,3,0,4,0.234,110,67,35
First or Second Half,1st Half,20,500.0,471,42.0,90,24,1,15,7,2,25,124,4.96,0.191,0.234,0.342,0.576,161.0,14.0,2.0,0,2,1,3,0.225,99,61,50
First or Second Half,2nd Half,5,115.0,108,17.0,23,5,0,3,2,2,4,31,7.75,0.213,0.246,0.343,0.588,37.0,1.0,1.0,1,1,0,3,0.267,105,62,15
Months,April/March,6,150.0,141,9.0,23,7,0,5,2,1,9,44,4.89,0.163,0.213,0.319,0.532,45.0,1.0,0.0,0,0,0,0,0.196,84,51,11
Months,May,6,147.0,133,19.0,34,5,1,4,2,1,11,27,2.45,0.256,0.313,0.399,0.711,53.0,8.0,1.0,0,2,1,1,0.289,149,105,24
Months,June,5,128.0,126,7.0,21,7,0,3,3,0,1,31,31.0,0.167,0.18,0.294,0.473,37.0,4.0,1.0,0,0,0,2,0.196,62,30,11
Months,July,5,117.0,110,19.0,23,8,0,4,1,1,5,34,6.8,0.209,0.25,0.391,0.641,43.0,1.0,1.0,1,0,0,1,0.264,120,73,11
Months,August,3,73.0,69,5.0,12,2,0,2,1,1,3,19,6.33,0.174,0.206,0.29,0.495,20.0,1.0,0.0,0,1,0,2,0.204,72,36,8
