Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,110,105,428,392,51,99,14,1,17,50,2,3,26,118,0.253,0.312,0.424,0.735,166,7,8,1,1,0,3,0.318,100,105,67
Season Totals,Last 7 days,6,5,23,21,0,4,1,0,0,2,0,0,2,9,0.191,0.261,0.238,0.499,5,0,0,0,0,0,0,0.333,40,49,3
Season Totals,Last 14 days,10,9,38,34,2,5,1,0,1,4,0,0,4,15,0.147,0.237,0.265,0.502,9,0,0,0,0,0,0,0.222,39,43,3
Season Totals,Last 28 days,21,20,88,80,5,11,1,0,3,7,0,1,8,33,0.138,0.216,0.263,0.478,21,0,0,0,0,0,0,0.182,32,32,7
Season Totals,Last 365 days,141,135,550,504,68,125,18,1,26,65,2,4,36,146,0.248,0.308,0.443,0.75,223,9,8,1,1,0,3,0.297,104,,80
Platoon Splits,vs RHP,106,,333,308,43,85,12,1,13,41,2,2,16,90,0.276,0.325,0.448,0.773,138,5,7,1,1,0,2,0.35,110,117,59
Platoon Splits,vs LHP,50,,95,84,8,14,2,0,4,9,0,1,10,28,0.167,0.263,0.333,0.597,28,2,1,0,0,0,1,0.192,63,66,8
Platoon Splits,vs RHP as RHB,106,,333,308,,85,12,1,13,41,0,0,16,90,0.276,0.325,0.448,0.773,138,5,7,1,1,0,2,0.35,110,123,59
Platoon Splits,vs LHP as RHB,50,,95,84,,14,2,0,4,9,0,0,10,28,0.167,0.263,0.333,0.597,28,2,1,0,0,0,1,0.192,63,62,8
Platoon Splits,vs RH Starter,85,80,326,298,41,78,10,1,13,36,2,3,18,93,0.262,0.32,0.433,0.753,129,5,8,1,1,0,2,0.337,105,111,54
Platoon Splits,vs LH Starter,25,25,102,94,10,21,4,0,4,14,0,0,8,25,0.223,0.284,0.394,0.678,37,2,0,0,0,0,1,0.262,85,89,13
Home or Away,Home,60,57,226,214,28,56,6,0,13,32,1,3,10,67,0.262,0.297,0.472,0.769,101,4,1,0,1,0,0,0.319,107,110,37
Home or Away,Away,50,48,202,178,23,43,8,1,4,18,1,0,16,51,0.242,0.328,0.365,0.694,65,3,7,1,0,0,3,0.317,92,99,30
First or Second Half,1st Half,83,79,315,290,41,80,13,1,14,42,1,2,18,76,0.276,0.328,0.472,0.8,137,6,5,1,1,0,2,0.328,117,124,52
