Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,675.0,628,61.0,160,27,3,7,16,4,41,140,3.41,0.255,0.301,0.341,0.642,214.0,20.0,2.0,0,4,3,3,0.316,100,81,123
Season Totals,Last 7 days,1,27.0,26,0.0,4,0,0,0,0,0,1,7,7.0,0.154,0.185,0.154,0.339,4.0,1.0,0.0,0,0,0,0,0.211,7,0,4
Season Totals,Last 14 days,2,54.0,52,1.0,8,1,1,0,0,0,2,15,7.5,0.154,0.185,0.212,0.397,11.0,1.0,0.0,0,0,0,0,0.216,24,11,6
Season Totals,Last 28 days,5,138.0,129,6.0,26,5,1,0,1,0,9,29,3.22,0.202,0.254,0.256,0.509,33.0,2.0,0.0,0,0,0,1,0.26,60,42,20
Season Totals,Last 365 days,33,855.0,802,76.0,203,34,4,9,25,4,46,172,3.74,0.253,0.295,0.339,0.634,272.0,29.0,3.0,0,4,3,3,0.31,97,,156
Platoon Splits,vs RHB,26,337.0,321,33.0,84,11,0,5,9,1,12,65,5.42,0.262,0.291,0.343,0.634,110.0,12.0,2.0,0,2,2,2,0.312,97,81,68
Platoon Splits,vs LHB,26,338.0,307,26.0,76,16,3,2,7,3,29,75,2.59,0.248,0.311,0.339,0.65,104.0,8.0,0.0,0,2,1,1,0.319,103,81,55
Platoon Splits,vs RHB as RHP,26,337.0,321,33.0,84,11,0,5,9,1,12,65,5.42,0.262,0.291,0.343,0.634,110.0,12.0,2.0,0,2,2,2,0.312,97,84,68
Platoon Splits,vs LHB as RHP,26,338.0,307,26.0,76,16,3,2,7,3,29,75,2.59,0.248,0.311,0.339,0.65,104.0,8.0,0.0,0,2,1,1,0.319,103,79,55
Home or Away,Home,12,326.0,309,22.0,69,11,2,3,2,1,15,65,4.33,0.223,0.261,0.301,0.562,93.0,10.0,1.0,0,1,2,1,0.273,75,61,53
Home or Away,Away,14,349.0,319,39.0,91,16,1,4,14,3,26,75,2.88,0.285,0.338,0.379,0.717,121.0,10.0,1.0,0,3,1,2,0.358,123,100,70
First or Second Half,1st Half,20,510.0,476,51.0,126,22,2,6,15,3,28,107,3.82,0.265,0.306,0.357,0.663,170.0,16.0,2.0,0,4,3,2,0.327,106,88,96
First or Second Half,2nd Half,6,165.0,152,10.0,34,5,1,1,1,1,13,33,2.54,0.224,0.285,0.29,0.574,44.0,4.0,0.0,0,0,0,1,0.28,79,61,27
Months,April/March,7,175.0,164,14.0,45,7,1,1,5,1,10,30,3.0,0.274,0.32,0.348,0.668,57.0,7.0,1.0,0,0,1,0,0.331,108,92,36
Months,May,5,125.0,114,11.0,27,5,0,1,6,1,9,31,3.44,0.237,0.296,0.307,0.603,35.0,3.0,1.0,0,1,0,2,0.313,88,76,21
Months,June,6,160.0,151,17.0,39,6,1,3,4,0,7,36,5.14,0.258,0.288,0.371,0.658,56.0,5.0,0.0,0,2,2,0,0.316,105,83,29
Months,July,5,137.0,126,17.0,37,7,0,2,0,2,10,24,2.4,0.294,0.343,0.397,0.74,50.0,4.0,0.0,0,1,0,1,0.347,130,104,28
Months,August,3,78.0,73,2.0,12,2,1,0,1,0,5,19,3.8,0.164,0.218,0.219,0.437,16.0,1.0,0.0,0,0,0,0,0.222,37,23,9
Game Outcome for Pitcher,in Wins,11,293.0,276,10.0,53,8,1,1,1,2,13,60,4.62,0.192,0.232,0.239,0.471,66.0,5.0,2.0,0,2,0,1,0.24,47,80,43
Game Outcome for Pitcher,in Losses,8,199.0,181,36.0,63,12,2,5,13,1,17,43,2.53,0.348,0.402,0.519,0.921,94.0,8.0,0.0,0,1,1,1,0.433,186,92,44
Game Outcome for Pitcher,in No Dec.,7,183.0,171,15.0,44,7,0,1,2,1,11,37,3.36,0.257,0.301,0.316,0.616,54.0,7.0,0.0,0,1,2,1,0.321,93,78,36
Pitching Role,as Starter,26,675.0,628,61.0,160,27,3,7,16,4,41,140,3.41,0.255,0.301,0.341,0.642,214.0,20.0,2.0,0,4,3,3,0.316,100,80,123
Run Support,0-2 Runs Scored,4,113.0,106,9.0,28,3,1,1,4,0,7,21,3.0,0.264,0.31,0.34,0.649,36.0,3.0,0.0,0,0,0,1,0.321,103,77,23
Run Support,3-5 Runs Scored,18,460.0,426,42.0,108,21,2,5,11,4,30,98,3.27,0.254,0.302,0.347,0.65,148.0,13.0,1.0,0,3,3,2,0.316,102,84,80
Run Support,6+ Runs Scored,4,102.0,96,10.0,24,3,0,1,1,0,4,21,5.25,0.25,0.284,0.313,0.597,30.0,4.0,1.0,0,1,0,0,0.307,86,70,20
Batting Order Positions,Batting 1st,26,84.0,78,4.0,19,4,0,1,2,1,6,16,2.67,0.244,0.298,0.333,0.631,26.0,1.0,0.0,0,0,1,0,0.295,97,73,14
Batting Order Positions,Batting 2nd,26,82.0,77,8.0,26,2,1,1,2,0,4,18,4.5,0.338,0.366,0.429,0.795,33.0,4.0,0.0,0,1,0,1,0.424,147,110,22
Batting Order Positions,Batting 3rd,26,79.0,72,9.0,23,6,0,3,4,1,7,17,2.43,0.319,0.38,0.528,0.908,38.0,3.0,0.0,0,0,1,0,0.385,181,131,14
Batting Order Positions,Batting 4th,26,78.0,71,6.0,13,2,1,0,2,0,6,17,2.83,0.183,0.256,0.239,0.496,17.0,2.0,1.0,0,0,0,1,0.241,55,38,10
Batting Order Positions,Batting 5th,26,76.0,72,8.0,18,5,0,0,0,1,3,16,5.33,0.25,0.276,0.319,0.596,23.0,2.0,0.0,0,1,1,1,0.316,85,66,13
Batting Order Positions,Batting 6th,26,75.0,71,6.0,17,2,1,1,2,1,3,10,3.33,0.239,0.28,0.338,0.618,24.0,3.0,1.0,0,0,0,0,0.267,92,81,13
Batting Order Positions,Batting 7th,26,70.0,66,6.0,15,2,0,0,1,0,3,15,5.0,0.227,0.257,0.258,0.515,17.0,0.0,0.0,0,1,0,0,0.289,61,52,13
Batting Order Positions,Batting 8th,26,67.0,60,10.0,17,2,0,1,1,0,6,17,2.83,0.283,0.343,0.367,0.71,22.0,2.0,0.0,0,1,0,0,0.372,122,117,14
