Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,109,492,460,63,127,19,1,15,66,7,1,23,93,0.276,0.315,0.42,0.735,193,14,5,0,4,1,1,0.315,100,106,92
Season Totals,Last 7 days,6,5,26,21,5,8,1,0,1,6,1,0,3,3,0.381,0.462,0.571,1.033,12,0,1,0,1,0,0,0.389,183,202,6
Season Totals,Last 14 days,11,10,46,38,10,15,2,0,1,8,1,0,5,6,0.395,0.478,0.526,1.005,20,0,2,0,1,1,0,0.438,177,186,12
Season Totals,Last 28 days,22,19,88,76,16,25,4,0,2,10,2,0,9,13,0.329,0.409,0.461,0.87,35,0,2,0,1,1,0,0.371,140,141,19
Season Totals,Last 365 days,150,142,626,585,78,162,28,1,20,82,8,1,31,120,0.277,0.318,0.431,0.749,252,18,6,0,4,1,1,0.316,104,,113
Platoon Splits,vs RHP,108,,339,315,39,78,10,1,10,44,5,1,15,63,0.248,0.289,0.381,0.67,120,11,5,0,4,0,0,0.276,83,88,57
Platoon Splits,vs LHP,62,,153,145,24,49,9,0,5,22,2,0,8,30,0.338,0.373,0.503,0.876,73,3,0,0,0,1,1,0.4,138,144,35
Platoon Splits,vs RHP as RHB,108,,339,315,,78,10,1,10,44,0,0,15,63,0.248,0.289,0.381,0.67,120,11,5,0,4,0,0,0.276,83,94,57
Platoon Splits,vs LHP as RHB,62,,153,145,,49,9,0,5,22,0,0,8,30,0.338,0.373,0.503,0.876,73,3,0,0,0,1,1,0.4,138,137,35
Platoon Splits,vs RH Starter,74,66,301,275,36,70,8,1,10,39,6,1,17,57,0.255,0.306,0.4,0.706,110,9,5,0,4,1,0,0.283,92,98,51
Platoon Splits,vs LH Starter,43,43,191,185,27,57,11,0,5,27,1,0,6,36,0.308,0.33,0.449,0.778,83,5,0,0,0,0,1,0.361,112,117,41
Home or Away,Home,58,55,239,220,31,55,10,1,8,37,2,0,14,44,0.25,0.301,0.414,0.715,91,8,3,0,2,0,1,0.277,94,97,36
Home or Away,Away,59,54,253,240,32,72,9,0,7,29,5,1,9,49,0.3,0.328,0.425,0.753,102,6,2,0,2,1,0,0.35,105,114,56
First or Second Half,1st Half,88,84,376,356,43,94,15,1,13,56,4,1,14,74,0.264,0.295,0.421,0.717,150,14,3,0,3,0,1,0.298,94,101,65
First or Second Half,2nd Half,29,25,116,104,20,33,4,0,2,10,3,0,9,19,0.317,0.379,0.414,0.793,43,0,2,0,1,1,0,0.369,119,121,27
Months,April/March,28,28,130,122,19,31,6,0,5,22,2,0,8,21,0.254,0.3,0.426,0.726,52,5,0,0,0,0,0,0.271,97,106,20
Months,May,25,23,98,94,6,20,4,0,1,9,1,1,3,20,0.213,0.245,0.287,0.532,27,4,1,0,0,0,1,0.26,46,54,15
Months,June,25,23,100,95,12,32,3,1,5,17,0,0,2,23,0.337,0.36,0.547,0.907,52,5,2,0,1,0,0,0.397,145,149,23
Months,July,22,20,94,90,15,25,4,0,3,10,2,0,2,20,0.278,0.287,0.422,0.709,38,0,0,0,2,0,0,0.319,92,92,18
Months,August,17,15,70,59,11,19,2,0,1,8,2,0,8,9,0.322,0.414,0.407,0.821,24,0,2,0,1,1,0,0.36,128,132,16
Game Outcome for Team,in Wins,64,60,274,254,46,74,14,0,10,46,6,0,13,55,0.291,0.336,0.465,0.8,118,7,5,0,2,0,0,0.335,117,92,50
Game Outcome for Team,in Losses,53,49,218,206,17,53,5,1,5,20,1,1,10,38,0.257,0.289,0.364,0.653,75,7,0,0,2,1,1,0.291,78,122,42
Starter or Substitute,as Starter,109,109,480,449,60,120,18,1,13,59,5,1,22,90,0.267,0.306,0.399,0.705,179,14,5,0,4,1,1,0.306,92,97,88
Starter or Substitute,as Sub,8,0,12,11,3,7,1,0,2,7,2,0,1,3,0.636,0.667,1.273,1.939,14,0,0,0,0,0,0,0.833,415,478,4
