Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,118,116,530,501,66,152,23,2,3,34,6,3,18,26,0.303,0.337,0.375,0.712,188,17,8,2,1,1,2,0.315,100,101,124
Season Totals,Last 7 days,5,5,22,20,3,5,1,0,0,1,1,0,0,0,0.25,0.318,0.3,0.618,6,0,2,0,0,0,0,0.25,74,81,4
Season Totals,Last 14 days,12,12,56,52,10,15,3,0,0,5,2,0,1,2,0.289,0.339,0.346,0.686,18,0,3,0,0,0,0,0.3,93,93,12
Season Totals,Last 28 days,21,20,95,90,15,25,4,0,0,8,2,0,1,2,0.278,0.309,0.322,0.631,29,3,3,1,0,0,1,0.284,78,75,21
Season Totals,Last 365 days,146,143,642,610,85,189,26,2,8,45,8,3,21,31,0.31,0.341,0.398,0.739,243,20,8,2,1,3,2,0.316,107,,153
Platoon Splits,vs RHP,103,,348,331,42,105,18,1,2,22,5,2,12,9,0.317,0.346,0.396,0.742,131,11,3,1,1,1,1,0.321,108,110,84
Platoon Splits,vs LHP,79,,182,170,24,47,5,1,1,12,1,1,6,17,0.277,0.32,0.335,0.656,57,6,5,1,0,0,1,0.303,84,85,40
Platoon Splits,vs RHP as LHB,103,,348,331,,105,18,1,2,22,0,0,12,9,0.317,0.346,0.396,0.742,131,11,3,1,1,1,1,0.321,108,103,84
Platoon Splits,vs LHP as LHB,79,,182,170,,47,5,1,1,12,0,0,6,17,0.277,0.32,0.335,0.656,57,6,5,1,0,0,1,0.303,84,96,40
Platoon Splits,vs RH Starter,79,79,370,353,47,114,19,1,2,27,5,1,12,14,0.323,0.35,0.399,0.749,141,14,3,1,1,0,1,0.331,110,112,92
Platoon Splits,vs LH Starter,39,37,160,148,19,38,4,1,1,7,1,2,6,12,0.257,0.308,0.318,0.626,47,3,5,1,0,1,1,0.274,76,77,32
Home or Away,Home,61,60,269,250,31,63,9,1,1,15,3,0,12,12,0.252,0.3,0.308,0.608,77,11,5,2,0,1,1,0.262,71,71,52
Home or Away,Away,57,56,261,251,35,89,14,1,2,19,3,3,6,14,0.355,0.376,0.442,0.818,111,6,3,0,1,0,1,0.369,129,134,72
First or Second Half,1st Half,93,92,416,394,50,122,17,2,2,24,3,3,15,24,0.31,0.342,0.378,0.72,149,14,5,1,1,1,1,0.325,102,105,101
First or Second Half,2nd Half,25,24,114,107,16,30,6,0,1,10,3,0,3,2,0.28,0.319,0.365,0.683,39,3,3,1,0,0,1,0.279,92,90,23
Months,April/March,31,31,138,127,19,38,7,1,0,4,0,0,8,11,0.299,0.35,0.37,0.721,47,4,2,1,0,0,1,0.328,103,108,30
Months,May,26,25,118,113,16,44,5,0,1,11,3,1,3,4,0.389,0.415,0.46,0.876,52,6,2,0,0,0,0,0.398,146,154,38
Months,June,26,26,119,113,13,29,4,1,1,7,0,1,4,6,0.257,0.286,0.336,0.622,38,4,1,0,1,1,0,0.262,75,74,23
Months,July,20,20,89,86,7,24,4,0,1,7,1,1,2,3,0.279,0.296,0.361,0.656,31,3,0,1,0,0,1,0.281,84,80,19
Months,August,15,14,66,62,11,17,3,0,0,5,2,0,1,2,0.274,0.318,0.323,0.641,20,0,3,0,0,0,0,0.283,81,80,14
Game Outcome for Team,in Wins,60,60,289,274,48,95,15,2,3,31,4,2,9,13,0.347,0.375,0.449,0.824,123,7,4,1,1,1,1,0.355,131,100,75
Game Outcome for Team,in Losses,58,56,241,227,18,57,8,0,0,3,2,1,9,13,0.251,0.292,0.286,0.578,65,10,4,1,0,0,1,0.266,63,98,49
Starter or Substitute,as Starter,116,116,528,499,65,151,23,2,3,34,6,3,18,26,0.303,0.337,0.375,0.711,187,17,8,2,1,1,2,0.314,100,101,123
Starter or Substitute,as Sub,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,182,208,1
Defensive Positions,as 1B,55,,232,224,23,69,9,1,1,15,2,2,6,11,0.308,0.328,0.371,0.698,83,6,1,0,1,1,0,0.319,96,93,58
Defensive Positions,as 2B,40,,174,162,24,53,10,1,1,9,2,0,9,11,0.327,0.37,0.42,0.79,68,6,2,1,0,0,1,0.347,122,132,41
Defensive Positions,as DH,27,,123,114,18,29,4,0,1,10,2,1,3,4,0.254,0.303,0.316,0.619,36,5,5,1,0,0,1,0.257,74,68,24
Defensive Positions,as PH,2,,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,182,216,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,116,,116,106,,24,3,0,1,1,,,7,7,0.226,0.293,0.283,0.576,30,0,3,0,0,0,0,0.235,62,65,20
Leading Off Inning,Leadoff Inn.,117,,211,199,,54,6,1,1,1,,,9,17,0.271,0.313,0.327,0.639,65,0,3,0,0,0,1,0.293,80,86,46
Batting Order Positions,Batting 1st,116,116,528,499,65,151,23,2,3,34,6,3,18,26,0.303,0.337,0.375,0.711,187,17,8,2,1,1,2,0.314,100,95,123
Batting Order Positions,Batting 2nd,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 9th,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,463,548,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,71,,101,98,,30,5,0,2,10,,,1,4,0.306,0.313,0.418,0.732,41,7,0,2,0,0,1,0.304,104,110,23
Swung or Took First Pitch of PA,Took 1st Pitch,118,,429,403,,122,18,2,1,24,,,17,22,0.303,0.343,0.365,0.708,147,10,8,0,1,1,1,0.318,99,99,101
Count/Balls-Strikes,First Pitch,38,,44,43,16,12,1,0,0,2,1,1,0,0,0.279,0.279,0.302,0.581,13,3,0,1,0,0,1,0.279,63,35,11
Count/Balls-Strikes,1-0 Count,33,,39,39,4,12,3,0,0,0,0,0,0,0,0.308,0.308,0.385,0.692,15,0,0,0,0,0,0,0.308,94,58,9
Count/Balls-Strikes,2-0 Count,15,,15,15,3,4,1,0,0,1,0,0,0,0,0.267,0.267,0.333,0.6,5,1,0,0,0,0,0,0.267,68,31,3
Count/Balls-Strikes,3-0 Count,3,,3,1,1,0,0,0,0,0,0,0,2,0,0.0,0.667,0.0,0.667,0,0,0,0,0,1,0,0.0,98,-29,0
Count/Balls-Strikes,0-1 Count,54,,77,75,11,22,2,0,1,10,0,0,0,0,0.293,0.303,0.36,0.663,27,5,1,1,0,0,0,0.284,86,62,19
Count/Balls-Strikes,1-1 Count,47,,58,58,7,15,3,0,0,0,1,0,0,0,0.259,0.259,0.31,0.569,18,2,0,0,0,0,0,0.259,60,39,12
Count/Balls-Strikes,2-1 Count,32,,40,39,1,19,4,0,0,7,1,0,0,0,0.487,0.5,0.59,1.09,23,0,1,0,0,0,0,0.487,206,147,15
Count/Balls-Strikes,3-1 Count,23,,23,15,2,8,3,0,0,1,0,0,8,0,0.533,0.696,0.733,1.429,11,0,0,0,0,0,0,0.533,302,115,5
Count/Balls-Strikes,0-2 Count,44,,61,59,4,14,2,0,0,2,0,0,0,11,0.237,0.262,0.271,0.534,16,1,2,0,0,0,0,0.292,50,186,12
Count/Balls-Strikes,1-2 Count,71,,90,88,3,29,1,2,1,4,1,2,0,6,0.33,0.344,0.421,0.765,37,4,2,0,0,0,0,0.346,114,274,25
Count/Balls-Strikes,2-2 Count,34,,38,36,10,9,2,0,0,1,0,0,0,6,0.25,0.263,0.306,0.569,11,0,1,0,1,0,1,0.29,60,160,7
Count/Balls-Strikes,Full Count,39,,42,33,4,8,1,0,1,6,2,0,8,3,0.242,0.405,0.364,0.768,12,1,1,0,0,0,0,0.241,117,98,6
Count/Balls-Strikes,After 1-0,108,,212,194,,66,12,1,1,12,,,15,6,0.34,0.396,0.428,0.824,83,4,3,0,0,1,1,0.348,132,106,52
Count/Balls-Strikes,After 2-0,49,,56,46,,16,4,0,0,5,,,10,4,0.348,0.464,0.435,0.899,20,1,0,0,0,1,1,0.381,154,87,12
Count/Balls-Strikes,After 3-0,18,,19,11,,5,1,0,0,1,,,8,1,0.455,0.684,0.546,1.23,6,0,0,0,0,1,0,0.5,248,100,4
Count/Balls-Strikes,After 0-1,112,,274,264,,74,10,1,2,20,,,3,20,0.28,0.3,0.349,0.649,92,10,5,1,1,0,0,0.296,82,116,61
Count/Balls-Strikes,After 1-1,104,,213,201,,66,10,2,2,11,,,7,8,0.328,0.366,0.428,0.794,86,5,5,0,0,0,0,0.335,123,140,52
Count/Balls-Strikes,After 2-1,63,,94,85,,31,6,0,1,9,,,7,3,0.365,0.426,0.471,0.896,40,1,2,0,0,0,1,0.37,152,128,24
Count/Balls-Strikes,After 3-1,34,,39,26,,9,3,0,0,2,,,13,1,0.346,0.564,0.462,1.026,12,1,0,0,0,0,0,0.36,191,101,6
Count/Balls-Strikes,After 0-2,68,,101,97,,24,3,0,0,6,,,1,14,0.247,0.267,0.278,0.546,27,3,2,0,1,0,0,0.286,53,144,21
Count/Balls-Strikes,After 1-2,87,,123,116,,37,4,2,1,9,,,3,11,0.319,0.35,0.414,0.763,48,4,3,0,1,0,0,0.343,114,207,30
Count/Balls-Strikes,After 2-2,54,,64,58,,16,3,0,1,6,,,3,8,0.276,0.328,0.379,0.707,22,0,2,0,1,0,1,0.3,98,142,12
Count/Balls-Strikes,Zero Balls,92,,182,177,31,48,5,0,1,14,1,1,0,11,0.271,0.283,0.316,0.6,56,9,3,2,0,0,1,0.285,68,73,42
Count/Balls-Strikes,Zero Strikes,77,,101,98,24,28,5,0,0,3,1,1,2,0,0.286,0.3,0.337,0.637,33,4,0,1,0,1,1,0.286,79,36,23
Count/Balls-Strikes,Three Balls,55,,68,49,7,16,4,0,1,7,2,0,18,3,0.327,0.515,0.469,0.984,23,1,1,0,0,1,0,0.333,178,115,11
Count/Balls-Strikes,Two Strikes,104,,231,216,21,60,6,2,2,13,3,2,8,26,0.278,0.32,0.352,0.672,76,6,6,0,1,0,1,0.307,89,163,50
Count/Balls-Strikes,Batter Ahead,94,,162,142,15,51,12,0,1,15,3,0,18,3,0.359,0.438,0.465,0.903,66,2,2,0,0,1,0,0.362,154,89,38
Count/Balls-Strikes,Even Count,80,,140,137,33,36,6,0,0,3,2,1,0,6,0.263,0.266,0.307,0.573,42,5,1,1,1,0,2,0.273,61,71,30
Count/Balls-Strikes,Pitcher Ahead,108,,228,222,18,65,5,2,2,16,1,2,0,17,0.293,0.308,0.36,0.669,80,10,5,1,0,0,0,0.31,87,163,56
Number of Outs in Inning,0 outs,117,,256,241,24,70,10,1,1,4,2,1,10,18,0.291,0.327,0.353,0.68,85,7,3,2,0,0,1,0.311,91,91,58
Number of Outs in Inning,1 out,80,,130,119,20,33,3,1,0,10,2,0,7,5,0.277,0.331,0.319,0.65,38,10,3,0,1,0,1,0.287,83,85,29
Number of Outs in Inning,2 outs,91,,144,141,22,49,10,0,2,20,2,2,1,3,0.348,0.361,0.461,0.822,65,0,2,0,0,1,0,0.346,130,135,37
Bases Occupied,RISP,69,,91,85,53,30,4,0,0,29,3,0,3,1,0.353,0.378,0.4,0.778,34,9,1,1,1,1,0,0.353,119,110,26
Bases Occupied,---,118,,360,339,2,97,15,2,2,2,0,0,14,24,0.286,0.328,0.36,0.688,122,0,7,0,0,0,1,0.304,93,102,78
Bases Occupied,Men On,94,,170,162,64,55,8,0,1,32,6,3,4,2,0.34,0.357,0.407,0.765,66,17,1,2,1,1,1,0.338,115,106,46
Bases Occupied,1--,65,,79,77,11,25,4,0,1,3,3,3,1,1,0.325,0.333,0.416,0.749,32,8,0,1,0,0,1,0.32,110,102,20
