Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,27,655.0,603,67.0,143,35,1,22,11,7,43,163,3.79,0.237,0.293,0.408,0.701,246.0,12.0,5.0,2,2,2,3,0.288,100,95,85
Season Totals,Last 7 days,2,47.0,44,9.0,11,3,0,5,1,0,3,15,5.0,0.25,0.298,0.659,0.957,29.0,1.0,0.0,0,0,0,0,0.25,164,171,3
Season Totals,Last 14 days,3,72.0,66,10.0,15,4,0,6,1,0,5,24,4.8,0.227,0.292,0.561,0.852,37.0,1.0,1.0,0,0,0,0,0.25,138,135,5
Season Totals,Last 28 days,5,124.0,116,16.0,29,8,0,7,1,1,6,37,6.17,0.25,0.298,0.5,0.798,58.0,1.0,2.0,0,0,0,1,0.306,125,115,14
Season Totals,Last 365 days,34,824.0,751,85.0,177,42,3,27,13,11,62,207,3.34,0.236,0.298,0.408,0.706,306.0,12.0,6.0,2,3,2,3,0.289,102,,105
Platoon Splits,vs RHB,27,337.0,312,27.0,62,15,1,7,7,5,19,101,5.32,0.199,0.25,0.321,0.571,100.0,9.0,3.0,1,2,0,1,0.267,64,62,39
Platoon Splits,vs LHB,27,318.0,291,37.0,81,20,0,15,4,2,24,62,2.58,0.278,0.338,0.502,0.839,146.0,3.0,2.0,1,0,2,2,0.308,139,130,46
Platoon Splits,vs RHB as RHP,27,337.0,312,27.0,62,15,1,7,7,5,19,101,5.32,0.199,0.25,0.321,0.571,100.0,9.0,3.0,1,2,0,1,0.267,64,65,39
Platoon Splits,vs LHB as RHP,27,318.0,291,37.0,81,20,0,15,4,2,24,62,2.58,0.278,0.338,0.502,0.839,146.0,3.0,2.0,1,0,2,2,0.308,139,127,46
Home or Away,Home,15,367.0,347,33.0,81,15,0,11,5,6,16,103,6.44,0.233,0.273,0.372,0.645,129.0,4.0,3.0,1,0,1,2,0.3,85,83,55
Home or Away,Away,12,288.0,256,34.0,62,20,1,11,6,1,27,60,2.22,0.242,0.317,0.457,0.774,117.0,8.0,2.0,1,2,1,1,0.273,121,113,30
First or Second Half,1st Half,20,479.0,439,48.0,103,26,1,15,10,5,34,116,3.41,0.235,0.291,0.401,0.692,176.0,9.0,2.0,2,2,2,1,0.284,98,94,61
First or Second Half,2nd Half,7,176.0,164,19.0,40,9,0,7,1,2,9,47,5.22,0.244,0.296,0.427,0.722,70.0,3.0,3.0,0,0,0,2,0.3,106,98,24
Months,April/March,7,171.0,163,17.0,41,12,0,5,3,2,8,49,6.13,0.252,0.287,0.417,0.704,68.0,2.0,0.0,0,0,1,0,0.33,101,100,24
Months,May,5,123.0,109,11.0,25,3,1,5,1,1,11,26,2.36,0.229,0.301,0.413,0.714,45.0,3.0,1.0,0,2,1,1,0.25,104,105,16
Months,June,6,139.0,125,19.0,31,10,0,4,6,2,11,28,2.55,0.248,0.314,0.424,0.738,53.0,2.0,1.0,2,0,0,0,0.29,112,105,17
Months,July,5,124.0,114,7.0,23,5,0,2,0,1,8,27,3.38,0.202,0.266,0.298,0.564,34.0,4.0,2.0,0,0,0,1,0.247,64,56,16
Months,August,4,98.0,92,13.0,23,5,0,6,1,1,5,33,6.6,0.25,0.296,0.5,0.796,46.0,1.0,1.0,0,0,0,1,0.321,124,117,12
Game Outcome for Pitcher,in Wins,10,242.0,224,11.0,38,9,0,7,2,2,15,69,4.6,0.17,0.231,0.304,0.535,68.0,3.0,3.0,0,0,0,0,0.21,54,103,22
Game Outcome for Pitcher,in Losses,12,295.0,270,44.0,79,22,0,11,6,4,21,67,3.19,0.293,0.347,0.496,0.843,134.0,8.0,2.0,1,1,2,3,0.352,140,74,46
Game Outcome for Pitcher,in No Dec.,5,118.0,109,12.0,26,4,1,4,3,1,7,27,3.86,0.239,0.282,0.404,0.686,44.0,1.0,0.0,1,1,0,0,0.279,96,95,17
Pitching Role,as Starter,27,655.0,603,67.0,143,35,1,22,11,7,43,163,3.79,0.237,0.293,0.408,0.701,246.0,12.0,5.0,2,2,2,3,0.288,100,93,85
Run Support,0-2 Runs Scored,10,250.0,231,27.0,61,14,0,7,2,3,16,65,4.06,0.264,0.316,0.416,0.732,96.0,7.0,2.0,0,1,2,3,0.338,110,96,40
Run Support,3-5 Runs Scored,11,259.0,234,29.0,53,14,1,8,9,3,21,54,2.57,0.227,0.292,0.397,0.689,93.0,4.0,1.0,2,1,0,0,0.26,97,93,30
Run Support,6+ Runs Scored,6,146.0,138,11.0,29,7,0,7,0,1,6,44,7.33,0.21,0.253,0.413,0.666,57.0,1.0,2.0,0,0,0,0,0.253,88,84,15
Batting Order Positions,Batting 1st,27,82.0,77,5.0,23,2,0,3,0,1,5,20,4.0,0.299,0.342,0.442,0.783,34.0,0.0,0.0,0,0,0,0,0.37,125,113,18
