Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,111,101,428,405,47,119,22,1,15,62,19,3,22,67,0.294,0.329,0.464,0.794,188,9,0,0,1,2,2,0.321,100,121,81
Season Totals,Last 7 days,6,6,24,23,2,8,2,0,1,3,0,0,1,3,0.348,0.375,0.565,0.94,13,0,0,0,0,0,0,0.368,136,168,5
Season Totals,Last 14 days,12,12,49,44,6,15,3,0,2,9,1,0,4,5,0.341,0.388,0.546,0.933,24,2,0,0,1,0,0,0.342,135,158,10
Season Totals,Last 28 days,24,23,97,88,13,31,5,0,4,17,6,0,8,15,0.352,0.402,0.546,0.948,48,3,0,0,1,2,0,0.386,140,159,22
Season Totals,Last 365 days,133,119,503,474,62,140,27,1,18,70,20,3,28,76,0.295,0.334,0.471,0.805,223,9,0,0,1,2,3,0.32,103,,94
Platoon Splits,vs RHP,108,,339,322,43,98,17,0,15,55,15,2,17,48,0.304,0.339,0.497,0.836,160,7,0,0,0,2,1,0.321,110,133,66
Platoon Splits,vs LHP,62,,89,83,4,21,5,1,0,7,4,1,5,19,0.253,0.292,0.337,0.629,28,2,0,0,1,0,1,0.323,61,76,15
Platoon Splits,vs RHP as LHB,108,,339,322,,98,17,0,15,55,0,0,17,48,0.304,0.339,0.497,0.836,160,7,0,0,0,2,1,0.321,110,126,66
Platoon Splits,vs LHP as LHB,62,,89,83,,21,5,1,0,7,0,0,5,19,0.253,0.292,0.337,0.629,28,2,0,0,1,0,1,0.323,61,88,15
Platoon Splits,vs RH Starter,90,90,371,353,40,104,19,1,12,51,17,2,18,59,0.295,0.329,0.456,0.785,161,8,0,0,0,2,1,0.326,98,119,72
Platoon Splits,vs LH Starter,21,11,57,52,7,15,3,0,3,11,2,1,4,8,0.289,0.333,0.519,0.853,27,1,0,0,1,0,1,0.286,113,136,9
Home or Away,Home,56,49,208,195,29,68,11,1,11,39,11,2,13,23,0.349,0.389,0.585,0.974,114,7,0,0,0,0,1,0.354,144,167,45
Home or Away,Away,55,52,220,210,18,51,11,0,4,23,8,1,9,44,0.243,0.273,0.352,0.625,74,2,0,0,1,2,1,0.288,59,78,36
First or Second Half,1st Half,84,75,320,306,34,86,17,0,11,45,12,3,14,50,0.281,0.313,0.444,0.757,136,5,0,0,0,0,2,0.306,91,112,58
First or Second Half,2nd Half,27,26,108,99,13,33,5,1,4,17,7,0,8,17,0.333,0.38,0.525,0.905,52,4,0,0,1,2,0,0.367,129,148,23
Months,April/March,25,22,90,85,4,25,7,0,1,11,5,0,5,16,0.294,0.333,0.412,0.745,35,0,0,0,0,0,0,0.353,90,113,17
Months,May,22,20,88,83,10,21,3,0,4,15,3,0,5,18,0.253,0.296,0.434,0.729,36,1,0,0,0,0,0,0.279,83,108,14
Months,June,25,24,99,97,11,23,4,0,2,10,3,2,2,12,0.237,0.253,0.34,0.593,33,4,0,0,0,0,1,0.253,50,64,17
Months,July,21,18,80,75,10,25,4,1,4,15,4,1,5,13,0.333,0.375,0.573,0.948,43,1,0,0,0,2,1,0.362,138,156,16
Months,August,18,17,71,65,12,25,4,0,4,11,4,0,5,8,0.385,0.423,0.631,1.053,41,3,0,0,1,0,0,0.389,165,189,17
Game Outcome for Team,in Wins,48,45,198,186,33,64,12,0,12,46,12,1,11,28,0.344,0.379,0.602,0.981,112,5,0,0,1,1,1,0.354,145,133,40
Game Outcome for Team,in Losses,63,56,230,219,14,55,10,1,3,16,7,2,11,39,0.251,0.287,0.347,0.634,76,4,0,0,0,1,1,0.294,62,115,41
Starter or Substitute,as Starter,101,101,412,390,43,114,21,1,13,57,19,3,21,64,0.292,0.328,0.451,0.779,176,9,0,0,1,2,1,0.322,97,117,79
Starter or Substitute,as Sub,10,0,16,15,4,5,1,0,2,5,0,0,1,3,0.333,0.375,0.8,1.175,12,0,0,0,0,0,1,0.3,186,248,2
Defensive Positions,as 2B,104,,414,391,45,115,21,1,13,57,19,3,22,63,0.294,0.331,0.453,0.784,177,9,0,0,1,2,1,0.323,98,128,80
Defensive Positions,as DH,1,,4,4,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,10,,10,10,2,4,1,0,2,5,0,0,0,2,0.4,0.4,1.1,1.5,11,0,0,0,0,0,1,0.333,259,352,1
Leading Off Inning,Leadoff Inn.,73,,108,105,,33,6,0,2,3,,,3,14,0.314,0.333,0.429,0.762,45,0,0,0,0,0,1,0.348,94,118,25
Batting Order Positions,Batting 2nd,5,5,21,19,1,4,1,0,0,2,0,0,2,1,0.211,0.286,0.263,0.549,5,2,0,0,0,0,0,0.222,44,48,3
Batting Order Positions,Batting 3rd,15,14,65,60,9,18,5,0,3,8,4,0,5,13,0.3,0.354,0.533,0.887,32,3,0,0,0,0,0,0.341,123,125,10
Batting Order Positions,Batting 4th,17,17,68,66,4,18,0,0,1,6,4,0,2,10,0.273,0.294,0.318,0.612,21,1,0,0,0,0,0,0.309,58,69,17
Batting Order Positions,Batting 5th,27,27,111,106,12,29,5,0,3,15,4,0,5,15,0.274,0.306,0.406,0.712,43,0,0,0,0,1,1,0.296,81,97,21
Batting Order Positions,Batting 6th,14,14,58,56,10,24,3,1,5,14,3,2,2,8,0.429,0.448,0.786,1.234,44,1,0,0,0,0,0,0.442,206,253,15
Batting Order Positions,Batting 7th,11,9,36,34,2,9,2,0,0,5,2,1,2,8,0.265,0.306,0.324,0.629,11,2,0,0,0,1,0,0.346,63,84,7
Batting Order Positions,Batting 8th,16,12,54,50,7,14,6,0,2,7,1,0,3,10,0.28,0.315,0.52,0.835,26,0,0,0,1,0,1,0.308,108,150,6
Batting Order Positions,Batting 9th,6,3,15,14,2,3,0,0,1,5,1,0,1,2,0.214,0.267,0.429,0.695,6,0,0,0,0,0,0,0.182,74,121,2
