Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,61,37,148,132,9,29,8,1,0,7,2,2,14,29,0.22,0.293,0.296,0.588,39,5,0,1,1,0,1,0.279,100,67,20
Season Totals,Last 7 days,2,2,10,8,1,2,1,0,0,1,1,0,2,1,0.25,0.4,0.375,0.775,3,0,0,0,0,0,0,0.286,164,130,1
Season Totals,Last 14 days,3,3,13,10,1,2,1,0,0,1,1,0,3,2,0.2,0.385,0.3,0.685,3,0,0,0,0,0,1,0.25,133,100,1
Season Totals,Last 28 days,10,5,23,20,1,3,2,0,0,1,1,0,3,6,0.15,0.261,0.25,0.511,5,0,0,0,0,0,1,0.214,74,43,1
Season Totals,Last 365 days,65,39,154,138,9,29,8,1,0,7,2,2,14,29,0.21,0.281,0.283,0.564,39,6,0,1,1,0,1,0.264,92,,20
Platoon Splits,vs RHP,47,,132,117,9,28,8,1,0,7,2,2,13,25,0.239,0.313,0.325,0.638,38,5,0,1,1,0,1,0.301,117,82,19
Platoon Splits,vs LHP,14,,16,15,,1,0,0,0,0,0,0,1,4,0.067,0.125,0.067,0.192,1,0,0,0,0,0,0,0.091,-35,-44,1
Platoon Splits,vs RHP as LHB,47,,132,117,,28,8,1,0,7,0,0,13,25,0.239,0.313,0.325,0.638,38,5,0,1,1,0,1,0.301,117,76,19
Platoon Splits,vs LHP as LHB,14,,16,15,,1,0,0,0,0,0,0,1,4,0.067,0.125,0.067,0.192,1,0,0,0,0,0,0,0.091,-35,-40,1
Platoon Splits,vs RH Starter,53,37,143,127,9,29,8,1,0,7,2,2,14,27,0.228,0.303,0.307,0.61,39,5,0,1,1,0,1,0.287,108,74,20
Platoon Splits,vs LH Starter,8,0,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Home or Away,Home,37,21,81,70,5,16,4,1,0,4,0,1,9,18,0.229,0.313,0.314,0.627,22,2,0,1,1,0,1,0.302,113,76,11
Home or Away,Away,24,16,67,62,4,13,4,0,0,3,2,1,5,11,0.21,0.269,0.274,0.543,17,3,0,0,0,0,0,0.255,85,57,9
First or Second Half,1st Half,48,30,119,106,8,24,6,1,0,6,1,1,11,21,0.226,0.297,0.302,0.599,32,5,0,1,1,0,0,0.279,104,71,17
First or Second Half,2nd Half,13,7,29,26,1,5,2,0,0,1,1,1,3,8,0.192,0.276,0.269,0.545,7,0,0,0,0,0,1,0.278,85,53,3
Months,April/March,8,6,20,19,2,3,2,0,0,3,0,0,1,5,0.158,0.2,0.263,0.463,5,1,0,0,0,0,0,0.214,57,32,1
Months,May,14,10,41,37,2,11,3,0,0,1,0,0,4,9,0.297,0.366,0.378,0.744,14,3,0,0,0,0,0,0.393,153,117,8
Months,June,19,10,40,34,4,9,1,1,0,2,0,1,4,5,0.265,0.333,0.353,0.686,12,0,0,1,1,0,0,0.3,133,93,7
Months,July,12,7,28,26,0,4,1,0,0,0,1,1,2,5,0.154,0.214,0.192,0.407,5,1,0,0,0,0,0,0.191,38,14,3
Months,August,8,4,19,16,1,2,1,0,0,1,1,0,3,5,0.125,0.263,0.188,0.451,3,0,0,0,0,0,1,0.182,54,30,1
Game Outcome for Team,in Wins,33,17,71,59,8,17,5,1,0,6,2,2,10,10,0.288,0.386,0.407,0.793,24,1,0,1,1,0,0,0.34,170,94,11
Game Outcome for Team,in Losses,28,20,77,73,1,12,3,0,0,1,0,0,4,19,0.164,0.208,0.206,0.413,15,4,0,0,0,0,1,0.222,41,42,9
Starter or Substitute,as Starter,37,37,133,120,8,28,8,1,0,6,2,2,13,26,0.233,0.308,0.317,0.625,38,5,0,0,0,0,1,0.298,113,77,19
Starter or Substitute,as Sub,24,0,15,12,1,1,0,0,0,1,0,0,1,3,0.083,0.143,0.083,0.226,1,0,0,1,1,0,0,0.1,-23,-30,1
Defensive Positions,as 2B,30,,89,81,6,18,7,0,0,5,1,2,7,16,0.222,0.284,0.309,0.593,25,2,0,1,0,0,0,0.277,102,75,11
Defensive Positions,as 3B,12,,36,32,2,9,1,1,0,1,1,0,4,7,0.281,0.361,0.375,0.736,12,2,0,0,0,0,0,0.36,150,111,7
Defensive Positions,as SS,5,,16,14,,2,0,0,0,0,0,0,2,5,0.143,0.25,0.143,0.393,2,1,0,0,0,0,1,0.222,34,12,2
Defensive Positions,as DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as P,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as PH,6,,6,4,1,0,0,0,0,1,0,0,1,0,0.0,0.167,0.0,0.167,0,0,0,0,1,0,0,0.0,-43,-43,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,1,,1,1,,1,1,0,0,0,,,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,919,710,0
Leading Off Inning,Leadoff Inn.,25,,30,28,,6,2,0,0,0,,,1,7,0.214,0.241,0.286,0.527,8,0,0,1,0,0,1,0.286,79,52,4
Batting Order Positions,Batting 1st,2,1,4,4,0,1,1,0,0,0,0,0,0,1,0.25,0.25,0.5,0.75,2,0,0,0,0,0,0,0.333,155,99,0
Batting Order Positions,Batting 2nd,8,2,13,11,1,3,0,0,0,0,0,0,2,3,0.273,0.385,0.273,0.657,3,0,0,0,0,0,0,0.375,124,81,3
Batting Order Positions,Batting 3rd,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 6th,1,0,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,71,65,0
