Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,70,68,293,272,31,58,12,0,14,32,18,3,21,108,0.213,0.27,0.412,0.681,112,6,0,0,0,2,2,0.293,100,89,32
Season Totals,Last 7 days,6,6,26,26,3,9,0,0,2,5,1,2,0,9,0.346,0.346,0.577,0.923,15,1,0,0,0,0,0,0.467,168,161,7
Season Totals,Last 14 days,10,10,44,44,3,10,0,0,2,6,1,2,0,19,0.227,0.227,0.364,0.591,16,1,0,0,0,0,0,0.348,72,62,8
Season Totals,Last 28 days,22,22,93,91,8,17,2,0,3,9,6,3,2,41,0.187,0.204,0.308,0.512,28,1,0,0,0,0,1,0.298,50,38,12
Season Totals,Last 365 days,97,94,397,370,44,81,18,0,19,45,22,5,25,142,0.219,0.27,0.422,0.691,156,7,1,0,1,2,2,0.295,102,,44
Platoon Splits,vs RHP,67,,235,221,25,49,10,0,13,28,17,3,14,87,0.222,0.268,0.443,0.712,98,4,0,0,0,1,2,0.298,107,97,26
Platoon Splits,vs LHP,27,,58,51,6,9,2,0,1,4,1,0,7,21,0.177,0.276,0.275,0.55,14,2,0,0,0,1,0,0.276,69,56,6
Platoon Splits,vs RHP as RHB,67,,235,221,,49,10,0,13,28,0,0,14,87,0.222,0.268,0.443,0.712,98,4,0,0,0,1,2,0.298,107,103,26
Platoon Splits,vs LHP as RHB,27,,58,51,,9,2,0,1,4,0,0,7,21,0.177,0.276,0.275,0.55,14,2,0,0,0,1,0,0.276,69,52,6
Platoon Splits,vs RH Starter,55,53,231,213,27,46,11,0,12,26,17,3,18,86,0.216,0.277,0.437,0.714,93,3,0,0,0,2,2,0.296,109,98,23
Platoon Splits,vs LH Starter,15,15,62,59,4,12,1,0,2,6,1,0,3,22,0.203,0.242,0.322,0.564,19,3,0,0,0,0,0,0.286,68,57,9
Home or Away,Home,33,32,137,126,14,28,5,0,6,15,9,2,11,50,0.222,0.285,0.405,0.69,51,2,0,0,0,1,2,0.314,104,90,17
Home or Away,Away,37,36,156,146,17,30,7,0,8,17,9,1,10,58,0.206,0.256,0.418,0.674,61,4,0,0,0,1,0,0.275,96,89,15
First or Second Half,1st Half,43,41,179,161,23,38,8,0,11,23,11,0,18,57,0.236,0.313,0.491,0.804,79,5,0,0,0,2,1,0.29,135,124,19
First or Second Half,2nd Half,27,27,114,111,8,20,4,0,3,9,7,3,3,51,0.18,0.202,0.297,0.499,33,1,0,0,0,0,1,0.298,47,36,13
Months,April/March,7,7,29,28,3,6,2,0,2,4,1,0,1,11,0.214,0.241,0.5,0.741,14,2,0,0,0,0,0,0.267,111,107,2
Months,June,24,23,100,89,15,18,4,0,7,10,2,0,11,33,0.202,0.29,0.483,0.773,43,2,0,0,0,2,0,0.225,125,111,7
Months,July,24,23,99,90,8,22,5,0,3,11,12,1,9,38,0.244,0.313,0.4,0.713,36,1,0,0,0,0,2,0.388,113,95,14
