Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,31,25,97,89,13,24,6,0,3,15,0,1,6,20,0.27,0.32,0.438,0.758,39,2,1,0,1,0,0,0.313,100,112,15
Season Totals,Last 7 days,2,2,6,6,0,1,0,0,0,2,0,0,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.2,-10,-2,1
Season Totals,Last 14 days,5,4,15,14,0,3,0,0,0,2,0,0,1,3,0.214,0.267,0.214,0.481,3,1,0,0,0,0,0,0.273,32,38,3
Season Totals,Last 28 days,11,9,33,31,2,8,1,0,0,5,0,0,2,8,0.258,0.303,0.29,0.593,9,1,0,0,0,0,0,0.348,61,65,7
Season Totals,Last 365 days,36,26,105,97,13,26,8,0,3,16,0,1,6,21,0.268,0.314,0.443,0.758,43,2,1,0,1,0,0,0.311,99,,15
Platoon Splits,vs RHP,25,,67,62,8,17,4,0,1,12,0,0,4,14,0.274,0.328,0.387,0.716,24,2,1,0,0,0,0,0.34,91,102,12
Platoon Splits,vs LHP,18,,30,27,5,7,2,0,2,3,0,1,2,6,0.259,0.3,0.556,0.856,15,0,0,0,1,0,0,0.25,121,133,3
Platoon Splits,vs RHP as RHB,25,,67,62,,17,4,0,1,12,0,0,4,14,0.274,0.328,0.387,0.716,24,2,1,0,0,0,0,0.34,91,108,12
Platoon Splits,vs LHP as RHB,18,,30,27,,7,2,0,2,3,0,0,2,6,0.259,0.3,0.556,0.856,15,0,0,0,1,0,0,0.25,121,127,3
Platoon Splits,vs RH Starter,20,15,60,54,9,14,2,0,1,7,0,0,5,12,0.259,0.333,0.352,0.685,19,2,1,0,0,0,0,0.317,84,95,11
Platoon Splits,vs LH Starter,11,10,37,35,4,10,4,0,2,8,0,1,1,8,0.286,0.297,0.571,0.869,20,0,0,0,1,0,0,0.308,123,137,4
Home or Away,Home,14,12,44,40,9,12,3,0,1,7,0,0,3,6,0.3,0.364,0.45,0.814,18,0,1,0,0,0,0,0.333,117,126,8
Home or Away,Away,17,13,53,49,4,12,3,0,2,8,0,1,3,14,0.245,0.283,0.429,0.712,21,2,0,0,1,0,0,0.294,86,101,7
First or Second Half,1st Half,18,14,57,53,11,15,5,0,3,9,0,1,3,9,0.283,0.333,0.547,0.881,29,1,1,0,0,0,0,0.293,129,145,7
First or Second Half,2nd Half,13,11,40,36,2,9,1,0,0,6,0,0,3,11,0.25,0.3,0.278,0.578,10,1,0,0,1,0,0,0.346,57,63,8
Months,June,11,8,32,29,7,9,1,0,3,5,0,0,3,5,0.31,0.375,0.655,1.03,19,0,0,0,0,0,0,0.286,167,181,5
Months,July,13,11,44,40,6,12,5,0,0,8,0,1,2,10,0.3,0.341,0.425,0.766,17,1,1,0,1,0,0,0.387,104,110,7
Months,August,7,6,21,20,0,3,0,0,0,2,0,0,1,5,0.15,0.191,0.15,0.341,3,1,0,0,0,0,0,0.2,-6,-3,3
Game Outcome for Team,in Wins,18,13,55,50,10,19,6,0,3,12,0,1,4,9,0.38,0.436,0.68,1.116,34,0,1,0,0,0,0,0.421,192,165,10
Game Outcome for Team,in Losses,13,12,42,39,3,5,0,0,0,3,0,0,2,11,0.128,0.167,0.128,0.295,5,2,0,0,1,0,0,0.172,-19,2,5
Starter or Substitute,as Starter,25,25,92,84,12,21,6,0,3,15,0,1,6,19,0.25,0.304,0.429,0.733,36,2,1,0,1,0,0,0.286,93,104,12
Starter or Substitute,as Sub,6,0,5,5,1,3,0,0,0,0,0,0,0,1,0.6,0.6,0.6,1.2,3,0,0,0,0,0,0,0.75,225,270,3
Defensive Positions,as C,24,,88,80,12,20,5,0,3,15,0,1,6,17,0.25,0.307,0.425,0.732,34,2,1,0,1,0,0,0.279,93,111,12
Defensive Positions,as DH,2,,6,6,,2,1,0,0,0,0,0,0,2,0.333,0.333,0.5,0.833,3,0,0,0,0,0,0,0.5,118,120,1
Defensive Positions,as PH,4,,4,4,1,3,0,0,0,0,0,0,0,1,0.75,0.75,0.75,1.5,3,0,0,0,0,0,0,1.0,306,374,3
Defensive Positions,as PH for DH,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,441,425,1
Leading Off Inning,Leadoff Inn.,15,,21,19,,7,2,0,2,2,,,2,5,0.368,0.429,0.79,1.218,15,0,0,0,0,0,0,0.417,214,240,3
Batting Order Positions,Batting 3rd,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,170,161,1
Batting Order Positions,Batting 5th,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,441,463,1
Batting Order Positions,Batting 6th,8,7,29,27,3,7,3,0,0,4,0,1,1,5,0.259,0.276,0.37,0.646,10,1,0,0,1,0,0,0.304,71,88,4
Batting Order Positions,Batting 7th,5,5,16,15,2,3,0,0,1,1,0,0,1,4,0.2,0.25,0.4,0.65,6,0,0,0,0,0,0,0.2,69,86,2
Batting Order Positions,Batting 8th,7,5,22,19,4,5,2,0,0,6,0,0,2,2,0.263,0.364,0.368,0.732,7,0,1,0,0,0,0,0.294,98,125,3
Batting Order Positions,Batting 9th,9,8,27,25,4,7,1,0,2,4,0,0,2,9,0.28,0.333,0.56,0.893,14,1,0,0,0,0,0,0.357,132,183,4
Swung or Took First Pitch of PA,Swung at 1st Pitch,21,,27,25,,9,3,0,1,4,,,1,6,0.36,0.37,0.6,0.97,15,1,0,0,1,0,0,0.421,153,173,5
Swung or Took First Pitch of PA,Took 1st Pitch,28,,70,64,,15,3,0,2,11,,,5,14,0.234,0.3,0.375,0.675,24,1,1,0,0,0,0,0.271,79,88,10
Count/Balls-Strikes,First Pitch,7,,7,7,,2,1,0,0,2,0,0,0,0,0.286,0.286,0.429,0.714,3,1,0,0,0,0,0,0.286,87,60,1
Count/Balls-Strikes,1-0 Count,4,,5,5,2,1,1,0,0,3,0,0,0,0,0.2,0.2,0.4,0.6,2,0,0,0,0,0,0,0.2,54,28,0
Count/Balls-Strikes,2-0 Count,2,,2,2,,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,170,125,1
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,10,,10,10,1,5,1,0,0,0,0,0,0,0,0.5,0.5,0.6,1.1,6,0,0,0,0,0,0,0.5,193,168,4
Count/Balls-Strikes,1-1 Count,11,,12,12,2,5,0,0,1,2,0,0,0,0,0.417,0.417,0.667,1.083,8,1,0,0,0,0,0,0.364,183,155,4
Count/Balls-Strikes,2-1 Count,4,,6,6,4,3,0,0,1,2,0,1,0,0,0.5,0.5,1.0,1.5,6,0,0,0,0,0,0,0.4,285,217,2
Count/Balls-Strikes,3-1 Count,4,,5,1,,1,1,0,0,2,0,0,4,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,669,357,0
Count/Balls-Strikes,0-2 Count,9,,12,11,1,1,1,0,0,3,0,0,0,5,0.091,0.083,0.182,0.265,2,0,0,0,1,0,0,0.143,-33,34,0
Count/Balls-Strikes,1-2 Count,10,,11,11,,2,0,0,0,0,0,0,0,7,0.182,0.182,0.182,0.364,2,0,0,0,0,0,0,0.5,-2,81,2
