Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,105,95,357,329,36,68,18,2,15,39,3,3,25,87,0.207,0.267,0.41,0.677,135,3,2,0,0,1,1,0.234,100,88,33
Season Totals,Last 7 days,6,3,15,14,2,4,0,0,1,2,0,0,1,3,0.286,0.333,0.5,0.833,7,1,0,0,0,0,0,0.3,147,141,3
Season Totals,Last 14 days,11,8,35,33,4,9,2,0,2,3,1,1,1,8,0.273,0.294,0.515,0.809,17,1,0,0,0,0,0,0.304,136,124,5
Season Totals,Last 28 days,20,16,69,64,10,16,3,0,4,10,1,2,4,12,0.25,0.294,0.484,0.779,31,1,0,0,0,0,0,0.25,128,110,9
Season Totals,Last 365 days,132,120,465,417,49,89,21,3,19,51,3,4,44,115,0.213,0.291,0.415,0.706,173,4,2,0,1,2,2,0.247,110,,46
Platoon Splits,vs RHP,104,,300,273,32,62,18,2,15,35,3,2,24,75,0.227,0.294,0.473,0.767,129,2,2,0,0,1,1,0.257,126,113,27
Platoon Splits,vs LHP,44,,57,56,4,6,0,0,0,4,0,1,1,12,0.107,0.123,0.107,0.23,6,1,0,0,0,0,0,0.136,-28,-34,6
Platoon Splits,vs RHP as LHB,104,,300,273,,62,18,2,15,35,0,0,24,75,0.227,0.294,0.473,0.767,129,2,2,0,0,1,1,0.257,126,106,27
Platoon Splits,vs LHP as LHB,44,,57,56,,6,0,0,0,4,0,0,1,12,0.107,0.123,0.107,0.23,6,1,0,0,0,0,0,0.136,-28,-30,6
Platoon Splits,vs RH Starter,92,90,330,303,34,64,18,2,14,36,3,3,24,78,0.211,0.274,0.422,0.696,128,3,2,0,0,1,1,0.237,106,93,30
Platoon Splits,vs LH Starter,13,5,27,26,2,4,0,0,1,3,0,0,1,9,0.154,0.185,0.269,0.454,7,0,0,0,0,0,0,0.188,35,26,3
Home or Away,Home,53,50,183,167,21,39,9,1,7,22,3,1,16,40,0.234,0.301,0.425,0.726,71,3,0,0,0,0,1,0.267,116,100,22
Home or Away,Away,52,45,174,162,15,29,9,1,8,17,0,2,9,47,0.179,0.231,0.395,0.626,64,0,2,0,0,1,0,0.196,83,75,11
First or Second Half,1st Half,85,79,288,265,26,52,15,2,11,29,2,1,21,75,0.196,0.26,0.393,0.653,104,2,2,0,0,1,1,0.229,93,82,24
First or Second Half,2nd Half,20,16,69,64,10,16,3,0,4,10,1,2,4,12,0.25,0.294,0.484,0.779,31,1,0,0,0,0,0,0.25,128,111,9
Months,April/March,27,26,99,90,9,16,5,0,4,12,1,0,9,24,0.178,0.253,0.367,0.619,33,1,0,0,0,1,1,0.194,84,76,7
Months,May,24,22,77,73,5,12,3,2,1,1,1,0,3,23,0.164,0.208,0.301,0.509,22,1,1,0,0,0,0,0.225,51,45,6
Months,June,24,21,77,69,7,14,4,0,3,11,0,1,8,21,0.203,0.286,0.391,0.677,27,0,0,0,0,0,0,0.244,103,87,7
Months,July,14,14,53,51,7,12,3,0,4,7,0,1,1,9,0.235,0.264,0.529,0.794,27,0,1,0,0,0,0,0.211,128,110,5
Months,August,16,12,51,46,8,14,3,0,3,8,1,1,4,10,0.304,0.36,0.565,0.925,26,1,0,0,0,0,0,0.333,173,153,8
Game Outcome for Team,in Wins,58,53,203,185,28,43,10,1,12,31,2,2,18,40,0.232,0.301,0.492,0.792,91,3,0,0,0,0,0,0.233,132,88,20
Game Outcome for Team,in Losses,47,42,154,144,8,25,8,1,3,8,1,1,7,47,0.174,0.222,0.306,0.528,44,0,2,0,0,1,1,0.234,58,78,13
Starter or Substitute,as Starter,95,95,345,318,34,66,18,2,14,35,3,3,24,82,0.208,0.267,0.409,0.676,130,3,2,0,0,1,1,0.234,100,87,32
Starter or Substitute,as Sub,10,0,12,11,2,2,0,0,1,4,0,0,1,5,0.182,0.25,0.455,0.705,5,0,0,0,0,0,0,0.2,105,110,1
Defensive Positions,as LF,92,,331,305,30,62,17,1,12,31,3,3,23,79,0.203,0.264,0.384,0.647,117,2,2,0,0,1,1,0.234,93,81,32
Defensive Positions,as RF,3,,11,10,2,2,1,0,1,2,0,0,1,1,0.2,0.273,0.6,0.873,6,1,0,0,0,0,0,0.125,149,131,0
Defensive Positions,as DH,4,,9,9,2,2,0,1,1,2,0,0,0,5,0.222,0.222,0.778,1.0,7,0,0,0,0,0,0,0.333,173,152,0
Defensive Positions,as PH,8,,8,7,2,2,0,0,1,4,0,0,1,4,0.286,0.375,0.714,1.089,5,0,0,0,0,0,0,0.5,215,233,1
Defensive Positions,as PH for DH,2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,57,,88,82,,13,4,1,1,1,,,5,13,0.159,0.207,0.268,0.475,22,0,0,0,0,0,0,0.177,43,36,7
Batting Order Positions,Batting 4th,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,37,35,136,123,12,24,9,0,5,14,1,0,12,31,0.195,0.267,0.39,0.657,48,2,0,0,0,1,1,0.218,95,81,10
Batting Order Positions,Batting 6th,25,24,95,86,11,20,4,1,4,11,2,2,8,19,0.233,0.305,0.442,0.747,38,0,1,0,0,0,0,0.254,122,116,11
Batting Order Positions,Batting 7th,34,33,111,107,10,20,5,1,5,10,0,1,4,32,0.187,0.216,0.393,0.609,42,1,0,0,0,0,0,0.214,77,74,9
Batting Order Positions,Batting 8th,5,3,11,9,2,3,0,0,0,1,0,0,1,3,0.333,0.455,0.333,0.788,3,0,1,0,0,0,0,0.5,152,146,3
