Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,595.0,529,81.0,152,32,3,12,23,1,54,140,2.59,0.287,0.36,0.427,0.788,226.0,17.0,8.0,1,3,0,5,0.368,100,122,105
Season Totals,Last 7 days,2,50.0,48,6.0,16,4,0,1,3,0,2,10,5.0,0.333,0.36,0.479,0.839,23.0,2.0,0.0,0,0,0,0,0.405,112,145,11
Season Totals,Last 14 days,3,72.0,64,11.0,21,5,0,1,4,0,8,12,1.5,0.328,0.403,0.453,0.856,29.0,4.0,0.0,0,0,0,0,0.392,118,144,15
Season Totals,Last 28 days,5,123.0,111,19.0,37,9,1,3,7,0,11,19,1.73,0.333,0.398,0.514,0.912,57.0,5.0,1.0,0,0,0,1,0.382,131,151,24
Season Totals,Last 365 days,28,635.0,565,86.0,164,34,3,16,23,2,58,146,2.52,0.29,0.363,0.446,0.809,252.0,18.0,8.0,1,3,0,5,0.365,105,,111
Platoon Splits,vs RHB,26,452.0,401,56.0,113,25,1,8,18,1,40,111,2.78,0.282,0.355,0.409,0.764,164.0,11.0,7.0,1,3,0,5,0.368,94,118,79
Platoon Splits,vs LHB,25,143.0,128,15.0,39,7,2,4,5,0,14,29,2.07,0.305,0.378,0.484,0.862,62.0,6.0,1.0,0,0,0,0,0.368,118,138,26
Platoon Splits,vs RHB as LHP,26,452.0,401,56.0,113,25,1,8,18,1,40,111,2.78,0.282,0.355,0.409,0.764,164.0,11.0,7.0,1,3,0,5,0.368,94,109,79
Platoon Splits,vs LHB as LHP,25,143.0,128,15.0,39,7,2,4,5,0,14,29,2.07,0.305,0.378,0.484,0.862,62.0,6.0,1.0,0,0,0,0,0.368,118,157,26
Home or Away,Home,15,338.0,292,48.0,87,18,0,7,15,1,36,81,2.25,0.298,0.383,0.432,0.814,126.0,9.0,6.0,1,3,0,3,0.387,108,134,62
Home or Away,Away,11,257.0,237,33.0,65,14,3,5,8,0,18,59,3.28,0.274,0.331,0.422,0.753,100.0,8.0,2.0,0,0,0,2,0.347,91,108,43
First or Second Half,1st Half,19,435.0,388,53.0,104,21,2,7,15,1,37,116,3.14,0.268,0.341,0.387,0.728,150.0,11.0,7.0,1,2,0,4,0.363,85,107,74
First or Second Half,2nd Half,7,160.0,141,28.0,48,11,1,5,8,0,17,24,1.41,0.34,0.413,0.539,0.952,76.0,6.0,1.0,0,1,0,1,0.381,141,163,31
