Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,118,117,496,458,61,123,23,0,20,73,6,1,34,96,0.269,0.319,0.45,0.768,206,25,1,0,3,5,3,0.299,100,114,80
Season Totals,Last 7 days,6,6,26,24,4,6,1,0,2,3,0,0,2,4,0.25,0.308,0.542,0.849,13,1,0,0,0,0,0,0.222,117,140,3
Season Totals,Last 14 days,12,12,54,49,7,13,3,0,3,12,1,0,3,8,0.265,0.296,0.51,0.807,25,3,0,0,2,0,0,0.25,106,119,7
Season Totals,Last 28 days,23,23,103,95,16,28,7,0,7,21,1,0,6,13,0.295,0.33,0.59,0.92,56,7,0,0,2,0,1,0.273,134,146,14
Season Totals,Last 365 days,147,146,625,578,75,158,26,0,27,92,6,1,42,122,0.273,0.322,0.459,0.78,265,28,1,0,4,6,3,0.303,103,,105
Platoon Splits,vs RHP,114,,370,346,47,94,18,0,14,57,3,1,20,69,0.272,0.311,0.445,0.756,154,22,1,0,3,2,2,0.301,96,111,62
Platoon Splits,vs LHP,59,,126,112,14,29,5,0,6,16,3,0,14,27,0.259,0.341,0.464,0.806,52,3,0,0,0,3,1,0.291,110,123,18
Platoon Splits,vs RHP as RHB,114,,370,346,,94,18,0,14,57,0,0,20,69,0.272,0.311,0.445,0.756,154,22,1,0,3,2,2,0.301,96,117,62
Platoon Splits,vs LHP as RHB,59,,126,112,,29,5,0,6,16,0,0,14,27,0.259,0.341,0.464,0.806,52,3,0,0,0,3,1,0.291,110,118,18
Platoon Splits,vs RH Starter,81,80,339,314,47,83,18,0,15,60,1,1,22,63,0.264,0.313,0.465,0.778,146,19,1,0,2,3,3,0.286,102,117,50
Platoon Splits,vs LH Starter,37,37,157,144,14,40,5,0,5,13,5,0,12,33,0.278,0.331,0.417,0.748,60,6,0,0,1,2,0,0.327,96,109,30
Home or Away,Home,60,59,243,224,30,62,12,0,9,30,2,0,17,46,0.277,0.325,0.451,0.776,101,9,0,0,2,1,1,0.31,102,114,41
Home or Away,Away,58,58,253,234,31,61,11,0,11,43,4,1,17,50,0.261,0.312,0.449,0.761,105,16,1,0,1,4,2,0.287,98,115,39
First or Second Half,1st Half,91,90,376,348,44,93,15,0,13,52,5,1,27,79,0.267,0.319,0.422,0.742,147,18,0,0,1,5,2,0.311,94,109,65
First or Second Half,2nd Half,27,27,120,110,17,30,8,0,7,21,1,0,7,17,0.273,0.317,0.536,0.853,59,7,1,0,2,0,1,0.261,119,131,15
Months,April/March,29,29,125,116,16,29,4,0,4,16,0,0,9,29,0.25,0.304,0.388,0.692,45,4,0,0,0,1,1,0.301,82,98,21
Months,May,26,26,107,100,9,23,7,0,1,13,3,1,7,23,0.23,0.28,0.33,0.61,33,6,0,0,0,0,1,0.29,61,76,15
Months,June,25,24,98,90,13,30,2,0,5,16,2,0,7,17,0.333,0.378,0.522,0.9,47,6,0,0,1,4,0,0.362,135,149,23
Months,July,22,22,95,88,13,23,4,0,6,13,0,0,6,18,0.261,0.316,0.511,0.827,45,3,1,0,0,0,1,0.266,113,122,13
Months,August,16,16,71,64,10,18,6,0,4,15,1,0,5,9,0.281,0.324,0.563,0.886,36,6,0,0,2,0,0,0.264,127,141,8
Game Outcome for Team,in Wins,66,66,293,266,53,87,20,0,16,62,4,1,24,44,0.327,0.382,0.583,0.965,155,13,1,0,2,3,2,0.341,149,130,51
Game Outcome for Team,in Losses,52,51,203,192,8,36,3,0,4,11,2,0,10,52,0.188,0.227,0.266,0.492,51,12,0,0,1,2,1,0.234,30,68,29
Starter or Substitute,as Starter,117,117,495,457,61,123,23,0,20,73,6,1,34,96,0.269,0.319,0.451,0.77,206,25,1,0,3,5,3,0.299,100,114,80
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 3B,69,,292,268,35,74,17,0,12,49,5,1,20,48,0.276,0.325,0.474,0.799,127,18,1,0,3,4,3,0.294,107,124,45
Defensive Positions,as DH,48,,203,189,26,49,6,0,8,24,1,0,14,48,0.259,0.31,0.418,0.728,79,7,0,0,0,1,0,0.308,90,94,35
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,88,,131,122,,31,5,0,5,5,,,9,26,0.254,0.305,0.418,0.723,51,0,0,0,0,0,1,0.286,89,106,21
Batting Order Positions,Batting 3rd,8,8,30,26,4,9,0,0,2,4,2,0,4,6,0.346,0.433,0.577,1.01,15,1,0,0,0,2,0,0.389,164,158,7
Batting Order Positions,Batting 4th,95,95,406,378,49,93,16,0,17,57,3,0,24,80,0.246,0.291,0.423,0.714,160,22,1,0,3,1,2,0.268,85,92,60
Batting Order Positions,Batting 5th,14,14,59,53,8,21,7,0,1,12,1,1,6,10,0.396,0.458,0.585,1.043,31,2,0,0,0,2,1,0.476,174,189,13
Batting Order Positions,Batting 9th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,103,,200,193,,55,11,0,7,33,,,4,35,0.285,0.295,0.451,0.746,87,13,0,0,3,1,2,0.312,93,111,37
Swung or Took First Pitch of PA,Took 1st Pitch,118,,296,265,,68,12,0,13,40,,,30,61,0.257,0.335,0.449,0.784,119,12,1,0,0,4,1,0.288,105,118,43
Count/Balls-Strikes,First Pitch,62,,73,73,13,23,7,0,4,15,1,0,0,0,0.315,0.315,0.575,0.89,42,7,0,0,0,0,1,0.275,127,95,12
Count/Balls-Strikes,1-0 Count,23,,26,25,6,3,0,0,1,1,0,0,0,0,0.12,0.154,0.24,0.394,6,1,1,0,0,0,1,0.083,2,-13,2
Count/Balls-Strikes,2-0 Count,7,,8,8,,3,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.75,3,0,0,0,0,0,0,0.375,101,69,3
Count/Balls-Strikes,3-0 Count,9,,10,3,,0,0,0,0,0,0,0,7,0,0.0,0.7,0.0,0.7,0,0,0,0,0,4,0,0.0,119,-26,0
Count/Balls-Strikes,0-1 Count,39,,51,51,10,18,4,0,4,14,0,0,0,0,0.353,0.353,0.667,1.02,34,5,0,0,0,0,0,0.298,159,137,10
Count/Balls-Strikes,1-1 Count,36,,42,41,5,16,3,0,1,10,0,0,0,0,0.39,0.381,0.537,0.918,22,4,0,0,1,0,0,0.366,139,120,12
Count/Balls-Strikes,2-1 Count,21,,24,24,4,11,1,0,3,8,1,0,0,0,0.458,0.458,0.875,1.333,21,1,0,0,0,0,1,0.381,238,183,7
Count/Balls-Strikes,3-1 Count,26,,28,13,3,4,0,0,2,4,0,0,15,0,0.308,0.679,0.769,1.448,10,1,0,0,0,1,0,0.182,284,118,2
Count/Balls-Strikes,0-2 Count,37,,42,40,9,12,1,0,2,10,2,0,0,16,0.3,0.286,0.475,0.761,19,1,0,0,2,0,0,0.417,95,292,9
Count/Balls-Strikes,1-2 Count,53,,69,69,5,11,3,0,1,5,1,0,0,34,0.159,0.159,0.246,0.406,17,3,0,0,0,0,0,0.294,5,94,7
Count/Balls-Strikes,2-2 Count,54,,69,69,4,13,3,0,2,5,0,0,0,28,0.188,0.188,0.319,0.507,22,1,0,0,0,0,0,0.282,30,123,8
Count/Balls-Strikes,Full Count,47,,54,42,2,9,1,0,0,1,1,1,12,18,0.214,0.389,0.238,0.627,10,1,0,0,0,0,0,0.375,75,57,8
Count/Balls-Strikes,After 1-0,99,,177,149,,39,8,0,6,20,,,27,22,0.262,0.379,0.436,0.815,65,8,1,0,0,4,1,0.273,116,103,25
Count/Balls-Strikes,After 2-0,48,,62,42,,11,1,0,3,7,,,20,7,0.262,0.5,0.5,1.0,21,3,0,0,0,4,0,0.25,168,109,7
Count/Balls-Strikes,After 3-0,18,,20,7,,2,0,0,1,2,,,13,2,0.286,0.75,0.714,1.464,5,0,0,0,0,4,0,0.25,294,142,1
Count/Balls-Strikes,After 0-1,109,,245,235,,61,8,0,10,38,,,7,73,0.26,0.278,0.421,0.699,99,10,0,0,3,1,1,0.329,81,129,43
Count/Balls-Strikes,After 1-1,99,,178,165,,46,8,0,6,26,,,12,40,0.279,0.326,0.436,0.762,72,7,0,0,1,1,1,0.333,99,128,32
Count/Balls-Strikes,After 2-1,74,,101,86,,22,2,0,5,12,,,15,20,0.256,0.366,0.454,0.82,39,4,0,0,0,1,1,0.279,115,108,15
Count/Balls-Strikes,After 3-1,38,,44,25,,7,0,0,2,5,,,19,7,0.28,0.591,0.52,1.111,13,1,0,0,0,1,0,0.313,201,118,5
Count/Balls-Strikes,After 0-2,78,,105,101,,22,3,0,2,10,,,2,48,0.218,0.229,0.307,0.536,31,2,0,0,2,0,0,0.377,40,136,17
Count/Balls-Strikes,After 1-2,83,,133,127,,24,6,0,2,9,,,6,58,0.189,0.226,0.284,0.509,36,3,0,0,0,0,0,0.328,34,104,16
Count/Balls-Strikes,After 2-2,74,,107,99,,19,4,0,2,5,,,8,39,0.192,0.252,0.293,0.545,29,2,0,0,0,0,0,0.293,44,87,13
Count/Balls-Strikes,Zero Balls,101,,166,164,32,53,12,0,10,39,3,0,0,16,0.323,0.319,0.579,0.899,95,13,0,0,2,0,1,0.307,129,146,31
Count/Balls-Strikes,Zero Strikes,80,,117,109,19,29,7,0,5,16,1,0,7,0,0.266,0.316,0.468,0.784,51,8,1,0,0,4,2,0.231,103,63,17
Count/Balls-Strikes,Three Balls,74,,92,58,5,13,1,0,2,5,1,1,34,18,0.224,0.511,0.345,0.856,20,2,0,0,0,5,0,0.29,137,82,10
Count/Balls-Strikes,Two Strikes,108,,234,220,20,45,8,0,5,21,4,1,12,96,0.205,0.244,0.309,0.553,68,6,0,0,2,0,0,0.331,45,116,32
Count/Balls-Strikes,Batter Ahead,99,,150,115,15,30,2,0,6,14,2,1,34,18,0.261,0.433,0.435,0.868,50,4,1,0,0,5,2,0.264,132,81,22
Count/Balls-Strikes,Even Count,104,,184,183,22,52,13,0,7,30,1,0,0,28,0.284,0.283,0.47,0.753,86,12,0,0,1,0,1,0.302,93,115,32
Count/Balls-Strikes,Pitcher Ahead,97,,162,160,24,41,8,0,7,29,3,0,0,50,0.256,0.253,0.438,0.691,70,9,0,0,2,0,0,0.324,77,162,26
Number of Outs in Inning,0 outs,103,,194,178,21,53,8,0,9,23,1,1,14,35,0.298,0.345,0.494,0.84,88,6,0,0,2,0,1,0.324,118,131,36
Number of Outs in Inning,1 out,85,,149,139,16,35,10,0,4,24,2,0,8,29,0.252,0.295,0.41,0.705,57,19,1,0,1,2,2,0.29,84,96,21
Number of Outs in Inning,2 outs,91,,153,141,24,35,5,0,7,26,3,0,12,32,0.248,0.307,0.433,0.74,61,0,0,0,0,3,0,0.275,93,110,23
Bases Occupied,RISP,78,,133,118,41,33,11,0,5,50,3,0,12,23,0.28,0.338,0.5,0.838,59,10,0,0,3,5,1,0.301,117,122,17
