Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,127,127,571,517,80,125,24,2,18,61,4,2,52,85,0.242,0.312,0.4,0.712,207,7,1,0,1,2,5,0.258,100,100,81
Season Totals,Last 7 days,6,6,26,24,3,6,2,0,0,1,1,0,2,9,0.25,0.308,0.333,0.641,8,1,0,0,0,0,0,0.4,82,89,4
Season Totals,Last 14 days,14,14,64,60,7,13,4,0,1,4,1,0,4,16,0.217,0.266,0.333,0.599,20,1,0,0,0,0,1,0.279,69,70,8
Season Totals,Last 28 days,25,25,111,102,12,23,6,1,3,8,1,0,9,23,0.226,0.288,0.392,0.681,40,3,0,0,0,1,2,0.263,90,86,13
Season Totals,Last 365 days,163,163,736,664,106,164,33,2,28,82,5,3,67,113,0.247,0.319,0.429,0.749,285,8,4,0,1,2,6,0.26,110,,101
Platoon Splits,vs RHP,122,,428,391,55,89,17,1,13,43,3,1,35,65,0.228,0.292,0.376,0.668,147,7,1,0,1,1,3,0.242,88,88,58
Platoon Splits,vs LHP,63,,143,126,25,36,7,1,5,18,1,1,17,20,0.286,0.371,0.476,0.847,60,0,0,0,0,1,2,0.307,138,136,23
Platoon Splits,vs RHP as RHB,122,,428,391,,89,17,1,13,43,0,0,35,65,0.228,0.292,0.376,0.668,147,7,1,0,1,1,3,0.242,88,93,58
Platoon Splits,vs LHP as RHB,63,,143,126,,36,7,1,5,18,0,0,17,20,0.286,0.371,0.476,0.847,60,0,0,0,0,1,2,0.307,138,130,23
Platoon Splits,vs RH Starter,95,95,428,389,60,97,19,1,13,50,3,2,37,64,0.249,0.315,0.404,0.719,157,5,1,0,1,2,3,0.268,102,102,64
Platoon Splits,vs LH Starter,32,32,143,128,20,28,5,1,5,11,1,0,15,21,0.219,0.301,0.391,0.691,50,2,0,0,0,0,2,0.226,94,94,17
Home or Away,Home,63,63,275,246,41,58,11,1,12,32,3,0,28,48,0.236,0.316,0.435,0.751,107,3,1,0,0,2,1,0.247,110,107,34
Home or Away,Away,64,64,296,271,39,67,13,1,6,29,1,2,24,37,0.247,0.307,0.369,0.676,100,4,0,0,1,0,4,0.266,91,93,47
