Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,105,98,419,356,44,85,18,0,7,41,4,0,46,88,0.239,0.341,0.348,0.69,124,9,12,0,5,2,5,0.293,100,96,60
Season Totals,Last 7 days,4,2,11,9,0,2,0,0,0,0,0,0,2,2,0.222,0.364,0.222,0.586,2,0,0,0,0,0,0,0.286,71,76,2
Season Totals,Last 14 days,9,6,31,27,1,8,1,0,0,3,0,0,3,6,0.296,0.355,0.333,0.688,9,0,0,0,1,0,0,0.364,100,95,7
Season Totals,Last 28 days,17,14,61,51,4,13,1,0,0,5,0,0,6,17,0.255,0.344,0.275,0.619,14,0,2,0,2,0,0,0.361,80,75,12
Season Totals,Last 365 days,138,131,558,477,60,123,23,0,11,65,8,0,57,109,0.258,0.357,0.375,0.732,179,11,19,0,5,2,5,0.309,113,,89
Platoon Splits,vs RHP,101,,308,264,33,60,12,0,5,33,2,0,30,64,0.227,0.325,0.33,0.654,87,8,10,0,4,0,4,0.276,90,87,43
Platoon Splits,vs LHP,56,,111,92,11,25,6,0,2,8,2,0,16,24,0.272,0.387,0.402,0.79,37,1,2,0,1,2,1,0.343,129,123,17
Platoon Splits,vs RHP as RHB,101,,308,264,,60,12,0,5,33,0,0,30,64,0.227,0.325,0.33,0.654,87,8,10,0,4,0,4,0.276,90,92,43
Platoon Splits,vs LHP as RHB,56,,111,92,,25,6,0,2,8,0,0,16,24,0.272,0.387,0.402,0.79,37,1,2,0,1,2,1,0.343,129,117,17
Platoon Splits,vs RH Starter,78,71,308,262,35,59,11,0,6,32,2,0,34,63,0.225,0.331,0.336,0.667,88,8,9,0,3,2,4,0.27,94,90,42
Platoon Splits,vs LH Starter,27,27,111,94,9,26,7,0,1,9,2,0,12,25,0.277,0.369,0.383,0.752,36,1,3,0,2,0,1,0.357,118,113,18
Home or Away,Home,52,49,205,166,25,41,8,0,3,23,2,0,28,36,0.247,0.371,0.349,0.72,58,6,7,0,4,0,5,0.29,109,103,30
Home or Away,Away,53,49,214,190,19,44,10,0,4,18,2,0,18,52,0.232,0.313,0.347,0.661,66,3,5,0,1,2,0,0.296,92,89,30
First or Second Half,1st Half,84,80,341,290,36,66,15,0,6,34,4,0,38,65,0.228,0.334,0.341,0.676,99,9,10,0,3,2,5,0.27,96,93,45
First or Second Half,2nd Half,21,18,78,66,8,19,3,0,1,7,0,0,8,23,0.288,0.372,0.379,0.751,25,0,2,0,2,0,0,0.409,118,111,15
Months,April/March,29,25,118,97,16,27,8,0,5,16,1,0,16,21,0.278,0.407,0.516,0.922,50,3,5,0,0,1,3,0.31,167,163,14
Months,May,23,23,97,85,11,18,2,0,1,8,0,0,10,26,0.212,0.299,0.271,0.57,23,0,1,0,1,1,0,0.288,66,67,15
Months,June,25,25,101,86,8,16,3,0,0,8,3,0,9,15,0.186,0.287,0.221,0.508,19,4,4,0,2,0,1,0.219,48,46,13
Months,July,16,16,61,52,7,13,4,0,1,6,0,0,7,17,0.25,0.344,0.385,0.729,20,2,1,0,1,0,1,0.343,112,101,8
Months,August,12,9,42,36,2,11,1,0,0,3,0,0,4,9,0.306,0.381,0.333,0.714,12,0,1,0,1,0,0,0.393,107,103,10
Game Outcome for Team,in Wins,52,50,214,179,32,55,13,0,7,35,3,0,24,36,0.307,0.397,0.497,0.894,89,4,6,0,5,2,3,0.34,159,116,35
Game Outcome for Team,in Losses,53,48,205,177,12,30,5,0,0,6,1,0,22,52,0.17,0.283,0.198,0.481,35,5,6,0,0,0,2,0.24,40,67,25
Starter or Substitute,as Starter,98,98,406,348,44,83,18,0,7,41,4,0,42,86,0.239,0.335,0.351,0.686,122,9,11,0,5,2,5,0.292,99,94,58
Starter or Substitute,as Sub,7,0,13,8,0,2,0,0,0,0,0,0,4,2,0.25,0.539,0.25,0.789,2,0,1,0,0,0,0,0.333,130,150,2
Defensive Positions,as 1B,36,,145,128,12,29,8,0,1,10,2,0,11,20,0.227,0.303,0.313,0.616,40,4,4,0,2,0,1,0.257,79,71,20
Defensive Positions,as LF,22,,84,70,11,18,3,0,2,9,1,0,8,16,0.257,0.369,0.386,0.755,27,1,5,0,1,0,1,0.302,119,116,13
Defensive Positions,as RF,13,,50,44,6,13,4,0,2,10,0,0,6,10,0.296,0.38,0.523,0.903,23,3,0,0,0,0,1,0.344,162,147,7
Defensive Positions,as DH,34,,135,111,15,24,3,0,2,12,1,0,19,40,0.216,0.341,0.297,0.638,33,1,3,0,2,2,2,0.31,85,75,19
Defensive Positions,as PH,7,,7,4,,1,0,0,0,0,0,0,3,2,0.25,0.571,0.25,0.821,1,0,0,0,0,0,0,0.5,139,167,1
Defensive Positions,as PH for DH,2,,2,1,,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,47,39,0
Leading Off Inning,1st Batter G,1,,1,1,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,49,,66,61,,11,1,0,0,0,,,3,21,0.18,0.242,0.197,0.439,12,0,2,0,0,0,2,0.275,28,29,10
Batting Order Positions,Batting 1st,2,1,8,5,0,0,0,0,0,0,0,0,2,3,0.0,0.375,0.0,0.375,0,0,1,0,0,1,0,0.0,10,15,0
Batting Order Positions,Batting 2nd,32,32,138,118,14,27,5,0,3,15,0,0,17,26,0.229,0.333,0.348,0.681,41,3,2,0,1,1,2,0.267,97,81,19
Batting Order Positions,Batting 3rd,22,22,93,83,11,21,7,0,1,10,2,0,7,16,0.253,0.323,0.374,0.696,31,3,2,0,1,0,0,0.299,102,80,13
Batting Order Positions,Batting 4th,29,27,111,92,10,18,2,0,0,7,1,0,14,26,0.196,0.315,0.217,0.533,20,3,3,0,2,0,1,0.265,55,52,16
Batting Order Positions,Batting 5th,13,13,51,43,8,15,4,0,3,8,1,0,5,13,0.349,0.451,0.651,1.102,28,0,3,0,0,0,2,0.444,219,203,8
Batting Order Positions,Batting 6th,4,2,12,10,0,3,0,0,0,0,0,0,1,1,0.3,0.417,0.3,0.717,3,0,1,0,0,0,0,0.333,109,116,3
Batting Order Positions,Batting 7th,1,1,4,3,1,1,0,0,0,1,0,0,0,1,0.333,0.25,0.333,0.583,1,0,0,0,1,0,0,0.333,69,69,1
Batting Order Positions,Batting 9th,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,60,,81,70,,22,2,0,3,15,,,6,9,0.314,0.383,0.471,0.854,33,1,3,0,2,0,0,0.317,148,147,17
Swung or Took First Pitch of PA,Took 1st Pitch,105,,338,286,,63,16,0,4,26,,,40,79,0.22,0.331,0.318,0.65,91,8,9,0,3,2,5,0.286,88,83,43
Count/Balls-Strikes,First Pitch,20,,22,20,6,3,0,0,1,2,1,0,0,0,0.15,0.227,0.3,0.527,6,0,2,0,0,0,0,0.105,53,20,2
Count/Balls-Strikes,1-0 Count,21,,24,23,5,7,3,0,1,5,1,0,0,0,0.304,0.292,0.565,0.857,13,0,0,0,1,0,0,0.261,148,84,3
Count/Balls-Strikes,2-0 Count,11,,11,10,3,2,1,0,1,2,0,0,0,0,0.2,0.182,0.6,0.782,6,2,0,0,1,0,0,0.1,126,50,0
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,0,0,0,4,0,,1.0,,,0,0,0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,40,,47,46,5,17,3,0,0,4,0,0,0,0,0.37,0.383,0.435,0.818,20,2,1,0,0,0,2,0.37,137,101,14
Count/Balls-Strikes,1-1 Count,26,,27,26,5,12,4,0,2,7,0,0,0,0,0.462,0.482,0.846,1.328,22,2,1,0,0,0,0,0.417,284,209,6
Count/Balls-Strikes,2-1 Count,13,,13,9,2,2,1,0,1,4,1,0,0,0,0.222,0.308,0.667,0.974,6,0,2,0,2,0,0,0.1,182,104,0
Count/Balls-Strikes,3-1 Count,22,,22,6,1,1,0,0,0,1,0,0,16,0,0.167,0.773,0.167,0.939,1,0,0,0,0,0,0,0.167,175,37,1
Count/Balls-Strikes,0-2 Count,33,,41,39,4,8,1,0,0,1,0,0,0,15,0.205,0.244,0.231,0.475,9,1,2,0,0,0,1,0.333,38,157,7
Count/Balls-Strikes,1-2 Count,47,,66,64,5,12,4,0,1,8,0,0,0,28,0.188,0.212,0.297,0.509,19,2,2,0,0,0,0,0.314,48,146,7
Count/Balls-Strikes,2-2 Count,50,,71,69,4,13,0,0,0,5,0,0,0,26,0.188,0.197,0.188,0.386,13,0,1,0,1,0,2,0.296,12,80,13
Count/Balls-Strikes,Full Count,56,,71,44,4,8,1,0,0,2,1,0,26,19,0.182,0.493,0.205,0.698,9,0,1,0,0,0,0,0.32,104,70,7
Count/Balls-Strikes,After 1-0,90,,166,132,,26,5,0,4,15,,,28,34,0.197,0.343,0.326,0.669,43,3,3,0,3,2,1,0.227,94,68,17
Count/Balls-Strikes,After 2-0,40,,54,35,,8,1,0,2,6,,,16,3,0.229,0.482,0.429,0.91,15,2,2,0,1,2,0,0.194,164,89,5
Count/Balls-Strikes,After 3-0,14,,15,5,,1,0,0,0,0,,,10,0,0.2,0.733,0.2,0.933,1,0,0,0,0,2,0,0.2,172,39,1
Count/Balls-Strikes,After 0-1,96,,230,203,,55,12,0,2,24,,,18,54,0.271,0.348,0.36,0.707,73,6,7,0,2,0,4,0.356,106,138,41
Count/Balls-Strikes,After 1-1,88,,176,148,,32,7,0,3,19,,,23,53,0.216,0.33,0.324,0.654,48,2,3,0,2,0,2,0.309,90,99,22
Count/Balls-Strikes,After 2-1,70,,97,67,,12,1,0,1,10,,,25,16,0.179,0.412,0.239,0.651,16,0,3,0,2,0,1,0.212,90,67,10
Count/Balls-Strikes,After 3-1,42,,46,23,,3,0,0,0,2,,,23,7,0.13,0.565,0.13,0.696,3,0,0,0,0,0,0,0.188,103,26,3
Count/Balls-Strikes,After 0-2,61,,95,83,,17,3,0,0,5,,,7,32,0.205,0.295,0.241,0.536,20,3,4,0,1,0,1,0.327,56,144,14
Count/Balls-Strikes,After 1-2,80,,134,119,,22,4,0,1,10,,,11,57,0.185,0.269,0.244,0.512,29,2,3,0,1,0,1,0.339,49,109,17
Count/Balls-Strikes,After 2-2,74,,117,95,,18,0,0,0,6,,,19,38,0.19,0.333,0.19,0.523,18,0,2,0,1,0,2,0.31,52,80,18
Count/Balls-Strikes,Zero Balls,75,,110,105,15,28,4,0,1,7,1,0,0,15,0.267,0.3,0.333,0.633,35,3,5,0,0,0,3,0.303,84,83,23
Count/Balls-Strikes,Zero Strikes,50,,61,53,14,12,4,0,3,9,2,0,4,0,0.226,0.295,0.472,0.767,25,2,2,0,2,2,0,0.173,122,58,5
Count/Balls-Strikes,Three Balls,72,,97,50,5,9,1,0,0,3,1,0,46,19,0.18,0.577,0.2,0.777,10,0,1,0,0,2,0,0.29,127,57,8
Count/Balls-Strikes,Two Strikes,100,,249,216,17,41,6,0,1,16,1,0,26,88,0.19,0.293,0.232,0.525,50,3,6,0,1,0,3,0.313,52,106,34
Count/Balls-Strikes,Batter Ahead,87,,145,92,15,20,6,0,3,14,3,0,46,19,0.217,0.476,0.38,0.856,35,2,3,0,4,2,0,0.23,149,79,11
Count/Balls-Strikes,Even Count,78,,120,115,15,28,4,0,3,14,1,0,0,26,0.244,0.267,0.357,0.623,41,2,4,0,1,0,2,0.287,81,83,21
Count/Balls-Strikes,Pitcher Ahead,86,,154,149,14,37,8,0,1,13,0,0,0,43,0.248,0.273,0.322,0.595,48,5,5,0,0,0,3,0.343,73,134,28
Number of Outs in Inning,0 outs,81,,120,105,10,22,2,0,1,10,0,0,11,31,0.21,0.292,0.257,0.549,27,3,2,0,2,0,3,0.28,60,56,19
Number of Outs in Inning,1 out,87,,154,129,20,39,12,0,4,20,0,0,16,21,0.302,0.396,0.488,0.885,63,6,6,0,3,0,2,0.327,156,147,23
Number of Outs in Inning,2 outs,86,,145,122,14,24,4,0,2,11,4,0,19,36,0.197,0.324,0.279,0.603,34,0,4,0,0,2,0,0.262,75,76,18
Bases Occupied,RISP,72,,103,77,33,21,3,0,1,33,3,0,16,15,0.273,0.408,0.351,0.758,27,3,5,0,5,2,0,0.303,121,108,17
Bases Occupied,---,95,,213,190,5,52,13,0,5,5,0,0,18,49,0.274,0.352,0.421,0.773,80,0,5,0,0,0,4,0.346,124,125,34
Bases Occupied,Men On,95,,206,166,39,33,5,0,2,36,4,0,28,39,0.199,0.33,0.265,0.595,44,9,7,0,5,2,1,0.239,73,64,26
Bases Occupied,1--,74,,103,89,6,12,2,0,1,3,1,0,12,24,0.135,0.252,0.191,0.443,17,6,2,0,0,0,1,0.172,29,24,9
Bases Occupied,-2-,32,,33,22,6,4,0,0,0,0,2,0,9,5,0.182,0.455,0.182,0.636,4,0,2,0,0,1,0,0.235,86,80,4
Bases Occupied,--3,12,,14,10,2,2,0,0,0,4,0,0,1,1,0.2,0.286,0.2,0.486,2,0,1,0,2,0,0,0.182,41,30,2
Bases Occupied,12-,26,,26,20,7,4,1,0,0,4,1,0,4,3,0.2,0.385,0.25,0.635,5,1,2,0,0,0,0,0.235,85,85,3
Bases Occupied,1-3,10,,10,9,6,5,1,0,0,8,0,0,0,2,0.556,0.5,0.667,1.167,6,1,0,0,1,0,0,0.625,238,188,4
Bases Occupied,-23,10,,10,8,5,3,0,0,0,7,0,0,1,2,0.375,0.4,0.375,0.775,3,0,0,0,1,1,0,0.429,125,96,3
Bases Occupied,123,10,,10,8,7,3,1,0,1,10,0,0,1,2,0.375,0.4,0.875,1.275,7,1,0,0,1,0,0,0.333,269,236,1
Bases Occupied,"on 1st,",68,,96,83,17,19,4,0,2,21,0,0,10,18,0.229,0.313,0.349,0.662,29,9,1,0,2,0,1,0.262,92,77,13
Bases Occupied,"on 3rd,",25,,25,19,16,8,1,0,1,20,0,0,0,3,0.421,0.36,0.632,0.992,12,2,1,0,5,0,0,0.35,187,129,6
Bases Occupied,"on 3rd, 2 out",18,,19,16,4,5,1,0,0,9,0,0,3,4,0.313,0.421,0.375,0.796,6,0,0,0,0,1,0,0.417,131,126,4
Bases Occupied,"0 out, ---",49,,67,62,,11,1,0,0,0,0,0,3,22,0.177,0.239,0.194,0.432,12,0,2,0,0,0,2,0.275,26,28,10
