Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,78,72,310,282,41,78,19,0,19,50,0,0,24,82,0.277,0.336,0.546,0.882,154,5,2,0,2,0,4,0.322,100,143,40
Season Totals,Last 7 days,7,7,31,28,6,9,3,0,2,6,0,0,2,12,0.321,0.387,0.643,1.03,18,0,1,0,0,0,1,0.5,133,192,4
Season Totals,Last 14 days,11,10,47,42,7,12,4,0,3,8,0,0,4,13,0.286,0.362,0.595,0.957,25,1,1,0,0,0,1,0.346,117,161,5
Season Totals,Last 28 days,23,22,95,86,12,21,7,0,7,17,0,0,7,30,0.244,0.305,0.57,0.875,49,4,1,0,1,0,2,0.28,95,133,7
Season Totals,Last 365 days,106,100,417,382,55,101,19,1,26,62,1,0,29,115,0.264,0.321,0.524,0.845,200,7,4,0,2,0,5,0.309,92,,55
Platoon Splits,vs RHP,73,,214,192,29,47,9,0,13,32,0,0,18,57,0.245,0.313,0.495,0.808,95,4,2,0,2,0,3,0.274,84,124,25
Platoon Splits,vs LHP,44,,96,90,12,31,10,0,6,18,0,0,6,25,0.344,0.385,0.656,1.041,59,1,0,0,0,0,1,0.424,135,185,15
Platoon Splits,vs RHP as RHB,73,,214,192,,47,9,0,13,32,0,0,18,57,0.245,0.313,0.495,0.808,95,4,2,0,2,0,3,0.274,84,131,25
Platoon Splits,vs LHP as RHB,44,,96,90,,31,10,0,6,18,0,0,6,25,0.344,0.385,0.656,1.041,59,1,0,0,0,0,1,0.424,135,178,15
Platoon Splits,vs RH Starter,51,45,193,173,25,49,13,0,14,30,0,0,17,49,0.283,0.352,0.601,0.954,104,4,2,0,1,0,2,0.315,115,163,22
Platoon Splits,vs LH Starter,27,27,117,109,16,29,6,0,5,20,0,0,7,33,0.266,0.308,0.459,0.766,50,1,0,0,1,0,2,0.333,76,113,18
Home or Away,Home,44,40,170,153,23,41,10,0,12,33,0,0,16,49,0.268,0.341,0.569,0.91,87,2,1,0,0,0,3,0.315,106,148,19
Home or Away,Away,34,32,140,129,18,37,9,0,7,17,0,0,8,33,0.287,0.329,0.519,0.848,67,3,1,0,2,0,1,0.33,93,138,21
First or Second Half,1st Half,51,46,199,182,29,53,11,0,12,33,0,0,16,49,0.291,0.347,0.55,0.896,100,1,0,0,1,0,2,0.336,104,150,30
First or Second Half,2nd Half,27,26,111,100,12,25,8,0,7,17,0,0,8,33,0.25,0.315,0.54,0.855,54,4,2,0,1,0,2,0.295,93,131,10
Months,April/March,3,1,7,7,1,3,0,0,1,2,0,0,0,0,0.429,0.429,0.857,1.286,6,0,0,0,0,0,0,0.333,185,259,2
Months,May,12,10,46,42,6,13,4,0,2,6,0,0,4,10,0.31,0.37,0.548,0.917,23,0,0,0,0,0,0,0.367,111,162,7
