Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,79,72,315,279,38,82,13,0,9,45,1,0,24,42,0.294,0.368,0.437,0.806,122,3,10,0,2,0,2,0.317,100,127,60
Season Totals,Last 7 days,6,4,20,18,3,6,1,0,1,2,1,0,2,2,0.333,0.4,0.556,0.956,10,0,0,0,0,0,0,0.333,136,178,4
Season Totals,Last 14 days,13,11,50,43,8,16,2,0,3,8,1,0,5,8,0.372,0.46,0.628,1.088,27,1,2,0,0,0,0,0.406,169,206,11
Season Totals,Last 28 days,24,22,100,88,17,31,5,0,5,17,1,0,9,11,0.352,0.42,0.58,1.0,51,1,2,0,1,0,1,0.356,147,173,21
Season Totals,Last 365 days,107,98,421,381,48,109,20,0,11,56,1,0,28,63,0.286,0.349,0.425,0.774,162,7,10,0,2,0,2,0.317,92,,78
Platoon Splits,vs RHP,78,,228,205,32,67,10,0,7,32,1,0,16,34,0.327,0.395,0.478,0.873,98,2,7,0,0,0,2,0.366,117,147,50
Platoon Splits,vs LHP,49,,87,74,6,15,3,0,2,13,0,0,8,8,0.203,0.299,0.324,0.623,24,1,3,0,2,0,0,0.197,55,75,10
Platoon Splits,vs RHP as LHB,78,,228,205,,67,10,0,7,32,0,0,16,34,0.327,0.395,0.478,0.873,98,2,7,0,0,0,2,0.366,117,139,50
Platoon Splits,vs LHP as LHB,49,,87,74,,15,3,0,2,13,0,0,8,8,0.203,0.299,0.324,0.623,24,1,3,0,2,0,0,0.197,55,87,10
Platoon Splits,vs RH Starter,60,58,248,223,31,65,9,0,6,33,1,0,17,34,0.292,0.359,0.413,0.772,92,2,7,0,1,0,2,0.321,92,118,50
Platoon Splits,vs LH Starter,19,14,67,56,7,17,4,0,3,12,0,0,7,8,0.304,0.403,0.536,0.939,30,1,3,0,1,0,0,0.304,132,162,10
Home or Away,Home,37,37,149,134,20,39,7,0,4,22,0,0,10,20,0.291,0.356,0.433,0.789,58,2,4,0,1,0,1,0.315,96,119,28
Home or Away,Away,42,35,166,145,18,43,6,0,5,23,1,0,14,22,0.297,0.38,0.441,0.821,64,1,6,0,1,0,1,0.319,104,135,32
First or Second Half,1st Half,49,45,190,173,20,45,7,0,4,24,0,0,11,28,0.26,0.326,0.37,0.696,64,2,6,0,0,0,1,0.291,73,98,34
First or Second Half,2nd Half,30,27,125,106,18,37,6,0,5,21,1,0,13,14,0.349,0.432,0.547,0.979,58,1,4,0,2,0,1,0.36,143,171,26
Months,April/March,24,20,89,80,12,22,3,0,2,11,0,0,6,11,0.275,0.348,0.388,0.736,31,1,3,0,0,0,1,0.299,83,112,17
Months,June,14,14,55,50,2,10,3,0,0,2,0,0,3,7,0.2,0.273,0.26,0.533,13,0,2,0,0,0,0,0.233,34,51,7
Months,July,21,20,90,78,13,26,3,0,3,20,0,0,8,15,0.333,0.411,0.487,0.898,38,1,3,0,1,0,1,0.377,123,147,20
Months,August,20,18,81,71,11,24,4,0,4,12,1,0,7,9,0.338,0.407,0.563,0.971,40,1,2,0,1,0,0,0.339,139,168,16
Game Outcome for Team,in Wins,44,42,187,165,32,56,10,0,7,35,1,0,16,21,0.339,0.406,0.527,0.934,87,1,4,0,2,0,2,0.353,131,125,39
Game Outcome for Team,in Losses,35,30,128,114,6,26,3,0,2,10,0,0,8,21,0.228,0.313,0.307,0.62,35,2,6,0,0,0,0,0.264,55,113,21
Starter or Substitute,as Starter,72,72,306,273,36,79,11,0,8,43,1,0,23,42,0.289,0.36,0.418,0.777,114,3,8,0,2,0,2,0.316,93,119,60
Starter or Substitute,as Sub,7,0,9,6,2,3,2,0,1,2,0,0,1,0,0.5,0.667,1.333,2.0,8,0,2,0,0,0,0,0.4,386,495,0
Defensive Positions,as LF,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as DH,75,,310,275,38,81,12,0,9,45,1,0,24,42,0.295,0.368,0.436,0.804,120,3,9,0,2,0,2,0.319,100,116,60
Defensive Positions,as PH,7,,7,5,,3,2,0,1,2,0,0,0,0,0.6,0.714,1.6,2.314,8,0,2,0,0,0,0,0.5,460,603,0
Defensive Positions,as PH for DH,3,,3,2,,2,1,0,1,2,0,0,0,0,1.0,1.0,3.0,4.0,6,0,1,0,0,0,0,1.0,858,912,0
Leading Off Inning,Leadoff Inn.,47,,73,66,,20,2,0,1,1,,,5,12,0.303,0.37,0.379,0.749,25,0,2,0,0,0,1,0.359,87,117,17
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 2nd,5,5,25,19,2,2,0,0,0,2,0,0,4,6,0.105,0.28,0.105,0.385,2,0,1,0,1,0,0,0.143,0,10,2
