Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,119,113,494,453,61,127,22,4,11,46,10,5,33,80,0.28,0.327,0.419,0.747,190,1,1,2,5,1,1,0.316,100,109,90
Season Totals,Last 7 days,6,6,28,27,4,10,0,0,1,4,0,0,0,3,0.37,0.357,0.482,0.839,13,0,0,0,1,0,0,0.375,124,144,9
Season Totals,Last 14 days,10,10,46,44,6,13,1,0,2,5,0,1,1,4,0.296,0.304,0.455,0.759,20,0,0,0,1,0,0,0.282,102,112,10
Season Totals,Last 28 days,24,24,110,102,15,27,4,0,5,10,1,2,6,10,0.265,0.309,0.451,0.76,46,1,1,0,1,0,0,0.25,102,107,18
Season Totals,Last 365 days,150,143,608,552,69,143,23,4,13,57,11,6,43,100,0.259,0.31,0.386,0.696,213,2,1,4,8,1,3,0.291,87,,103
Platoon Splits,vs RHP,110,,328,302,41,90,14,3,3,23,7,3,19,46,0.298,0.334,0.394,0.728,119,0,0,2,5,0,1,0.337,96,106,70
Platoon Splits,vs LHP,79,,166,151,20,37,8,1,8,23,3,2,14,34,0.245,0.313,0.47,0.784,71,1,1,0,0,1,0,0.266,108,116,20
Platoon Splits,vs RHP as RHB,110,,328,302,,90,14,3,3,23,0,0,19,46,0.298,0.334,0.394,0.728,119,0,0,2,5,0,1,0.337,96,112,70
Platoon Splits,vs LHP as RHB,79,,166,151,,37,8,1,8,23,0,0,14,34,0.245,0.313,0.47,0.784,71,1,1,0,0,1,0,0.266,108,111,20
Platoon Splits,vs RH Starter,81,75,328,303,42,91,15,3,5,26,5,3,20,45,0.3,0.341,0.419,0.76,127,1,0,2,3,0,1,0.336,104,114,68
Platoon Splits,vs LH Starter,38,38,166,150,19,36,7,1,6,20,5,2,13,35,0.24,0.301,0.42,0.721,63,0,1,0,2,1,0,0.27,92,101,22
Home or Away,Home,62,59,251,234,34,64,15,2,7,24,3,2,15,39,0.274,0.319,0.444,0.763,104,0,1,0,1,1,1,0.302,104,110,40
Home or Away,Away,57,54,243,219,27,63,7,2,4,22,7,3,18,41,0.288,0.336,0.393,0.729,86,1,0,2,4,0,0,0.332,97,109,50
First or Second Half,1st Half,88,82,351,320,42,91,18,3,5,33,9,3,25,65,0.284,0.332,0.406,0.739,130,0,0,2,4,1,1,0.339,98,109,65
First or Second Half,2nd Half,31,31,143,133,19,36,4,1,6,13,1,2,8,15,0.271,0.315,0.451,0.766,60,1,1,0,1,0,0,0.266,104,110,25
Months,April/March,27,24,94,79,10,24,4,2,0,7,4,1,11,20,0.304,0.38,0.405,0.786,32,0,0,2,2,1,0,0.393,113,126,18
Months,May,23,21,85,81,6,25,7,0,2,11,3,2,3,8,0.309,0.329,0.469,0.799,38,0,0,0,1,0,1,0.319,113,128,16
Months,June,25,25,113,106,16,27,5,1,2,10,1,0,6,30,0.255,0.292,0.377,0.669,40,0,0,0,1,0,0,0.333,79,86,19
Months,July,25,24,115,106,16,28,2,1,3,9,1,0,9,15,0.264,0.322,0.387,0.709,41,0,0,0,0,0,0,0.284,91,95,22
Months,August,19,19,87,81,13,23,4,0,4,9,1,2,4,7,0.284,0.322,0.482,0.803,39,1,1,0,1,0,0,0.268,113,121,15
Game Outcome for Team,in Wins,59,59,261,237,45,75,17,4,6,31,6,3,18,40,0.317,0.362,0.498,0.859,118,0,1,1,4,1,1,0.354,130,106,48
Game Outcome for Team,in Losses,60,54,233,216,16,52,5,0,5,15,4,2,15,40,0.241,0.289,0.333,0.622,72,1,0,1,1,0,0,0.273,68,112,42
Starter or Substitute,as Starter,113,113,487,447,61,126,22,4,11,46,10,5,32,79,0.282,0.328,0.423,0.751,189,1,1,2,5,1,1,0.318,101,110,89
Starter or Substitute,as Sub,6,0,7,6,0,1,0,0,0,0,0,0,1,1,0.167,0.286,0.167,0.452,1,0,0,0,0,0,0,0.2,27,41,1
Defensive Positions,as SS,116,,486,446,61,127,22,4,11,46,10,5,32,77,0.285,0.331,0.426,0.757,190,1,1,2,5,1,1,0.32,103,105,90
Defensive Positions,as DH,1,,4,4,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,4,,4,3,,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-24,-15,0
Leading Off Inning,1st Batter G,71,,71,65,,12,4,1,2,2,,,6,13,0.185,0.254,0.369,0.623,24,0,0,0,0,0,0,0.2,66,72,5
Leading Off Inning,Leadoff Inn.,97,,162,150,,38,11,1,4,4,,,12,26,0.253,0.309,0.42,0.729,63,0,0,0,0,0,1,0.283,95,108,22
Batting Order Positions,Batting 1st,71,71,327,306,46,79,13,2,9,29,3,2,18,55,0.258,0.3,0.402,0.702,123,1,1,0,2,0,0,0.287,88,91,55
Batting Order Positions,Batting 4th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 6th,3,3,10,10,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,-100,-100,0
Batting Order Positions,Batting 7th,13,10,42,36,4,8,3,0,0,1,1,0,5,11,0.222,0.31,0.306,0.615,11,0,0,0,1,1,0,0.308,68,81,5
Batting Order Positions,Batting 8th,25,23,92,81,9,33,6,2,2,15,4,3,10,10,0.407,0.467,0.605,1.072,49,0,0,0,1,0,0,0.443,187,225,23
Batting Order Positions,Batting 9th,6,6,23,20,2,7,0,0,0,1,1,0,0,3,0.35,0.333,0.35,0.683,7,0,0,2,1,0,0,0.389,85,121,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,93,,147,141,,38,3,1,5,15,,,4,19,0.27,0.286,0.411,0.697,58,0,0,0,2,0,0,0.277,86,98,29
Swung or Took First Pitch of PA,Took 1st Pitch,117,,347,312,,89,19,3,6,31,,,29,61,0.285,0.345,0.423,0.768,132,1,1,2,3,1,1,0.335,107,115,61
Count/Balls-Strikes,First Pitch,49,,53,51,10,14,1,0,2,5,2,2,0,0,0.275,0.283,0.412,0.695,21,0,1,0,1,0,0,0.24,85,56,11
Count/Balls-Strikes,1-0 Count,23,,25,23,3,8,4,0,0,6,1,2,0,0,0.348,0.333,0.522,0.855,12,1,0,1,1,0,0,0.333,126,89,4
Count/Balls-Strikes,2-0 Count,10,,11,11,7,4,1,0,1,2,1,0,0,0,0.364,0.364,0.727,1.091,8,0,0,0,0,0,0,0.3,185,123,2
Count/Balls-Strikes,3-0 Count,7,,7,0,,0,0,0,0,0,0,0,7,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,36,,42,40,3,13,2,0,0,3,1,0,0,0,0.325,0.31,0.375,0.685,15,0,0,0,2,0,0,0.31,84,67,11
Count/Balls-Strikes,1-1 Count,36,,41,40,9,11,0,0,1,2,1,1,0,0,0.275,0.275,0.35,0.625,14,0,0,1,0,0,0,0.256,68,51,10
Count/Balls-Strikes,2-1 Count,23,,26,26,3,8,3,1,1,3,2,0,0,0,0.308,0.308,0.615,0.923,16,0,0,0,0,0,0,0.28,141,95,3
Count/Balls-Strikes,3-1 Count,25,,27,15,4,3,1,0,1,2,0,0,12,0,0.2,0.556,0.467,1.022,7,0,0,0,0,0,0,0.143,182,53,1
Count/Balls-Strikes,0-2 Count,40,,50,50,5,14,1,0,2,5,0,0,0,23,0.28,0.28,0.42,0.7,21,0,0,0,0,0,0,0.48,86,265,11
Count/Balls-Strikes,1-2 Count,63,,84,83,7,27,3,2,1,12,1,0,0,24,0.325,0.321,0.446,0.767,37,0,0,0,1,0,0,0.441,105,271,21
Count/Balls-Strikes,2-2 Count,59,,72,72,7,14,3,1,2,3,0,0,0,22,0.194,0.194,0.347,0.542,25,0,0,0,0,0,1,0.25,42,137,8
Count/Balls-Strikes,Full Count,48,,56,42,3,11,3,0,0,3,1,0,14,11,0.262,0.446,0.333,0.78,14,0,0,0,0,0,0,0.355,116,99,8
Count/Balls-Strikes,After 1-0,105,,190,162,,49,14,2,3,18,,,24,21,0.303,0.388,0.469,0.857,76,1,0,2,2,1,0,0.329,131,113,30
Count/Balls-Strikes,After 2-0,56,,69,52,,11,4,1,2,6,,,17,7,0.212,0.406,0.442,0.848,23,0,0,0,0,1,0,0.209,130,77,4
Count/Balls-Strikes,After 3-0,18,,20,8,,2,0,0,1,3,,,12,0,0.25,0.7,0.625,1.325,5,0,0,0,0,1,0,0.143,263,118,1
Count/Balls-Strikes,After 0-1,109,,250,239,,64,7,2,6,23,,,9,59,0.268,0.292,0.389,0.681,93,0,0,0,2,0,1,0.33,82,125,49
Count/Balls-Strikes,After 1-1,104,,197,182,,51,8,3,3,17,,,13,33,0.28,0.327,0.407,0.733,74,0,0,1,1,0,1,0.327,97,121,37
Count/Balls-Strikes,After 2-1,82,,112,98,,23,9,2,2,7,,,14,16,0.235,0.33,0.429,0.759,42,0,0,0,0,0,0,0.263,103,93,10
Count/Balls-Strikes,After 3-1,43,,48,31,,6,1,0,1,5,,,17,5,0.194,0.479,0.323,0.802,10,0,0,0,0,0,0,0.2,124,55,4
Count/Balls-Strikes,After 0-2,73,,107,104,,30,3,0,4,9,,,3,40,0.289,0.308,0.433,0.741,45,0,0,0,0,0,0,0.433,98,225,23
Count/Balls-Strikes,After 1-2,85,,140,132,,38,4,2,2,13,,,7,41,0.288,0.321,0.394,0.715,52,0,0,0,1,0,1,0.4,92,188,30
Count/Balls-Strikes,After 2-2,76,,107,98,,22,6,1,2,3,,,9,28,0.225,0.29,0.367,0.657,36,0,0,0,0,0,1,0.294,76,126,13
Count/Balls-Strikes,Zero Balls,91,,145,141,18,41,4,0,4,13,3,2,0,23,0.291,0.29,0.404,0.694,57,0,1,0,3,0,0,0.316,85,96,33
Count/Balls-Strikes,Zero Strikes,72,,96,85,20,26,6,0,3,13,4,4,7,0,0.306,0.358,0.482,0.84,41,1,1,1,2,1,0,0.274,125,76,17
Count/Balls-Strikes,Three Balls,66,,90,57,7,14,4,0,1,5,1,0,33,11,0.246,0.522,0.368,0.891,21,0,0,0,0,1,0,0.289,148,90,9
Count/Balls-Strikes,Two Strikes,111,,262,247,22,66,10,3,5,23,2,0,14,80,0.267,0.305,0.393,0.698,97,0,0,0,1,0,1,0.374,87,172,48
Count/Balls-Strikes,Batter Ahead,94,,152,117,20,34,12,1,3,16,5,2,33,11,0.291,0.444,0.487,0.931,57,1,0,1,1,1,0,0.298,152,95,18
Count/Balls-Strikes,Even Count,92,,166,163,26,39,4,1,5,10,3,3,0,22,0.239,0.242,0.368,0.611,60,0,1,1,1,0,1,0.248,62,76,29
Count/Balls-Strikes,Pitcher Ahead,101,,176,173,15,54,6,2,3,20,2,0,0,47,0.312,0.307,0.422,0.729,73,0,0,0,3,0,0,0.405,95,183,43
Number of Outs in Inning,0 outs,104,,211,194,16,52,12,1,6,15,2,1,14,36,0.268,0.314,0.433,0.747,84,0,0,1,2,0,1,0.299,99,106,33
Number of Outs in Inning,1 out,92,,137,126,31,38,2,2,5,15,4,3,7,23,0.302,0.331,0.468,0.799,59,1,0,1,3,1,0,0.327,113,121,29
