Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,46,33,134,116,14,29,5,0,4,14,0,2,14,40,0.25,0.338,0.397,0.735,46,0,2,0,1,0,1,0.343,100,107,20
Season Totals,Last 7 days,4,3,9,6,1,1,0,0,1,3,0,1,3,2,0.167,0.444,0.667,1.111,4,0,0,0,0,0,1,0.0,199,222,0
Season Totals,Last 14 days,4,3,9,6,1,1,0,0,1,3,0,1,3,2,0.167,0.444,0.667,1.111,4,0,0,0,0,0,1,0.0,199,211,0
Season Totals,Last 28 days,9,6,19,14,4,4,1,0,2,6,0,1,5,5,0.286,0.474,0.786,1.259,11,0,0,0,0,0,1,0.286,238,240,1
Season Totals,Last 365 days,53,40,161,133,17,33,6,0,5,17,0,2,22,45,0.248,0.363,0.406,0.769,54,0,3,0,2,0,1,0.329,110,,22
Platoon Splits,vs RHP,44,,117,101,13,24,5,0,4,11,0,2,13,36,0.238,0.328,0.406,0.734,41,0,1,0,1,0,1,0.323,99,107,15
Platoon Splits,vs LHP,14,,17,15,1,5,0,0,0,3,0,0,1,4,0.333,0.412,0.333,0.745,5,0,1,0,0,0,0,0.455,106,113,5
Platoon Splits,vs RHP as LHB,44,,117,101,,24,5,0,4,11,0,0,13,36,0.238,0.328,0.406,0.734,41,0,1,0,1,0,1,0.323,99,100,15
Platoon Splits,vs LHP as LHB,14,,17,15,,5,0,0,0,3,0,0,1,4,0.333,0.412,0.333,0.745,5,0,1,0,0,0,0,0.455,106,127,5
Platoon Splits,vs RH Starter,41,33,129,111,13,29,5,0,4,14,0,2,14,38,0.261,0.352,0.414,0.766,46,0,2,0,1,0,1,0.357,108,116,20
Platoon Splits,vs LH Starter,5,0,5,5,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Home or Away,Home,27,18,66,54,8,15,3,0,3,11,0,2,9,18,0.278,0.394,0.5,0.894,27,0,2,0,1,0,1,0.353,143,148,9
Home or Away,Away,19,15,68,62,6,14,2,0,1,3,0,0,5,22,0.226,0.284,0.307,0.59,19,0,0,0,0,0,0,0.333,61,70,11
First or Second Half,1st Half,36,27,114,101,10,25,4,0,2,8,0,1,9,34,0.248,0.319,0.347,0.665,35,0,2,0,1,0,0,0.349,82,90,19
First or Second Half,2nd Half,10,6,20,15,4,4,1,0,2,6,0,1,5,6,0.267,0.45,0.733,1.183,11,0,0,0,0,0,1,0.286,218,222,1
Months,April/March,3,2,11,10,1,3,0,0,0,0,0,0,0,3,0.3,0.3,0.3,0.6,3,0,0,0,0,0,0,0.429,64,74,3
Months,May,9,8,35,29,3,6,1,0,1,4,0,0,5,12,0.207,0.343,0.345,0.688,10,0,1,0,0,0,0,0.313,88,101,4
Months,June,18,15,55,49,5,13,2,0,1,4,0,1,4,12,0.265,0.327,0.367,0.695,18,0,1,0,1,0,0,0.324,89,95,10
Months,July,11,4,20,20,4,6,2,0,1,3,0,0,0,9,0.3,0.3,0.55,0.85,11,0,0,0,0,0,0,0.5,127,127,3
Months,August,5,4,13,8,1,1,0,0,1,3,0,1,5,4,0.125,0.462,0.5,0.962,4,0,0,0,0,0,1,0.0,163,170,0
Game Outcome for Team,in Wins,24,19,76,62,6,14,2,0,1,6,0,1,11,22,0.226,0.36,0.307,0.667,19,0,2,0,0,0,1,0.333,84,66,11
Game Outcome for Team,in Losses,22,14,58,54,8,15,3,0,3,8,0,1,3,18,0.278,0.31,0.5,0.81,27,0,0,0,1,0,0,0.353,118,172,9
Starter or Substitute,as Starter,33,33,121,103,12,25,4,0,3,10,0,2,14,36,0.243,0.342,0.369,0.711,38,0,2,0,1,0,1,0.339,94,101,18
Starter or Substitute,as Sub,13,0,13,13,2,4,1,0,1,4,0,0,0,4,0.308,0.308,0.615,0.923,8,0,0,0,0,0,0,0.375,146,174,2
Defensive Positions,as 1B,3,,3,3,,2,1,0,0,1,0,0,0,0,0.667,0.667,1.0,1.667,3,0,0,0,0,0,0,0.667,349,353,1
Defensive Positions,as DH,35,,124,106,12,25,4,0,3,10,0,2,14,37,0.236,0.333,0.359,0.692,38,0,2,0,1,0,1,0.328,89,87,18
Defensive Positions,as PH,9,,9,9,1,2,0,0,1,3,0,0,0,4,0.222,0.222,0.556,0.778,5,0,0,0,0,0,0,0.25,106,136,1
Defensive Positions,as PH for DH,2,,2,2,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,5,,5,5,,1,0,0,0,0,,,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.333,10,14,1
Leading Off Inning,Leadoff Inn.,24,,33,29,,10,2,0,1,1,,,4,7,0.345,0.424,0.517,0.941,15,0,0,0,0,0,0,0.429,156,170,7
Batting Order Positions,Batting 1st,5,5,22,19,1,2,0,0,0,2,0,0,3,7,0.105,0.227,0.105,0.333,2,0,0,0,0,0,0,0.167,-6,-5,2
Batting Order Positions,Batting 2nd,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,0.5,300,285,0
Batting Order Positions,Batting 4th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,4,2,10,7,2,2,0,0,0,1,0,0,1,3,0.286,0.444,0.286,0.73,2,0,1,0,0,0,0,0.5,103,111,2
Batting Order Positions,Batting 6th,7,7,25,24,2,7,1,0,0,1,0,0,1,3,0.292,0.32,0.333,0.653,8,0,0,0,0,0,0,0.333,79,92,6
Batting Order Positions,Batting 7th,12,10,38,33,3,8,2,0,1,1,0,0,4,18,0.242,0.342,0.394,0.736,13,0,1,0,0,0,0,0.5,100,115,5
Batting Order Positions,Batting 8th,9,9,30,24,5,7,1,0,2,6,0,2,5,7,0.292,0.4,0.583,0.983,14,0,0,0,1,0,1,0.313,165,196,4
Batting Order Positions,Batting 9th,6,0,6,6,1,2,0,0,1,3,0,0,0,2,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.333,208,263,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,25,,29,28,,10,2,0,2,3,,,0,6,0.357,0.357,0.643,1.0,18,0,0,0,0,0,1,0.4,168,178,6
Swung or Took First Pitch of PA,Took 1st Pitch,42,,105,88,,19,3,0,2,11,,,14,34,0.216,0.333,0.318,0.652,28,0,2,0,1,0,0,0.321,79,84,14
Count/Balls-Strikes,First Pitch,14,,16,15,2,7,2,0,1,1,0,0,0,0,0.467,0.467,0.8,1.267,12,0,0,0,0,0,1,0.429,240,180,4
Count/Balls-Strikes,1-0 Count,4,,4,4,,2,1,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25,3,0,0,0,0,0,0,0.5,237,177,1
Count/Balls-Strikes,2-0 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,2,,2,0,,0,0,0,0,1,0,0,2,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,5,,6,6,2,2,0,0,1,2,0,0,0,0,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.2,208,163,1
Count/Balls-Strikes,1-1 Count,8,,9,8,0,2,1,0,0,0,0,1,0,0,0.25,0.333,0.375,0.708,3,0,1,0,0,0,0,0.25,93,74,1
Count/Balls-Strikes,2-1 Count,3,,3,3,,3,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,3,0,0,0,0,0,0,1.0,448,364,3
Count/Balls-Strikes,3-1 Count,8,,8,3,2,2,0,0,0,2,0,0,5,0,0.667,0.875,0.667,1.542,2,0,0,0,0,0,0,0.667,327,130,2
Count/Balls-Strikes,0-2 Count,9,,9,9,2,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-2 Count,20,,24,24,2,2,0,0,1,2,0,1,0,14,0.083,0.083,0.208,0.292,5,0,0,0,0,0,0,0.111,-23,34,1
Count/Balls-Strikes,2-2 Count,18,,24,23,3,3,0,0,0,1,0,0,0,13,0.13,0.125,0.13,0.255,3,0,0,0,1,0,0,0.273,-30,18,3
Count/Balls-Strikes,Full Count,18,,28,20,1,6,1,0,1,5,0,0,7,7,0.3,0.5,0.5,1.0,10,0,1,0,0,0,0,0.417,174,161,4
Count/Balls-Strikes,After 1-0,36,,63,50,,9,1,0,1,8,,,10,20,0.18,0.333,0.26,0.593,13,0,2,0,1,0,0,0.267,64,50,7
Count/Balls-Strikes,After 2-0,17,,21,12,,2,0,0,0,5,,,8,5,0.167,0.476,0.167,0.643,2,0,0,0,1,0,0,0.25,83,32,2
Count/Balls-Strikes,After 3-0,9,,9,3,,1,0,0,0,2,,,6,0,0.333,0.778,0.333,1.111,1,0,0,0,0,0,0,0.333,214,71,1
Count/Balls-Strikes,After 0-1,27,,55,51,,13,2,0,2,5,,,4,20,0.255,0.309,0.412,0.721,21,0,0,0,0,0,0,0.379,95,138,9
Count/Balls-Strikes,After 1-1,32,,62,56,,13,2,0,2,4,,,4,23,0.232,0.307,0.375,0.682,21,0,2,0,0,0,0,0.355,85,105,9
Count/Balls-Strikes,After 2-1,23,,32,25,,8,0,0,1,6,,,6,8,0.32,0.438,0.44,0.878,11,0,0,0,1,0,0,0.412,140,124,7
Count/Balls-Strikes,After 3-1,16,,18,9,,2,0,0,0,2,,,9,1,0.222,0.611,0.222,0.833,2,0,0,0,0,0,0,0.25,137,55,2
Count/Balls-Strikes,After 0-2,18,,25,23,,3,0,0,0,2,,,2,12,0.13,0.2,0.13,0.33,3,0,0,0,0,0,0,0.273,-8,52,3
Count/Balls-Strikes,After 1-2,31,,48,45,,7,1,0,1,3,,,2,26,0.156,0.208,0.244,0.453,11,0,1,0,0,0,0,0.333,23,82,5
Count/Balls-Strikes,After 2-2,28,,42,37,,9,1,0,1,6,,,3,19,0.243,0.31,0.351,0.661,13,0,1,0,1,0,0,0.444,80,127,7
Count/Balls-Strikes,Zero Balls,23,,31,30,6,9,2,0,2,3,0,0,0,6,0.3,0.3,0.567,0.867,17,0,0,0,0,0,1,0.318,132,137,5
Count/Balls-Strikes,Zero Strikes,18,,23,20,2,9,3,0,1,2,0,0,2,0,0.45,0.5,0.75,1.25,15,0,0,0,0,0,1,0.421,237,159,5
Count/Balls-Strikes,Three Balls,24,,38,23,3,8,1,0,1,8,0,0,14,7,0.348,0.605,0.522,1.127,12,0,1,0,0,0,0,0.467,211,145,6
Count/Balls-Strikes,Two Strikes,37,,85,76,8,11,1,0,2,8,0,1,7,40,0.145,0.224,0.237,0.46,18,0,1,0,1,0,0,0.257,26,81,8
Count/Balls-Strikes,Batter Ahead,31,,46,31,3,13,2,0,1,8,0,0,14,7,0.419,0.609,0.581,1.189,18,0,1,0,0,0,0,0.522,227,149,10
Count/Balls-Strikes,Even Count,33,,49,46,5,12,3,0,1,2,0,1,0,13,0.261,0.271,0.391,0.662,18,0,1,0,1,0,1,0.333,79,92,8
Count/Balls-Strikes,Pitcher Ahead,25,,39,39,6,4,0,0,2,4,0,1,0,20,0.103,0.103,0.256,0.359,10,0,0,0,0,0,0,0.118,-5,32,2
Number of Outs in Inning,0 outs,30,,47,42,5,16,3,0,2,4,0,0,4,11,0.381,0.435,0.595,1.03,25,0,0,0,0,0,0,0.483,179,185,11
Number of Outs in Inning,1 out,24,,34,30,5,5,2,0,1,4,0,1,3,9,0.167,0.235,0.333,0.569,10,0,0,0,1,0,0,0.191,53,57,2
Number of Outs in Inning,2 outs,34,,53,44,4,8,0,0,1,6,0,1,7,20,0.182,0.321,0.25,0.571,11,0,2,0,0,0,1,0.304,58,67,7
Bases Occupied,RISP,26,,38,30,10,6,0,0,0,8,0,1,6,15,0.2,0.324,0.2,0.524,6,0,0,0,1,0,0,0.375,46,46,6
Bases Occupied,---,37,,74,65,2,17,4,0,2,2,0,0,8,19,0.262,0.351,0.415,0.767,27,0,1,0,0,0,0,0.341,108,124,11
Bases Occupied,Men On,33,,60,51,12,12,1,0,2,12,0,2,6,21,0.235,0.322,0.373,0.695,19,0,1,0,1,0,1,0.345,89,88,9
Bases Occupied,1--,17,,22,21,2,6,1,0,2,4,0,1,0,6,0.286,0.318,0.619,0.937,13,0,1,0,0,0,1,0.308,150,146,3
Bases Occupied,-2-,8,,10,9,2,1,0,0,0,1,0,0,1,5,0.111,0.2,0.111,0.311,1,0,0,0,0,0,0,0.25,-13,-13,1
Bases Occupied,--3,4,,4,2,1,0,0,0,0,0,0,0,2,2,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,48,45,0
Bases Occupied,12-,8,,9,8,,3,0,0,0,2,0,0,0,1,0.375,0.375,0.375,0.75,3,0,0,0,0,0,0,0.429,105,113,3
Bases Occupied,1-3,7,,7,5,1,1,0,0,0,1,0,1,2,4,0.2,0.429,0.2,0.629,1,0,0,0,0,0,0,1.0,77,69,1
Bases Occupied,-23,4,,3,3,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,123,5,,5,3,6,1,0,0,0,4,0,0,1,2,0.333,0.4,0.333,0.733,1,0,0,0,1,0,0,0.5,102,110,1
Bases Occupied,"on 1st,",18,,26,23,6,7,1,0,1,6,0,1,1,8,0.304,0.32,0.478,0.798,11,0,0,0,1,0,0,0.4,115,109,5
Bases Occupied,"on 3rd,",6,,7,4,5,1,0,0,0,3,0,0,2,3,0.25,0.429,0.25,0.679,1,0,0,0,1,0,0,0.5,90,73,1
Bases Occupied,"on 3rd, 2 out",12,,12,9,3,1,0,0,0,2,0,1,3,6,0.111,0.333,0.111,0.444,1,0,0,0,0,0,0,0.333,27,31,1
Bases Occupied,"0 out, ---",23,,32,28,1,10,2,0,1,1,0,0,4,6,0.357,0.438,0.536,0.973,15,0,0,0,0,0,0,0.429,165,179,7
Bases Occupied,"0 out, 1--",7,,8,8,1,4,1,0,1,2,0,0,0,2,0.5,0.5,1.0,1.5,8,0,0,0,0,0,0,0.6,300,280,2
Bases Occupied,"0 out, -2-",1,,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"0 out, 12-",4,,4,3,,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333,2,0,0,0,0,0,0,0.667,265,261,2
Bases Occupied,"0 out, 1-3",1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"0 out, 123",1,,1,1,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"1 out, ---",15,,18,17,1,4,2,0,1,1,0,0,1,4,0.235,0.278,0.529,0.807,9,0,0,0,0,0,0,0.25,116,130,1
Bases Occupied,"1 out, 1--",6,,5,5,0,0,0,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, -2-",3,,3,3,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, --3",1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Bases Occupied,"1 out, 12-",3,,3,3,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 1-3",1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Bases Occupied,"1 out, 123",3,,3,2,3,1,0,0,0,3,0,0,0,1,0.5,0.333,0.5,0.833,1,0,0,0,1,0,0,0.5,125,129,1
Bases Occupied,"2 out, ---",18,,24,20,,3,0,0,0,0,0,0,3,9,0.15,0.292,0.15,0.442,3,0,1,0,0,0,0,0.273,24,38,3
Bases Occupied,"2 out, 1--",10,,9,8,1,2,0,0,1,2,0,0,0,1,0.25,0.333,0.625,0.958,5,0,1,0,0,0,1,0.167,156,159,1
Bases Occupied,"2 out, -2-",4,,6,5,,1,0,0,0,1,0,0,1,3,0.2,0.333,0.2,0.533,1,0,0,0,0,0,0,0.5,49,47,1
Bases Occupied,"2 out, --3",3,,3,2,1,0,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,,-2,3,0
Bases Occupied,"2 out, 12-",2,,2,2,,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,1.0,174,190,1
Bases Occupied,"2 out, 1-3",5,,5,4,1,1,0,0,0,1,0,1,1,3,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,1.0,81,84,1
Bases Occupied,"2 out, -23",4,,3,3,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, 123",1,,1,0,1,0,0,0,0,1,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Clutch Stats,"2 outs, RISP",17,,20,16,3,3,0,0,0,4,0,1,4,10,0.188,0.35,0.188,0.538,3,0,0,0,0,0,0,0.5,51,55,3
Clutch Stats,Late & Close,20,,23,21,4,5,0,0,2,7,0,0,1,7,0.238,0.273,0.524,0.797,11,0,0,0,0,0,0,0.25,113,130,3
Clutch Stats,Tie Game,21,,32,29,3,7,2,0,1,1,0,1,2,11,0.241,0.313,0.414,0.726,12,0,1,0,0,0,1,0.353,97,104,4
Clutch Stats,Within 1 R,33,,58,51,7,12,3,0,2,4,0,2,6,21,0.235,0.328,0.412,0.739,21,0,1,0,0,0,1,0.357,101,107,7
Clutch Stats,Within 2 R,35,,87,76,10,21,4,0,3,9,0,2,8,27,0.276,0.361,0.447,0.808,34,0,2,0,0,0,1,0.391,119,127,14
Clutch Stats,Within 3 R,40,,104,91,13,25,4,0,4,11,0,2,10,32,0.275,0.359,0.451,0.81,41,0,2,0,0,0,1,0.382,120,127,17
Clutch Stats,Within 4 R,40,,120,102,13,26,4,0,4,12,0,2,14,36,0.255,0.353,0.412,0.765,42,0,2,0,1,0,1,0.349,108,116,18
Clutch Stats,Margin > 4 R,12,,14,14,1,3,1,0,0,2,0,0,0,4,0.214,0.214,0.286,0.5,4,0,0,0,0,0,0,0.3,35,40,2
Clutch Stats,Ahead,20,,47,41,4,7,1,0,0,1,0,0,5,16,0.171,0.277,0.195,0.472,8,0,1,0,0,0,0,0.28,31,33,6
Clutch Stats,Behind,26,,55,46,7,15,2,0,3,12,0,1,7,13,0.326,0.407,0.565,0.973,26,0,0,0,1,0,0,0.387,163,182,10
Leverage,High Lvrge,20,,27,22,7,5,1,0,1,7,0,1,3,9,0.227,0.308,0.409,0.717,9,0,0,0,1,0,0,0.308,94,99,3
Leverage,Medium Lvrge,30,,54,46,6,15,2,0,3,5,0,1,7,15,0.326,0.426,0.565,0.991,26,0,1,0,0,0,1,0.429,168,176,10
Leverage,Low Lvrge,29,,53,48,1,9,2,0,0,2,0,0,4,16,0.188,0.264,0.229,0.493,11,0,1,0,0,0,0,0.281,36,43,7
Times Facing Opponent in Game,vs. SP,33,,74,60,9,18,4,0,2,5,0,2,12,20,0.3,0.419,0.467,0.886,28,0,1,0,1,0,1,0.41,142,148,12
Times Facing Opponent in Game,vs. RP,37,,60,56,5,11,1,0,2,9,0,0,2,20,0.196,0.237,0.321,0.559,18,0,1,0,0,0,0,0.265,51,59,8
Times Facing Opponent in Game,"vs. SP, 1st",33,,33,27,,12,2,0,2,5,0,0,4,6,0.444,0.515,0.741,1.256,20,0,1,0,1,0,1,0.5,239,258,8
Times Facing Opponent in Game,"vs. SP, 2nd",30,,30,25,,6,2,0,0,0,0,0,5,10,0.24,0.367,0.32,0.687,8,0,0,0,0,0,0,0.4,89,95,4
Times Facing Opponent in Game,"vs. SP, 3rd",11,,11,8,,0,0,0,0,0,0,0,3,4,0.0,0.273,0.0,0.273,0,0,0,0,0,0,0,0.0,-19,-17,0
Times Facing Opponent in Game,"vs. RP, 1st",37,,59,55,,11,1,0,2,9,0,0,2,20,0.2,0.241,0.327,0.569,18,0,1,0,0,0,0,0.273,54,63,8
Times Facing Opponent in Game,"vs. RP, 2nd",1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
vs. Power/Finesse Pitchers,vs. Power,22,,36,32,,6,2,0,1,4,,,3,13,0.188,0.257,0.344,0.601,11,0,0,0,0,0,0,0.278,63,78,3
vs. Power/Finesse Pitchers,vs. avg.P/F,18,,38,31,,8,0,0,2,6,,,5,9,0.258,0.368,0.452,0.82,14,0,1,0,1,0,0,0.286,123,133,6
vs. Power/Finesse Pitchers,vs. Finesse,31,,60,53,,15,3,0,1,4,,,6,18,0.283,0.367,0.396,0.763,21,0,1,0,0,0,1,0.412,108,109,11
vs. Ground Ball/Fly Ball Pitchers,vs. Fly Ball,27,,54,46,,14,4,0,1,6,,,6,17,0.304,0.389,0.457,0.845,21,0,1,0,1,0,1,0.448,130,139,9
vs. Ground Ball/Fly Ball Pitchers,vs. avg.F/G,28,,56,50,,8,1,0,2,4,,,5,22,0.16,0.25,0.3,0.55,15,0,1,0,0,0,0,0.231,50,54,5
vs. Ground Ball/Fly Ball Pitchers,vs. GrndBall,17,,24,20,,7,0,0,1,4,,,3,1,0.35,0.435,0.5,0.935,10,0,0,0,0,0,0,0.333,155,165,6
Hit Location,To Infield,18,,28,28,,3,0,0,0,0,,,0,0,0.107,0.107,0.107,0.214,3,0,0,0,0,0,1,0.107,-41,161,3
Hit Location,To Outfield,33,,49,48,,26,5,0,4,13,,,0,0,0.542,0.531,0.896,1.426,43,0,0,0,1,0,0,0.489,283,100,17
Hit Location,Ball In Play,37,,73,72,,25,5,0,0,7,,,0,0,0.347,0.343,0.417,0.759,30,0,0,0,1,0,1,0.343,106,130,20
Hit Location,Not in Play,33,,61,44,,4,0,0,4,7,,,14,40,0.091,0.333,0.364,0.697,16,0,2,0,0,0,0,,90,71,0
Hit Location,Fair Terr,39,,77,76,,29,5,0,4,13,,,0,0,0.382,0.377,0.605,0.982,46,0,0,0,1,0,1,0.343,164,124,20
Hit Location,Pulled-LHB,19,,26,26,,12,3,0,2,7,,,0,0,0.462,0.462,0.808,1.269,21,0,0,0,0,0,0,0.417,240,159,7
Hit Location,Up Mdle-LHB,27,,41,41,,12,0,0,2,5,,,0,0,0.293,0.293,0.439,0.732,18,0,0,0,0,0,1,0.256,97,80,10
Hit Location,Opp Fld-LHB,9,,10,9,,5,2,0,0,1,,,0,0,0.556,0.5,0.778,1.278,7,0,0,0,1,0,0,0.5,244,241,3
Hit Trajectory,Ground Balls,15,,20,20,,7,2,0,0,3,,,0,0,0.35,0.35,0.45,0.8,9,0,0,0,0,0,0,0.35,117,210,5
Hit Trajectory,Fly Balls,23,,32,31,,9,2,0,4,7,,,0,0,0.29,0.281,0.742,1.023,23,0,0,0,1,0,0,0.179,170,160,3
Hit Trajectory,Line Drives,18,,23,23,,12,1,0,0,3,,,0,0,0.522,0.522,0.565,1.087,13,0,0,0,0,0,0,0.522,197,48,11
Hit Trajectory,Bunts,2,,2,2,,1,0,0,0,0,,,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,1,0.5,174,95,1
Opponent,Inter-League,11,9,34,29,4,4,1,0,1,4,0,0,5,9,0.138,0.265,0.276,0.541,8,0,0,0,0,0,0,0.158,48,56,2
Opponent,Los Angeles Angels,2,2,11,9,1,1,0,0,0,2,0,0,2,3,0.111,0.273,0.111,0.384,1,0,0,0,0,0,0,0.167,9,12,1
Opponent,Atlanta Braves,3,2,6,5,1,2,0,0,0,1,0,0,0,3,0.4,0.333,0.4,0.733,2,0,0,0,1,0,0,0.667,99,116,2
Opponent,Boston Red Sox,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Opponent,Chicago Cubs,5,2,11,9,0,3,1,0,0,1,0,0,1,4,0.333,0.455,0.444,0.899,4,0,1,0,0,0,0,0.6,147,167,2
Opponent,Cincinnati Reds,4,3,12,9,2,3,1,0,1,2,0,0,2,3,0.333,0.5,0.778,1.278,7,0,1,0,0,0,0,0.4,244,256,1
